rn,Wahlkreis 11 (alle Wahlbezirke),Albert-Schweitzer-Schule 712,Albert-Schweitzer-Schule 714,Ansverus-Haus Lübeck 719,Baltic GGS 402,Baltic GGS 403,Baltic GGS 404,Behlendorf 1321,Berkenthin 1322,Bliestorf 1323,Briefwahl Amt Berkenthin I 1390,Briefwahl Amt Berkenthin II 1391,Briefwahl Amt Sandesneben-Nusse 1490,Bugenhagen-Schule 503,Bugenhagen-Schule 504,Carl-Jacob-Burckhardt-Gymnasium 615,Carl-Jacob-Burckhardt-Gymnasium 619,Carl-Jacob-Burckhardt-Gymnasium 620,Carl-Jacob-Burckhardt-Gymnasium 621,DEKRA Akademie Lübeck 220,Dorfgemeinschaftshaus 602,Düchelsdorf 1324,Emil-Possehl-Schule 610,Entsorgungsbetriebe Lübeck 223,Ernestinenschule 103,Fachhochschule Lübeck 212,Freiwillige Feuerwehr 608,Freiwillige Feuerwehr Lübeck-Dänischburg 901,Freiwillige Feuerwehr Lübeck Dänischburg 901,Gemeinschaftshaus Brandenbaum 717,Gemeinschaftshaus Dornbreite 603,Gemeinschaftshaus Gärtnergasse 209,Geschwister-Prenski-Schule 701,Gesundheitsamt Lübeck 205,Gewerbeschule - Nahrung und Gastronomie 106,GGS St. Jürgen 207,GGS St. Jürgen 208,GGS St. Jürgen 210,GGS St. Jürgen 211,GGS St. Jürgen 222,GGS Stecknitz 218,Göldenitz 1325,Gotthard-Kühl-Schule 617,Gotthard-Kühl-Schule 618,Grinau 1401,Groß Boden 1402,Groß Schenkenberg 1403,Grundschule am Koggenweg 401,Grundschule am Koggenweg 405,Hanse-Schule für Wirtschaft und Verwaltung 101,Hanse-Schule für Wirtschaft und Verwaltung 107,Haus der kleinen Riesen 708,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 302,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 303,Heinrich-Mann-Schule Grund- Und Gemeinschaftsschule 303,Holstentor-Gemeinschaftsschule 507,Holstentor Gemeinschaftsschule 501,Holstentor Gemeinschaftsschule 502,Johanneum 105,Julius-Leber-Schule 614,Julius-Leber-Schule 616,Julius-Leber-Schule 622,Kahlhorst Schule / AS Niederbüssau 219,Kahlhorst Schule 206,Kahlhorst Schule 221,Kastorf 1326,Katharineum 102,KITA Haus Barbara 609,Klempau 1327,Klinkrade 1404,Krummesse 1328,Labenz 1405,Linau 1406,Lüchow 1407,Luther-Schule 505,Luther-Schule 506,Maria-Montessori-Schule 706,Marien-Schule 104,Marli-Hof 707,MGH 720,Mühlenweg-Schule 304,Mühlenweg-Schule 305,Niendorf b. Berkenthin. 1329,Paul-Gerhardt-Schule 604,Paul-Gerhardt-Schule 605,Paul-Gerhardt-Schule 606,Paul-Klee-Schule / AS Wulfsdorf 217,Paul-Klee-Schule 213,Paul-Klee-Schule 214,Paul-Klee-Schule 224,Pestalozzi-Schule 613,Rondeshagen 1330,Sandesneben 1408,Schiphorst 1409,Schönberg 1410,Schule am Meer 924,Schule am Meer 925,Schule am Meer 926,Schule am Meer 927,Schule am Stadtpark 702,Schule an der Wakenitz 718,Schule Eichholz 721,Schule Falkenfeld 611,Schule Grönauer Baum 215,Schule Grönauer Baum 216,Schule Lauerholz / AS Israelsdorf 704,Schule Lauerholz 703,Schule Lauerholz 705,Schule Marli 710,Schule Marli 711,Schule Niendorf 301,Schule Rangenberg 903,Schule Roter Hahn 904,Schule Roter Hahn 908,Schule Roter Hahn 909,Schule Schönböcken 601,Schule Tremser Teich 607,Schule Wilhelmshöhe 612,Schürensöhlen 1411,Seniorenwohnanlage Rosenhof 928,Siebenbäumen 1412,Sierksrade 1331,Sirksfelde 1413,Stadtschule Travemünde 922,Stadtschule Travemünde 923,Stadtverwaltung Verkehrsangelegenheiten 713,Steinhorst 1414,Stubben 1415,Thomas-Mann-Schule 709,Thomas-Mann-Schule 715,Thomas-Mann-Schule 716,Trave- Gymnasium 902,Trave-Gymnasium 902,Trave-Gymnasium 906,Trave-Gymnasium 907,Trave GGS 905,TSV Travemünde Clubhaus 921,Verwaltungszentrum 204,Volkshochschule 201,Volkshochschule 202,Volkshochschule 203,Wentorf A.S. 1416,Willy-Brand-Schule 801,Willy-Brandt-Schule 801,Willy-Brandt-Schule 802,Willy-Brandt-Schule 803
MLDP,0.2,0.1,0.3,0.5,0,0,0.2,0,0.1,0,0.1,0,0,0.2,0.6,0.1,0,0.2,0,0.1,0.2,0,0,0.3,0.1,0,0.3,0,0,0.3,0.1,0.1,0,0.1,0.4,0.1,0.1,0.2,0,0.3,0.2,0,0.2,0,0,1,0,0.6,0.7,0.1,0.1,0.1,0.1,0,0.6,0.2,0.1,0.2,0.2,0.1,0.1,0,0,0.1,0.5,0.2,0.5,0,0,0.3,0,0,0.2,0,0,0.1,0,0.2,0.3,0.1,0.5,0.1,0,0.3,0.2,0,0.2,0.2,0.1,0,0.1,0,0.1,0,0,0.1,0.3,0.3,0,0,0.4,0.1,0.3,0.1,0,0.1,0.1,0.3,0.5,0.2,0.4,0.1,0.2,0.1,0,0,0,0,0,0.1,0,0.6,0,0,0.1,0.2,0.4,0,0.1,0.3,0,0,0,0,0,0.2,0,0.1,0.7,0.2,0.1,0,0,0,0.3,0.4
Basis,1.2,0.5,1.5,1.9,0.6,0.7,0.3,2.8,1.1,3.3,1.7,1.4,1.4,0.9,1.3,1.3,0.6,1,1,1,1,0,0.6,1.6,1.4,1.9,0,0,1.3,1.1,1.9,0.9,1.9,1.7,1.7,1,0.9,0.9,0.5,1.1,1.2,2.3,1.4,0.9,0.9,3,1.8,1,0,1.5,2,0.8,1.1,1,2.3,0.4,1.9,1.4,1.5,1.6,0.7,1.8,1.4,1.7,0.9,0.5,1.3,1.7,1.2,1.3,0.7,0.6,0.5,1.3,1.3,0.6,1.1,1.8,1,2,0.6,1.1,1.9,1.3,0.8,1.2,3.1,0.8,0.3,1,0.8,2.5,1.1,1.6,0.7,0.6,1.6,0.4,1.5,2.2,2.1,2.1,1,0.4,1.7,1.2,2.3,1.2,1.2,1.9,0.8,1.6,1,0.1,2,1.4,0.4,0.9,4.1,0.5,1,0,1.3,1.4,1.1,0.7,0.8,1,0.7,1.6,1,0.8,0.8,1.8,1.4,1,1.3,1.1,2.7,1.1,1.2,2.5,0.7,0.6,1.9,1.7
DKP,0.1,0,0.1,0,0.2,0.3,0,0,0,0,0.4,0,0.3,0.1,0,0.2,0,0.1,0.1,0,0,0,0,0.1,0.2,0.4,0.3,0,0.1,0,0,0.1,0.1,0,0.2,0,0.1,0.2,0.2,0,0,0,0,0.1,0,0,0,0.3,0,0.1,0,0,0.1,0.2,1.1,0,0,0.3,0.1,0,0,0.1,0,0.1,0,0.5,0,0.2,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0.1,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.3,0,0.1,0,0,0.1,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.5,0.1,0.2,0,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0,0,0,0.1
Urbane,0.2,0.1,0.4,0.5,0.1,0.8,0.1,0,0.1,0,0.4,0.3,0.2,0.2,0.2,0.6,0.5,0.7,0.2,0,0.1,0,0.3,0,0.5,0,0.5,0,0,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0,0.2,0.2,0,0.3,0.3,0,2,0,0.6,0.5,0.6,0.2,0,0.2,0.4,1.1,0.3,0.7,0.3,0.5,0.2,0.5,0.4,0.1,0.1,0.2,0,0.6,0.2,0,0.7,0.1,0.4,0,0,0.1,0.2,0,0.3,0.2,0.3,0.2,0.1,0,0.2,0.2,0.2,0.2,0,0.3,0.1,0.1,0,0,0,0.3,0.1,0.1,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.3,0.6,0,0.4,0.4,0.3,0.3,0.2,0.5,0.3,0,0.1,0,0.6,0,0.4,0.1,0.2,0.4,0,0.1,0.2,0.1,0.2,0,0.5,0.5,0.1,0.2,0.1,0.1,0.2,0.1,0,0,0.2,0.4,0.2
LKR,0.1,0.1,0.1,0.2,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0,0,0,0.4,0,0.1,0,0.1,0,0,0.1,0.2,0,0.2,0.2,0.5,0,0,0.1,0.2,0,0,0,0,0.4,0,0.1,0,0.1,0,0,0,0,0.2,0,0.1,0,0,0.2,0.1,0,0,0.3,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0,0.4,0.2,0,0,0.3,0,0.1,0.2,0,0,0,0.1,0,0.3,0.1,0,0.1,0.1,0,0,0,0,0.4,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.4,0,0
Humanisten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tierschutzpartei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todenhöfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volt,0.6,0.5,0.5,1.2,0.2,0.1,0.3,0,0.3,0.7,0.2,0.6,0.7,1.2,1.5,0.5,0.3,0.9,0.7,0.6,0,0,0.4,0.2,0.6,2.5,1.1,1.2,0.6,0.7,0.4,0.4,0.8,0.6,1.1,0.5,0.5,0.9,0.3,0.7,1.4,0.8,0.7,0.4,0,0,0.4,0.1,0,1.2,0.8,0.2,0,0.6,0,0.4,1.3,1.1,1.1,1.4,0.6,0.9,0.6,0.9,0.7,0.5,1,0.4,0.3,0,0.4,0,0.3,0,0.7,0.9,0.5,0.8,0.4,1,0.7,0.5,0,0.6,0.6,0.5,0,0.8,0.6,0.3,0.3,0.6,0.4,0,0.9,0.1,0.3,0.3,0.3,0.6,0.4,0.7,0.2,0.4,0.7,0.4,0.1,0.7,0.5,0.7,0.1,0.4,0.3,1,0.6,0.9,0.8,0.7,0,0.5,0,1.2,0,0.5,0.6,1,0,0,0.8,1.1,0.8,0.2,0.8,0.6,0.2,0.4,0.3,1.2,0.5,0.7,0.5,0.9,0.4,0.2,0.2,0.1
