"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Heilbronn","Stadtkreis","Baden-Württemberg","126458",194,15911,12582,441.3,558,1,"de-bw-08121000","49.1527195922","9.18234690067"
"Heilbronn","Landkreis","Baden-Württemberg","346363",258,32650,9426.5,420.9,1458,1,"de-bw-08125000","49.177198517","9.19077872323"
"Hohenlohekreis","Landkreis","Baden-Württemberg","112765",146,10462,9277.7,358.3,404,0,"de-bw-08126000","49.2715461389","9.61413578119"
"Schwäbisch Hall","Landkreis","Baden-Württemberg","197860",282,18292,9244.9,329,651,0,"de-bw-08127000","49.1444689707","9.90893216762"
"Main-Tauber-Kreis","Landkreis","Baden-Württemberg","132684",123,9634,7260.9,381.4,506,3,"de-bw-08128000","49.5607007055","9.72508840096"
"Heidenheim","Landkreis","Baden-Württemberg","132812",212,13196,9935.8,385.5,512,1,"de-bw-08135000","48.6622814605","10.182150425"
"Ostalbkreis","Landkreis","Baden-Württemberg","314294",474,29360,9341.6,329.3,1035,0,"de-bw-08136000","48.877525969","10.0901573582"
"Baden-Baden","Stadtkreis","Baden-Württemberg","55449",79,4271,7702.6,303,168,0,"de-bw-08211000","48.748527439","8.23176220313"
"Karlsruhe","Stadtkreis","Baden-Württemberg","308436",261,20661,6698.6,297.6,918,0,"de-bw-08212000","49.0113339856","8.41266976981"
"Karlsruhe","Landkreis","Baden-Württemberg","446852",551,36024,8061.7,340.6,1522,0,"de-bw-08215000","49.0818849258","8.56279664203"
"Rastatt","Landkreis","Baden-Württemberg","232091",265,19689,8483.3,368,854,1,"de-bw-08216000","48.7618192531","8.24124756893"
"Heidelberg","Stadtkreis","Baden-Württemberg","158741",72,8862,5582.7,297.3,472,0,"de-bw-08221000","49.4055152955","8.69417184974"
"Mannheim","Stadtkreis","Baden-Württemberg","309721",393,29385,9487.6,330.6,1024,2,"de-bw-08222000","49.4994190357","8.50032443773"
"Neckar-Odenwald-Kreis","Landkreis","Baden-Württemberg","143797",161,12217,8496,515.3,741,0,"de-bw-08225000","49.4666097739","9.28011000163"
"Rhein-Neckar-Kreis","Landkreis","Baden-Württemberg","548233",510,39819,7263.2,318.3,1745,0,"de-bw-08226000","49.3684849338","8.76708442595"
"Pforzheim","Stadtkreis","Baden-Württemberg","126016",277,15771,12515.1,478.5,603,1,"de-bw-08231000","48.8764005469","8.71277909336"
"Calw","Landkreis","Baden-Württemberg","160149",212,15748,9833.3,435.8,698,0,"de-bw-08235000","48.6789990614","8.6357698286"
"Enzkreis","Landkreis","Baden-Württemberg","199752",303,19201,9612.4,364,727,0,"de-bw-08236000","48.9144669267","8.73708120338"
"Freudenstadt","Landkreis","Baden-Württemberg","118364",171,10228,8641.1,363.3,430,0,"de-bw-08237000","48.4744061685","8.4653129709"
"Freiburg im Breisgau","Stadtkreis","Baden-Württemberg","230940",200,15457,6693.1,309.6,715,0,"de-bw-08311000","47.9925229956","7.81807596197"
"Breisgau-Hochschwarzwald","Landkreis","Baden-Württemberg","264867",233,16763,6328.8,275.2,729,1,"de-bw-08315000","47.9249093559","7.92494089685"
"Emmendingen","Landkreis","Baden-Württemberg","166862",188,11422,6845.2,240.3,401,0,"de-bw-08316000","48.1485120637","7.89755038202"
"Ortenaukreis","Landkreis","Baden-Württemberg","432580",653,39082,9034.6,410.1,1774,0,"de-bw-08317000","48.4209719355","8.01621990932"
"Rottweil","Landkreis","Baden-Württemberg","140166",213,15800,11272.3,538.6,755,0,"de-bw-08325000","48.254220293","8.53235133177"
"Schwarzwald-Baar-Kreis","Landkreis","Baden-Württemberg","212872",274,22705,10666,556.2,1184,3,"de-bw-08326000","48.0191197382","8.41096435345"
"Tuttlingen","Landkreis","Baden-Württemberg","141682",185,15303,10800.9,599.2,849,0,"de-bw-08327000","48.01120044","8.7941361763"
"Konstanz","Landkreis","Baden-Württemberg","286876",329,21308,7427.6,378.9,1087,3,"de-bw-08335000","47.7932127909","8.9157630123"
"Lörrach","Landkreis","Baden-Württemberg","228842",337,18278,7987.2,471.9,1080,1,"de-bw-08336000","47.703504023","7.77402882816"
"Waldshut","Landkreis","Baden-Württemberg","171237",249,13264,7746,377.8,647,0,"de-bw-08337000","47.6971334745","8.21889239137"
"Reutlingen","Landkreis","Baden-Württemberg","287497",345,26481,9210.9,313.7,902,1,"de-bw-08415000","48.4064763532","9.36572629856"
"Tübingen","Landkreis","Baden-Württemberg","228471",206,16592,7262.2,251.2,574,0,"de-bw-08416000","48.481737902","8.98763400076"
"Zollernalbkreis","Landkreis","Baden-Württemberg","189862",199,18040,9501.6,494.6,939,1,"de-bw-08417000","48.2672389069","8.93742839835"
"Ulm","Stadtkreis","Baden-Württemberg","126405",98,11143,8815.3,312.5,395,0,"de-bw-08421000","48.3908327419","9.9500211353"
"Alb-Donau-Kreis","Landkreis","Baden-Württemberg","198204",196,17117,8636.1,293.6,582,0,"de-bw-08425000","48.4017114301","9.82744714375"
"Biberach","Landkreis","Baden-Württemberg","202250",226,19619,9700.4,346.6,701,0,"de-bw-08426000","48.1075826288","9.77425436647"
"Bodenseekreis","Landkreis","Baden-Württemberg","217901",217,17850,8191.8,361.2,787,2,"de-bw-08435000","47.7334602866","9.40077001359"
"Ravensburg","Landkreis","Baden-Württemberg","285888",180,23829,8335.1,385.8,1103,0,"de-bw-08436000","47.8250441153","9.77989455833"
"Sigmaringen","Landkreis","Baden-Württemberg","130946",118,12059,9209.1,473.5,620,0,"de-bw-08437000","48.0391514971","9.24100350319"
"Ingolstadt","Kreisfreie Stadt","Bayern","136952",177,13043,9523.8,364.4,499,1,"de-by-09161000","48.7550927761","11.3950069326"
"München","Kreisfreie Stadt","Bayern","1488202",1581,137508,9239.9,218.2,3247,2,"de-by-09162000","48.1532131611","11.5472441841"
"Rosenheim","Kreisfreie Stadt","Bayern","63591",91,8350,13130.8,355.4,226,1,"de-by-09163000","47.8443777181","12.1087247511"
"Altötting","Landkreis","Bayern","111654",253,13082,11716.6,412.9,461,0,"de-by-09171000","48.2098044272","12.7052826752"
"Berchtesgadener Land","Landkreis","Bayern","106327",140,15463,14542.9,474,504,2,"de-by-09172000","47.6984724021","12.9018660877"
"Bad Tölz-Wolfratshausen","Landkreis","Bayern","128212",154,13507,10534.9,283.9,364,2,"de-by-09173000","47.7274771535","11.4831153973"
"Dachau","Landkreis","Bayern","155117",169,15216,9809.4,294.6,457,0,"de-by-09174000","48.3345482595","11.3571128101"
"Ebersberg","Landkreis","Bayern","144091",212,13443,9329.5,297.7,429,0,"de-by-09175000","48.0761776106","11.9131721198"
"Eichstätt","Landkreis","Bayern","133169",122,11024,8278.2,309.4,412,2,"de-by-09176000","48.8980875603","11.3703873291"
"Erding","Landkreis","Bayern","138891",151,14304,10298.7,252.7,351,0,"de-by-09177000","48.3003970808","12.0006246986"
"Freising","Landkreis","Bayern","180313",165,15744,8731.5,301.1,543,0,"de-by-09178000","48.4473569802","11.7406716932"
"Fürstenfeldbruck","Landkreis","Bayern","218740",189,17383,7946.9,175.6,384,1,"de-by-09179000","48.1877932949","11.2010776242"
"Garmisch-Partenkirchen","Landkreis","Bayern","88279",114,8154,9236.6,459.9,406,1,"de-by-09180000","47.5563489806","11.1296286125"
"Landsberg am Lech","Landkreis","Bayern","121019",111,9063,7488.9,338,409,1,"de-by-09181000","48.0244353759","10.9487346774"
"Miesbach","Landkreis","Bayern","100183",129,10884,10864.1,303.4,304,0,"de-by-09182000","47.7416453347","11.8089897365"
"Mühldorf a. Inn","Landkreis","Bayern","116483",244,16263,13961.7,402.6,469,1,"de-by-09183000","48.2393145242","12.3818280217"
"München","Landkreis","Bayern","349685",314,27847,7963.5,192.7,674,0,"de-by-09184000","48.0744744023","11.6313680405"
"Neuburg-Schrobenhausen","Landkreis","Bayern","97730",107,9022,9231.6,379.6,371,0,"de-by-09185000","48.6644203317","11.197210668"
"Pfaffenhofen a.d. Ilm","Landkreis","Bayern","129128",194,11315,8762.6,315.2,407,3,"de-by-09186000","48.5962751771","11.5242827055"
"Rosenheim","Landkreis","Bayern","261721",589,34038,13005.5,416.5,1090,0,"de-by-09187000","47.8783797472","12.162753976"
"Starnberg","Landkreis","Bayern","136610",146,10019,7334,246,336,0,"de-by-09188000","48.0060469771","11.2817326717"
"Traunstein","Landkreis","Bayern","177485",290,26131,14722.9,414.1,735,0,"de-by-09189000","47.8945427587","12.5795750694"
"Weilheim-Schongau","Landkreis","Bayern","136134",129,12683,9316.6,374.6,510,0,"de-by-09190000","47.7875370323","11.0483364745"
"Landshut","Kreisfreie Stadt","Bayern","73065",135,7357,10069.1,250.5,183,0,"de-by-09261000","48.5446699826","12.1593416454"
"Passau","Kreisfreie Stadt","Bayern","52415",129,5619,10720.2,213.7,112,0,"de-by-09262000","48.5820983986","13.4150504225"
"Straubing","Kreisfreie Stadt","Bayern","47612",104,4708,9888.3,283.5,135,0,"de-by-09263000","48.8807544792","12.5734748714"
"Deggendorf","Landkreis","Bayern","119479",221,14759,12352.8,344,411,1,"de-by-09271000","48.7787021164","13.0007258015"
"Freyung-Grafenau","Landkreis","Bayern","78355",168,11274,14388.4,519.4,407,3,"de-by-09272000","48.8268581711","13.513210064"
"Kelheim","Landkreis","Bayern","123390",130,11687,9471.6,292.6,361,0,"de-by-09273000","48.8249414287","11.857554442"
"Landshut","Landkreis","Bayern","161191",225,17112,10616,351.8,567,0,"de-by-09274000","48.5577554134","12.1953924179"
"Passau","Landkreis","Bayern","193454",465,27148,14033.3,470.4,910,2,"de-by-09275000","48.5586304532","13.3666035859"
"Regen","Landkreis","Bayern","77313",205,10859,14045.5,465.6,360,0,"de-by-09276000","49.0228144148","13.0997637882"
"Rottal-Inn","Landkreis","Bayern","121800",280,16897,13872.7,275.9,336,1,"de-by-09277000","48.4245198693","12.8673504326"
"Straubing-Bogen","Landkreis","Bayern","101745",165,11344,11149.4,246.7,251,0,"de-by-09278000","48.89970504","12.5824039909"
"Dingolfing-Landau","Landkreis","Bayern","97244",166,13026,13395.2,297.2,289,0,"de-by-09279000","48.641164618","12.6104771899"
"Amberg","Kreisfreie Stadt","Bayern","42052",38,3626,8622.7,304.4,128,0,"de-by-09361000","49.4509277374","11.8453726034"
"Regensburg","Kreisfreie Stadt","Bayern","152270",123,14326,9408.3,321.1,489,0,"de-by-09362000","49.0130808954","12.1137308794"
"Weiden i.d. OPf.","Kreisfreie Stadt","Bayern","42535",102,3988,9375.8,141.1,60,0,"de-by-09363000","49.6692496128","12.1545339322"
"Amberg-Sulzbach","Landkreis","Bayern","102998",188,8816,8559.4,266,274,0,"de-by-09371000","49.4867511317","11.8009532083"
"Cham","Landkreis","Bayern","128094",236,13861,10821,348.2,446,1,"de-by-09372000","49.2370651553","12.6954795471"
"Neumarkt i.d. OPf.","Landkreis","Bayern","135225",206,15083,11154,346.8,469,1,"de-by-09373000","49.2159614099","11.5665579197"
"Neustadt a.d. Waldnaab","Landkreis","Bayern","94645",200,8972,9479.6,234.6,222,0,"de-by-09374000","49.6865828841","12.0982574415"
"Regensburg","Landkreis","Bayern","194275",216,16287,8383.5,300.6,584,0,"de-by-09375000","49.0213433263","12.1211612289"
"Schwandorf","Landkreis","Bayern","148477",210,15046,10133.6,350.2,520,0,"de-by-09376000","49.3680333605","12.2530847621"
"Tirschenreuth","Landkreis","Bayern","71696",274,7226,10078.7,179.9,129,0,"de-by-09377000","49.8993890086","12.2003418405"
"Bamberg","Kreisfreie Stadt","Bayern","76674",116,5935,7740.6,421.3,323,0,"de-by-09461000","49.8872221328","10.8989362521"
"Bayreuth","Kreisfreie Stadt","Bayern","74048",122,5519,7453.3,212,157,0,"de-by-09462000","49.9377427404","11.5846727854"
"Coburg","Kreisfreie Stadt","Bayern","40842",103,3831,9380,609.7,249,0,"de-by-09463000","50.2639516155","10.9644386599"
"Hof","Kreisfreie Stadt","Bayern","45173",134,5268,11661.8,343.1,155,1,"de-by-09464000","50.3107956285","11.8972631725"
"Bamberg","Landkreis","Bayern","147497",179,13173,8931,570.9,842,1,"de-by-09471000","49.893428617","10.8836637829"
"Bayreuth","Landkreis","Bayern","103679",179,7930,7648.6,178.4,185,0,"de-by-09472000","49.8837610883","11.5551557567"
"Coburg","Landkreis","Bayern","86571",182,8555,9882.1,601.8,521,0,"de-by-09473000","50.267889506","10.9423260473"
"Forchheim","Landkreis","Bayern","116600",141,8852,7591.8,265,309,0,"de-by-09474000","49.7209968812","11.1731319634"
"Hof","Landkreis","Bayern","94522",192,9528,10080.2,374.5,354,0,"de-by-09475000","50.2732120456","11.8191928507"
"Kronach","Landkreis","Bayern","66355",132,7810,11770,510.9,339,0,"de-by-09476000","50.3279632281","11.3720466405"
"Kulmbach","Landkreis","Bayern","71428",129,5868,8215.3,184.8,132,0,"de-by-09477000","50.1026420807","11.4822991401"
"Lichtenfels","Landkreis","Bayern","66722",110,6331,9488.6,503.6,336,0,"de-by-09478000","50.1093305037","11.1169215721"
"Wunsiedel i. Fichtelgebirge","Landkreis","Bayern","71974",214,6927,9624.3,189,136,0,"de-by-09479000","50.0901405328","12.0418721069"
"Ansbach","Kreisfreie Stadt","Bayern","41681",48,3577,8581.8,376.7,157,0,"de-by-09561000","49.2921846581","10.56366943"
"Erlangen","Kreisfreie Stadt","Bayern","112385",111,6981,6211.7,170,191,0,"de-by-09562000","49.5823292133","10.9781449629"
"Fürth","Kreisfreie Stadt","Bayern","128223",262,13303,10374.9,342.4,439,1,"de-by-09563000","49.4914188335","10.9654822077"
"Nürnberg","Kreisfreie Stadt","Bayern","515543",1071,58331,11314.5,348.8,1798,0,"de-by-09564000","49.4362114486","11.0827553426"
"Schwabach","Kreisfreie Stadt","Bayern","41056",120,3932,9577.2,299.6,123,0,"de-by-09565000","49.3356205083","11.0235125889"
"Ansbach","Landkreis","Bayern","185316",226,16817,9074.8,353.5,655,2,"de-by-09571000","49.2481645834","10.4681333941"
"Erlangen-Höchstadt","Landkreis","Bayern","138105",159,9853,7134.4,270.1,373,0,"de-by-09572000","49.6400408309","10.9148933012"
"Fürth","Landkreis","Bayern","118695",240,9809,8264,324.4,385,0,"de-by-09573000","49.4466905187","10.8496864939"
"Nürnberger Land","Landkreis","Bayern","171143",214,13322,7784.1,312.6,535,1,"de-by-09574000","49.4919039379","11.3694064626"
"Neustadt a.d. Aisch-Bad Windsheim","Landkreis","Bayern","101272",124,8134,8031.8,250.8,254,0,"de-by-09575000","49.5694835927","10.4652916664"
"Roth","Landkreis","Bayern","127168",192,10878,8554,359.4,457,0,"de-by-09576000","49.2029170864","11.1235654086"
"Weißenburg-Gunzenhausen","Landkreis","Bayern","95117",142,9305,9782.7,381.6,363,2,"de-by-09577000","49.0326858351","10.8936591358"
"Aschaffenburg","Kreisfreie Stadt","Bayern","70858",130,6046,8532.6,214.5,152,1,"de-by-09661000","49.9638560444","9.14581192433"
"Schweinfurt","Kreisfreie Stadt","Bayern","53319",109,5970,11196.8,581.4,310,0,"de-by-09662000","50.0470080022","10.2208919522"
"Würzburg","Kreisfreie Stadt","Bayern","126954",140,8634,6800.9,243.4,309,0,"de-by-09663000","49.7846554247","9.94089602932"
"Aschaffenburg","Landkreis","Bayern","174658",233,13050,7471.7,253.1,442,1,"de-by-09671000","50.0080931044","9.23803745665"
"Bad Kissingen","Landkreis","Bayern","103169",136,7587,7354,406.1,419,0,"de-by-09672000","50.2225139424","9.96470110779"
"Rhön-Grabfeld","Landkreis","Bayern","79510",114,7190,9042.9,477.9,380,1,"de-by-09673000","50.3713127519","10.2549075725"
"Haßberge","Landkreis","Bayern","84275",110,8005,9498.7,422.4,356,0,"de-by-09674000","50.0628789327","10.6069788351"
"Kitzingen","Landkreis","Bayern","91696",103,6270,6837.8,296.6,272,0,"de-by-09675000","49.7532253896","10.2560624461"
"Miltenberg","Landkreis","Bayern","128743",161,10115,7856.7,256.3,330,0,"de-by-09676000","49.7572905887","9.23471658769"
"Main-Spessart","Landkreis","Bayern","125976",224,7310,5802.7,198.5,250,0,"de-by-09677000","49.9935822339","9.66268166277"
"Schweinfurt","Landkreis","Bayern","115652",170,9988,8636.3,343.3,397,0,"de-by-09678000","50.016881784","10.2599503138"
"Würzburg","Landkreis","Bayern","162697",98,8767,5388.5,229.3,373,0,"de-by-09679000","49.737626672","9.92736341488"
"Augsburg","Kreisfreie Stadt","Bayern","295830",519,31769,10738.9,193,571,0,"de-by-09761000","48.3455708649","10.885505361"
"Kaufbeuren","Kreisfreie Stadt","Bayern","44662",77,4636,10380.2,360.5,161,0,"de-by-09762000","47.8799285987","10.6160967463"
"Kempten (Allgäu)","Kreisfreie Stadt","Bayern","68940",59,7045,10219,342.3,236,0,"de-by-09763000","47.7381842508","10.3081184931"
"Memmingen","Kreisfreie Stadt","Bayern","44360",28,4685,10561.3,304.3,135,0,"de-by-09764000","47.9787874869","10.1630276762"
"Aichach-Friedberg","Landkreis","Bayern","135024",123,10858,8041.5,261.4,353,0,"de-by-09771000","48.4275701484","11.0527555565"
"Augsburg","Landkreis","Bayern","255900",323,22939,8964,290,742,0,"de-by-09772000","48.3542871832","10.7320845344"
"Dillingen a.d. Donau","Landkreis","Bayern","97172",167,9021,9283.5,439.4,427,0,"de-by-09773000","48.5964037974","10.527764168"
"Günzburg","Landkreis","Bayern","127342",152,14451,11348.2,406.8,518,0,"de-by-09774000","48.3528138472","10.3811312115"
"Neu-Ulm","Landkreis","Bayern","175823",179,16188,9207,323.1,568,2,"de-by-09775000","48.2982265453","10.1411558091"
"Lindau (Bodensee)","Landkreis","Bayern","82085",69,6863,8360.8,355.7,292,0,"de-by-09776000","47.6051649499","9.88286136549"
"Ostallgäu","Landkreis","Bayern","141907",188,16124,11362.4,393.2,558,0,"de-by-09777000","47.769959059","10.6397316342"
"Unterallgäu","Landkreis","Bayern","146164",212,16983,11619.1,561.7,821,2,"de-by-09778000","48.0398130352","10.3892327572"
"Donau-Ries","Landkreis","Bayern","134324",196,13612,10133.7,314.9,423,0,"de-by-09779000","48.8069320352","10.7123441979"
"Oberallgäu","Landkreis","Bayern","156308",117,15134,9682.2,247.6,387,0,"de-by-09780000","47.572707564","10.2586229074"
"Regionalverband Saarbrücken","Landkreis","Saarland","327502",527,25720,7853.4,304.1,996,2,"de-sl-10041000","49.2513823946","6.95729652837"
"Merzig-Wadern","Landkreis","Saarland","103471",78,6257,6047.1,317,328,1,"de-sl-10042000","49.4957645611","6.68048479703"
"Neunkirchen","Landkreis","Saarland","131172",143,9091,6930.6,323.2,424,0,"de-sl-10043000","49.3757016517","7.11720320683"
"Saarlouis","Landkreis","Saarland","193732",188,14970,7727.2,277.7,538,0,"de-sl-10044000","49.3553415477","6.77554333939"
"Saarpfalz-Kreis","Landkreis","Saarland","141656",135,8874,6264.5,349.4,495,3,"de-sl-10045000","49.2486993859","7.24222124863"
"St. Wendel","Landkreis","Saarland","86458",119,5107,5906.9,185.1,160,0,"de-sl-10046000","49.5195731082","7.1004332453"
"Brandenburg an der Havel","Kreisfreie Stadt","Brandenburg","72040",113,4782,6638,688.5,496,3,"de-bb-12051000","52.4027150878","12.5193337833"
"Cottbus","Kreisfreie Stadt","Brandenburg","98693",244,12262,12424.4,1291.9,1275,1,"de-bb-12052000","51.7726930018","14.3662188537"
"Frankfurt (Oder)","Kreisfreie Stadt","Brandenburg","57015",128,4783,8389,703.3,401,0,"de-bb-12053000","52.3247630784","14.4903487489"
"Potsdam","Kreisfreie Stadt","Brandenburg","182112",257,12866,7064.9,313.5,571,0,"de-bb-12054000","52.4261784936","13.0285491746"
"Barnim","Landkreis","Brandenburg","187343",296,12337,6585.2,526.3,986,5,"de-bb-12060000","52.8232279789","13.7037311303"
"Dahme-Spreewald","Landkreis","Brandenburg","173316",303,15976,9217.8,649.1,1125,1,"de-bb-12061000","52.0423069298","13.8199407798"
"Elbe-Elster","Landkreis","Brandenburg","101085",302,15475,15308.9,856.7,866,4,"de-bb-12062000","51.6122710164","13.459588917"
"Havelland","Landkreis","Brandenburg","164693",215,11569,7024.6,375.2,618,0,"de-bb-12063000","52.6208208123","12.6283469145"
"Märkisch-Oderland","Landkreis","Brandenburg","197195",310,13569,6881,456.9,901,0,"de-bb-12064000","52.6067238051","14.1464643331"
"Oberhavel","Landkreis","Brandenburg","214234",342,15501,7235.5,348.2,746,0,"de-bb-12065000","52.9068326453","13.2053022184"
"Oberspreewald-Lausitz","Landkreis","Brandenburg","108396",304,16652,15362.2,596.9,647,1,"de-bb-12066000","51.6163005208","13.9436173031"
"Oder-Spree","Landkreis","Brandenburg","179276",358,16886,9419,852.9,1529,4,"de-bb-12067000","52.244008511","14.2190594331"
"Ostprignitz-Ruppin","Landkreis","Brandenburg","98808",174,7570,7661.3,516.2,510,0,"de-bb-12068000","52.9914230426","12.6359589515"
"Potsdam-Mittelmark","Landkreis","Brandenburg","217954",236,15658,7184.1,424.4,925,0,"de-bb-12069000","52.246294705","12.6891435021"
"Prignitz","Landkreis","Brandenburg","76096",173,5932,7795.4,722.8,550,0,"de-bb-12070000","53.1093267277","11.9618269267"
"Spree-Neiße","Landkreis","Brandenburg","113011",249,15634,13834.1,777.8,879,1,"de-bb-12071000","51.7585932354","14.4331285714"
"Teltow-Fläming","Landkreis","Brandenburg","171554",239,14798,8625.9,658.7,1130,0,"de-bb-12072000","52.073184313","13.276018196"
"Uckermark","Landkreis","Brandenburg","118250",196,8065,6820.3,380.5,450,3,"de-bb-12073000","53.2059030724","13.8612986206"
"Rostock","Kreisfreie Stadt","Mecklenburg-Vorpommern","209061",75,8940,4276.3,373.6,781,0,"de-mv-13003000","54.1463883937","12.1417471216"
"Schwerin","Kreisfreie Stadt","Mecklenburg-Vorpommern","95609",121,4750,4968.2,256.3,245,0,"de-mv-13004000","53.6215100516","11.4165299501"
"Mecklenburgische Seenplatte","Landkreis","Mecklenburg-Vorpommern","258057",189,15889,6157.2,497.2,1283,1,"de-mv-13071000","53.5436927516","13.0024606209"
"Rostock","Landkreis","Mecklenburg-Vorpommern","217072",200,11428,5264.6,521.9,1133,4,"de-mv-13072000","53.91204551","12.220833831"
"Vorpommern-Rügen","Landkreis","Mecklenburg-Vorpommern","225383",115,10778,4782.1,398.9,899,1,"de-mv-13073000","54.2842029523","12.9915254157"
"Nordwestmecklenburg","Landkreis","Mecklenburg-Vorpommern","157975",93,7512,4755.2,383.6,606,0,"de-mv-13074000","53.8215122283","11.2521094692"
"Vorpommern-Greifswald","Landkreis","Mecklenburg-Vorpommern","235773",327,18154,7699.8,626.9,1478,2,"de-mv-13075000","53.7895111552","13.780696363"
"Ludwigslust-Parchim","Landkreis","Mecklenburg-Vorpommern","211844",293,12839,6060.6,371,786,3,"de-mv-13076000","53.4500470376","11.5341416118"
"Chemnitz","Kreisfreie Stadt","Sachsen","244401",676,33138,13558.9,731.6,1788,2,"de-sn-14511000","50.8263036941","12.9118299015"
"Erzgebirgskreis","Landkreis","Sachsen","331917",1080,64127,19320.2,809.5,2687,1,"de-sn-14521000","50.6088984202","12.9450724745"
"Mittelsachsen","Landkreis","Sachsen","301474",824,51808,17184.9,873.7,2634,0,"de-sn-14522000","50.9558166403","13.1375068135"
"Vogtlandkreis","Landkreis","Sachsen","223905",952,35325,15776.8,1342.5,3006,1,"de-sn-14523000","50.4567929391","12.2349996186"
"Zwickau","Landkreis","Sachsen","312033",1245,51346,16455.3,698,2178,0,"de-sn-14524000","50.750774796","12.5258055075"
"Dresden","Kreisfreie Stadt","Sachsen","556227",1381,76213,13701.8,741.6,4125,0,"de-sn-14612000","51.0664442924","13.7834490742"
"Bautzen","Landkreis","Sachsen","298010",1088,57788,19391.3,896.3,2671,1,"de-sn-14625000","51.2689135848","14.2310085239"
"Görlitz","Landkreis","Sachsen","250558",1330,41897,16721.5,657.3,1647,1,"de-sn-14626000","51.2256177492","14.750796811"
"Meißen","Landkreis","Sachsen","240371",782,41548,17284.9,1001.8,2408,0,"de-sn-14627000","51.239397748","13.4829006825"
"Sächsische Schweiz-Osterzgebirge","Landkreis","Sachsen","244722",1173,48951,20002.7,1002.8,2454,3,"de-sn-14628000","50.9167179421","13.8734340504"
"Leipzig","Kreisfreie Stadt","Sachsen","597493",620,49388,8265.9,452.1,2701,0,"de-sn-14713000","51.3422385995","12.3747717597"
"Leipzig","Landkreis","Sachsen","258386",423,34074,13187.2,760.1,1964,0,"de-sn-14729000","51.2214366733","12.5994908653"
"Nordsachsen","Landkreis","Sachsen","197444",467,26772,13559.3,764.3,1509,2,"de-st-14730000","51.4728650798","12.7793967591"
"Dessau-Roßlau","Kreisfreie Stadt","Sachsen-Anhalt","79354",128,7146,9005.2,616.2,489,1,"de-st-15001000","51.8537380889","12.2310559599"
"Halle (Saale)","Kreisfreie Stadt","Sachsen-Anhalt","237865",405,21624,9090.9,744.1,1770,6,"de-st-15002000","51.4798019096","11.9684968347"
"Magdeburg","Kreisfreie Stadt","Sachsen-Anhalt","235775",187,15657,6640.7,603.5,1423,2,"de-st-15003000","52.1165976423","11.6414820231"
"Altmarkkreis Salzwedel","Landkreis","Sachsen-Anhalt","82687",113,6429,7775.1,474.1,392,2,"de-st-15081000","52.6800481605","11.2270452746"
"Anhalt-Bitterfeld","Landkreis","Sachsen-Anhalt","157217",223,16177,10289.6,693.3,1090,0,"de-st-15082000","51.7954450255","12.1432020671"
"Börde","Landkreis","Sachsen-Anhalt","170567",152,13416,7865.5,948.6,1618,1,"de-st-15083000","52.2207122989","11.3478384337"
"Burgenlandkreis","Landkreis","Sachsen-Anhalt","177590",709,24417,13749.1,797.3,1416,3,"de-st-15084000","51.1472256333","11.8834224288"
"Harz","Landkreis","Sachsen-Anhalt","210975",337,18311,8679.2,582.1,1228,1,"de-st-15085000","51.8212958888","10.9585438222"
"Jerichower Land","Landkreis","Sachsen-Anhalt","89403",168,6702,7496.4,678.9,607,0,"de-st-15086000","52.2607898277","12.0265188373"
"Mansfeld-Südharz","Landkreis","Sachsen-Anhalt","133690",267,14868,11121.3,920,1230,0,"de-st-15087000","51.5356901778","11.3563584729"
"Saalekreis","Landkreis","Sachsen-Anhalt","183434",419,21403,11668,847.7,1555,2,"de-st-15088000","51.4256710773","11.865474038"
"Salzlandkreis","Landkreis","Sachsen-Anhalt","187457",379,17280,9218.1,638.5,1197,5,"de-st-15089000","51.8518591913","11.6427256195"
"Stendal","Landkreis","Sachsen-Anhalt","110485",241,8459,7656.2,385.6,426,0,"de-st-15090000","52.6967781735","11.8395343529"
"Wittenberg","Landkreis","Sachsen-Anhalt","124185",332,14036,11302.5,660.3,820,1,"de-st-15091000","51.8201400674","12.7015882396"
"Erfurt","Kreisfreie Stadt","Thüringen","213692",330,20921,9790.3,771.7,1649,2,"de-th-16051000","50.9832526908","11.0202248069"
"Gera","Kreisfreie Stadt","Thüringen","92126",278,11124,12074.8,899.9,829,3,"de-th-16052000","50.8940170773","12.0826961871"
"Jena","Kreisfreie Stadt","Thüringen","110731",108,9478,8559.5,690.9,765,0,"de-th-16053000","50.9242638034","11.5870112529"
"Suhl","Kreisfreie Stadt","Thüringen","36395",142,4373,12015.4,915,333,0,"de-th-16054000","50.611602852","10.6881775642"
"Weimar","Kreisfreie Stadt","Thüringen","65098",121,6139,9430.4,817.2,532,0,"de-th-16055000","50.9783471684","11.3178722759"
"Eichsfeld","Landkreis","Thüringen","99463",278,10612,10669.3,501.7,499,1,"de-th-16061000","51.3836491981","10.2534853921"
"Nordhausen","Landkreis","Thüringen","82456",80,6296,7635.6,696.1,574,2,"de-th-16062000","51.5022779756","10.7309067397"
"Wartburgkreis","Landkreis","Thüringen","159937",374,18744,11719.6,719.7,1151,1,"de-th-16063000","50.8858017017","10.2107039491"
