date,benzin,preis
2021-01-28,Diesel,1.231
2021-01-29,Super E5,1.403
2021-01-29,Diesel,1.23
2021-01-30,Super E5,1.413
2021-01-30,Diesel,1.238
2021-01-31,Super E5,1.413
2021-01-31,Diesel,1.238
2021-02-01,Super E5,1.407
2021-02-01,Diesel,1.236
2021-02-02,Super E5,1.408
2021-02-02,Diesel,1.234
2021-02-03,Super E5,1.412
2021-02-03,Diesel,1.237
2021-02-04,Super E5,1.425
2021-02-04,Diesel,1.246
2021-02-05,Super E5,1.426
2021-02-05,Diesel,1.248
2021-02-06,Super E5,1.418
2021-02-06,Diesel,1.245
2021-02-07,Super E5,1.427
2021-02-07,Diesel,1.254
2021-02-08,Super E5,1.429
2021-02-08,Diesel,1.255
2021-02-09,Super E5,1.432
2021-02-09,Diesel,1.258
2021-02-10,Super E5,1.431
2021-02-10,Diesel,1.26
2021-02-11,Super E5,1.434
2021-02-11,Diesel,1.265
2021-02-12,Super E5,1.433
2021-02-12,Diesel,1.268
2021-02-13,Super E5,1.437
2021-02-13,Diesel,1.272
2021-02-14,Super E5,1.436
2021-02-14,Diesel,1.27
2021-02-15,Super E5,1.435
2021-02-15,Diesel,1.272
2021-02-16,Super E5,1.437
2021-02-16,Diesel,1.272
2021-02-17,Super E5,1.438
2021-02-17,Diesel,1.273
2021-02-18,Super E5,1.447
2021-02-18,Diesel,1.279
2021-02-19,Super E5,1.453
2021-02-19,Diesel,1.283
2021-02-20,Super E5,1.464
2021-02-20,Diesel,1.293
2021-02-21,Super E5,1.466
2021-02-21,Diesel,1.294
2021-02-22,Super E5,1.463
2021-02-22,Diesel,1.291
2021-02-23,Super E5,1.466
2021-02-23,Diesel,1.295
2021-02-24,Super E5,1.467
2021-02-24,Diesel,1.295
2021-02-25,Super E5,1.474
2021-02-25,Diesel,1.298
2021-02-26,Super E5,1.481
2021-02-26,Diesel,1.3
2021-02-27,Super E5,1.489
2021-02-27,Diesel,1.305
2021-02-28,Super E5,1.493
2021-02-28,Diesel,1.308
2021-03-01,Super E5,1.486
2021-03-01,Diesel,1.304
2021-03-02,Super E5,1.488
2021-03-02,Diesel,1.303
2021-03-03,Super E5,1.489
2021-03-03,Diesel,1.303
2021-03-04,Super E5,1.491
2021-03-04,Diesel,1.302
2021-03-05,Super E5,1.494
2021-03-05,Diesel,1.305
2021-03-06,Super E5,1.503
2021-03-06,Diesel,1.312
2021-03-07,Super E5,1.506
2021-03-07,Diesel,1.315
2021-03-08,Super E5,1.506
2021-03-08,Diesel,1.317
2021-03-09,Super E5,1.508
2021-03-09,Diesel,1.322
2021-03-10,Super E5,1.508
2021-03-10,Diesel,1.318
2021-03-11,Super E5,1.51
2021-03-11,Diesel,1.319
2021-03-12,Super E5,1.515
2021-03-12,Diesel,1.319
2021-03-13,Super E5,1.527
2021-03-13,Diesel,1.328
2021-03-14,Super E5,1.528
2021-03-14,Diesel,1.328
2021-03-15,Super E5,1.524
2021-03-15,Diesel,1.325
2021-03-16,Super E5,1.522
2021-03-16,Diesel,1.322
2021-03-17,Super E5,1.52
2021-03-17,Diesel,1.319
2021-03-18,Super E5,1.52
2021-03-18,Diesel,1.321
2021-03-19,Super E5,1.512
2021-03-19,Diesel,1.315
2021-03-20,Super E5,1.514
2021-03-20,Diesel,1.316
2021-03-21,Super E5,1.514
2021-03-21,Diesel,1.315
2021-03-22,Super E5,1.508
2021-03-22,Diesel,1.311
2021-03-23,Super E5,1.5
2021-03-23,Diesel,1.305
2021-03-24,Super E5,1.494
2021-03-24,Diesel,1.298
2021-03-25,Super E5,1.492
2021-03-25,Diesel,1.295
2021-03-26,Super E5,1.496
2021-03-26,Diesel,1.297
2021-03-27,Super E5,1.507
2021-03-27,Diesel,1.302
2021-03-28,Super E5,1.51
2021-03-28,Diesel,1.305
2021-03-29,Super E5,1.513
2021-03-29,Diesel,1.308
2021-03-30,Super E5,1.516
2021-03-30,Diesel,1.308
2021-03-31,Super E5,1.52
2021-03-31,Diesel,1.31
2021-04-01,Super E5,1.525
2021-04-01,Diesel,1.312
2021-04-02,Super E5,1.53
2021-04-02,Diesel,1.315
2021-04-03,Super E5,1.532
2021-04-03,Diesel,1.317
2021-04-04,Super E5,1.533
2021-04-04,Diesel,1.318
2021-04-05,Super E5,1.534
2021-04-05,Diesel,1.32
2021-04-06,Super E5,1.53
2021-04-06,Diesel,1.315
2021-04-07,Super E5,1.526
2021-04-07,Diesel,1.308
2021-04-08,Super E5,1.525
2021-04-08,Diesel,1.31
2021-04-09,Super E5,1.513
2021-04-09,Diesel,1.302
2021-04-10,Super E5,1.514
2021-04-10,Diesel,1.303
2021-04-11,Super E5,1.516
2021-04-11,Diesel,1.306
2021-04-12,Super E5,1.517
2021-04-12,Diesel,1.308
2021-04-13,Super E5,1.52
2021-04-13,Diesel,1.31
2021-04-14,Super E5,1.52
2021-04-14,Diesel,1.309
2021-04-15,Super E5,1.519
2021-04-15,Diesel,1.306
2021-04-16,Super E5,1.516
2021-04-16,Diesel,1.304
2021-04-17,Super E5,1.522
2021-04-17,Diesel,1.308
2021-04-18,Super E5,1.525
2021-04-18,Diesel,1.311
2021-04-19,Super E5,1.526
2021-04-19,Diesel,1.31
2021-04-20,Super E5,1.528
2021-04-20,Diesel,1.312
2021-04-21,Super E5,1.525
2021-04-21,Diesel,1.309
2021-04-22,Super E5,1.52
2021-04-22,Diesel,1.307
2021-04-23,Super E5,1.512
2021-04-23,Diesel,1.3
2021-04-24,Super E5,1.516
2021-04-24,Diesel,1.304
2021-04-25,Super E5,1.518
2021-04-25,Diesel,1.306
2021-04-26,Super E5,1.522
2021-04-26,Diesel,1.31
2021-04-27,Super E5,1.518
2021-04-27,Diesel,1.305
2021-04-28,Super E5,1.519
2021-04-28,Diesel,1.309
2021-04-29,Super E5,1.522
2021-04-29,Diesel,1.312
2021-04-30,Super E5,1.516
2021-04-30,Diesel,1.308
2021-05-01,Super E5,1.522
2021-05-01,Diesel,1.314
2021-05-02,Super E5,1.523
2021-05-02,Diesel,1.315
2021-05-03,Super E5,1.526
2021-05-03,Diesel,1.315
2021-05-04,Super E5,1.526
2021-05-04,Diesel,1.313
2021-05-05,Super E5,1.53
2021-05-05,Diesel,1.319
2021-05-06,Super E5,1.536
2021-05-06,Diesel,1.324
2021-05-07,Super E5,1.535
2021-05-07,Diesel,1.324
2021-05-08,Super E5,1.54
2021-05-08,Diesel,1.328
2021-05-09,Super E5,1.542
2021-05-09,Diesel,1.33
2021-05-10,Super E5,1.55
2021-05-10,Diesel,1.337
2021-05-11,Super E5,1.538
2021-05-11,Diesel,1.325
2021-05-12,Super E5,1.538
2021-05-12,Diesel,1.327
2021-05-13,Super E5,1.54
2021-05-13,Diesel,1.331
2021-05-14,Super E5,1.539
2021-05-14,Diesel,1.331
2021-05-15,Super E5,1.54
2021-05-15,Diesel,1.333
2021-05-16,Super E5,1.542
2021-05-16,Diesel,1.336
2021-05-17,Super E5,1.538
2021-05-17,Diesel,1.329
2021-05-18,Super E5,1.538
2021-05-18,Diesel,1.329
2021-05-19,Super E5,1.538
2021-05-19,Diesel,1.331
2021-05-20,Super E5,1.538
2021-05-20,Diesel,1.329
2021-05-21,Super E5,1.539
2021-05-21,Diesel,1.331
2021-05-22,Super E5,1.54
2021-05-22,Diesel,1.333
2021-05-23,Super E5,1.538
2021-05-23,Diesel,1.333
2021-05-24,Super E5,1.541
2021-05-24,Diesel,1.337
2021-05-25,Super E5,1.543
2021-05-25,Diesel,1.338
2021-05-26,Super E5,1.545
2021-05-26,Diesel,1.339
2021-05-27,Super E5,1.545
2021-05-27,Diesel,1.341
2021-05-28,Super E5,1.549
2021-05-28,Diesel,1.342
2021-05-29,Super E5,1.55
2021-05-29,Diesel,1.346
2021-05-30,Super E5,1.552
2021-05-30,Diesel,1.348
2021-05-31,Super E5,1.548
2021-05-31,Diesel,1.343
2021-06-01,Super E5,1.555
2021-06-01,Diesel,1.349
2021-06-02,Super E5,1.556
2021-06-02,Diesel,1.351
2021-06-03,Super E5,1.556
2021-06-03,Diesel,1.352
2021-06-04,Super E5,1.558
2021-06-04,Diesel,1.357
2021-06-05,Super E5,1.556
2021-06-05,Diesel,1.357
2021-06-06,Super E5,1.558
2021-06-06,Diesel,1.36
2021-06-07,Super E5,1.549
2021-06-07,Diesel,1.351
2021-06-08,Super E5,1.555
2021-06-08,Diesel,1.356
2021-06-09,Super E5,1.55
2021-06-09,Diesel,1.352
2021-06-10,Super E5,1.551
2021-06-10,Diesel,1.353
2021-06-11,Super E5,1.553
2021-06-11,Diesel,1.356
2021-06-12,Super E5,1.554
2021-06-12,Diesel,1.358
2021-06-13,Super E5,1.558
2021-06-13,Diesel,1.362
2021-06-14,Super E5,1.556
2021-06-14,Diesel,1.361
2021-06-15,Super E5,1.555
2021-06-15,Diesel,1.36
2021-06-16,Super E5,1.557
2021-06-16,Diesel,1.362
2021-06-17,Super E5,1.555
2021-06-17,Diesel,1.362
2021-06-18,Super E5,1.558
2021-06-18,Diesel,1.363
2021-06-19,Super E5,1.562
2021-06-19,Diesel,1.365
2021-06-20,Super E5,1.568
2021-06-20,Diesel,1.371
2021-06-21,Super E5,1.564
2021-06-21,Diesel,1.368
2021-06-22,Super E5,1.563
2021-06-22,Diesel,1.366
2021-06-23,Super E5,1.568
2021-06-23,Diesel,1.369
2021-06-24,Super E5,1.57
2021-06-24,Diesel,1.37
2021-06-25,Super E5,1.579
2021-06-25,Diesel,1.375
2021-06-26,Super E5,1.584
2021-06-26,Diesel,1.378
2021-06-27,Super E5,1.589
2021-06-27,Diesel,1.383
2021-06-28,Super E5,1.587
2021-06-28,Diesel,1.38
2021-06-29,Super E5,1.58
2021-06-29,Diesel,1.374
2021-06-30,Super E5,1.575
2021-06-30,Diesel,1.368
2021-07-01,Super E5,1.583
2021-07-01,Diesel,1.375
2021-07-02,Super E5,1.587
2021-07-02,Diesel,1.377
2021-07-03,Super E5,1.59
2021-07-03,Diesel,1.381
2021-07-04,Super E5,1.594
2021-07-04,Diesel,1.387
2021-07-05,Super E5,1.594
2021-07-05,Diesel,1.385
2021-07-06,Super E5,1.595
2021-07-06,Diesel,1.384
2021-07-07,Super E5,1.598
2021-07-07,Diesel,1.387
2021-07-08,Super E5,1.598
2021-07-08,Diesel,1.385
2021-07-09,Super E5,1.595
2021-07-09,Diesel,1.384
2021-07-10,Super E5,1.6
2021-07-10,Diesel,1.388
2021-07-11,Super E5,1.603
2021-07-11,Diesel,1.393
2021-07-12,Super E5,1.603
2021-07-12,Diesel,1.392
2021-07-13,Super E5,1.602
2021-07-13,Diesel,1.388
2021-07-14,Super E5,1.603
2021-07-14,Diesel,1.388
2021-07-15,Super E5,1.608
2021-07-15,Diesel,1.393
2021-07-16,Super E5,1.608
2021-07-16,Diesel,1.393
2021-07-17,Super E5,1.612
2021-07-17,Diesel,1.395
2021-07-18,Super E5,1.616
2021-07-18,Diesel,1.4
2021-07-19,Super E5,1.615
2021-07-19,Diesel,1.399
2021-07-20,Super E5,1.605
2021-07-20,Diesel,1.387
2021-07-21,Super E5,1.598
2021-07-21,Diesel,1.381
2021-07-22,Super E5,1.6
2021-07-22,Diesel,1.382
2021-07-23,Super E5,1.607
2021-07-23,Diesel,1.389
2021-07-24,Super E5,1.611
2021-07-24,Diesel,1.392
2021-07-25,Super E5,1.612
2021-07-25,Diesel,1.394
2021-07-26,Super E5,1.613
2021-07-26,Diesel,1.395
2021-07-27,Super E5,1.611
2021-07-27,Diesel,1.39
2021-07-28,Super E5,1.614
2021-07-28,Diesel,1.392
2021-07-29,Super E5,1.619
2021-07-29,Diesel,1.395
2021-07-30,Super E5,1.618
2021-07-30,Diesel,1.395
2021-07-31,Super E5,1.623
2021-07-31,Diesel,1.399
2021-08-01,Super E5,1.628
2021-08-01,Diesel,1.404
2021-08-02,Super E5,1.623
2021-08-02,Diesel,1.4
2021-08-03,Super E5,1.621
2021-08-03,Diesel,1.395
2021-08-04,Super E5,1.617
2021-08-04,Diesel,1.396
2021-08-05,Super E5,1.619
2021-08-05,Diesel,1.394
2021-08-06,Super E5,1.621
2021-08-06,Diesel,1.392
2021-08-07,Super E5,1.623
2021-08-07,Diesel,1.392
2021-08-08,Super E5,1.625
2021-08-08,Diesel,1.395
2021-08-09,Super E5,1.621
2021-08-09,Diesel,1.391
2021-08-10,Super E5,1.619
2021-08-10,Diesel,1.384
2021-08-11,Super E5,1.618
2021-08-11,Diesel,1.383
2021-08-12,Super E5,1.621
2021-08-12,Diesel,1.386
2021-08-13,Super E5,1.621
2021-08-13,Diesel,1.388
2021-08-14,Super E5,1.624
2021-08-14,Diesel,1.391
2021-08-15,Super E5,1.626
2021-08-15,Diesel,1.394
2021-08-16,Super E5,1.623
2021-08-16,Diesel,1.392
2021-08-17,Super E5,1.619
2021-08-17,Diesel,1.385
2021-08-18,Super E5,1.614
2021-08-18,Diesel,1.381
2021-08-19,Super E5,1.614
2021-08-19,Diesel,1.381
2021-08-20,Super E5,1.608
2021-08-20,Diesel,1.375
2021-08-21,Super E5,1.607
2021-08-21,Diesel,1.375
2021-08-22,Super E5,1.606
2021-08-22,Diesel,1.376
2021-08-23,Super E5,1.603
2021-08-23,Diesel,1.374
2021-08-24,Super E5,1.6
2021-08-24,Diesel,1.371
2021-08-25,Super E5,1.604
2021-08-25,Diesel,1.377
2021-08-26,Super E5,1.605
2021-08-26,Diesel,1.377
2021-08-27,Super E5,1.611
2021-08-27,Diesel,1.38
2021-08-28,Super E5,1.615
2021-08-28,Diesel,1.387
2021-08-29,Super E5,1.617
2021-08-29,Diesel,1.391
2021-08-30,Super E5,1.616
2021-08-30,Diesel,1.39
2021-08-31,Super E5,1.619
2021-08-31,Diesel,1.389
2021-09-01,Super E5,1.619
2021-09-01,Diesel,1.389
2021-09-02,Super E5,1.619
2021-09-02,Diesel,1.388
2021-09-03,Super E5,1.621
2021-09-03,Diesel,1.39
2021-09-04,Super E5,1.623
2021-09-04,Diesel,1.395
2021-09-05,Super E5,1.626
2021-09-05,Diesel,1.4
2021-09-06,Super E5,1.624
2021-09-06,Diesel,1.395
2021-09-07,Super E5,1.623
2021-09-07,Diesel,1.393
2021-09-08,Super E5,1.623
2021-09-08,Diesel,1.393
2021-09-09,Super E5,1.621
2021-09-09,Diesel,1.391
2021-09-10,Super E5,1.622
2021-09-10,Diesel,1.392
2021-09-11,Super E5,1.627
2021-09-11,Diesel,1.398
2021-09-12,Super E5,1.631
2021-09-12,Diesel,1.403
2021-09-13,Super E5,1.629
2021-09-13,Diesel,1.401
2021-09-14,Super E5,1.629
2021-09-14,Diesel,1.401
2021-09-15,Super E5,1.63
2021-09-15,Diesel,1.402
2021-09-16,Super E5,1.63
2021-09-16,Diesel,1.406
2021-09-17,Super E5,1.634
2021-09-17,Diesel,1.41
2021-09-18,Super E5,1.633
2021-09-18,Diesel,1.415
2021-09-19,Super E5,1.637
2021-09-19,Diesel,1.422
2021-09-20,Super E5,1.636
2021-09-20,Diesel,1.42
2021-09-21,Super E5,1.632
2021-09-21,Diesel,1.419
2021-09-22,Super E5,1.63
2021-09-22,Diesel,1.419
2021-09-23,Super E5,1.63
2021-09-23,Diesel,1.421
2021-09-24,Super E5,1.634
2021-09-24,Diesel,1.427
2021-09-25,Super E5,1.641
2021-09-25,Diesel,1.437
2021-09-26,Super E5,1.642
2021-09-26,Diesel,1.442
2021-09-27,Super E5,1.633
2021-09-27,Diesel,1.437
2021-09-28,Super E5,1.642
2021-09-28,Diesel,1.444
2021-09-29,Super E5,1.646
2021-09-29,Diesel,1.45
2021-09-30,Super E5,1.647
2021-09-30,Diesel,1.453
2021-10-01,Super E5,1.657
2021-10-01,Diesel,1.461
2021-10-02,Super E5,1.665
2021-10-02,Diesel,1.47
2021-10-03,Super E5,1.667
2021-10-03,Diesel,1.471
2021-10-04,Super E5,1.667
2021-10-04,Diesel,1.474
2021-10-05,Super E5,1.669
2021-10-05,Diesel,1.48
2021-10-06,Super E5,1.683
2021-10-06,Diesel,1.496
2021-10-07,Super E5,1.692
2021-10-07,Diesel,1.506
2021-10-08,Super E5,1.693
2021-10-08,Diesel,1.511
2021-10-09,Super E5,1.696
2021-10-09,Diesel,1.52
2021-10-10,Super E5,1.7
2021-10-10,Diesel,1.524
2021-10-11,Super E5,1.702
2021-10-11,Diesel,1.522
2021-10-12,Super E5,1.71
2021-10-12,Diesel,1.531
