date,benzin,preis
2020-10-14,Super E5,1.278
2020-10-14,Diesel,1.046
2020-10-15,Super E5,1.276
2020-10-15,Diesel,1.044
2020-10-16,Super E5,1.277
2020-10-16,Diesel,1.046
2020-10-17,Super E5,1.272
2020-10-17,Diesel,1.044
2020-10-18,Super E5,1.282
2020-10-18,Diesel,1.053
2020-10-19,Super E5,1.278
2020-10-19,Diesel,1.049
2020-10-20,Super E5,1.267
2020-10-20,Diesel,1.042
2020-10-21,Super E5,1.263
2020-10-21,Diesel,1.04
2020-10-22,Super E5,1.26
2020-10-22,Diesel,1.04
2020-10-23,Super E5,1.26
2020-10-23,Diesel,1.04
2020-10-24,Super E5,1.262
2020-10-24,Diesel,1.043
2020-10-25,Super E5,1.265
2020-10-25,Diesel,1.046
2020-10-26,Super E5,1.263
2020-10-26,Diesel,1.044
2020-10-27,Super E5,1.252
2020-10-27,Diesel,1.036
2020-10-28,Super E5,1.247
2020-10-28,Diesel,1.033
2020-10-29,Super E5,1.242
2020-10-29,Diesel,1.031
2020-10-30,Super E5,1.232
2020-10-30,Diesel,1.024
2020-10-31,Super E5,1.232
2020-10-31,Diesel,1.026
2020-11-01,Super E5,1.235
2020-11-01,Diesel,1.03
2020-11-02,Super E5,1.232
2020-11-02,Diesel,1.028
2020-11-03,Super E5,1.227
2020-11-03,Diesel,1.026
2020-11-04,Super E5,1.228
2020-11-04,Diesel,1.032
2020-11-05,Super E5,1.23
2020-11-05,Diesel,1.034
2020-11-06,Super E5,1.231
2020-11-06,Diesel,1.035
2020-11-07,Super E5,1.233
2020-11-07,Diesel,1.038
2020-11-08,Super E5,1.236
2020-11-08,Diesel,1.04
2020-11-09,Super E5,1.234
2020-11-09,Diesel,1.038
2020-11-10,Super E5,1.236
2020-11-10,Diesel,1.041
2020-11-11,Super E5,1.244
2020-11-11,Diesel,1.049
2020-11-12,Super E5,1.241
2020-11-12,Diesel,1.046
2020-11-13,Super E5,1.253
2020-11-13,Diesel,1.058
2020-11-14,Super E5,1.256
2020-11-14,Diesel,1.059
2020-11-15,Super E5,1.257
2020-11-15,Diesel,1.062
2020-11-16,Super E5,1.256
2020-11-16,Diesel,1.062
2020-11-17,Super E5,1.255
2020-11-17,Diesel,1.059
2020-11-18,Super E5,1.262
2020-11-18,Diesel,1.066
2020-11-19,Super E5,1.261
2020-11-19,Diesel,1.065
2020-11-20,Super E5,1.255
2020-11-20,Diesel,1.064
2020-11-21,Super E5,1.251
2020-11-21,Diesel,1.062
2020-11-22,Super E5,1.256
2020-11-22,Diesel,1.067
2020-11-23,Super E5,1.259
2020-11-23,Diesel,1.069
2020-11-24,Super E5,1.252
2020-11-24,Diesel,1.062
2020-11-25,Super E5,1.26
2020-11-25,Diesel,1.074
2020-11-26,Super E5,1.264
2020-11-26,Diesel,1.077
2020-11-27,Super E5,1.266
2020-11-27,Diesel,1.079
2020-11-28,Super E5,1.27
2020-11-28,Diesel,1.083
2020-11-29,Super E5,1.273
2020-11-29,Diesel,1.087
2020-11-30,Super E5,1.27
2020-11-30,Diesel,1.083
2020-12-01,Super E5,1.265
2020-12-01,Diesel,1.079
2020-12-02,Super E5,1.262
2020-12-02,Diesel,1.077
2020-12-03,Super E5,1.259
2020-12-03,Diesel,1.076
2020-12-04,Super E5,1.261
2020-12-04,Diesel,1.079
2020-12-05,Super E5,1.263
2020-12-05,Diesel,1.083
2020-12-06,Super E5,1.269
2020-12-06,Diesel,1.088
2020-12-07,Super E5,1.266
2020-12-07,Diesel,1.087
2020-12-08,Super E5,1.265
2020-12-08,Diesel,1.087
2020-12-09,Super E5,1.263
2020-12-09,Diesel,1.085
2020-12-10,Super E5,1.261
2020-12-10,Diesel,1.087
2020-12-11,Super E5,1.266
2020-12-11,Diesel,1.093
2020-12-12,Super E5,1.269
2020-12-12,Diesel,1.096
2020-12-13,Super E5,1.273
2020-12-13,Diesel,1.101
2020-12-14,Super E5,1.27
2020-12-14,Diesel,1.099
2020-12-15,Super E5,1.267
2020-12-15,Diesel,1.101
2020-12-16,Super E5,1.255
2020-12-16,Diesel,1.09
2020-12-17,Super E5,1.27
2020-12-17,Diesel,1.103
2020-12-18,Super E5,1.274
2020-12-18,Diesel,1.109
2020-12-19,Super E5,1.276
2020-12-19,Diesel,1.11
2020-12-20,Super E5,1.282
2020-12-20,Diesel,1.116
2020-12-21,Super E5,1.281
2020-12-21,Diesel,1.115
2020-12-22,Super E5,1.283
2020-12-22,Diesel,1.117
2020-12-23,Super E5,1.286
2020-12-23,Diesel,1.123
2020-12-24,Super E5,1.294
2020-12-24,Diesel,1.131
2020-12-25,Super E5,1.298
2020-12-25,Diesel,1.137
2020-12-26,Super E5,1.296
2020-12-26,Diesel,1.136
2020-12-27,Super E5,1.297
2020-12-27,Diesel,1.138
2020-12-28,Super E5,1.298
2020-12-28,Diesel,1.14
2020-12-29,Super E5,1.302
2020-12-29,Diesel,1.14
2020-12-30,Super E5,1.299
2020-12-30,Diesel,1.14
2020-12-31,Super E5,1.321
2020-12-31,Diesel,1.163
2021-01-01,Super E5,1.368
2021-01-01,Diesel,1.211
2021-01-02,Super E5,1.373
2021-01-02,Diesel,1.218
2021-01-03,Super E5,1.377
2021-01-03,Diesel,1.221
2021-01-04,Super E5,1.375
2021-01-04,Diesel,1.214
2021-01-05,Super E5,1.377
2021-01-05,Diesel,1.216
2021-01-06,Super E5,1.381
2021-01-06,Diesel,1.222
2021-01-07,Super E5,1.379
2021-01-07,Diesel,1.22
2021-01-08,Super E5,1.381
2021-01-08,Diesel,1.221
2021-01-09,Super E5,1.391
2021-01-09,Diesel,1.225
2021-01-10,Super E5,1.394
2021-01-10,Diesel,1.23
2021-01-11,Super E5,1.39
2021-01-11,Diesel,1.227
2021-01-12,Super E5,1.391
2021-01-12,Diesel,1.228
2021-01-13,Super E5,1.395
2021-01-13,Diesel,1.23
2021-01-14,Super E5,1.399
2021-01-14,Diesel,1.233
2021-01-15,Super E5,1.399
2021-01-15,Diesel,1.234
2021-01-16,Super E5,1.404
2021-01-16,Diesel,1.236
2021-01-17,Super E5,1.409
2021-01-17,Diesel,1.242
2021-01-18,Super E5,1.404
2021-01-18,Diesel,1.236
2021-01-19,Super E5,1.399
2021-01-19,Diesel,1.235
2021-01-20,Super E5,1.4
2021-01-20,Diesel,1.232
2021-01-21,Super E5,1.399
2021-01-21,Diesel,1.231
2021-01-22,Super E5,1.4
2021-01-22,Diesel,1.232
2021-01-23,Super E5,1.4
2021-01-23,Diesel,1.23
2021-01-24,Super E5,1.407
2021-01-24,Diesel,1.236
2021-01-25,Super E5,1.405
2021-01-25,Diesel,1.232
2021-01-26,Super E5,1.4
2021-01-26,Diesel,1.228
2021-01-27,Super E5,1.401
2021-01-27,Diesel,1.228
2021-01-28,Super E5,1.405
