datum,covid,frei
2020-04-11,2652,
2020-04-12,2652,
2020-04-13,2719,
2020-04-14,2722,
2020-04-15,2735,
2020-04-16,2810,
2020-04-17,2879,9919
2020-04-18,2928,10288
2020-04-19,2870,10697
2020-04-20,2900,11093
2020-04-21,2855,11440
2020-04-22,2739,11723
2020-04-23,2720,11828
2020-04-24,2644,11907
2020-04-25,2538,11966
2020-04-26,2524,12021
2020-04-27,2466,12060
2020-04-28,2391,12068
2020-04-29,2310,12066
2020-04-30,2235,12064
2020-05-01,2118,12062
2020-05-02,2046,12145
2020-05-03,2011,12150
2020-05-04,1976,12170
2020-05-05,1903,12153
2020-05-06,1820,12104
2020-05-07,1763,12044
2020-05-08,1659,11954
2020-05-09,1594,11809
2020-05-10,1603,11742
2020-05-11,1587,11663
2020-05-12,1496,11634
2020-05-13,1384,11596
2020-05-14,1316,11587
2020-05-15,1232,11551
2020-05-16,1173,11513
2020-05-17,1125,11498
2020-05-18,1122,11498
2020-05-19,1087,11425
2020-05-20,1019,11391
2020-05-21,999,11338
2020-05-22,971,11408
2020-05-23,928,11448
2020-05-24,896,11457
2020-05-25,883,11476
2020-05-26,810,11509
2020-05-27,749,11500
2020-05-28,723,11469
2020-05-29,722,11360
2020-05-30,711,11270
2020-05-31,697,11214
2020-06-01,696,11164
2020-06-02,691,11193
2020-06-03,631,11180
2020-06-04,595,11138
2020-06-05,584,11082
2020-06-06,561,11045
2020-06-07,566,11002
2020-06-08,543,10969
2020-06-09,516,10842
2020-06-10,483,10790
2020-06-11,452,10793
2020-06-12,450,10870
2020-06-13,441,10909
2020-06-14,438,10920
2020-06-15,434,10913
2020-06-16,421,10916
2020-06-17,407,10898
2020-06-18,394,10870
2020-06-19,374,10767
2020-06-20,359,10703
2020-06-21,350,10668
2020-06-22,363,10653
2020-06-23,358,10645
2020-06-24,353,10673
2020-06-25,358,10697
2020-06-26,359,10707
2020-06-27,343,10709
2020-06-28,335,10700
2020-06-29,329,10688
2020-06-30,333,10690
2020-07-01,324,10653
2020-07-02,325,10606
2020-07-03,314,10579
2020-07-04,320,10591
2020-07-05,299,10605
2020-07-06,305,10609
2020-07-07,292,10622
2020-07-08,287,10646
2020-07-09,272,10670
