date,deutschland
2022-02-28,1312.18999846203
2022-03-01,1298.6947235940499
2022-03-02,1269.00199219456
2022-03-03,1265.2138870587401
2022-03-04,1291.18705998679
2022-03-05,1313.1075617060401
2022-03-06,1329.28457449556
2022-03-07,1357.9599290871499
2022-03-08,1402.03543427216
2022-03-09,1464.73398584867
2022-03-10,1530.4089057461799
2022-03-11,1580.7798808949999
2022-03-12,1637.8046927792
2022-03-13,1676.4938732329999
2022-03-14,1687.5900148482899
2022-03-15,1738.3289773531601
2022-03-16,1783.0069716407199
2022-03-17,1837.9994350552299
2022-03-18,1885.62734105649
2022-03-19,1904.25519774023
2022-03-20,1889.5777935552701
2022-03-21,1889.00897649837
2022-03-22,1923.1692668120099
2022-03-23,1946.0891067432799
2022-03-24,1946.0169523597399
2022-03-25,1935.3068366963901
2022-03-26,1922.62931150852
2022-03-27,1915.86604062477
2022-03-28,1893.2540593966
2022-03-29,1856.9351504420699
2022-03-30,1821.0912578458399
2022-03-31,1764.20955215566
2022-04-01,1699.87790636504
2022-04-02,1625.8968143490899
2022-04-03,1573.0305001028701
2022-04-04,1545.2823293397601
2022-04-05,1484.0004088267401
2022-04-06,1408.9574447996999
2022-04-07,1324.5740958235001
2022-04-08,1248.6700894862299
2022-04-09,1202.50330975164
2022-04-10,1182.2291305501401
2022-04-11,1177.5583367890299
2022-04-12,1159.98754182414
2022-04-13,1126.5367696153
2022-04-14,1090.7902854368499
2022-04-15,1069.7969675460799
2022-04-16,970.66165485525505
2022-04-17,941.43912952182097
2022-04-18,931.17997875558501
2022-04-19,806.27472798368603
2022-04-20,776.61085833760296
2022-04-21,801.36341961077505
2022-04-22,806.54290177584096
2022-04-23,876.707026902557
2022-04-24,879.70864925779404
2022-04-25,870.59314547065696
2022-04-26,967.69971741096504
2022-04-27,942.85816573142802
2022-04-28,861.22149362195501
2022-04-29,758.48206947334302
