"NA","Province/State","country","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20","5/26/20","5/27/20","5/28/20","5/29/20","5/30/20","5/31/20","6/1/20","6/2/20","6/3/20","6/4/20","6/5/20","6/6/20","6/7/20","6/8/20","6/9/20","6/10/20","6/11/20","6/12/20","6/13/20","6/14/20","6/15/20","6/16/20","6/17/20","6/18/20","6/19/20","6/20/20","6/21/20","6/22/20","6/23/20","6/24/20","6/25/20","6/26/20","6/27/20","6/28/20","6/29/20","6/30/20","7/1/20","7/2/20","7/3/20","7/4/20","7/5/20","7/6/20","7/7/20","7/8/20","7/9/20","7/10/20","7/11/20","7/12/20","7/13/20","7/14/20","7/15/20","7/16/20","7/17/20","7/18/20","7/19/20","7/20/20","7/21/20","7/22/20","7/23/20","7/24/20","7/25/20","7/26/20","7/27/20","7/28/20","7/29/20","7/30/20","7/31/20","8/1/20","8/2/20","8/3/20","8/4/20","8/5/20","8/6/20","8/7/20","8/8/20","8/9/20","8/10/20","8/11/20","8/12/20","8/13/20","8/14/20","8/15/20","8/16/20","8/17/20","8/18/20","8/19/20","8/20/20","8/21/20","8/22/20","8/23/20","8/24/20","8/25/20","8/26/20","8/27/20","8/28/20","8/29/20","8/30/20","8/31/20","9/1/20","9/2/20","9/3/20","9/4/20","9/5/20","9/6/20","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","9/15/20","9/16/20","9/17/20","9/18/20","9/19/20","9/20/20","9/21/20","9/22/20","9/23/20","9/24/20","9/25/20","9/26/20","9/27/20","9/28/20","9/29/20","9/30/20","10/1/20","10/2/20","10/3/20","10/4/20","10/5/20"
NA,"","Afghanistan","33.93911","67.709953","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","5","5","10","10","10","15","18","18","29","32","32","32","32","32","40","43","54","99","112","131","135","150","166","179","188","188","207","220","228","252","260","310","331","345","397","421","458","468","472","502","558","558","610","648","691","745","745","778","801","850","930","938","996","1040","1075","1097","1128","1138","1209","1259","1303","1328","1428","1450","1522","1585","1762","1830","1875","2171","2651","3013","3326","3928","4201","4725","5164","5508","6158","7660","7962","8292","8764","8841","9260","9869","10174","10306","10674","12604","13934","14131","15651","16041","17331","19164","19366","20103","20179","20700","20847","20882","21135","21216","21254","21454","22456","22824","23151","23273","23634","23741","23741","23924","24550","24602","24793","25180","25198","25358","25389","25471","25509","25509","25510","25669","25669","25742","25840","25903","25960","25960","26228","26415","26694","26714","26714","27166","27166","27166","27166","27166","27681","28016","28016","28180","28360","28440","29042","29046","29059","29063","29089","29089","29231","29315","29390","29713","30082","30537","30557","30715","31048","31129","31154","31234","31638","32073","32098","32503","32505","32576","32576","32576","32576","32576","32610","32619","32619","32635","32642","32642","32746","32789","32842","32842","32842","32852","32879"
NA,"","Albania","41.1533","20.1683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","10","17","17","31","31","33","44","52","67","76","89","99","104","116","131","154","165","182","197","217","232","248","251","277","283","302","314","327","345","356","385","394","403","410","422","431","455","470","488","519","531","543","570","595","605","620","627","650","654","682","688","694","705","714","715","727","742","758","771","777","783","789","795","803","812","823","851","857","872","877","891","898","898","910","925","938","945","960","980","1001","1034","1039","1044","1055","1064","1077","1086","1114","1126","1134","1159","1195","1217","1250","1298","1346","1384","1438","1459","1516","1559","1592","1637","1657","1702","1744","1791","1832","1875","1881","1946","2014","2062","2091","2137","2214","2264","2311","2352","2397","2463","2523","2608","2637","2682","2745","2789","2830","2883","2952","2961","3018","3031","3031","3123","3155","3227","3268","3342","3379","3480","3552","3616","3695","3746","3794","3816","3871","3928","3986","4096","4184","4332","4413","4530","4633","4791","4923","5020","5139","5214","5441","5582","5732","5882","5976","6106","6186","6239","6284","6346","6443","6494","6569","6615","6668","6733","6788","6831","6888","6940","6995","7042","7139","7239","7309","7397","7397","7629","7732","7847","8077","8342","8536","8675","8825"
NA,"","Algeria","28.0339","1.6596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","12","12","12","12","12","32","32","32","65","65","24","65","29","29","31","31","37","46","61","61","62","90","90","90","113","237","347","405","460","591","601","691","708","783","846","894","1047","1099","1152","1204","1355","1408","1479","1508","1558","1651","1702","1779","1821","1872","1936","1998","2067","2197","2323","2467","2546","2678","2841","2998","3058","3158","3271","3409","3507","3625","3746","3968","4062","4256","4426","4784","4747","4918","5129","5277","5422","5549","5748","5894","6067","6218","6297","6453","6631","6717","6799","6951","7074","7255","7322","7420","7606","7735","7842","7943","8078","8196","8324","8422","8559","8674","8792","8920","9066","9202","9371","9674","9897","10040","10342","10832","11181","11492","11884","12094","12329","12637","13124","13124","13743","14019","14295","14792","15107","15430","15744","16051","16400","16646","16983","17369","17369","18076","18088","18837","19233","19592","20082","20537","20988","21419","21901","22375","22802","23238","23667","24083","24506","24920","25263","25627","26004","26308","26644","27017","27347","27653","27971","28281","28587","28874","29142","29369","29587","29886","30157","30436","30717","30978","31244","31493","31746","32006","32259","32481","32745","32985","33183","33379","33562","33723","33875","34037","34204","34385","34517","34675","34818","34923","35047","35180","35307","35428","35544","35654","35756","35860","35962","36063","36174","36282","36385","36482","36578","36672"
NA,"","Andorra","42.5063","1.5218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","10","10","10","16","21","26","31","39","52","58","71","71","128","128","128","169","169","191","205","235","248","282","309","333","344","344","344","385","398","423","468","468","472","493","499","514","521","526","537","545","550","550","568","576","596","604","615","617","624","628","639","639","652","653","653","663","676","676","681","684","692","694","698","733","735","738","741","741","744","751","757","759","780","781","781","781","789","789","791","792","792","792","792","796","797","797","797","799","799","799","799","799","799","800","800","800","800","800","800","802","802","803","803","803","803","803","803","803","803","803","803","803","803","803","803","803","803","803","803","803","804","806","807","807","807","821","825","825","828","839","839","839","839","839","855","858","863","863","863","869","869","875","875","875","875","875","877","877","893","893","902","902","902","908","908","909","909","928","928","928","934","934","938","938","943","943","943","945","945","1054","1054","1164","1164","1164","1199","1199","1203","1203","1263","1263","1263","1265","1265","1432","1432","1540","1540","1540","1615"
NA,"","Angola","-11.2027","17.8739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","2","2","2","2","2","2","4","4","4","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","7","7","11","11","11","11","11","11","11","11","13","13","13","13","14","14","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","18","18","18","18","18","21","24","24","38","38","40","41","42","61","61","64","64","64","64","66","66","77","77","77","77","81","81","81","81","93","93","97","97","107","108","108","108","117","117","117","117","118","118","118","118","124","124","199","210","221","221","221","221","236","241","242","242","242","266","301","395","437","460","461","476","503","506","520","544","564","567","569","575","577","577","584","628","628","632","667","698","742","804","814","818","877","977","977","1335","1028","1041","1063","1071","1084","1115","1144","1167","1192","1198","1215","1215","1245","1277","1288","1289","1301","1324","1332","1401","1405","1443","1445","1445","1449","1462","1473","1503","1554","1639","1707","1813","1833","1941","2082","2215","2436","2577","2591"
NA,"","Antigua and Barbuda","17.0608","-61.7964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","7","10","10","11","11","11","11","11","11","11","15","15","15","15","16","16","16","16","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20","20","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","57","57","57","57","57","57","57","57","57","57","57","57","57","58","58","60","60","60","65","65","67","67","67","67","67","75","75","76","76","76","76","76","76","76","76","76","83","83","88","88","88","88","89","89","89","89","89","89","89","89","89","89","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","92","92","92","92","92","92","92","92","92","92","92","92","92","92","94","96","96","96"
NA,"","Argentina","-38.4161","-63.6167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","3","3","3","3","3","3","52","52","63","72","72","72","228","240","248","256","266","279","280","325","338","358","365","375","440","468","515","559","596","631","666","685","709","737","840","872","919","976","1030","1107","1140","1162","1192","1256","1292","1320","1354","1442","1472","1524","1601","1659","1728","1757","1837","1862","2266","2385","2497","2534","2569","2625","2872","2933","3032","3062","3530","3732","3999","4167","4349","4617","4788","4788","5336","5521","5709","5896","5993","6088","6180","6909","7305","7568","7991","8332","8743","9083","9564","9891","10174","10512","10721","11851","12206","12728","13153","13576","13816","14788","18416","19143","20134","21138","22028","23040","24186","25224","25930","27597","28531","30095","36502","38313","38984","41408","42694","44173","45467","47298","49120","49780","52607","54105","55913","58598","60531","62815","65447","68022","70518","72575","75083","77855","80596","83780","86499","89026","91302","94129","96948","99852","103297","108242","108242","108242","181389","187283","192434","199005","205697","211702","217850","223531","228725","233651","239806","245781","251400","256789","263202","268801","274458","280165","287220","294007","301195","308376","315530","322461","331621","340381","349132","357388","366590","382490","390098","400121","409771","419513","428953","438883","448263","456347","467286","478077","488231","508563","517228","525486","536589","546924","556489","565935","576715","585857","594645","603140","614515","626114","636672","649017"
NA,"","Armenia","40.0691","45.0382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","14","16","18","28","30","30","30","30","31","33","43","43","57","62","87","114","138","149","173","197","211","265","297","358","402","523","545","580","609","633","659","728","803","833","848","866","900","929","977","1010","1035","1071","1111","1135","1185","1218","1267","1325","1359","1430","1500","1572","1666","1791","1925","2019","2164","2419","2581","2874","2936","3064","3145","3220","3255","3287","3297","3317","3386","3402","3427","3454","3468","3513","3720","4014","4099","4451","5226","5466","5639","6081","6214","6276","6571","6814","7560","8266","8854","9002","9131","10144","10797","11335","12149","12911","13116","13297","14048","14563","15036","15484","15935","16140","16302","16907","17427","18000","18709","19419","19633","19865","20729","21348","21931","22492","23123","23294","23502","24206","24766","25244","25734","26243","26478","26665","27357","27824","28366","28997","29557","29750","29861","30372","30850","31556","32008","32395","32520","32616","33157","33492","33897","34164","34484","34584","34655","34982","35226","35476","35693","35907","35991","36049","36475","36726","36988","37264","37563","37650","37722","38356","38631","38855","39257","39823","40089","40121","40592","41023","41233","41434","41605","41659","41693","41941","42069","42231","42369","42551","42608","42637","42676","43026","43266","43401","43576","43613","43665","43849","44001","44219","44406","44583","44672","44710"
NA,"Australian Capital Territory","Australia","-35.4735","149.0124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","2","3","8","11","18","18","28","40","40","40","47","59","59","59","59","72","72","82","81","88","88","91","92","93","93","97","98","99","100","101","101","103","103","103","103","103","103","103","103","103","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","105","107","107","107","109","109","109","109","109","109","109","109","109","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110"
NA,"New South Wales","Australia","-33.8688","151.2093","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1379","1379","1379","1379","1755","1926","2006","2056","2193","2208","2227","2266","2284","2293","2293","2306","2328","2349","2418","2463","2486","2504","2504","2517","2543","2571","2595","2605","2611","2611","2612","2614","2631","2648","2648","2653","2653","2656","2661","2663","2670","2666","2683","2685","2685","2687","2691","2700","2714","2719","2723","2724","2729","2735","2738","2743","2763","2766","2766","2768","2770","2770","2770","2771","2771","2771","2771","2771","2776","2782","2784","2784","2784","2784","2787","2787","2789","2977","2988","2988","2987","2986","2986","2987","2997","2988","2988","2988","2988","2988","2988","2988","2988","2988","2988","2988","2988","2988","2988","2988","2989","2989","2989","2989","2989","2989","2991","2991","2992","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2995","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","2994","3107","3113","3116","3116","3117","3118","3123","3129","3129","3129","3131","3131","3131","3131"
