datum,covid,belegt,frei,notfall,gesamt,andere
2020-03-20,200,598,2921,0,3519,398
2020-03-21,308,2871,3627,0,6498,2563
2020-03-22,364,3300,3783,0,7083,2936
2020-03-23,451,3832,4121,0,7953,3381
2020-03-24,616,4942,4797,0,9739,4326
2020-03-25,789,5596,5173,0,10769,4807
2020-03-26,824,6090,5239,0,11329,5266
2020-03-27,905,6426,5479,0,11905,5521
2020-03-28,1001,6895,5497,0,12392,5894
2020-03-29,1063,6874,5589,0,12463,5811
2020-03-30,1203,7225,5719,0,12944,6022
2020-03-31,1551,8550,6337,0,14887,6999
2020-04-01,1785,9470,7214,0,16684,7685
2020-04-02,2103,10807,8127,0,18934,8704
2020-04-03,2364,11888,8566,0,20454,9524
2020-04-04,2474,12099,8796,0,20895,9625
2020-04-05,2531,12132,8829,0,20961,9601
2020-04-06,2554,12170,8727,0,20897,9616
2020-04-07,2644,12092,8643,0,20735,9448
2020-04-08,2661,12773,8920,0,21693,10112
2020-04-09,2718,13354,8975,0,22329,10636
2020-04-10,2704,13115,8882,0,21997,10411
2020-04-11,2657,12703,8914,0,21617,10046
2020-04-12,2657,12778,8985,0,21763,10121
2020-04-13,2722,13066,9091,0,22157,10344
2020-04-14,2725,13355,9337,0,22692,10630
2020-04-15,2739,14322,9847,0,24169,11583
2020-04-16,2817,15907,11075,0,26982,13090
2020-04-17,2883,17093,11441,0,28534,14210
2020-04-18,2933,17568,11611,0,29179,14635
2020-04-19,2875,17185,12036,0,29221,14310
2020-04-20,2905,17499,12016,0,29515,14594
2020-04-21,2860,18438,12020,0,30458,15578
2020-04-22,2744,18834,12058,0,30892,16090
2020-04-23,2728,19032,12112,0,31144,16304
2020-04-24,2650,19237,12205,0,31442,16587
2020-04-25,2543,19100,12232,0,31332,16557
2020-04-26,2529,18617,12633,0,31250,16088
2020-04-27,2471,18803,12479,0,31282,16332
2020-04-28,2394,19345,12164,0,31509,16951
2020-04-29,2313,19613,12102,0,31715,17300
2020-04-30,2241,19570,12161,0,31731,17329
2020-05-01,2124,19642,12243,0,31885,17518
2020-05-02,2052,19007,12867,0,31874,16955
2020-05-03,2018,19130,12733,0,31863,17112
2020-05-04,1980,19053,12667,0,31720,17073
2020-05-05,1906,19670,12101,0,31771,17764
2020-05-06,1825,20068,11800,0,31868,18243
2020-05-07,1769,20039,11762,0,31801,18270
2020-05-08,1662,20010,11613,0,31623,18348
2020-05-09,1596,19789,11820,0,31609,18193
2020-05-10,1605,19231,12240,0,31471,17626
2020-05-11,1590,19391,12066,0,31457,17801
2020-05-12,1499,20276,11868,0,32144,18777
2020-05-13,1386,20210,11534,0,31744,18824
2020-05-14,1318,20119,11719,0,31838,18801
2020-05-15,1235,20456,11392,0,31848,19221
2020-05-16,1176,20096,11582,0,31678,18920
2020-05-17,1128,19563,12142,0,31705,18435
2020-05-18,1126,19532,12066,0,31598,18406
2020-05-19,1088,20128,11321,0,31449,19040
2020-05-20,1021,20386,11253,0,31639,19365
2020-05-21,1000,20382,11299,0,31681,19382
2020-05-22,975,19825,11847,0,31672,18850
2020-05-23,931,20016,11837,0,31853,19085
2020-05-24,900,19527,12166,0,31693,18627
2020-05-25,885,19613,12229,0,31842,18728
2020-05-26,816,20164,11583,0,31747,19348
2020-05-27,751,20454,11215,0,31669,19703
2020-05-28,726,20537,11093,0,31630,19811
2020-05-29,725,20466,11102,0,31568,19741
2020-05-30,716,20353,11233,0,31586,19637
2020-05-31,699,19689,11825,0,31514,18990
2020-06-01,698,19617,11906,0,31523,18919
2020-06-02,694,19694,11804,0,31498,19000
2020-06-03,635,20416,11139,0,31555,19781
2020-06-04,600,20732,10791,0,31523,20132
2020-06-05,588,20797,10699,0,31496,20209
2020-06-06,562,20537,10951,0,31488,19975
2020-06-07,567,19947,11507,0,31454,19380
2020-06-08,546,19809,11647,0,31456,19263
2020-06-09,522,20658,10939,0,31597,20136
2020-06-10,488,20823,10777,0,31600,20335
2020-06-11,453,20753,10822,0,31575,20300
2020-06-12,453,20260,11257,0,31517,19807
2020-06-13,442,20204,11240,0,31444,19762
2020-06-14,438,19807,11609,0,31416,19369
2020-06-15,434,19874,11648,0,31522,19440
2020-06-16,422,20589,10965,0,31554,20167
2020-06-17,409,20903,10668,0,31571,20494
2020-06-18,398,21038,10634,0,31672,20640
2020-06-19,377,21127,10531,0,31658,20750
2020-06-20,362,20819,10785,0,31604,20457
2020-06-21,353,20236,11360,0,31596,19883
2020-06-22,368,20254,11526,0,31780,19886
2020-06-23,362,20885,10889,0,31774,20523
2020-06-24,356,20978,10862,0,31840,20622
2020-06-25,361,20976,10819,0,31795,20615
2020-06-26,363,21104,10612,0,31716,20741
2020-06-27,345,20908,10806,0,31714,20563
2020-06-28,338,20406,11283,0,31689,20068
2020-06-29,332,20347,11430,0,31777,20015
2020-06-30,334,20920,10908,0,31828,20586
2020-07-01,327,21312,10611,0,31923,20985
2020-07-02,326,21414,10507,0,31921,21088
2020-07-03,319,21180,10452,0,31632,20861
2020-07-04,323,20802,10927,0,31729,20479
2020-07-05,301,20251,11423,0,31674,19950
2020-07-06,312,20339,11483,0,31822,20027
2020-07-07,297,20888,11017,0,31905,20591
2020-07-08,291,21111,10784,0,31895,20820
2020-07-09,278,21151,10671,0,31822,20873
2020-07-10,279,21231,10560,0,31791,20952
2020-07-11,254,20976,10787,0,31763,20722
2020-07-12,255,20358,11241,0,31599,20103
2020-07-13,264,20208,11459,0,31667,19944
2020-07-14,261,20951,10780,0,31731,20690
2020-07-15,247,21363,10430,0,31793,21116
2020-07-16,254,21407,10418,0,31825,21153
2020-07-17,248,21455,10426,0,31881,21207
2020-07-18,246,21055,10696,0,31751,20809
2020-07-19,253,20547,11130,0,31677,20294
2020-07-20,246,20703,11169,0,31872,20457
2020-07-21,253,21123,10823,0,31946,20870
2020-07-22,249,21410,10680,0,32090,21161
2020-07-23,238,21459,10802,0,32261,21221
2020-07-24,236,21590,10676,0,32266,21354
2020-07-25,248,21315,10879,0,32194,21067
2020-07-26,267,20827,11359,0,32186,20560
2020-07-27,258,20729,11514,0,32243,20471
2020-07-28,255,21374,10981,0,32355,21119
2020-07-29,257,21683,10833,0,32516,21426
2020-07-30,262,21555,11015,0,32570,21293
2020-07-31,261,21569,10978,0,32547,21308
2020-08-01,257,21320,11178,0,32498,21063
2020-08-02,269,20838,11614,0,32452,20569
2020-08-03,267,20841,11702,0,32543,20574
2020-08-04,260,21383,9537,12310,30920,21123
2020-08-05,240,21632,9149,12742,30781,21392
2020-08-06,237,21614,9114,12694,30728,21377
2020-08-07,227,21648,9042,12633,30690,21421
2020-08-08,229,21380,9189,12661,30569,21151
2020-08-09,234,20953,9590,12635,30543,20719
2020-08-10,228,20954,9498,12613,30452,20726
2020-08-11,231,21598,8861,12643,30459,21367
2020-08-12,221,21785,8770,12613,30555,21564
2020-08-13,224,21865,8601,12651,30466,21641
2020-08-14,230,21988,8540,12565,30528,21758
2020-08-15,228,21675,8757,12627,30432,21447
2020-08-16,225,21190,9220,12583,30410,20965
2020-08-17,227,21221,9295,12549,30516,20994
2020-08-18,220,21741,8864,12537,30605,21521
2020-08-19,227,21895,8736,12506,30631,21668
2020-08-20,230,22052,8668,12545,30720,21822
2020-08-21,237,22054,8659,12590,30713,21817
2020-08-22,232,21603,8954,12547,30557,21371
2020-08-23,245,21096,9419,12552,30515,20851
2020-08-24,245,20935,9654,12550,30589,20690
2020-08-25,225,21616,9086,12412,30702,21391
2020-08-26,227,21789,8917,12392,30706,21562
2020-08-27,240,21677,9012,12379,30689,21437
2020-08-28,236,21655,8966,12382,30621,21419
2020-08-29,241,21523,8972,12358,30495,21282
2020-08-30,244,21009,9431,12369,30440,20765
2020-08-31,245,21001,9572,12380,30573,20756
2020-09-01,234,21633,9035,12335,30668,21399
2020-09-02,227,21782,8936,12365,30718,21555
2020-09-03,222,21790,8917,12342,30707,21568
2020-09-04,224,21712,8950,12336,30662,21488
2020-09-05,222,21563,8956,12472,30519,21341
2020-09-06,218,20988,9505,12487,30493,20770
2020-09-07,228,21053,9507,12284,30560,20825
2020-09-08,230,21730,8879,12287,30609,21500
2020-09-09,227,21841,8773,12268,30614,21614
2020-09-10,233,22017,8670,12276,30687,21784
2020-09-11,220,22079,8577,12299,30656,21859
2020-09-12,233,21704,8823,12345,30527,21471
2020-09-13,236,21228,9269,12305,30497,20992
2020-09-14,237,21076,9500,12256,30576,20839
2020-09-15,236,21798,8803,12286,30601,21562
2020-09-16,233,22103,8612,12306,30715,21870
2020-09-17,238,22273,8467,12254,30740,22035
2020-09-18,246,22062,8600,12273,30662,21816
2020-09-19,257,21596,8939,12299,30535,21339
2020-09-20,268,21158,9340,12329,30498,20890
2020-09-21,267,21117,9459,12304,30576,20850
2020-09-22,278,21730,8848,12251,30578,21452
2020-09-23,293,21858,8693,12269,30551,21565
2020-09-24,296,21893,8655,12244,30548,21597
2020-09-25,301,21963,8571,12270,30534,21662
2020-09-26,312,21722,8731,12248,30453,21410
2020-09-27,325,21077,9333,12222,30410,20752
2020-09-28,353,21060,9529,12150,30589,20707
2020-09-29,352,21808,8892,12104,30700,21456
2020-09-30,355,21950,8701,12212,30651,21595
2020-10-01,362,21811,8702,12184,30513,21449
2020-10-02,373,21779,8675,12163,30454,21406
2020-10-03,403,21499,8805,12219,30304,21096
2020-10-04,424,20965,9279,12211,30244,20541
2020-10-05,446,20890,9435,12164,30325,20444
2020-10-06,449,21479,8847,12115,30326,21030
2020-10-07,470,21810,8473,12140,30283,21340
2020-10-08,487,21768,8473,12197,30241,21281
2020-10-09,510,21728,8513,12203,30241,21218
2020-10-10,531,21450,8799,12200,30249,20919
2020-10-11,545,20875,9311,12208,30186,20330
2020-10-12,590,20897,9328,12227,30225,20307
2020-10-13,618,21320,8939,12225,30259,20702
2020-10-14,602,21488,8703,12326,30191,20886
