value,name
1,Europäische Union
2,Belgien
3,Bulgarien
4,Dänemark
5,Deutschland
6,Estland
7,Finnland
8,Frankreich
9,Griechenland
10,Irland
11,Island
12,Italien
13,Kroatien
14,Lettland
15,Litauen
16,Luxemburg
17,Malta
18,Niederlande
19,Nordmazedonien
20,Norwegen
21,Österreich
22,Polen
23,Portugal
24,Rumänien
25,Schweden
26,Schweiz
27,Serbien
28,Slowakei
29,Slowenien
30,Spanien
31,Tschechien
32,Türkei
33,Ungarn
34,USA
35,Zypern
