month,union,spd,gru,fdp,lin,pir,afd
2009-08,31.2,18.5,6.2,7.6,27.4,,
2010-05,32,21,6,5,29,,
2011-08,33,20,11,4,25,,
2012-05,35,24,6,2,23,6,
2013-07,41,20,8,3,21,3,
2013-08,43,20,7,2,20,,
2013-11,37.5,,5.5,1.5,26.5,,6.5
2013-12,35,18,7,2,27,,5
2014-01,27,22,11,3,28,2,3
2014-02,35,20,5,3,25,,5
2014-03,38,17,6,2,28,,5
2014-05,36,19,5,2,28,,4
2014-07,34.5,18.5,6,2.5,26,,5.5
2014-08,35,16.75,5.625,,26.5,,7
2014-09,33.5,12.4,5.7,2.5,28.2,1,10.6
2015-02,40,11,6,,29,,10
2015-04,38,11,7,3,28,,7
2015-06,34,14,7,2,27,,8
2015-07,38,11,6,2,30,,8
2015-09,35,13,7,,27,,9
2015-10,35.5,15.5,6.5,,24.5,,12
2016-01,33.5,14.5,7,,27,,13.5
2016-04,31,13,8.5,4,26.5,,15
2016-06,31.75,11.25,7,,25.5,,18.25
2016-11,32,12,6,3,23,,21
2016-12,31,13,6,4,23,,20
2017-04,33,15,5,4,22,,19
2017-06,37,10,5,4,27,,13
2017-08,37,11,4,5,22,,18
2017-10,31,13,4,7,20,,20
2018-02,32,10,7,5,24,,18
2018-06,31,10,6,5,26,,18
2018-08,30,10,6,5,22,,23
2018-11,23,12,12,6,22,,22
2019-03,27.5,10.5,8,5,24,,20
2019-04,27,10,7,6,25,,19
2019-05,26,11,8,5,25,,20
2019-06,26,10,10,5,24,,20
2019-07,21,8,11,5,25,,24
2019-08,24,9,11,4,26,,21
2019-09,24.1666666666667,8.5,7.83333333333333,4.66666666666667,28.1666666666667,,23
2019-10,21.7,8.2,5.2,5,31,0.4,23.4
2020-01,19,8,6,6,32,,24
2020-02,14.5,8,6,4.75,37.5,,24
2020-03,15,8,6,4,38,,25
2020-04,18,7,7,4,37,,23
2020-05,21,8,7,5,34,,22
2020-06,22,9,6,3,35,,22
2020-07,22,9,6,4,35,,21
2020-08,24,10,6,4,32,,20
2020-09,22,9,5,4,33,,22
2020-10,22,8,7,4,33,,22
2020-11,22,9,6,5,33,,22
2021-02,22,7,8,6,31,,23
2021-03,20.5,9.5,6.5,6,29.5,,23
2021-06,22,9,6,7,26,,23
2021-07,21,10,6.5,7,27,,22
2021-09,,,,,,,
