id,wahlkreis2021,berechtigt2021,gültig2021,SPD2021,CDU2021,Grüne2021,FDP2021,Linke2021,AfD2021,partei2021,max2021,berechtigt2016,gültig2016,SPD2016,CDU2016,Grüne2016,FDP2016,Linke2016,AfD2016,partei2016,max2016
1,Stuttgart I,98228,67985,9.4,17.9,44.8,10.1,7.5,3.3,Grüne,3,97666,72839,10.7,18.9,42.4,9.7,7.3,7,Grüne,3
2,Stuttgart II,91940,64091,10,21.7,39.8,12.9,4.4,4.9,Grüne,3,92379,71144,10.6,24.4,37.2,10.7,3.3,10.6,Grüne,3
3,Stuttgart III,89208,53195,12.2,24.3,33.9,10.6,4.8,8,Grüne,3,90726,62994,12.9,23.5,30.7,9.1,4.4,15.3,Grüne,3
4,Stuttgart IV,91723,54439,13.2,21.5,35.6,9.7,7,5.8,Grüne,3,92663,63291,13.5,22.2,34.4,8,5.9,12,Grüne,3
5,Böblingen,129808,81734,13.1,25.3,31.4,11.4,2.3,9.4,Grüne,3,130256,91984,13.8,27.6,27.7,8.9,2.4,16.5,Grüne,3
6,Leonberg,130289,88933,10.6,26,32.7,11.7,2.3,8.1,Grüne,3,128472,95760,11.3,27.4,31.9,9.5,2.2,14.9,Grüne,3
7,Esslingen,109404,72637,14.2,23.8,35.7,9.4,3.8,7.2,Grüne,3,112285,82044,16.4,26,32.3,6.8,2.8,12.2,Grüne,3
8,Kirchheim,119713,80115,12.6,24.4,33.1,10.3,2.8,9.5,Grüne,3,120290,88820,14.1,26.5,30.5,8.2,1.8,14.2,Grüne,3
9,Nürtingen,124739,83985,9.2,21.6,38.8,11.6,2.6,9.1,Grüne,3,125035,92894,10.5,25.2,34.9,9.1,2.1,14.4,Grüne,3
10,Göppingen,94014,56101,12.3,26.5,28.8,8.9,2.1,12.3,Grüne,3,94568,64146,14.8,23.4,29.1,8.3,2.1,17.4,Grüne,3
11,Geislingen,88430,57571,14.4,27.9,27.5,10.3,2.3,11.5,CDU,2,89293,64095,15.3,28.2,27.8,7.6,1.8,16,CDU,2
12,Ludwigsburg,122745,78302,12.1,22.2,34.6,11.2,4.2,8.7,Grüne,3,123843,87898,13,23.2,33.5,8.9,2.9,15,Grüne,3
13,Vaihingen,114250,78631,9.2,24.8,34.9,11.1,2.7,8.6,Grüne,3,114552,86205,11.5,27,33.1,9,2.2,14.1,Grüne,3
14,Bietigheim-Bissingen,124862,82737,10.6,24.5,34.2,10.9,2.8,9.2,Grüne,3,124674,92068,13,25.7,32.1,9.2,2.3,15,Grüne,3
15,Waiblingen,105445,68332,10.8,25.1,30,13.3,3.1,8.1,Grüne,3,106092,77299,13.8,26.2,27.8,11.4,2.7,14.7,Grüne,3
16,Schorndorf,95490,64288,10.4,24.2,29.7,16.3,2.6,9.9,Grüne,3,96116,71380,12.6,25.8,27.1,12.6,2.2,15.4,Grüne,3
17,Backnang,93471,59376,19,23.2,24,10.5,2.4,12.1,Grüne,3,93110,66611,15.7,27.7,22.3,8,2.1,19.7,CDU,2
18,Heilbronn,99489,59543,11.6,23,30,12.3,3.6,12,Grüne,3,100841,65958,15,22.7,27.1,10.2,2.9,18.2,Grüne,3
19,Eppingen,105990,68783,11.1,24.5,26.3,13.5,2.6,13.7,Grüne,3,104514,74413,13.4,26.6,26.1,9.6,2.1,18.3,CDU,2
20,Neckarsulm,112091,71650,12.7,25,27.4,9.9,3,13.9,Grüne,3,111894,77914,17.6,25.8,23.8,8.1,2.5,18.7,CDU,2
21,Hohenlohe,98928,61648,11.9,24.4,28.7,10.9,2.8,14.1,Grüne,3,99424,68660,11.5,28.1,27.1,10,2.4,17.1,CDU,2
22,Schwäbisch Hall,125975,76793,11.3,23.2,28.7,13.1,3.3,12.5,Grüne,3,125287,83612,14,23,27.5,11.3,2.4,17.8,Grüne,3
23,Main-Tauber,100502,62828,10.4,29.6,27.1,8.4,2.4,10.7,CDU,2,102362,71200,11.5,35.4,21.3,7.5,2.8,17.2,CDU,2
24,Heidenheim,92576,55236,20.2,22.4,25.8,7.6,2.6,11.4,Grüne,3,94314,61767,19.4,25.1,26.1,5.7,2.9,17.2,Grüne,3
