Land,Kreis,Ort,Straße,Standort,lon,lat,z
Bayern,Landkreis und Stadt Aschaffenburg,Hösbach,Industriestraße 2,Impfzentrum Aschaffenburg,9.222231,50.0060113,1
Bayern,Landkreis Bad Kissingen,Bad Kissingen,Reithauspl. 2,Tattersall,10.0742091,50.2032523,1
Bayern,Landkreis Bad Tölz-Wolfratshausen,Bad Tölz,Schützenstraße 15,Stadtklinik Asklepios,11.5514463,47.7567795,1
Bayern,Landkreis Bad-Tölz-Wolfratshausen,Wolfratshausen,Moosbauerweg 5,Kreisklinik Wolfratshausen,11.4288186,47.9113665,1
Bayern,Landkreis und Stadt Bamberg,Bamberg,Forchheimer Straße 15,Brose Arena,10.9202936,49.8790468,1
Bayern,Landkreis Bayreuth,Pegnitz,Langer Berg 12,Ärztehaus der Sana Klinik,11.5271101,49.7580145,1
Bayern,Stadt und Landkreis Bayreuth,Bayreuth,Adolf-Wächter-Straße 8,Johannes-Kepler-Realschule Bayreuth,11.548368,49.934937,1
Bayern,Landkreis Cham,Roding,Arnulfstraße 1,Krankenhaus,12.5183019,49.1888969,1
Bayern,Landkreis Cham,Bad Kötzting,Hauser Str. 42,Sana-Klinik,12.8599885,49.1839258,1
Bayern,Landkreis Coburg,Ahorn-Witzmannsberg,Badstraße 20a,Freizeitzentrum Witzmannsberg,10.9027338,50.2253571,1
Bayern,Landkreis Deggendorf,Deggendorf,Neusiedler Straße,Festplatz Ackerloh,12.9510317,48.8327536,1
Bayern,Landkreis Dillingen,Wertingen,Pestalozzistraße 12,Dreifachturnhalle und Hallenbad,10.682389,48.5650408,1
Bayern,Landkreis Dingolfing-Landau,Dingolfing-Salitersheim,Salitersheimer Str. 2,Ehemalige Industriehalle,12.48502,48.65012,1
Bayern,Landkreis Donau-Ries,Donauwörth,Josef-Gänsler-Straße 8,Halle im Gewerbegebiet,10.7539315,48.7100891,1
Bayern,Landkreis Donau-Ries,Nördlingen,Nürnberger Straße 17,Ehemaliges Verwaltungsgebäude,10.4957403,48.8579704,1
Bayern,Landkreis Ebersberg,Ebersberg,Sparkassenplatz,Ehemaligen Gebäude der Kreissparkasse,11.9648764,48.0746316,1
Bayern,Landkreis Eichstätt,Eichstätt,Schottenau,Volksfestplatz Eichstätt,11.1986889,48.8860193,1
Bayern,Landkreis Eichstätt,Lenting,Bahnhofstr. 16,Landratsamt Eichstätt - Dienstleistungszentrum Lenting,11.469392,48.807551,1
Bayern,Landkreis Forchheim,Forchheim,Don-Bosco-Straße 4,Ehemalige Jugendherberge,11.0788378,49.7185714,1
Bayern,Landkreis Freising,Freising,,Ehemalige General-von-Stein Kaserne,11.7631748,48.3827885,1
Bayern,Landkreis Freyung-Grafenau,Freyung,Passauer Str. 9,Ehemaliges Kindermodengeschäft,13.5453925,48.80672,1
Bayern,Landkreis Garmisch-Partenkirchen,Garmisch-Partenkirchen,Eisstadion 1,Parkplatz Alpspitzwellenbad,11.0959404,47.4891064,1
Bayern,Landkreis Haßberge,Hofheim,Eichelsdorfer Str. 24-18,Rot-Kreuz-Haus,10.5265309,50.1415902,1
Bayern,Landkreis Hof,Hof,Ernst-Reuter-Straße 62,Ehemaliges Gebäude der MAN Robert Tröger KG,11.9065756,50.3138235,1
Bayern,Stadt Ingolstadt,Ingolstadt,Bergbräustraße 1,Orbansaal,11.4193073,48.7650597,1
Bayern,Stadt Kaufbeuren,Kaufbeuren,Alte Weberei 4,Ehemaliger Lebensmittelmarkt,10.6234816,47.8826679,1
Bayern,Landkreis Kelheim,Kelheim,Schlossweg 3,Ehemaliges Landratsamt,11.8725179,48.9148309,1
Bayern,Landkreis Kempten,Kempten,Kaufbeurer Str. 80,Artillerie-Kaserne,10.3247697,47.7387552,1
Bayern,Landkreis Kitzingen,Kitzingen,Keltenstraße 67,Krankenhaus Kitzinger Land,10.13857,49.74389,1
Bayern,Landkreis Kronach,Kronach,Industriestraße 11,Ehemaliges Loewe-Areal,11.3382426,50.2327607,1
Bayern,Landkreis Kulmbach,Kulmbach,Fritz-Hornschuch-Straße 9,Fritz Einkaufszentrum,11.4509099,50.1078953,1
Bayern,Landkreis Landsberg,Penzing,Kauferinger Straße,Ehemaliger Fliegerhorst Penzing,10.9217827,48.077006,1
Bayern,Stadt Landshut,Landshut,Niedermayerstraße 100,Messehalle,12.1898541,48.5501098,1
Bayern,Landkreis Landshut,Kumhausen-Preisenberg,Ziegelfeldstraße 1,Ehemaliges Gewerbegebäude,12.1589155,48.4984181,1
Bayern,Landkreis Lichtenfels,Lichtenfels,Gabelsberger Straße 22,Barrierefreies Gebäude,11.0729041,50.14912,1
Bayern,Landkreis Main-Spessart,Lohr am Main,Lehmskaute 22,Spessarttorhalle,9.574723,49.9901412,1
Bayern,Stadt Memmingen,Memmingen,Buxacherstraße 8,Ehemalige Realschule,10.1751672,47.9860513,1
Bayern,Landkreis Miesbach,Hausham,Alte Miesbacher Str. 11,Impfzentrum Miesbach,11.8340418,47.7548853,1
Bayern,Landkreis Miltenberg,Miltenberg,Breitendieler Str. 32,Helios Klinik,9.2284275,49.7036898,1
Bayern,Landkreis Mühldorf,Mühldorf,Mainstr. 1a,Ehemaliges dm-Gebäude,12.5362301,48.2361105,1
Bayern,Stadt München,München,Am Messeturm,Messe München,11.704462,48.1346549,1
Bayern,Landkreis Neumarkt in der Oberpfalz,Berg bei Neumarkt in der Oberpfalz,Karl-Schiller-Straße,Gewerbepark Berg-Loderbach,11.4713758,49.3126,1
Bayern,Landkreis und Stadt Neustadt an der Waldnaab,Weiden in der Oberpfalz,Ulrich-Schönberger-Straße 11,Kreisverband Bayerisches Rotes Kreuz,12.1663678,49.6841483,1
Bayern,Landkreis Neustadt-Aisch/Bad Windsheim,Bad Windsheim,Erkenbrechtallee 2,Kur- und Kongress Center,10.41488,49.51232,1
Bayern,Stadt Nürnberg,Nürnberg,Messezentrum 1,Messe,11.1204919,49.4177539,1
Bayern,Landkreis Oberallgäu,Immenstadt im Allgäu,Hofgartenstraße 14,Hofgarten-Stadthalle,10.217335,47.5614435,1
Bayern,Landkreis Oberallgäu,Immenstadt im Allgäu,Hofgartenstraße 14,Hofgarten-Stadthalle,10.217335,47.5614435,1
Bayern,Landkreis Ostallgäu,Marktoberdorf,Nordstraße 12,Gewerbehalle,10.6247933,47.7966037,1
Bayern,Stadt Passau,Passau,Messestraße 12,X-Point-Halle,13.4114517,48.5577271,1
Bayern,Landkreis Pfaffenhofen,Hettenshausen-Reisgang,Sperl-Ring 4,Impfzentrum Hettenshausen-Reisgang,11.5098973,48.5185109,1
Bayern,Landkreis Pfaffenhofen,Geisenfeld,Königstr. 13,Bisherige Fieberambulanz,11.6232767,48.6767871,1
Bayern,Landkreis Regen,Regen,Poschetsrieder Str. 45,Eissporthalle,13.1513799,48.9618833,1
Bayern,Stadt Regensburg,Regensburg,Am Protzenweiher,Dultplatz,12.0935383,49.0262157,1
Bayern,Landkreis Regensburg,Regensburg,Altmühlstraße 1a,Nebengebäude Landratsamt,12.1150747,49.030318,1
Bayern,Landkreis Regensburg,Schierling,Rathausplatz 25,Zentrum für Allgemeinmedizin,12.1387512,48.8374137,1
Bayern,Landkreis Rhön-Grabfeld,Bad Neustadt an der Saale,Martin-Luther-Straße,Ehemalige Kreisklinik,10.2067552,50.3214107,1
Bayern,Landkreis Roth,Roth,Gildestraße 17,Altes Zentrallager Aldi,11.11724,49.24915,1
Bayern,Landkreis Rottal-Inn,Eggenfelden,Grafenweg 11,Rottgau-Halle,12.7742364,48.3980506,1
Bayern,Landkreis Schwandorf,Nabburg,Krankenhausstr. 25,Ehemaliges Kreiskrankenhaus,12.1711333,49.4482981,1
Bayern,Landkreis Starnberg,Gauting,Robert-Koch-Allee 2,Asklepios-Klinik,11.35341,48.06635,1
Bayern,Landkreis und Stadt Straubing-Bogen,Straubing,Am Hagen 75,Messehalle am Hagen,12.5617492,48.887464,1
Bayern,Landkreis Tirschenreuth,Waldsassen,Egerer Straße,Ehemaliges Krankenhaus,12.3088214,50.0075398,1
Bayern,Landkreis Traunstein,Altenmarkt an der Alz,,Containergelände am Aubergtunnel,12.4879687,48.0078156,1
Bayern,Landkreis Unterallgäu,Bad Wörishofen,Gottlieb-Daimler-Straße,Ehemaliges Möbelhaus,10.5988859,48.0212895,1
Bayern,Landkreis Weilheim-Schongau,Peißenberg,Hauptstr. 55-57,Ehemaliges Krankenhaus,11.0719976,47.8002185,1
Bayern,Landkreis Wunsiedel im Fichtelgebirge,Wunsiedel,Rot-Kreuz-Straße 7,Haus des Bayerischen Roten Kreuzes,11.9941399,50.03826,1
Bayern,Stadt Würzburg,Würzburg,Georg-Eydel-Straße 7,Talavera,9.91699,49.79899,1
Bayern,Landkreis Würzburg,Giebelstadt,Hermann-Köhl-Straße 1,Flugplatz,9.9812437,49.6508155,1
Bremen,Bremen,Bremen,Findorffstraße 101,Messehalle 7,8.8118102,53.0889429,1
Bremen,Bremerhaven,Bremerhaven,Wilhelm-Kaisen-Platz,Stadthalle,8.591949,53.5548006,1
Hessen,Wetteraukreis,Büdingen,Industriestr. 46,Gewerbehalle,9.1097896,50.2699201,1
Hessen,Stadt Wiesbaden,Wiesbaden,Friedrich-Ebert-Allee 1,Rhein Main Congress Center,8.2451183,50.0770981,1
Hessen,Lahn-Dill-Kreis,Lahnau,Geraberger Platz 2,Lahnauhalle,8.54913,50.58222,1
Hessen,Kreis Limburg- Weilburg,Limburg- Dietkirchen,Senefelderstraße 2,Impfzentrum Limburg-Weilburg,8.0792757,50.4030625,1
Hessen,Main-Taunus- Kreis,Hattersheim,Mainzer Landstraße 500,Verwaltungszentrum am Regionalparkturm,8.4575139,50.0572966,1
Hessen,Kreis Groß- Gerau,Groß-Gerau,Wilhelm-Seipp- Straße 1,Sporthalle Martin-Buber-Schule,8.4759647,49.9153025,1
Hessen,Kreis Bergstraße,Bensheim,Berliner Ring 89,Büro & Geschäftshaus,8.6076774,49.6887269,1
Hessen,Kreis Marburg- Biedenkopf,Marburg,Afföllerstr. 106,Messegelände Afföller,8.7685494,50.8323123,1
Hessen,Rheingau- Taunus-Kreis,Eltville am Rhein,Wiesweg 7,Sporthalle Martin-Buber-Schule,8.1139,50.03601,1
Hessen,Odenwaldkreis,Erbach,Obere Marktstraße / Wiesenmarktgelände,Impfzentrum Odenwaldkreis,9.0009387,49.6622685,1
Hessen,Stadt Frankfurt,Frankfurt am Main,Ludwig-Erhard- Anlage 1,Messe Frankfurt am Main Messehalle,8.6455535,50.1110661,1
Hessen,Vogelsbergkreis,Alsfeld,An der Hessenhalle 1,Hessenhalle Alsfeld,9.25174,50.7386,1
Hessen,Werra-Meißner- Kreis,Eschwege,Südring 37,Großsporthallen der beruflichen Schulen sowie des Oberstufengymnasiums,10.030181,51.1842737,1
Hessen,Main-Kinzig- Kreis,Gelnhausen,Lohmühlenweg,Sporthalle der Kreisrealschule,9.1827305,50.2023054,1
Hessen,Main-Kinzig- Kreis,Hanau,Martin-Luther-King-Str.,August-Schärttner-Halle,8.921646,50.1461586,1
Hessen,Kreis Gießen,Heuchelheim,Ludwig-Rinn-Straße 49,Rollermarkt im 1.OG,8.6333835,50.5772558,1
Hessen,Stadt Offenbach,Offenbach am Main,Waldstraße 312,Stadthalle Offenbach Veranstaltungs GmbH,8.7768393,50.0829565,1
Hessen,Kreis Waldeck- Frankenberg,Korbach,Karpartenstrasse 20,Großsporthalle "Auf der Hauer",8.85967,51.27271,1
Hessen,Kreis Offenbach,Heusenstamm,jahnstraße 64,Campus Heusenstamm Rhein- Main,8.7993438,50.0640548,1
Hessen,Kreis Hersfeld- Rotenburg,Rotenburg an der Fulda,Heinz-Meise-Straße 190,Göbel Hotels Arena,9.7344541,51.0042501,1
Hessen,Kreis Darmstadt- Dieburg,Reinheim,Am Sportzentrum 1A,Impfzentrum DADI Ost,8.8407878,49.8332522,1
Hessen,Kreis Darmstadt- Dieburg,Pfungstadt,Ostendstraße 3,Impfzentrum DADI West,8.6157635,49.813194,1
Hessen,Kreis Kassel,Calden,Flugplatzstraße,Impfzentrum LK Kassel (Alter Flugplatz),9.3920421,51.4081432,1
Hessen,Stadt Kassel,Kassel,Damaschkestraße 25,Großsporthalle Auepark,9.4845134,51.2970497,1
Hessen,Stadt Darmstadt,Darmstadt,Schlossgraben 1,Wissenschafts- und Kongresszentrum,8.6576364,49.8744071,1
Hessen,Hochtaunuskreis,Bad Homburg,Am grünen Weg 1,DCX Technology Deutschland,8.6482202,50.2113684,1
Hessen,Schwalm-Eder- Kreis,Fritzlar,Berliner Straße,Besucherparkplatz der Georg- Friedrich Kaserne,9.2858382,51.1225855,1
Hessen,Kreis Fulda,Fulda,Esperantoplatz 1,Kongress- und Kulturzentrum Fulda GmbH & Co. KG,9.6865047,50.557432,1
Hamburg,Hamburg,Hamburg,Messeplatz 1,Messehallen,9.975119,53.5617952,1
Mecklenburg-Vorpommern,Landkreis Ludwigslust-Parchim,Parchim,,Details sind noch nicht bekannt,11.8478394,53.4250382,1
Mecklenburg-Vorpommern,Landkreis Ludwigslust-Parchim,Ludwigslust,,Details sind noch nicht bekannt,11.4969238,53.3244914,1
Mecklenburg-Vorpommern,Kreisfreie Stadt Schwerin,Schwerin,,Details sind noch nicht bekannt,11.4012499,53.6355022,1
Mecklenburg-Vorpommern,Landkreis Nordwestmecklenburg,Wismar,,Details sind noch nicht bekannt,11.4516022,53.8979416,1
Mecklenburg-Vorpommern,Landkreis Rostock,Laage,,Details sind noch nicht bekannt,12.346667,53.932222,1
Mecklenburg-Vorpommern,Kreisfreie Stadt Rostock,Rostock,,Details sind noch nicht bekannt,12.0991466,54.0924406,1
Mecklenburg-Vorpommern,Landkreis Vorpommern-Rügen,Stralsund,,Details sind noch nicht bekannt,13.0770347,54.3090654,1
Mecklenburg-Vorpommern,Landkreis Vorpommern-Greifswald,Greifswald,,Details sind noch nicht bekannt,13.3923414,54.0865463,1
Mecklenburg-Vorpommern,Landkreis Vorpommern-Greifswald,Anklam,,Details sind noch nicht bekannt,13.6959731,53.8502906,1
Mecklenburg-Vorpommern,Landkreis Vorpommern-Greifswald,Pasewalk,,Details sind noch nicht bekannt,13.9990311,53.5038857,1
Mecklenburg-Vorpommern,Landkreis Mecklenburgische Seenplatte,Neubrandenburg,,Details sind noch nicht bekannt,13.2779269,53.5678292,1
Mecklenburg-Vorpommern,Landkreis Mecklenburgische Seenplatte,Waren,,Details sind noch nicht bekannt,12.4295953,53.6126505,1
Niedersachsen,Stadt Braunschweig,Braunschweig,,Stadthalle,10.5267696,52.2688736,1
Niedersachsen,Landkreis Celle,Celle,,Kulturzentrum CD-Kaserne,10.0628514,52.6175963,1
Niedersachsen,Landkreis Diepholz,Bassum,,Krankenhaus,8.7286711,52.8505748,1
Niedersachsen,Landkreis Emsland,Papenburg,,Emslandhallen in Lingen; Forum Alte Werft,7.4232678,53.0726142,1
Niedersachsen,Landkreis Göttingen,Herzberg,,Sporthalle der Berufsbildenden Schulen II in Göttingen; Turnhalle der Oberschule,10.3379685,51.6514495,1
Niedersachsen,Stadt und Region Hannover,Hannover,,gemeinsames Impfzentrum auf dem Messegelände,9.7320104,52.3758916,1
Niedersachsen,Landkreis Harburg,Buchholz in der Nordheide,,Stadthalle in Winsen; Schützenhalle,9.8694844,53.3176971,1
Niedersachsen,Landkreis Heidekreis,Bad Fallingbostel,,Heidmark-Halle,9.6957634,52.8667555,1
Niedersachsen,Landkreis Hildesheim,Alfeld,,Sporthalle der Berufsbildenden Schulen Steuerwald in Hildesheim; Sporthalle der Schulrat-Habermalz-Schule,9.8279123,51.9830185,1
Niedersachsen,Landkreis Leer,Hesel,,ehemalige Wilhelm-Busch-Förderschule,7.5939061,53.3057783,1
Niedersachsen,Landkreis Nienburg,Drakenburg,,frühere Grundschule,9.2175671,52.6873771,1
Niedersachsen,Stadt Oldenburg,Oldenburg,,Weser-Ems-Hallen,8.2145521,53.1434501,1
Niedersachsen,Landkreis Osnabrück,Wallenhorst,,leer stehendes Möbelhaus in Georgsmarienhütte; frühere Verkaufsfläche eines Spielwarenhändlers,8.0052769,52.3491544,1
Niedersachsen,Stadt Osnabrück,Osnabrück,,Schlosswallhalle,8.0471788,52.2799112,1
Niedersachsen,Landkreis Rotenburg,Zeven,,Martin-Luther-Krankenhaus,9.283333,53.3,1
Niedersachsen,Landkreise Uelzen und Lüchow-Dannenberg,Uelzen,,Stadthalle,10.5580304,52.9658199,1
Niedersachsen,Landkreis Verden,Verden,,Containerdorf am Kreishaus,9.2329647,52.9347982,1
Niedersachsen,Landkreis Wittmund,Esens,,Jugendherberge,7.6147529,53.6450283,1
Nordrhein-Westfalen,Städteregion Aachen,Aachen,Hubert-Wienen-Straße 8,Aachender Eissporthalle,6.1010627,50.7960701,1
Nordrhein-Westfalen,Rhein-Sieg-Kreis,Sankt Augustin,Arnold-Janssen-Straße 29,Asklepios Kinderklinik,7.18153,50.77522,1
Nordrhein-Westfalen,Krefeld,Krefeld,Sprödentalplatz,Container auf Sprödentalplatz,6.5844442,51.3364148,1
Nordrhein-Westfalen,Euskirchen,Nettersheim,Dr.-Konrad-Adenauer-Straße 1,Ehemalige Eifelhöhen-Klinik,6.5738197,50.4825977,1
Nordrhein-Westfalen,Lippe,Lemgo,Bunsenstraße 39,Ehemalige Lipperlandhalle,8.9077401,52.0171,1
Nordrhein-Westfalen,Siegen-Wittgenstein,Siegen-Eiserfeld,Eiserfelder Straße 236,Ehemaliger Baustoffhandel,7.9958902,50.8501748,1
Nordrhein-Westfalen,Solingen,Solingen,Hauptstraße 75-77,Ehemaliger Kaufhof,7.085027,51.1728003,1
Nordrhein-Westfalen,Herford,Enger,Bustedter Weg 16,Ehemaliges Firmengelände von Wellmann Küchen,8.58952,52.16685,1
Nordrhein-Westfalen,Düren,Düren,Am Ellernbusch 18,Ehemaliges Telekom-Gebäude,6.4665378,50.7950634,1
Nordrhein-Westfalen,Oberbergischer Kreis,Gummersbach,Kaisterstraße 35,Einkaufszentrum Bergischer Hof,7.5641709,51.0273447,1
Nordrhein-Westfalen,Leverkusen,Leverkusen,Nobelstraße 37,Erholungshaus der Bayer-Kulturabteilung,6.9805459,51.0342153,1
Nordrhein-Westfalen,Steinfurt,Greven,Airportallee 1,Flughafen Münster/Osnabrück,7.692915,52.1307253,1
Nordrhein-Westfalen,Warendorf,Ennigerloh,Westring 10,Gelände der Abfallwirtschaftsgesellschaft (AWG),8.01998,51.85157,1
Nordrhein-Westfalen,Soest,Soest,Senator-Schwartz-Ring 26,Halle der Firma Eaton - CEAG Notlichtsysteme,8.0839195,51.5591766,1
Nordrhein-Westfalen,Münster,Münster,Albersloher Weg 32,Halle Münsterland,7.6388121,51.9478392,1
Nordrhein-Westfalen,Kleve,Kalkar,Griether Straße,Hansehalle Grieth auf dem Messegelände Kalkar,6.3214451,51.7678653,1
