"name","lat","lon","url","status","geometry"
"Conrad-von-Soest-Gymnasium (Soest)",8.0817467,51.5699529,"https://www.soester-anzeiger.de/lokales/kreis-soest/corona-kreis-soest-schule-quarantaene-faelle-test-jahrgangsstufe-bayern-panne-coronavirus-13859062.html",1,c(8.0817467, 51.5699529, 0)
"Archigymnasium (Soest)",8.115709,51.5670838,"https://www.soester-anzeiger.de/lokales/kreis-soest/corona-kreis-soest-schule-quarantaene-faelle-test-jahrgangsstufe-bayern-panne-coronavirus-13859062.html",1,c(8.115709, 51.5670838, 0)
"Christian-Rohlfs-Realschule (Soest)",8.09392,51.57165,"https://www.soester-anzeiger.de/lokales/kreis-soest/corona-kreis-soest-schule-quarantaene-faelle-test-jahrgangsstufe-bayern-panne-coronavirus-13859062.html",1,c(8.09392, 51.57165, 0)
"Wieseschule (Soest)",8.1171826,51.5797465,"https://www.soester-anzeiger.de/lokales/kreis-soest/corona-kreis-soest-schule-quarantaene-faelle-test-jahrgangsstufe-bayern-panne-coronavirus-13859062.html",1,c(8.1171826, 51.5797465, 0)
"Gorch-Fock-Grundschule (Kiel)",10.0734834,54.3145573,"https://www.kn-online.de/Kiel/Kiel-Jetzt-an-drei-Schulen-Corona-Alarm-Schueler-bleiben-zu-Hause",1,c(10.0734834, 54.3145573, 0)
"Unbekannte Schulen (Kiel)",10.0932393,54.3268967,"https://www.sueddeutsche.de/gesundheit/gesundheit-kiel-corona-probleme-an-16-schulen-in-schleswig-holstein-dpa.urn-newsml-dpa-com-20090101-200813-99-154396",1,c(10.0932393, 54.3268967, 0)
"Grundschule Turmweg (Hamburg)",9.99256,53.57121,"https://www.mopo.de/hamburg/kinder-nach-hause-geschickt-corona-fall-an-hamburger-grundschule-sorgt-fuer-aufregung-37186508",1,c(9.99256, 53.57121, 0)
"Max-Bill-Schule - OSZ (Berlin)",13.4483848,52.5594133,"https://www.morgenpost.de/berlin/article230157322/Coronavirus-Schulen-Berlin-Infektionen-Corona-Schueler-Lehrer-Eltern.html",1,c(13.4483848, 52.5594133, 0)
"Thomas Mann Gymnasium (Berlin)",13.3511108,52.59852,"https://www.berliner-zeitung.de/mensch-metropole/mindestens-acht-corona-faelle-an-schulen-gymnasium-geschlossen-li.98509",1,c(13.3511108, 52.59852, 0)
"Freiherr-von-Vincke-Schule (Minden)",8.88121,52.30236,"https://www.mt.de/lokales/minden/Bis-Montag-geschlossen-Positiver-Corona-Fall-an-Vincke-Realschule-22842220.html",1,c(8.88121, 52.30236, 0)
"Anne-Frank-Grundschule (Teltow)",13.2782186,52.3917687,"https://m.pnn.de/potsdam-mittelmark/positives-testergebnis-von-reiserueckkehrern-coronafall-an-teltower-anne-frank-grundschule/26092386.html?utm_referrer=https%3A%2F%2Fwww.google.de%2F",1,c(13.2782186, 52.3917687, 0)
"Stadtteilschule Eidelstedt (Hamburg)",9.888289,53.6131019,"https://www.abendblatt.de/hamburg/article230167120/Corona-Schule-Hamburg-Infektion-Testzentrum-Reiserueckkehrer.html",1,c(9.888289, 53.6131019, 0)
"Werner-von-Siemens-Schule (Schwerin)",11.3644362,53.6498665,"https://www.sueddeutsche.de/bildung/schulen-schwerin-corona-fall-an-schweriner-schule-schule-bleibt-geoeffnet-dpa.urn-newsml-dpa-com-20090101-200814-99-167653",1,c(11.3644362, 53.6498665, 0)
"Internationale Friedensschule (Köln)",6.8388287,50.9628793,"https://www.ksta.de/koeln/nach-positivem-corona-test-koelner-grundschule-voruebergehend-geschlossen-37183254",1,c(6.8388287, 50.9628793, 0)
"Katholische Marienschule (Potsdam)",13.1152579,52.39572,"https://www.welt.de/regionales/berlin/article213570140/Zwei-Schueler-in-Potsdamer-Schulen-mit-Coronavirus-angesteckt.html",1,c(13.1152579, 52.39572, 0)
"Schulzentrum am Stern ""F"" (Potsdam)",13.12458,52.37974,"https://www.welt.de/regionales/berlin/article213570140/Zwei-Schueler-in-Potsdamer-Schulen-mit-Coronavirus-angesteckt.html",1,c(13.12458, 52.37974, 0)
"Kath. Grundschule Birkesdorf (Düren)",6.46111,50.82439,"https://www.radiorur.de/artikel/weitere-lehrer-und-schueler-in-quarantaene-682929.html",1,c(6.46111, 50.82439, 0)
"OGS „Arche Noah“ (Willich)",6.53543,51.25833,"https://rp-online.de/nrw/staedte/willich/an-der-wekelner-grundschule-in-willich-wurde-ein-kind-positiv-auf-corona-getestet_aid-52773115",1,c(6.53543, 51.25833, 0)
"Ludgerischule Dingden (Hamminkeln)",6.61252,51.76882,"https://rp-online.de/nrw/staedte/wesel/corona-hamminkeln-lehrerin-positiv-getestet-schule-in-dingden-geschlossen_aid-52764149",1,c(6.61252, 51.76882, 0)
"Sekundarschule (Neuss)",6.7137391,51.1774009,"https://rp-online.de/nrw/staedte/neuss/neuss-corona-fall-an-der-sekundarschule-test-positiv_aid-52757419",1,c(6.7137391, 51.1774009, 0)
"Stadtteilschule Altona (Hamburg)",9.9458551,53.5670125,"https://www.sueddeutsche.de/bildung/schulen-hamburg-zahl-neuer-corona-faelle-an-hamburgs-schulen-weiter-niedrig-dpa.urn-newsml-dpa-com-20090101-200814-99-171946",1,c(9.9458551, 53.5670125, 0)
"Albert-Einstein-Gymnasium (Kaarst)",6.6147784,51.2256465,"https://rp-online.de/nrw/staedte/kaarst/kaarst-schuelerin-am-aeg-positiv-auf-corona-getestet_aid-52763801",1,c(6.6147784, 51.2256465, 0)
"Verbundene Haupt- und Realschule mit Grundschule (Schönberg)",10.928189,53.856431,"https://www.sueddeutsche.de/bildung/schulen-schwerin-weitere-schulen-in-mv-von-corona-betroffen-dpa.urn-newsml-dpa-com-20090101-200814-99-167653",1,c(10.928189, 53.856431, 0)
"Hoffmann-von-Fallersleben-Grundschule (Berlin)",13.2952354,52.5874635,"https://www.berliner-zeitung.de/mensch-metropole/weitere-infektionsfaelle-an-berliner-schulen-gemeldet-li.98818",1,c(13.2952354, 52.5874635, 0)
"Otfried-Preußler-Grundschule (Berlin)",13.2273668,52.612839,"https://www.berliner-zeitung.de/mensch-metropole/weitere-infektionsfaelle-an-berliner-schulen-gemeldet-li.98818",1,c(13.2273668, 52.612839, 0)
"Sonnen-Grundschule (Berlin)",13.466678,52.4720013,"https://www.berliner-zeitung.de/mensch-metropole/weitere-infektionsfaelle-an-berliner-schulen-gemeldet-li.98818",1,c(13.466678, 52.4720013, 0)
"Hugo-Heimann-Schule (Berlin)",13.45705,52.42538,"https://www.berliner-zeitung.de/mensch-metropole/weitere-infektionsfaelle-an-berliner-schulen-gemeldet-li.98818",1,c(13.45705, 52.42538, 0)
"Hector-Peterson-Schule (Berlin)",13.3843266,52.4984866,"https://www.berliner-zeitung.de/mensch-metropole/weitere-infektionsfaelle-an-berliner-schulen-gemeldet-li.98818",1,c(13.3843266, 52.4984866, 0)
"Lina-Morgenstern-Oberschule (Berlin)",13.3898566,52.4921668,"https://www.berliner-zeitung.de/mensch-metropole/weitere-infektionsfaelle-an-berliner-schulen-gemeldet-li.98818",1,c(13.3898566, 52.4921668, 0)
"Gutenberg-Gymnasium (Bergheim)",6.6340619,50.9498138,"http://gugy.de/aktuelle-mitteilung-stand-13-08-20-1555h/",1,c(6.6340619, 50.9498138, 0)
