month,union,spd,gru,fdp,lin,afd
2011-05,20.4,38.6,22.5,2.4,5.6,0
2014-02,21,37,17,3,9,5
2014-06,28,40,16,0,8,3
2015-04,23.2,37,14.8,5.7,8.1,5
2015-05,22.4,32.8,15.1,6.6,9.5,5.5
2016-05,22,29,16,7,10,11
2017-01,24,29,13,8,11,11
2018-05,24,24,14,8,16,9.5
2018-08,24,28,14,10,14,8
2018-09,26,26,20,7,12,6
2019-02,25,24,18,6,13,8
2019-04,26.3333333333333,24.3333333333333,18.1666666666667,5.75,11.6666666666667,7
2019-05,26.7,24.9,17.4,5.9,11.3,6.1
2021-09,,,,,,
