land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Kroatien,Croatia,Sisacko-moslavacka županija,HR,HR028,keine Daten,keine Daten,keine Daten,3,0,1,1,0,0,0,0,1,6,14,23,16,14,14,4,16,34,48,55,42,20,16,107,174,194,383,526,547,537,721,1043,1215,1467,1360,961,578,412,467,389,334,234,128,98,108,115,97,94,120,169,246,336,443
Kroatien,Croatia,Primorsko-goranska županija,HR,HR031,keine Daten,keine Daten,keine Daten,1,0,0,0,0,0,0,0,1,7,11,7,9,13,6,5,15,30,49,60,52,43,63,78,73,119,315,484,619,739,918,1138,1233,1438,1403,1047,678,464,365,242,193,179,161,133,158,257,445,766,1148,1468,1445,1335,1237
Kroatien,Croatia,Licko-senjska županija,HR,HR032,keine Daten,keine Daten,keine Daten,14,0,0,0,0,0,0,0,0,0,9,16,7,0,0,11,29,56,74,104,99,131,142,171,203,331,523,465,413,568,1087,1477,1439,1468,1213,704,386,264,205,126,138,156,171,156,171,262,370,489,577,613,566,505,476
Kroatien,Croatia,Zadarska županija,HR,HR033,keine Daten,keine Daten,keine Daten,7,2,1,1,0,0,0,0,2,8,14,32,33,12,9,12,39,104,130,128,118,80,48,40,53,89,165,243,324,417,717,1038,1045,1053,981,627,356,286,254,220,198,187,151,106,144,221,293,377,536,779,907,870,769
Kroatien,Croatia,Šibensko-kninska županija,HR,HR034,keine Daten,keine Daten,keine Daten,9,7,2,2,1,0,0,0,2,4,13,27,25,25,21,10,80,193,192,135,98,65,40,33,46,111,258,374,425,496,707,990,1108,1387,1371,899,548,342,306,314,295,208,159,139,171,204,267,490,816,1143,1140,1026,1034
Kroatien,Croatia,Splitsko-dalmatinska županija,HR,HR035,keine Daten,keine Daten,keine Daten,23,16,17,11,1,0,0,0,4,8,10,21,26,36,43,42,89,216,282,253,195,141,117,100,139,237,457,595,669,794,967,1207,1185,1157,1092,727,461,398,335,260,234,241,219,176,204,259,308,421,606,721,814,895,860
Kroatien,Croatia,Istarska županija,HR,HR036,keine Daten,keine Daten,keine Daten,2,0,0,1,0,0,0,0,2,4,3,22,33,51,44,7,12,44,52,35,27,13,10,12,13,48,202,275,362,478,521,607,566,546,515,393,256,191,169,92,55,44,33,30,30,29,51,71,84,99,100,115,114
Kroatien,Croatia,Dubrovacko-neretvanska županija,HR,HR037,keine Daten,keine Daten,keine Daten,10,5,5,2,0,0,0,0,3,7,17,29,27,17,12,12,26,73,115,179,176,97,69,111,155,214,393,558,607,582,630,675,499,427,396,253,174,154,187,166,158,180,163,217,391,514,487,472,541,644,640,580,500
Kroatien,Croatia,Grad Zagreb,HR,HR050,keine Daten,keine Daten,keine Daten,5,2,1,1,1,0,0,1,8,28,34,34,31,23,20,22,52,88,101,92,73,59,56,78,175,375,711,897,896,855,944,990,855,876,804,537,320,250,209,174,156,121,95,87,102,110,139,205,328,518,646,756,827
Kroatien,Croatia,Medimurska županija,HR,HR061,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,0,1,3,3,1,0,1,1,1,10,26,30,26,24,52,72,95,191,382,738,1064,1315,1419,1621,2015,2099,2037,1707,1148,748,604,520,346,254,238,207,145,138,157,176,187,279,424,579,865,1052
Kroatien,Croatia,Varaždinska županija,HR,HR062,keine Daten,keine Daten,keine Daten,9,7,1,0,0,0,0,0,0,2,4,5,4,5,7,5,11,40,43,26,24,13,11,26,90,236,509,856,1386,1690,1933,2248,2086,1820,1459,875,522,461,376,267,218,187,151,120,104,134,227,348,468,554,718,942,988
Kroatien,Croatia,Koprivnicko-križevacka županija,HR,HR063,keine Daten,keine Daten,keine Daten,38,21,17,16,5,3,2,2,1,4,3,1,3,5,3,2,3,24,40,49,43,18,26,43,49,108,260,368,464,643,1014,1287,1415,1502,1235,764,397,290,263,222,204,175,126,92,106,98,80,92,99,169,277,373,495
Kroatien,Croatia,Krapinsko-zagorska županija,HR,HR064,keine Daten,keine Daten,keine Daten,18,6,0,0,0,0,0,0,1,2,2,7,6,6,6,2,10,19,33,45,49,71,91,135,237,470,857,1019,1016,978,1170,1550,1646,1624,1228,672,371,249,215,139,107,107,76,60,70,75,101,148,184,224,273,321,381
Kroatien,Croatia,Zagrebacka županija,HR,HR065,keine Daten,keine Daten,keine Daten,4,2,0,0,0,0,0,0,3,12,14,13,14,13,8,6,22,43,53,56,48,47,55,64,120,243,470,644,754,769,940,1179,843,1068,1456,982,518,417,394,274,230,192,139,116,122,138,162,228,350,541,636,777,979
Kroatien,Croatia,Bjelovarsko-bilogorska županija,HR,HR021,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,0,1,2,3,3,1,13,20,7,6,15,19,65,103,85,71,70,105,188,402,531,450,446,617,790,952,1208,1267,941,566,423,366,244,174,149,93,60,43,40,60,107,192,362,436,422,475
Zypern,Cyprus,Kýpros,CY,CY0,34,55,38,14,11,7,4,4,4,4,4,2,1,2,3,4,4,16,24,20,22,15,4,6,12,19,29,31,108,206,216,257,284,321,369,395,550,625,474,747,899,506,282,210,194,184,172,268,432,547,608,577,636,793,991,1231
Tschechien,Czechia,Ústecký kraj,CZ,CZ042,keine Daten,35,19,10,4,3,4,4,4,4,1,1,1,1,1,2,9,12,12,13,13,20,33,67,140,199,247,415,735,1245,1469,1342,1072,725,545,502,568,712,795,976,1233,1026,722,672,723,846,1105,1441,1675,1764,1638,1367,1000,743,609,439
Tschechien,Czechia,Liberecký kraj,CZ,CZ051,keine Daten,24,9,2,1,0,1,1,0,0,1,10,13,13,12,12,19,19,18,14,14,27,45,92,199,251,341,613,1021,1514,1546,1452,1300,858,615,578,699,940,1055,1243,1660,1615,1235,1096,1142,1233,1472,1893,2121,2082,1753,1273,855,611,471,306
Tschechien,Czechia,Karlovarský kraj,CZ,CZ041,keine Daten,41,39,47,47,25,10,8,6,8,11,5,4,-4,-6,1,1,8,11,6,12,23,57,127,198,210,222,327,645,988,1016,1034,931,605,392,394,454,598,689,868,1356,1449,1504,1986,2225,2124,2220,2365,1833,1174,859,501,280,209,160,106
Tschechien,Czechia,Kraj Vysocina,CZ,CZ063,keine Daten,12,6,2,2,1,1,1,1,0,0,1,1,4,7,8,30,36,18,22,42,48,68,119,188,266,344,618,1024,1411,1552,1684,1651,1154,846,702,640,784,888,1082,1401,1226,799,645,639,665,742,965,1230,1347,1290,1140,928,768,637,467
Tschechien,Czechia,Jihomoravský kraj,CZ,CZ064,keine Daten,16,10,7,5,4,5,3,5,5,4,4,4,4,4,11,17,20,21,21,29,43,68,117,180,225,313,536,853,1241,1205,1094,997,638,486,456,519,655,728,905,1236,1147,820,716,693,705,819,1026,1191,1209,1098,930,703,551,455,353
Tschechien,Czechia,Královéhradecký kraj,CZ,CZ052,keine Daten,15,7,1,1,2,2,1,1,1,1,2,3,3,4,5,8,15,19,20,25,29,47,107,164,183,251,477,976,1722,1869,1543,1194,774,603,537,635,885,1150,1632,2239,2122,1789,1871,1984,2054,2105,2140,1935,1549,1097,712,439,268,195,136
Tschechien,Czechia,Pardubický kraj,CZ,CZ053,keine Daten,31,15,6,4,2,2,2,1,1,1,3,5,3,3,4,14,22,19,25,38,41,62,135,202,228,266,481,846,1346,1568,1515,1343,970,718,578,652,867,965,1300,1756,1546,1120,1063,1155,1314,1557,1868,2011,1909,1614,1220,893,709,570,383
Tschechien,Czechia,Hlavní mesto Praha,CZ,CZ010,keine Daten,54,37,16,10,11,15,16,13,13,14,16,13,12,13,21,43,57,57,66,76,97,157,266,423,478,524,740,1057,1352,1157,726,534,411,342,357,434,648,858,1109,1305,1028,738,743,840,955,1132,1437,1569,1404,1154,873,602,449,355,266
Tschechien,Czechia,Stredoceský kraj,CZ,CZ020,keine Daten,29,20,8,6,5,8,7,3,3,6,6,5,9,9,12,24,29,31,34,36,49,89,169,280,343,400,636,1016,1457,1476,1197,928,635,522,509,617,809,937,1228,1541,1301,969,912,1001,1145,1419,1825,2024,1923,1601,1207,802,552,426,309
Tschechien,Czechia,Jihoceský kraj,CZ,CZ031,keine Daten,11,7,3,2,1,1,0,1,2,1,0,2,2,2,5,12,20,21,19,29,36,59,102,170,209,285,554,1009,1527,1660,1632,1375,798,513,461,486,570,685,884,1179,1128,831,744,744,764,905,1167,1521,1689,1613,1383,984,755,634,485
Tschechien,Czechia,Plzenský kraj,CZ,CZ032,keine Daten,65,53,16,9,6,6,5,2,1,1,1,2,2,1,2,6,10,19,33,34,34,58,126,221,266,343,594,1144,1721,1553,1101,872,633,499,472,519,700,842,930,1129,1064,912,983,1172,1409,1800,2316,2406,2110,1657,1108,659,444,320,213
Tschechien,Czechia,Zlínský kraj,CZ,CZ072,keine Daten,23,17,11,6,2,3,5,4,1,1,1,1,1,6,13,14,14,16,25,27,26,38,101,210,294,428,754,1345,2029,1993,1725,1388,847,686,628,729,998,1118,1354,1729,1416,893,691,542,477,530,696,828,884,862,813,770,690,616,550
Tschechien,Czechia,Moravskoslezský kraj,CZ,CZ080,keine Daten,37,35,22,19,12,13,32,29,20,20,28,93,113,68,56,53,45,43,39,34,33,36,63,125,168,267,516,817,1228,1365,1340,1162,737,573,590,729,1064,1286,1553,1919,1589,990,744,632,602,698,892,997,997,954,849,684,596,540,410
Tschechien,Czechia,Olomoucký kraj,CZ,CZ071,keine Daten,53,37,14,7,5,5,3,3,14,16,8,10,6,6,8,8,17,17,11,21,27,35,74,139,236,357,571,1104,1723,1643,1399,1160,696,518,510,621,797,840,1036,1363,1214,892,787,728,732,834,1001,1168,1251,1190,1002,716,624,600,437
Dänemark,Denmark,Nordjylland,DK,DK05,25,33,18,9,10,7,2,2,2,0,7,13,14,11,6,4,3,7,10,15,17,16,20,49,95,107,95,97,107,170,253,239,181,142,107,116,234,400,466,440,371,265,190,131,83,86,87,73,57,99,127,37,34,111,129,143
Dänemark,Denmark,Syddanmark,DK,DK03,26,35,22,9,6,4,6,6,3,2,2,1,1,1,1,2,3,6,9,11,13,15,27,46,58,69,69,61,73,111,151,165,167,209,229,223,291,413,428,346,289,212,153,118,89,93,133,155,140,182,212,164,121,112,111,104
Dänemark,Denmark,Midtjylland,DK,DK04,28,51,42,26,20,10,5,3,2,1,2,2,3,2,1,2,3,12,47,70,49,28,22,27,46,77,100,111,109,138,187,198,221,251,245,284,454,602,532,429,368,228,125,83,61,68,78,68,63,123,145,54,46,101,129,149
Dänemark,Denmark,Hovedstaden,DK,DK01,74,129,108,73,68,55,38,30,27,20,18,21,17,7,7,15,17,17,18,25,26,24,51,102,162,195,163,121,131,211,320,368,368,395,462,630,993,1252,1118,806,569,411,291,206,141,124,128,149,171,193,230,233,234,240,248,248
