typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Kreisfreie Stadt,104291,Niedersachsen,Salzgitter,de-ni-03102000,52.12447444,10.37072623,660,637.359674965821,15,261.917234154007,57,559.426832858966,202,853.436985085977,236,697.915126423185,107,461.127391828995,40,520.359047742943
Kreisfreie Stadt,124371,Niedersachsen,Wolfsburg,de-ni-03103000,52.41074739,10.78487077,1627,1313.79198966408,30,454.201362604088,163,1480.74127906977,507,1747.07098552722,637,1509.72910198374,203,783.481281358549,87,902.95796574987
Landkreis,176523,Niedersachsen,Gifhorn,de-ni-03151000,52.58025623,10.60417046,2004,1131.31746291479,55,590.699173021158,263,1535.49743110696,637,1693.74351883858,759,1186.03015860614,238,628.698224852071,48,451.807228915663
Landkreis,136292,Niedersachsen,Goslar,de-ni-03153000,51.87467716,10.40039267,1204,893.91779520076,37,749.746707193516,92,917.79728651237,377,1314.00090620752,410,907.581627006087,190,540.617442025893,97,787.209868527836
Landkreis,91297,Niedersachsen,Helmstedt,de-ni-03154000,52.26074433,10.88883872,854,933.149762888175,14,331.832187722209,69,878.980891719745,252,1365.40962288687,334,1031.30982523313,142,662.220771347293,40,576.119832925248
Landkreis,132285,Niedersachsen,Northeim,de-ni-03155000,51.74258733,9.848008931,1607,1219.53070455028,40,740.055504162812,145,1323.47572106608,521,1982.57163514593,573,1262.0589401348,255,772.306014900963,73,650.334075723831
Landkreis,134801,Niedersachsen,Peine,de-ni-03157000,52.30419133,10.25528781,1140,840.670180501163,44,660.859116851908,121,932.994062765055,327,1155.06888025433,463,951.500205507604,141,486.19013137478,44,478.104965772031
Landkreis,119622,Niedersachsen,Wolfenbüttel,de-ni-03158000,52.12699752,10.5839538,1022,857.063865081559,31,600.77519379845,111,1102.94117647059,312,1263.56714725417,392,925.357631839856,140,491.124675506911,36,407.331975560081
Landkreis,326041,Niedersachsen,Göttingen,de-ni-03159000,51.49893902,9.926235131,2494,769.990737882062,65,468.873981100772,215,797.625672416991,951,1160.5486673826,814,766.204183060675,334,455.208319136467,115,485.888118979212
Landkreis,1157115,Niedersachsen,Region Hannover,de-ni-03241000,52.42193707,9.719799048,8127,703.435382098621,167,299.186642301766,793,761.22640966076,2815,1005.50078582655,3006,754.483984157342,1021,427.764021735943,325,405.93540006495
