"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Bielefeld","Kreisfreie Stadt","Nordrhein-Westfalen","333509","546","94161","1042.8504178298","3478","1","de-nw-05711000",52.01094862,8.540743897,"29.4.2022"
"Gütersloh","Kreis","Nordrhein-Westfalen","364818","457","118697","644.430921719871","2351","0","de-nw-05754000",51.93170893,8.351386053,"29.4.2022"
"Herford","Kreis","Nordrhein-Westfalen","250547","325","82439","788.674380455563","1976","0","de-nw-05758000",52.16757781,8.643931639,"29.4.2022"
"Höxter","Kreis","Nordrhein-Westfalen","139729","199","35759","706.367325322589","987","0","de-nw-05762000",51.68494074,9.178091498,"29.4.2022"
"Lippe","Kreis","Nordrhein-Westfalen","346970","576","96397","713.606363662564","2476","0","de-nw-05766000",51.98142265,8.950837273,"29.4.2022"
"Minden-Lübbecke","Kreis","Nordrhein-Westfalen","310270","453","107446","927.25690527605","2877","0","de-nw-05770000",52.3524755,8.739348393,"29.4.2022"
"Paderborn","Kreis","Nordrhein-Westfalen","308335","216","74503","884.427651742423","2727","0","de-nw-05774000",51.66417546,8.719635033,"29.4.2022"
"Bochum","Kreisfreie Stadt","Nordrhein-Westfalen","364454","419","87751","584.984661987521","2132","0","de-nw-05911000",51.46992737,7.224935232,"29.4.2022"
"Dortmund","Kreisfreie Stadt","Nordrhein-Westfalen","587696","534","160609","774.209795540552","4550","1","de-nw-05913000",51.51607757,7.474900905,"29.4.2022"
"Hagen","Kreisfreie Stadt","Nordrhein-Westfalen","188687","472","54294","665.122663458532","1255","1","de-nw-05914000",51.34804507,7.497555538,"29.4.2022"
"Hamm","Kreisfreie Stadt","Nordrhein-Westfalen","178967","281","53081","781.708359641722","1399","0","de-nw-05915000",51.6651744,7.823586193,"29.4.2022"
"Herne","Kreisfreie Stadt","Nordrhein-Westfalen","156940","359","44248","611.698738371352","960","0","de-nw-05916000",51.53753324,7.208557615,"29.4.2022"
"Ennepe-Ruhr-Kreis","Kreis","Nordrhein-Westfalen","323130","539","78923","472.874694395445","1528","1","de-nw-05954000",51.34684479,7.324029334,"29.4.2022"
"Hochsauerlandkreis","Kreis","Nordrhein-Westfalen","259030","267","71719","999.498127630004","2589","0","de-nw-05958000",51.30682538,8.385079867,"29.4.2022"
"Märkischer Kreis","Kreis","Nordrhein-Westfalen","408662","623","120248","818.280143492666","3344","1","de-nw-05962000",51.26261144,7.713008099,"29.4.2022"
"Olpe","Kreis","Nordrhein-Westfalen","133362","202","34608","704.84845758162","940","0","de-nw-05966000",51.08615959,7.976477266,"29.4.2022"
"Siegen-Wittgenstein","Kreis","Nordrhein-Westfalen","275491","266","79563","993.861868445793","2738","0","de-nw-05970000",50.93773864,8.195170269,"29.4.2022"
"Soest","Kreis","Nordrhein-Westfalen","301016","354","77714","688.999920270019","2074","0","de-nw-05974000",51.5644105,8.217437438,"29.4.2022"
"Unna","Kreis","Nordrhein-Westfalen","393618","653","97284","812.716898109334","3199","0","de-nw-05978000",51.57857454,7.636444585,"29.4.2022"
"Darmstadt","Kreisfreie Stadt","Hessen","159174","205","40919","850.013193109427","1353","1","de-he-06411000",49.88144614,8.664681555,"29.4.2022"
"Frankfurt am Main","Kreisfreie Stadt","Hessen","764104","1207","221399","777.511961722488","5941","1","de-he-06412000",50.1179681,8.644190394,"29.4.2022"
"Offenbach am Main","Kreisfreie Stadt","Hessen","130892","266","41822","553.89175809064","725","1","de-he-06413000",50.09107877,8.780962265,"29.4.2022"
"Wiesbaden","Kreisfreie Stadt","Hessen","278609","395","80944","770.97294057263","2148","1","de-he-06414000",50.07915667,8.260366469,"29.4.2022"
"Bergstraße","Landkreis","Hessen","271015","450","77488","920.244266922495","2494","0","de-he-06431000",49.61770122,8.660116116,"29.4.2022"
"Darmstadt-Dieburg","Landkreis","Hessen","297701","426","75117","793.077618147067","2361","1","de-he-06432000",49.85550385,8.795469879,"29.4.2022"
"Groß-Gerau","Landkreis","Hessen","275807","374","74063","712.092151395722","1964","0","de-he-06433000",49.90450861,8.470252477,"29.4.2022"
"Hochtaunuskreis","Landkreis","Hessen","237281","265","58396","927.592179736262","2201","0","de-he-06434000",50.28161525,8.504646058,"29.4.2022"
"Main-Kinzig-Kreis","Landkreis","Hessen","421689","845","122640","892.12666206612","3762","1","de-he-06435000",50.24386452,9.286222992,"29.4.2022"
"Main-Taunus-Kreis","Landkreis","Hessen","239264","298","62381","834.642904908386","1997","0","de-he-06436000",50.10257891,8.434571215,"29.4.2022"
"Odenwaldkreis","Landkreis","Hessen","96754","223","28069","846.476631457097","819","1","de-he-06437000",49.67158617,8.979525239,"29.4.2022"
"Offenbach","Landkreis","Hessen","356542","751","101737","752.78648798739","2684","0","de-he-06438000",50.02167746,8.811439146,"29.4.2022"
"Rheingau-Taunus-Kreis","Landkreis","Hessen","187433","217","48447","828.562739752338","1553","0","de-he-06439000",50.14197172,8.081134713,"29.4.2022"
"Wetteraukreis","Landkreis","Hessen","310353","639","80922","817.778465167084","2538","0","de-he-06440000",50.35477648,8.907657059,"29.4.2022"
"Gießen","Landkreis","Hessen","271667","409","77329","1021.47113929922","2775","0","de-he-06531000",50.5702779,8.807513717,"29.4.2022"
"Lahn-Dill-Kreis","Landkreis","Hessen","253373","309","70858","1026.54979023021","2601","1","de-he-06532000",50.64826873,8.36532824,"29.4.2022"
"Limburg-Weilburg","Landkreis","Hessen","172291","350","47963","823.026159230604","1418","0","de-he-06533000",50.42747035,8.199437238,"29.4.2022"
"Marburg-Biedenkopf","Landkreis","Hessen","245903","344","66501","1052.8541742069","2589","0","de-he-06534000",50.83686383,8.738043768,"29.4.2022"
"Vogelsbergkreis","Landkreis","Hessen","105506","123","29024","1340.20813982143","1414","0","de-he-06535000",50.63811937,9.271379509,"29.4.2022"
"Kassel","Kreisfreie Stadt","Hessen","201048","264","47818","988.321196928097","1987","1","de-he-06611000",51.31145481,9.46020305,"29.4.2022"
"Fulda","Landkreis","Hessen","223023","384","79216","1096.74786905386","2446","0","de-he-06631000",50.56388099,9.759139165,"29.4.2022"
"Hersfeld-Rotenburg","Landkreis","Hessen","120304","220","30727","1394.79984040431","1678","1","de-he-06632000",50.90618961,9.752932406,"29.4.2022"
"Kassel","Landkreis","Hessen","237007","284","49612","1185.19706169016","2809","3","de-he-06633000",51.40129614,9.407038916,"29.4.2022"
"Schwalm-Eder-Kreis","Landkreis","Hessen","179840","282","42826","1152.69128113879","2073","1","de-he-06634000",51.02377582,9.373652339,"29.4.2022"
"Waldeck-Frankenberg","Landkreis","Hessen","156528","179","39409","1268.78258203005","1986","0","de-he-06635000",51.19068757,8.88888422,"29.4.2022"
"Werra-Meißner-Kreis","Landkreis","Hessen","100046","206","23988","1071.5071067309","1072","0","de-he-06636000",51.19075638,9.928906207,"29.4.2022"
"Koblenz","Kreisfreie Stadt","Rheinland-Pfalz","113388","184","30904","674.674568737433","765","0","de-rp-07111000",50.34851606,7.579551024,"29.4.2022"
"Ahrweiler","Landkreis","Rheinland-Pfalz","130479","93","29896","596.264532989983","778","0","de-rp-07131000",50.46758532,7.044976439,"29.4.2022"
"Altenkirchen (Westerwald)","Landkreis","Rheinland-Pfalz","129087","138","31636","734.388435706152","948","0","de-rp-07132000",50.75074766,7.74412526,"29.4.2022"
"Bad Kreuznach","Landkreis","Rheinland-Pfalz","158746","175","44930","993.410857596412","1577","0","de-rp-07133000",49.82482041,7.686664992,"29.4.2022"
"Birkenfeld","Landkreis","Rheinland-Pfalz","80830","146","22035","821.477174316467","664","0","de-rp-07134000",49.71254039,7.277654598,"29.4.2022"
"Cochem-Zell","Landkreis","Rheinland-Pfalz","61578","93","15972","1146.51336516288","706","0","de-rp-07135000",50.13288001,7.174319965,"29.4.2022"
"Mayen-Koblenz","Landkreis","Rheinland-Pfalz","214786","228","56983","720.251785498124","1547","1","de-rp-07137000",50.33160787,7.332169432,"29.4.2022"
"Neuwied","Landkreis","Rheinland-Pfalz","183131","241","43586","582.643026030546","1067","0","de-rp-07138000",50.55770055,7.46900065,"29.4.2022"
"Rhein-Hunsrück-Kreis","Landkreis","Rheinland-Pfalz","103401","126","24322","537.712401234031","556","0","de-rp-07140000",50.04420982,7.500099712,"29.4.2022"
"Rhein-Lahn-Kreis","Landkreis","Rheinland-Pfalz","122574","119","29449","763.620343629155","936","0","de-rp-07141000",50.26328174,7.842709936,"29.4.2022"
"Westerwaldkreis","Landkreis","Rheinland-Pfalz","202830","234","52972","796.233298821673","1615","0","de-rp-07143000",50.55234937,7.865681372,"29.4.2022"
"Trier","Kreisfreie Stadt","Rheinland-Pfalz","110674","59","27400","792.417369933318","877","0","de-rp-07211000",49.76293883,6.655051022,"29.4.2022"
"Bernkastel-Wittlich","Landkreis","Rheinland-Pfalz","112685","109","26576","706.393929981808","796","3","de-rp-07231000",49.92464518,6.967218622,"29.4.2022"
"Eifelkreis Bitburg-Prüm","Landkreis","Rheinland-Pfalz","100055","52","22936","444.755384538504","445","1","de-rp-07232000",50.06215977,6.410129965,"29.4.2022"
"Vulkaneifel","Landkreis","Rheinland-Pfalz","60491","84","17673","1248.11955497512","755","0","de-rp-07233000",50.23833585,6.748653732,"29.4.2022"
"Trier-Saarburg","Landkreis","Rheinland-Pfalz","150533","134","37306","841.675911594136","1267","0","de-rp-07235000",49.69647113,6.695195596,"29.4.2022"
"Frankenthal (Pfalz)","Kreisfreie Stadt","Rheinland-Pfalz","48750","88","13225","508.717948717949","248","1","de-rp-07311000",49.53306403,8.356883799,"29.4.2022"
"Kaiserslautern","Kreisfreie Stadt","Rheinland-Pfalz","99662","204","28794","1067.60851678674","1064","1","de-rp-07312000",49.4328526,7.760674748,"29.4.2022"
"Landau in der Pfalz","Kreisfreie Stadt","Rheinland-Pfalz","46685","64","10161","486.237549534112","227","0","de-rp-07313000",49.22449388,8.05060076,"29.4.2022"
"Ludwigshafen am Rhein","Kreisfreie Stadt","Rheinland-Pfalz","172557","415","48858","405.663056265466","700","0","de-rp-07314000",49.48208767,8.396844536,"29.4.2022"
"Mainz","Kreisfreie Stadt","Rheinland-Pfalz","217123","256","62420","789.874863556602","1715","0","de-rp-07315000",49.97418652,8.241497085,"29.4.2022"
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz","53306","63","14307","763.516302104829","407","0","de-rp-07316000",49.34187582,8.152287859,"29.4.2022"
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz","40176","93","9623","816.407805655118","328","0","de-rp-07317000",49.19712709,7.594363165,"29.4.2022"
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz","50741","115","15021","482.844248241067","245","0","de-rp-07318000",49.32971814,8.435019749,"29.4.2022"
"Worms","Kreisfreie Stadt","Rheinland-Pfalz","83459","136","25134","842.329766711799","703","1","de-rp-07319000",49.64944553,8.324528631,"29.4.2022"
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz","34001","26","8224","908.796800094115","309","0","de-rp-07320000",49.24816069,7.36539389,"29.4.2022"
"Alzey-Worms","Landkreis","Rheinland-Pfalz","130715","189","34944","957.043950579505","1251","1","de-rp-07331000",49.7594414,8.15718502,"29.4.2022"
"Bad Dürkheim","Landkreis","Rheinland-Pfalz","133004","217","31850","739.075516525819","983","0","de-rp-07332000",49.4530206,8.110304937,"29.4.2022"
"Donnersbergkreis","Landkreis","Rheinland-Pfalz","75539","107","20265","955.797667430069","722","0","de-rp-07333000",49.63198305,7.915011327,"29.4.2022"
"Germersheim","Landkreis","Rheinland-Pfalz","129006","205","41269","1002.27896376913","1293","1","de-rp-07334000",49.11590817,8.24619377,"29.4.2022"
"Kaiserslautern","Landkreis","Rheinland-Pfalz","106320","147","34548","1365.68848758465","1452","0","de-rp-07335000",49.44622232,7.684981573,"29.4.2022"
"Kusel","Landkreis","Rheinland-Pfalz","70105","103","17550","844.447614292846","592","0","de-rp-07336000",49.54981086,7.471320282,"29.4.2022"
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz","110783","165","22861","522.643365859383","579","0","de-rp-07337000",49.19038234,8.048076004,"29.4.2022"
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz","154754","279","39438","458.146477635473","709","0","de-rp-07338000",49.41664998,8.360681086,"29.4.2022"
"Mainz-Bingen","Landkreis","Rheinland-Pfalz","211525","290","56557","828.270889965725","1752","0","de-rp-07339000",49.92201388,8.079648751,"29.4.2022"
"Südwestpfalz","Landkreis","Rheinland-Pfalz","94912","131","21849","1144.2178017532","1086","0","de-rp-07340000",49.20827474,7.65886719,"29.4.2022"
"Stuttgart","Stadtkreis","Baden-Württemberg","630305","669","169613","922.093272304678","5812","1","de-bw-08111000",48.77453396,9.172067988,"29.4.2022"
"Böblingen","Landkreis","Baden-Württemberg","392898","460","121746","636.297461427648","2500","0","de-bw-08115000",48.67822563,8.942777301,"29.4.2022"
"Esslingen","Landkreis","Baden-Württemberg","533617","802","165682","608.114059334691","3245","2","de-bw-08116000",48.64802168,9.369165728,"29.4.2022"
"Göppingen","Landkreis","Baden-Württemberg","258781","386","80896","428.934118038032","1110","0","de-bw-08117000",48.66314836,9.717504977,"29.4.2022"
"Ludwigsburg","Landkreis","Baden-Württemberg","544971","708","159451","563.516223799065","3071","0","de-bw-08118000",48.94060298,9.124344257,"29.4.2022"
"Rems-Murr-Kreis","Landkreis","Baden-Württemberg","427286","587","132229","944.098332264572","4034","0","de-bw-08119000",48.89900813,9.501212956,"29.4.2022"
"Heilbronn","Stadtkreis","Baden-Württemberg","126458","264","44550","521.91241360768","660","0","de-bw-08121000",49.15271959,9.182346901,"29.4.2022"
"Heilbronn","Landkreis","Baden-Württemberg","346363","324","115651","718.898958607011","2490","0","de-bw-08125000",49.17719852,9.190778723,"29.4.2022"
"Hohenlohekreis","Landkreis","Baden-Württemberg","112765","177","37147","811.42198377156","915","0","de-bw-08126000",49.27154614,9.614135781,"29.4.2022"
"Schwäbisch Hall","Landkreis","Baden-Württemberg","197860","332","63688","702.011523299303","1389","0","de-bw-08127000",49.14446897,9.908932168,"29.4.2022"
"Main-Tauber-Kreis","Landkreis","Baden-Württemberg","132684","193","40299","724.277230110639","961","0","de-bw-08128000",49.56070071,9.725088401,"29.4.2022"
"Heidenheim","Landkreis","Baden-Württemberg","132812","297","44760","536.096135891335","712","0","de-bw-08135000",48.66228146,10.18215043,"29.4.2022"
"Ostalbkreis","Landkreis","Baden-Württemberg","314294","566","104834","742.616785557472","2334","1","de-bw-08136000",48.87752597,10.09015736,"29.4.2022"
"Baden-Baden","Stadtkreis","Baden-Württemberg","55449","104","15707","598.748399430107","332","0","de-bw-08211000",48.74852744,8.231762203,"29.4.2022"
"Karlsruhe","Stadtkreis","Baden-Württemberg","308436","350","85801","743.103917830603","2292","0","de-bw-08212000",49.01133399,8.41266977,"29.4.2022"
"Karlsruhe","Landkreis","Baden-Württemberg","446852","689","137559","858.449777554985","3836","0","de-bw-08215000",49.08188493,8.562796642,"29.4.2022"
"Rastatt","Landkreis","Baden-Württemberg","232091","363","74169","730.747853212748","1696","0","de-bw-08216000",48.76181925,8.241247569,"29.4.2022"
"Heidelberg","Stadtkreis","Baden-Württemberg","158741","111","40016","646.965812235024","1027","0","de-bw-08221000",49.4055153,8.69417185,"29.4.2022"
"Mannheim","Stadtkreis","Baden-Württemberg","309721","475","95238","795.231837686176","2463","1","de-bw-08222000",49.49941904,8.500324438,"29.4.2022"
"Neckar-Odenwald-Kreis","Landkreis","Baden-Württemberg","143797","211","46894","730.196040251187","1050","0","de-bw-08225000",49.46660977,9.280110002,"29.4.2022"
"Rhein-Neckar-Kreis","Landkreis","Baden-Württemberg","548233","661","159097","771.387348080105","4229","0","de-bw-08226000",49.36848493,8.767084426,"29.4.2022"
"Pforzheim","Stadtkreis","Baden-Württemberg","126016","321","42988","618.175469781615","779","1","de-bw-08231000",48.87640055,8.712779093,"29.4.2022"
"Calw","Landkreis","Baden-Württemberg","160149","280","50372","619.42316218022","992","0","de-bw-08235000",48.67899906,8.635769829,"29.4.2022"
"Enzkreis","Landkreis","Baden-Württemberg","199752","337","62649","746.425567703953","1491","0","de-bw-08236000",48.91446693,8.737081203,"29.4.2022"
"Freudenstadt","Landkreis","Baden-Württemberg","118364","238","39518","763.745733500051","904","0","de-bw-08237000",48.47440617,8.465312971,"29.4.2022"
"Freiburg im Breisgau","Stadtkreis","Baden-Württemberg","230940","255","71231","724.430588031523","1673","0","de-bw-08311000",47.992523,7.818075962,"29.4.2022"
"Breisgau-Hochschwarzwald","Landkreis","Baden-Württemberg","264867","318","77540","712.433032427596","1887","0","de-bw-08315000",47.92490936,7.924940897,"29.4.2022"
"Emmendingen","Landkreis","Baden-Württemberg","166862","234","52187","842.612458198991","1406","0","de-bw-08316000",48.14851206,7.897550382,"29.4.2022"
"Ortenaukreis","Landkreis","Baden-Württemberg","432580","762","149827","591.56687780295","2559","0","de-bw-08317000",48.42097194,8.016219909,"29.4.2022"
"Rottweil","Landkreis","Baden-Württemberg","140166","273","50854","460.882096942197","646","0","de-bw-08325000",48.25422029,8.532351332,"29.4.2022"
"Schwarzwald-Baar-Kreis","Landkreis","Baden-Württemberg","212872","362","73080","383.798714720583","817","1","de-bw-08326000",48.01911974,8.410964353,"29.4.2022"
"Tuttlingen","Landkreis","Baden-Württemberg","141682","251","49661","431.247441453396","611","0","de-bw-08327000",48.01120044,8.794136176,"29.4.2022"
"Konstanz","Landkreis","Baden-Württemberg","286876","424","87731","565.749661874817","1623","0","de-bw-08335000",47.79321279,8.915763012,"29.4.2022"
"Lörrach","Landkreis","Baden-Württemberg","228842","413","66884","477.62211482158","1093","0","de-bw-08336000",47.70350402,7.774028828,"29.4.2022"
"Waldshut","Landkreis","Baden-Württemberg","171237","314","51248","472.444623533465","809","0","de-bw-08337000",47.69713347,8.218892391,"29.4.2022"
"Reutlingen","Landkreis","Baden-Württemberg","287497","440","92776","556.179716657913","1599","1","de-bw-08415000",48.40647635,9.365726299,"29.4.2022"
"Tübingen","Landkreis","Baden-Württemberg","228471","246","68784","760.70923662084","1738","0","de-bw-08416000",48.4817379,8.987634001,"29.4.2022"
"Zollernalbkreis","Landkreis","Baden-Württemberg","189862","235","62973","592.535631142619","1125","0","de-bw-08417000",48.26723891,8.937428398,"29.4.2022"
"Ulm","Stadtkreis","Baden-Württemberg","126405","114","41299","558.522210355603","706","0","de-bw-08421000",48.39083274,9.950021135,"29.4.2022"
"Alb-Donau-Kreis","Landkreis","Baden-Württemberg","198204","228","66118","633.186010373151","1255","0","de-bw-08425000",48.40171143,9.827447144,"29.4.2022"
"Biberach","Landkreis","Baden-Württemberg","202250","277","71574","787.639060568603","1593","0","de-bw-08426000",48.10758263,9.774254366,"29.4.2022"
"Bodenseekreis","Landkreis","Baden-Württemberg","217901","307","68332","720.969614641512","1571","0","de-bw-08435000",47.73346029,9.400770014,"29.4.2022"
"Ravensburg","Landkreis","Baden-Württemberg","285888","221","96642","755.190843966868","2159","0","de-bw-08436000",47.82504412,9.779894558,"29.4.2022"
"Sigmaringen","Landkreis","Baden-Württemberg","130946","168","48158","637.667435431399","835","0","de-bw-08437000",48.0391515,9.241003503,"29.4.2022"
"Ingolstadt","Kreisfreie Stadt","Bayern","136952","244","48517","600.210292657281","822","1","de-by-09161000",48.75509278,11.39500693,"29.4.2022"
"München","Kreisfreie Stadt","Bayern","1488202","1981","496184","617.99406263397","9197","0","de-by-09162000",48.15321316,11.54724418,"29.4.2022"
"Rosenheim","Kreisfreie Stadt","Bayern","63591","124","25026","762.68654369329","485","0","de-by-09163000",47.84437772,12.10872475,"29.4.2022"
"Altötting","Landkreis","Bayern","111654","324","43218","817.70469486091","913","0","de-by-09171000",48.20980443,12.70528268,"29.4.2022"
"Berchtesgadener Land","Landkreis","Bayern","106327","186","41372","533.26060172863","567","0","de-by-09172000",47.6984724,12.90186609,"29.4.2022"
"Bad Tölz-Wolfratshausen","Landkreis","Bayern","128212","178","45147","573.26927276698","735","0","de-by-09173000",47.72747715,11.4831154,"29.4.2022"
"Dachau","Landkreis","Bayern","155117","236","57118","828.406944435491","1285","0","de-by-09174000",48.33454826,11.35711281,"29.4.2022"
"Ebersberg","Landkreis","Bayern","144091","275","50611","1001.450472271","1443","0","de-by-09175000",48.07617761,11.91317212,"29.4.2022"
"Eichstätt","Landkreis","Bayern","133169","140","47219","721.639420585872","961","0","de-by-09176000",48.89808756,11.37038733,"29.4.2022"
"Erding","Landkreis","Bayern","138891","183","53291","786.948038389816","1093","1","de-by-09177000",48.30039708,12.0006247,"29.4.2022"
"Freising","Landkreis","Bayern","180313","213","61587","747.034323648323","1347","0","de-by-09178000",48.44735698,11.74067169,"29.4.2022"
"Fürstenfeldbruck","Landkreis","Bayern","218740","226","71187","851.238913778916","1862","0","de-by-09179000",48.18779329,11.20107762,"29.4.2022"
"Garmisch-Partenkirchen","Landkreis","Bayern","88279","148","28829","590.174333646734","521","0","de-by-09180000",47.55634898,11.12962861,"29.4.2022"
"Landsberg am Lech","Landkreis","Bayern","121019","122","40118","790.784918070716","957","0","de-by-09181000",48.02443538,10.94873468,"29.4.2022"
"Miesbach","Landkreis","Bayern","100183","182","35253","795.544154197818","797","0","de-by-09182000",47.74164533,11.80898974,"29.4.2022"
"Mühldorf a. Inn","Landkreis","Bayern","116483","302","49362","865.362327549943","1008","1","de-by-09183000",48.23931452,12.38182802,"29.4.2022"
"München","Landkreis","Bayern","349685","362","109625","633.999170682185","2217","0","de-by-09184000",48.0744744,11.63136804,"29.4.2022"
"Neuburg-Schrobenhausen","Landkreis","Bayern","97730","147","36749","703.980354036632","688","0","de-by-09185000",48.66442033,11.19721067,"29.4.2022"
"Pfaffenhofen a.d. Ilm","Landkreis","Bayern","129128","236","45919","655.938293786011","847","1","de-by-09186000",48.59627518,11.52428271,"29.4.2022"
"Rosenheim","Landkreis","Bayern","261721","701","104346","847.467341176291","2218","0","de-by-09187000",47.87837975,12.16275398,"29.4.2022"
"Starnberg","Landkreis","Bayern","136610","167","41055","723.958714588976","989","0","de-by-09188000",48.00604698,11.28173267,"29.4.2022"
"Traunstein","Landkreis","Bayern","177485","354","73745","638.92723328732","1134","0","de-by-09189000",47.89454276,12.57957507,"29.4.2022"
"Weilheim-Schongau","Landkreis","Bayern","136134","188","46682","797.743399885407","1086","0","de-by-09190000",47.78753703,11.04833647,"29.4.2022"
"Landshut","Kreisfreie Stadt","Bayern","73065","173","24610","595.360295627181","435","0","de-by-09261000",48.54466998,12.15934165,"29.4.2022"
"Passau","Kreisfreie Stadt","Bayern","52415","144","18128","553.27673375942","290","0","de-by-09262000",48.5820984,13.41505042,"29.4.2022"
"Straubing","Kreisfreie Stadt","Bayern","47612","130","16511","871.629001092162","415","0","de-by-09263000",48.88075448,12.57347487,"29.4.2022"
"Deggendorf","Landkreis","Bayern","119479","281","45433","568.300705563321","679","1","de-by-09271000",48.77870212,13.0007258,"29.4.2022"
"Freyung-Grafenau","Landkreis","Bayern","78355","217","31879","659.817497287984","517","0","de-by-09272000",48.82685817,13.51321006,"29.4.2022"
"Kelheim","Landkreis","Bayern","123390","158","45181","859.875192479131","1061","0","de-by-09273000",48.82494143,11.85755444,"29.4.2022"
"Landshut","Landkreis","Bayern","161191","300","59082","766.792190630991","1236","0","de-by-09274000",48.55775541,12.19539242,"29.4.2022"
"Passau","Landkreis","Bayern","193454","557","75769","757.285969791268","1465","0","de-by-09275000",48.55863045,13.36660359,"29.4.2022"
"Regen","Landkreis","Bayern","77313","253","32006","588.516808298734","455","0","de-by-09276000",49.02281441,13.09976379,"29.4.2022"
"Rottal-Inn","Landkreis","Bayern","121800","345","48728","810.344827586207","987","2","de-by-09277000",48.42451987,12.86735043,"29.4.2022"
"Straubing-Bogen","Landkreis","Bayern","101745","194","41401","1030.02604550592","1048","0","de-by-09278000",48.89970504,12.58240399,"29.4.2022"
"Dingolfing-Landau","Landkreis","Bayern","97244","224","38018","721.895438278968","702","0","de-by-09279000",48.64116462,12.61047719,"29.4.2022"
"Amberg","Kreisfreie Stadt","Bayern","42052","55","13008","549.31988966042","231","0","de-by-09361000",49.45092774,11.8453726,"29.4.2022"
"Regensburg","Kreisfreie Stadt","Bayern","152270","160","52548","619.951402114665","944","0","de-by-09362000",49.0130809,12.11373088,"29.4.2022"
"Weiden i.d. OPf.","Kreisfreie Stadt","Bayern","42535","118","14949","674.738450687669","287","0","de-by-09363000",49.66924961,12.15453393,"29.4.2022"
"Amberg-Sulzbach","Landkreis","Bayern","102998","219","32564","687.391988193946","708","0","de-by-09371000",49.48675113,11.80095321,"29.4.2022"
"Cham","Landkreis","Bayern","128094","269","47737","880.603306946461","1128","0","de-by-09372000",49.23706516,12.69547955,"29.4.2022"
"Neumarkt i.d. OPf.","Landkreis","Bayern","135225","244","46471","916.250693288963","1239","0","de-by-09373000",49.21596141,11.56655792,"29.4.2022"
"Neustadt a.d. Waldnaab","Landkreis","Bayern","94645","233","35719","793.491468117703","751","0","de-by-09374000",49.68658288,12.09825744,"29.4.2022"
"Regensburg","Landkreis","Bayern","194275","256","72230","760.262514476901","1477","0","de-by-09375000",49.02134333,12.12116123,"29.4.2022"
"Schwandorf","Landkreis","Bayern","148477","279","54063","661.381897532951","982","0","de-by-09376000",49.36803336,12.25308476,"29.4.2022"
"Tirschenreuth","Landkreis","Bayern","71696","306","26589","1057.24168712341","758","0","de-by-09377000",49.89938901,12.20034184,"29.4.2022"
"Bamberg","Kreisfreie Stadt","Bayern","76674","149","23121","888.175913608264","681","0","de-by-09461000",49.88722213,10.89893625,"29.4.2022"
"Bayreuth","Kreisfreie Stadt","Bayern","74048","166","24235","819.738547968885","607","0","de-by-09462000",49.93774274,11.58467279,"29.4.2022"
"Coburg","Kreisfreie Stadt","Bayern","40842","118","14218","790.852553743695","323","0","de-by-09463000",50.26395162,10.96443866,"29.4.2022"
"Hof","Kreisfreie Stadt","Bayern","45173","166","16686","838.996745843756","379","1","de-by-09464000",50.31079563,11.89726317,"29.4.2022"
"Bamberg","Landkreis","Bayern","147497","253","55478","1071.20822796396","1580","0","de-by-09471000",49.89342862,10.88366378,"29.4.2022"
"Bayreuth","Landkreis","Bayern","103679","215","34686","1108.22828152278","1149","0","de-by-09472000",49.88376109,11.55515576,"29.4.2022"
"Coburg","Landkreis","Bayern","86571","204","30415","927.562347668388","803","0","de-by-09473000",50.26788951,10.94232605,"29.4.2022"
"Forchheim","Landkreis","Bayern","116600","185","40570","818.181818181818","954","0","de-by-09474000",49.72099688,11.17313196,"29.4.2022"
"Hof","Landkreis","Bayern","94522","249","32423","1034.67975709359","978","0","de-by-09475000",50.27321205,11.81919285,"29.4.2022"
"Kronach","Landkreis","Bayern","66355","168","25067","813.804536206767","540","1","de-by-09476000",50.32796323,11.37204664,"29.4.2022"
"Kulmbach","Landkreis","Bayern","71428","157","24588","1129.80903847231","807","1","de-by-09477000",50.10264208,11.48229914,"29.4.2022"
"Lichtenfels","Landkreis","Bayern","66722","163","25373","1052.12673481011","702","0","de-by-09478000",50.1093305,11.11692157,"29.4.2022"
"Wunsiedel i. Fichtelgebirge","Landkreis","Bayern","71974","256","25119","810.014727540501","583","1","de-by-09479000",50.09014053,12.04187211,"29.4.2022"
"Ansbach","Kreisfreie Stadt","Bayern","41681","62","14433","1108.41870396584","462","0","de-by-09561000",49.29218466,10.56366943,"29.4.2022"
"Erlangen","Kreisfreie Stadt","Bayern","112385","132","30422","724.295946968012","814","1","de-by-09562000",49.58232921,10.97814496,"29.4.2022"
"Fürth","Kreisfreie Stadt","Bayern","128223","307","43995","764.293457492026","980","0","de-by-09563000",49.49141883,10.96548221,"29.4.2022"
