partei,umfrage,color,status,ergebnis,color,status
CDU/CSU,29,#121212,1,32.9,#b3b3b3,1
SPD,15,#D52226,0,20.5,#f1a7a9,0
Grüne,21,#7ABA2D,0,8.9,#cfebad,0
FDP,13,#ffbf00,0,10.7,#ffdf80,0
Linke,6,#BC3475,0,9.2,#e9afcb,0
FDP,9,#4378C0,0,12.6,#c6d6ec,0
CDU/CSU,7,#707173,0,5.2,#cbcccd,0
