land,country,continent,date,erste,ersterate,zweite,zweiterate,population,ersteger,zweiteger
Nordamerika,North America,Kontinent,2020-12-30,   2905313,0.49,1,0,596581283,  0,49,  0,00
Schweiz,Switzerland,Europa,2020-12-30,      6020,0.07,6,0,8715494,  0,07,  0,00
Welt,World,Welt,2020-12-30,   4206003,0.05,804,0,7874965730,  0,05,  0,00
Asien,Asia,Kontinent,2020-12-31,   1056392,0.02,1,0,4678444992,  0,02,  0,00
Belgien,Belgium,Europa,2020-12-31,       907,0.01,21,0,11632334,  0,01,  0,00
Kanada,Canada,Nordamerika,2020-12-31,     98641,0.26,1,0,38067913,  0,26,  0,00
Estland,Estonia,Europa,2020-12-31,      2475,0.19,3,0,1325188,  0,19,  0,00
Europa,Europe,Kontinent,2020-12-31,    502518,0.07,890,0,748962983,  0,07,  0,00
Europa,European Union,Kontinent,2020-12-31,    437015,0.1,883,0,447189915,  0,10,  0,00
Deutschland,Germany,Europa,2020-12-31,    206474,0.25,848,0,83900471,  0,25,  0,00
Irland,Ireland,Europa,2020-12-31,      2182,0.04,11,0,4982904,  0,04,  0,00
Israel,Israel,Asien,2020-12-31,    991233,11.28,1,0,8789776, 11,28,  0,00
Nordamerika,North America,Kontinent,2020-12-31,   2918282,0.49,1,0,596581283,  0,49,  0,00
Schweiz,Switzerland,Europa,2020-12-31,      6272,0.07,7,0,8715494,  0,07,  0,00
Welt,World,Welt,2020-12-31,   4485848,0.06,892,0,7874965730,  0,06,  0,00
Asien,Asia,Kontinent,2021-01-01,   1128431,0.02,1,0,4678444992,  0,02,  0,00
Belgien,Belgium,Europa,2021-01-01,       917,0.01,21,0,11632334,  0,01,  0,00
Kanada,Canada,Nordamerika,2021-01-01,    105250,0.28,1,0,38067913,  0,28,  0,00
Dänemark,Denmark,Europa,2021-01-01,     35085,0.6,1,0,5813302,  0,60,  0,00
Estland,Estonia,Europa,2021-01-01,      2475,0.19,3,0,1325188,  0,19,  0,00
Europa,Europe,Kontinent,2021-01-01,    544748,0.07,901,0,748962983,  0,07,  0,00
Europa,European Union,Kontinent,2021-01-01,    479216,0.11,893,0,447189915,  0,11,  0,00
Deutschland,Germany,Europa,2021-01-01,    231967,0.28,856,0,83900471,  0,28,  0,00
Irland,Ireland,Europa,2021-01-01,      2963,0.06,11,0,4982904,  0,06,  0,00
Israel,Israel,Asien,2021-01-01,   1062564,12.09,1,0,8789776, 12,09,  0,00
Lettland,Latvia,Europa,2021-01-01,      2337,0.13,1,0,1866934,  0,13,  0,00
Nordamerika,North America,Kontinent,2021-01-01,   2924891,0.49,1,0,596581283,  0,49,  0,00
Schweiz,Switzerland,Europa,2021-01-01,      6278,0.07,8,0,8715494,  0,07,  0,00
Welt,World,Welt,2021-01-01,   4606726,0.06,903,0,7874965730,  0,06,  0,00
Asien,Asia,Kontinent,2021-01-02,   1201565,0.03,1,0,4678444992,  0,03,  0,00
Belgien,Belgium,Europa,2021-01-02,       935,0.01,34,0,11632334,  0,01,  0,00
Kanada,Canada,Nordamerika,2021-01-02,    109918,0.29,1,0,38067913,  0,29,  0,00
Dänemark,Denmark,Europa,2021-01-02,     43249,0.74,1,0,5813302,  0,74,  0,00
Estland,Estonia,Europa,2021-01-02,      2505,0.19,3,0,1325188,  0,19,  0,00
Europa,Europe,Kontinent,2021-01-02,   1395962,0.19,992,0,748962983,  0,19,  0,00
Europa,European Union,Kontinent,2021-01-02,    582412,0.13,984,0,447189915,  0,13,  0,00
Deutschland,Germany,Europa,2021-01-02,    279975,0.33,934,0,83900471,  0,33,  0,00
Irland,Ireland,Europa,2021-01-02,      3962,0.08,11,0,4982904,  0,08,  0,00
Israel,Israel,Asien,2021-01-02,   1134237,12.9,1,0,8789776, 12,90,  0,00
Lettland,Latvia,Europa,2021-01-02,      2339,0.13,1,0,1866934,  0,13,  0,00
Nordamerika,North America,Kontinent,2021-01-02,   4360727,0.73,1,0,596581283,  0,73,  0,00
Schweiz,Switzerland,Europa,2021-01-02,      6281,0.07,8,0,8715494,  0,07,  0,00
Welt,World,Welt,2021-01-02,   6966910,0.09,994,0,7874965730,  0,09,  0,00
Asien,Asia,Kontinent,2021-01-03,   1353335,0.03,1,0,4678444992,  0,03,  0,00
Belgien,Belgium,Europa,2021-01-03,       954,0.01,34,0,11632334,  0,01,  0,00
Kanada,Canada,Nordamerika,2021-01-03,    115117,0.3,1,0,38067913,  0,30,  0,00
Dänemark,Denmark,Europa,2021-01-03,     48692,0.84,1,0,5813302,  0,84,  0,00
Estland,Estonia,Europa,2021-01-03,      2523,0.19,3,0,1325188,  0,19,  0,00
Europa,Europe,Kontinent,2021-01-03,   1481663,0.2,996,0,748962983,  0,20,  0,00
Europa,European Union,Kontinent,2021-01-03,    668082,0.15,988,0,447189915,  0,15,  0,00
Deutschland,Germany,Europa,2021-01-03,    302530,0.36,938,0,83900471,  0,36,  0,00
Irland,Ireland,Europa,2021-01-03,      3969,0.08,11,0,4982904,  0,08,  0,00
Israel,Israel,Asien,2021-01-03,   1283820,14.61,1,0,8789776, 14,61,  0,00
Lettland,Latvia,Europa,2021-01-03,      2343,0.13,1,0,1866934,  0,13,  0,00
Nordamerika,North America,Kontinent,2021-01-03,   4368326,0.73,1,0,596581283,  0,73,  0,00
Schweiz,Switzerland,Europa,2021-01-03,      6282,0.07,8,0,8715494,  0,07,  0,00
Welt,World,Welt,2021-01-03,   7211980,0.09,998,0,7874965730,  0,09,  0,00
Asien,Asia,Kontinent,2021-01-04,   1508195,0.03,2,0,4678444992,  0,03,  0,00
Belgien,Belgium,Europa,2021-01-04,       992,0.01,37,0,11632334,  0,01,  0,00
Kanada,Canada,Nordamerika,2021-01-04,    138714,0.36,1,0,38067913,  0,36,  0,00
Dänemark,Denmark,Europa,2021-01-04,     51055,0.88,2,0,5813302,  0,88,  0,00
Estland,Estonia,Europa,2021-01-04,      3165,0.24,3,0,1325188,  0,24,  0,00
Europa,Europe,Kontinent,2021-01-04,   1756993,0.23,1128,0,748962983,  0,23,  0,00
Europa,European Union,Kontinent,2021-01-04,    939764,0.21,1119,0,447189915,  0,21,  0,00
Deutschland,Germany,Europa,2021-01-04,    348617,0.42,1054,0,83900471,  0,42,  0,00
Irland,Ireland,Europa,2021-01-04,      5123,0.1,12,0,4982904,  0,10,  0,00
Israel,Israel,Asien,2021-01-04,   1435855,16.34,2,0,8789776, 16,34,  0,00
Italien,Italy,Europa,2021-01-04,    196897,0.33,9,0,60367471,  0,33,  0,00
Lettland,Latvia,Europa,2021-01-04,      3051,0.16,2,0,1866934,  0,16,  0,00
Nordamerika,North America,Kontinent,2021-01-04,   4748389,0.8,1,0,596581283,  0,80,  0,00
Schweiz,Switzerland,Europa,2021-01-04,      9899,0.11,9,0,8715494,  0,11,  0,00
Welt,World,Welt,2021-01-04,   8022638,0.1,1131,0,7874965730,  0,10,  0,00
Asien,Asia,Kontinent,2021-01-05,   1637535,0.04,2,0,4678444992,  0,04,  0,00
Belgien,Belgium,Europa,2021-01-05,      2748,0.02,57,0,11632334,  0,02,  0,00
Kanada,Canada,Nordamerika,2021-01-05,    156516,0.41,3,0,38067913,  0,41,  0,00
Dänemark,Denmark,Europa,2021-01-05,     63716,1.1,2,0,5813302,  1,10,  0,00
Estland,Estonia,Europa,2021-01-05,      4975,0.38,9,0,1325188,  0,38,  0,00
Europa,Europe,Kontinent,2021-01-05,   2079674,0.28,1245,0,748962983,  0,28,  0,00
Europa,European Union,Kontinent,2021-01-05,   1251923,0.28,1235,0,447189915,  0,28,  0,00
Deutschland,Germany,Europa,2021-01-05,    401226,0.48,1141,0,83900471,  0,48,  0,00
Irland,Ireland,Europa,2021-01-05,      8599,0.17,13,0,4982904,  0,17,  0,00
Israel,Israel,Asien,2021-01-05,   1560891,17.76,2,0,8789776, 17,76,  0,00
Italien,Italy,Europa,2021-01-05,    277913,0.46,11,0,60367471,  0,46,  0,00
Lettland,Latvia,Europa,2021-01-05,      3948,0.21,2,0,1866934,  0,21,  0,00
Nordamerika,North America,Kontinent,2021-01-05,   5043676,0.85,3,0,596581283,  0,85,  0,00
Schweiz,Switzerland,Europa,2021-01-05,     16992,0.19,10,0,8715494,  0,19,  0,00
Welt,World,Welt,2021-01-05,   8771389,0.11,1250,0,7874965730,  0,11,  0,00
Asien,Asia,Kontinent,2021-01-06,   1746580,0.04,3,0,4678444992,  0,04,  0,00
Belgien,Belgium,Europa,2021-01-06,      6738,0.06,81,0,11632334,  0,06,  0,00
Kanada,Canada,Nordamerika,2021-01-06,    184152,0.48,442,0,38067913,  0,48,  0,00
Tschechien,Czechia,Europa,2021-01-06,     28263,0.26,1,0,10724553,  0,26,  0,00
Dänemark,Denmark,Europa,2021-01-06,     82050,1.41,2,0,5813302,  1,41,  0,00
Estland,Estonia,Europa,2021-01-06,      6586,0.5,10,0,1325188,  0,50,  0,00
Europa,Europe,Kontinent,2021-01-06,   2351010,0.31,1376,0,748962983,  0,31,  0,00
Europa,European Union,Kontinent,2021-01-06,   1508458,0.34,1355,0,447189915,  0,34,  0,00
Deutschland,Germany,Europa,2021-01-06,    464291,0.55,1229,0,83900471,  0,55,  0,00
Irland,Ireland,Europa,2021-01-06,     15318,0.31,14,0,4982904,  0,31,  0,00
Israel,Israel,Asien,2021-01-06,   1664103,18.93,3,0,8789776, 18,93,  0,00
Italien,Italy,Europa,2021-01-06,    343947,0.57,12,0,60367471,  0,57,  0,00
Lettland,Latvia,Europa,2021-01-06,      4729,0.25,5,0,1866934,  0,25,  0,00
Nordamerika,North America,Kontinent,2021-01-06,   5546589,0.93,442,0,596581283,  0,93,  0,00
Norwegen,Norway,Europa,2021-01-06,     15009,0.27,7,0,5465629,  0,27,  0,00
Slowenien,Slovenia,Europa,2021-01-06,     21526,1.04,1,0,2078723,  1,04,  0,00
Schweiz,Switzerland,Europa,2021-01-06,     22663,0.26,14,0,8715494,  0,26,  0,00
Welt,World,Welt,2021-01-06,   9654888,0.12,1821,0,7874965730,  0,12,  0,00
Asien,Asia,Kontinent,2021-01-07,   1867199,0.04,8,0,4678444992,  0,04,  0,00
Belgien,Belgium,Europa,2021-01-07,     15214,0.13,98,0,11632334,  0,13,  0,00
Kanada,Canada,Nordamerika,2021-01-07,    220572,0.58,1121,0,38067913,  0,58,  0,00
Tschechien,Czechia,Europa,2021-01-07,     36240,0.34,1,0,10724553,  0,34,  0,00
Dänemark,Denmark,Europa,2021-01-07,     98325,1.69,3,0,5813302,  1,69,  0,00
Estland,Estonia,Europa,2021-01-07,      7928,0.6,10,0,1325188,  0,60,  0,00
Europa,Europe,Kontinent,2021-01-07,   2750367,0.37,1423,0,748962983,  0,37,  0,00
Europa,European Union,Kontinent,2021-01-07,   1894126,0.42,1396,0,447189915,  0,42,  0,00
Deutschland,Germany,Europa,2021-01-07,    519062,0.62,1250,0,83900471,  0,62,  0,00
Irland,Ireland,Europa,2021-01-07,     26993,0.54,14,0,4982904,  0,54,  0,00
Israel,Israel,Asien,2021-01-07,   1780049,20.25,8,0,8789776, 20,25,  0,00
Italien,Italy,Europa,2021-01-07,    437447,0.72,14,0,60367471,  0,72,  0,00
Lettland,Latvia,Europa,2021-01-07,      5542,0.3,5,0,1866934,  0,30,  0,00
Nordamerika,North America,Kontinent,2021-01-07,   6200847,1.04,1121,0,596581283,  1,04,  0,00
Norwegen,Norway,Europa,2021-01-07,     21615,0.4,7,0,5465629,  0,40,  0,00
Slowenien,Slovenia,Europa,2021-01-07,     27029,1.3,1,0,2078723,  1,30,  0,00
Schweiz,Switzerland,Europa,2021-01-07,     29745,0.34,20,0,8715494,  0,34,  0,00
Welt,World,Welt,2021-01-07,  10829122,0.14,2552,0,7874965730,  0,14,  0,00
Asien,Asia,Kontinent,2021-01-08,   1939706,0.04,11,0,4678444992,  0,04,  0,00
Belgien,Belgium,Europa,2021-01-08,     24606,0.21,135,0,11632334,  0,21,  0,00
Kanada,Canada,Nordamerika,2021-01-08,    261416,0.69,2090,0.01,38067913,  0,69,  0,01
Tschechien,Czechia,Europa,2021-01-08,     46274,0.43,1,0,10724553,  0,43,  0,00
Dänemark,Denmark,Europa,2021-01-08,    106202,1.83,3,0,5813302,  1,83,  0,00
Estland,Estonia,Europa,2021-01-08,     10143,0.77,12,0,1325188,  0,77,  0,00
Europa,Europe,Kontinent,2021-01-08,   3151552,0.42,1588,0,748962983,  0,42,  0,00
Europa,European Union,Kontinent,2021-01-08,   2278775,0.51,1543,0,447189915,  0,51,  0,00
Deutschland,Germany,Europa,2021-01-08,    581777,0.69,1353,0,83900471,  0,69,  0,00
Irland,Ireland,Europa,2021-01-08,     39629,0.8,14,0,4982904,  0,80,  0,00
Israel,Israel,Asien,2021-01-08,   1846435,21.01,11,0,8789776, 21,01,  0,00
Italien,Italy,Europa,2021-01-08,    534639,0.89,14,0,60367471,  0,89,  0,00
Lettland,Latvia,Europa,2021-01-08,      6458,0.35,9,0,1866934,  0,35,  0,00
Nordamerika,North America,Kontinent,2021-01-08,   7026866,1.18,2090,0,596581283,  1,18,  0,00
Norwegen,Norway,Europa,2021-01-08,     23266,0.43,14,0,5465629,  0,43,  0,00
Slowenien,Slovenia,Europa,2021-01-08,     30294,1.46,2,0,2078723,  1,46,  0,00
Schweiz,Switzerland,Europa,2021-01-08,     37630,0.43,31,0,8715494,  0,43,  0,00
Welt,World,Welt,2021-01-08,  12128834,0.15,3689,0,7874965730,  0,15,  0,00
Asien,Asia,Kontinent,2021-01-09,   1990107,0.04,34,0,4678444992,  0,04,  0,00
Belgien,Belgium,Europa,2021-01-09,     27874,0.24,148,0,11632334,  0,24,  0,00
Kanada,Canada,Nordamerika,2021-01-09,    296654,0.78,3035,0.01,38067913,  0,78,  0,01
Tschechien,Czechia,Europa,2021-01-09,     48297,0.45,2,0,10724553,  0,45,  0,00
Dänemark,Denmark,Europa,2021-01-09,    108058,1.86,5,0,5813302,  1,86,  0,00
Estland,Estonia,Europa,2021-01-09,     10694,0.81,12,0,1325188,  0,81,  0,00
Europa,Europe,Kontinent,2021-01-09,   3357977,0.45,1751,0,748962983,  0,45,  0,00
Europa,European Union,Kontinent,2021-01-09,   2482910,0.56,1703,0,447189915,  0,56,  0,00
Deutschland,Germany,Europa,2021-01-09,    642362,0.77,1497,0,83900471,  0,77,  0,00
Irland,Ireland,Europa,2021-01-09,     47667,0.96,14,0,4982904,  0,96,  0,00
Israel,Israel,Asien,2021-01-09,   1890927,21.51,34,0,8789776, 21,51,  0,00
Italien,Italy,Europa,2021-01-09,    623128,1.03,14,0,60367471,  1,03,  0,00
Lettland,Latvia,Europa,2021-01-09,      6770,0.36,9,0,1866934,  0,36,  0,00
Nordamerika,North America,Kontinent,2021-01-09,   7069430,1.18,3035,0,596581283,  1,18,  0,00
Norwegen,Norway,Europa,2021-01-09,     23436,0.43,14,0,5465629,  0,43,  0,00
Slowenien,Slovenia,Europa,2021-01-09,     30548,1.47,2,0,2078723,  1,47,  0,00
Schweiz,Switzerland,Europa,2021-01-09,     39750,0.46,34,0,8715494,  0,46,  0,00
Welt,World,Welt,2021-01-09,  12428224,0.16,4820,0,7874965730,  0,16,  0,00
Asien,Asia,Kontinent,2021-01-10,   2870233,0.06,256024,0.01,4678444992,  0,06,  0,01
Belgien,Belgium,Europa,2021-01-10,     28301,0.24,150,0,11632334,  0,24,  0,00
Kanada,Canada,Nordamerika,2021-01-10,    320037,0.84,3047,0.01,38067913,  0,84,  0,01
Tschechien,Czechia,Europa,2021-01-10,     50061,0.47,4,0,10724553,  0,47,  0,00
Dänemark,Denmark,Europa,2021-01-10,    108877,1.87,5,0,5813302,  1,87,  0,00
Estland,Estonia,Europa,2021-01-10,     10917,0.82,12,0,1325188,  0,82,  0,00
Europa,Europe,Kontinent,2021-01-10,   5812740,0.78,393276,0.05,748962983,  0,78,  0,05
Europa,European Union,Kontinent,2021-01-10,   2648215,0.59,1823,0,447189915,  0,59,  0,00
Deutschland,Germany,Europa,2021-01-10,    678228,0.81,1611,0,83900471,  0,81,  0,00
