partei,erst98,erst02,erst05,erst09,erst13,erst17,erst21,partei,zweit98,zweit02,zweit05,zweit09,zweit13,zweit17,zweit21
unionerst,39.6,41.1,40.9,39.4,45.3,37.3,37.3,unionzweit,35.1,38.5,35.2,33.8,41.5,32.9,32.9
spderst,43.8,41.9,38.4,27.9,29.4,24.6,24.6,spdzweit,40.9,38.5,34.2,23,25.7,20.5,20.5
gruerst,5,5.6,5.4,9.2,7.3,8,8,gruzweit,6.7,8.6,8.1,10.7,8.4,8.9,8.9
fdperst,3,5.8,4.7,9.4,2.4,7,7,fdpzweit,6.2,7.4,9.8,14.6,4.8,10.7,10.7
linerst,4.9,4.3,8,11.1,8.2,8.6,8.6,linzweit,5.1,4,8.7,11.9,8.6,9.2,9.2
afderst,0,0,0,0,1.9,11.5,11.5,afdzweit,0,0,0,0,4.7,12.6,12.6
sonerst,3.7,1.3,2.7,3,5.5,3.1,3.1,sonzweit,5.9,3,3.9,6,6.2,5,5
