woche,Baden-Württemberg 2016,Baden-Württemberg 2017,Baden-Württemberg 2018,Baden-Württemberg 2019,Baden-Württemberg 2020,Baden-Württemberg 2021,Baden-Württemberg Covid-19 2020,Baden-Württemberg Covid-19 2021,Baden-Württemberg Ø2016-19,Bayern 2016,Bayern 2017,Bayern 2018,Bayern 2019,Bayern 2020,Bayern 2021,Bayern Covid-19 2020,Bayern Covid-19 2021,Bayern Ø2016-19,Berlin 2016,Berlin 2017,Berlin 2018,Berlin 2019,Berlin 2020,Berlin 2021,Berlin Covid-19 2020,Berlin Covid-19 2021,Berlin Ø2016-19,Brandenburg 2016,Brandenburg 2017,Brandenburg 2018,Brandenburg 2019,Brandenburg 2020,Brandenburg 2021,Brandenburg Covid-19 2020,Brandenburg Covid-19 2021,Brandenburg Ø2016-19,Bremen 2016,Bremen 2017,Bremen 2018,Bremen 2019,Bremen 2020,Bremen 2021,Bremen Covid-19 2020,Bremen Covid-19 2021,Bremen Ø2016-19,Deutschland 2016,Deutschland 2017,Deutschland 2018,Deutschland 2019,Deutschland 2020,Deutschland 2021,Deutschland Covid-19 2020,Deutschland Covid-19 2021,Deutschland Ø2016-19,Hamburg 2016,Hamburg 2017,Hamburg 2018,Hamburg 2019,Hamburg 2020,Hamburg 2021,Hamburg Covid-19 2020,Hamburg Covid-19 2021,Hamburg Ø2016-19,Hessen 2016,Hessen 2017,Hessen 2018,Hessen 2019,Hessen 2020,Hessen 2021,Hessen Covid-19 2020,Hessen Covid-19 2021,Hessen Ø2016-19,Mecklenburg-Vorpommern 2016,Mecklenburg-Vorpommern 2017,Mecklenburg-Vorpommern 2018,Mecklenburg-Vorpommern 2019,Mecklenburg-Vorpommern 2020,Mecklenburg-Vorpommern 2021,Mecklenburg-Vorpommern Covid-19 2020,Mecklenburg-Vorpommern Covid-19 2021,Mecklenburg-Vorpommern Ø2016-19,Niedersachsen 2016,Niedersachsen 2017,Niedersachsen 2018,Niedersachsen 2019,Niedersachsen 2020,Niedersachsen 2021,Niedersachsen Covid-19 2020,Niedersachsen Covid-19 2021,Niedersachsen Ø2016-19,Nordrhein-Westfalen 2016,Nordrhein-Westfalen 2017,Nordrhein-Westfalen 2018,Nordrhein-Westfalen 2019,Nordrhein-Westfalen 2020,Nordrhein-Westfalen 2021,Nordrhein-Westfalen Covid-19 2020,Nordrhein-Westfalen Covid-19 2021,Nordrhein-Westfalen Ø2016-19,Rheinland-Pfalz 2016,Rheinland-Pfalz 2017,Rheinland-Pfalz 2018,Rheinland-Pfalz 2019,Rheinland-Pfalz 2020,Rheinland-Pfalz 2021,Rheinland-Pfalz Covid-19 2020,Rheinland-Pfalz Covid-19 2021,Rheinland-Pfalz Ø2016-19,Saarland 2016,Saarland 2017,Saarland 2018,Saarland 2019,Saarland 2020,Saarland 2021,Saarland Covid-19 2020,Saarland Covid-19 2021,Saarland Ø2016-19,Sachsen-Anhalt 2016,Sachsen-Anhalt 2017,Sachsen-Anhalt 2018,Sachsen-Anhalt 2019,Sachsen-Anhalt 2020,Sachsen-Anhalt 2021,Sachsen-Anhalt Covid-19 2020,Sachsen-Anhalt Covid-19 2021,Sachsen-Anhalt Ø2016-19,Sachsen 2016,Sachsen 2017,Sachsen 2018,Sachsen 2019,Sachsen 2020,Sachsen 2021,Sachsen Covid-19 2020,Sachsen Covid-19 2021,Sachsen Ø2016-19,Schleswig-Holstein 2016,Schleswig-Holstein 2017,Schleswig-Holstein 2018,Schleswig-Holstein 2019,Schleswig-Holstein 2020,Schleswig-Holstein 2021,Schleswig-Holstein Covid-19 2020,Schleswig-Holstein Covid-19 2021,Schleswig-Holstein Ø2016-19,Thüringen 2016,Thüringen 2017,Thüringen 2018,Thüringen 2019,Thüringen 2020,Thüringen 2021,Thüringen Covid-19 2020,Thüringen Covid-19 2021,Thüringen Ø2016-19
1,2115,2523,2269,2185,2215,2767,,574,2273,2590,3291,2734,2681,2677,3609,,859,2824,662,760,681,707,693,1031,,259,702,665,731,614,643,694,1047,,314,663,149,176,161,171,145,179,,16,164,18467,20918,19342,18686,18903,24788,,5499,19353,415,379,350,353,350,448,,88,374,1305,1429,1309,1329,1367,1855,,487,1343,487,436,463,422,410,507,,66,452,2014,2105,1966,1809,1931,2164,,270,1974,3919,4482,4270,4095,4090,4866,,892,4192,906,1055,972,975,923,1171,,248,977,250,295,261,267,266,354,,68,268,658,700,718,692,719,981,,229,692,1034,1235,1195,1071,1118,2068,,699,1134,730,678,752,687,755,800,,110,712,568,643,627,599,550,941,,320,609
2,2111,2689,2142,2387,2163,2765,,468,2332,2640,3395,2715,2782,2747,3593,,823,2883,708,772,708,710,703,926,,223,724,638,733,601,670,756,1055,,298,660,132,178,178,168,178,157,,8,164,18439,22070,18770,19170,19432,24440,,5020,19612,365,420,344,355,383,435,,78,371,1309,1541,1329,1303,1373,1804,,422,1370,461,443,467,451,412,534,,71,456,1932,2160,1905,1869,2046,2090,,307,1966,4000,4792,4174,4257,4195,4990,,897,4306,911,1089,959,998,1000,1218,,187,989,253,328,275,244,261,296,,58,275,650,765,677,619,631,1006,,273,678,1059,1347,1074,1105,1219,1832,,531,1146,719,724,650,667,743,794,,103,690,551,694,572,585,622,945,,273,600
3,2178,2510,2282,2359,2210,2746,,436,2332,2651,3272,2784,2819,2684,3433,,755,2882,726,828,757,695,750,921,,215,752,649,716,703,635,727,936,,271,676,159,166,151,117,131,156,,17,148,18627,21236,19187,19163,19189,24034,,4751,19553,366,406,388,356,354,460,,83,379,1281,1497,1346,1376,1343,1737,,357,1375,415,470,440,433,422,575,,97,440,1922,2064,1997,1936,1931,2164,,332,1980,4047,4623,4164,4121,4343,4932,,784,4239,924,1088,890,975,964,1209,,242,969,244,306,262,265,267,332,,51,269,616,679,664,654,659,1035,,269,653,1123,1229,1066,1096,1096,1709,,483,1128,733,728,719,732,707,848,,121,728,593,654,574,594,601,841,,238,604
4,2188,2779,2197,2404,2169,2527,,339,2392,2531,3389,2772,2822,2814,3184,,553,2878,709,826,700,698,744,816,,165,733,616,717,632,629,727,864,,227,648,170,184,186,159,174,146,,19,175,18707,22083,19171,19505,18949,22581,,4068,19866,377,419,377,370,343,395,,57,386,1313,1588,1327,1371,1390,1677,,345,1400,434,470,448,448,400,553,,101,450,1966,2087,1988,1944,1954,2162,,297,1996,4114,4825,4239,4253,4029,4731,,729,4358,913,1042,924,1000,925,1116,,206,970,247,291,275,282,254,273,,40,274,601,791,630,635,674,934,,221,664,1166,1231,1143,1163,1140,1537,,422,1176,738,703,775,732,662,824,,142,737,624,741,558,595,550,842,,205,630
5,2044,2907,2257,2353,2369,2374,,259,2390,2625,3398,2848,2863,3030,3056,,457,2934,728,848,759,728,722,811,,111,766,621,799,659,685,736,814,,142,691,162,179,179,171,179,179,,27,173,18493,23640,19558,19812,19827,21680,,3309,20376,348,429,394,374,376,414,,52,386,1245,1757,1327,1479,1348,1535,,280,1452,439,474,426,459,453,556,,90,450,1895,2277,2067,1990,1894,2176,,310,2057,4100,5238,4221,4400,4268,4536,,584,4490,936,1248,954,974,1012,1021,,170,1028,266,313,280,274,301,317,,43,283,635,784,679,646,679,868,,187,686,1114,1391,1138,1053,1116,1465,,303,1174,718,805,757,717,741,776,,118,749,617,793,613,646,603,782,,176,667
6,2175,2739,2301,2385,2275,2281,,230,2400,2693,3145,2924,2827,2794,2897,,339,2897,751,834,747,765,755,786,,96,774,659,806,684,674,687,791,,136,706,168,185,143,168,160,162,,17,166,18541,22744,20086,19981,19041,20873,,2671,20338,346,383,369,383,373,362,,31,370,1300,1684,1369,1415,1351,1502,,227,1442,402,429,429,459,399,512,,59,430,1858,2208,2011,2019,1937,2132,,250,2024,4082,5067,4538,4368,4090,4426,,515,4514,899,1197,923,1022,932,988,,99,1010,274,306,326,272,261,298,,35,294,601,784,662,715,646,845,,152,690,1097,1369,1235,1161,1134,1388,,262,1216,690,867,771,753,710,796,,86,770,546,741,654,595,537,707,,137,634
7,2165,2561,2447,2404,2256,2230,,142,2394,2647,3142,3019,2910,2877,2907,,249,2930,673,852,789,806,689,743,,84,780,629,837,711,697,726,720,,88,718,174,181,180,162,182,165,,14,174,18483,22683,21254,20150,19664,20399,,2008,20642,333,423,399,348,347,402,,36,376,1213,1628,1484,1423,1401,1492,,152,1437,441,527,478,441,428,473,,54,472,1906,2317,2134,1945,1970,2056,,192,2076,4148,4851,4732,4465,4307,4402,,423,4549,949,1114,1102,1081,981,958,,70,1062,220,331,296,286,268,320,,33,283,627,902,757,692,689,763,,123,744,1053,1406,1344,1136,1195,1262,,162,1235,676,873,799,744,733,819,,58,773,629,738,583,610,615,687,,128,640
8,2116,2587,2644,2448,2193,2109,,112,2449,2640,3038,3157,2964,2769,2583,,217,2950,731,882,873,767,695,715,,58,813,672,807,794,667,647,689,,79,735,134,209,195,168,170,159,,18,176,18475,22266,22888,20349,18965,18881,,1695,20994,346,407,426,350,352,340,,39,382,1328,1596,1612,1468,1298,1362,,119,1501,434,526,540,459,420,439,,34,490,1823,2346,2263,2013,1926,1945,,195,2111,4007,4681,5065,4519,4226,4180,,339,4568,954,1148,1202,1072,947,878,,56,1094,238,285,366,257,268,296,,18,286,700,804,758,663,694,709,,89,731,1104,1390,1344,1178,1109,1134,,147,1254,637,859,904,769,650,676,,56,792,611,701,745,587,601,667,,119,661
9,2181,2405,2953,2542,2290,2082,,127,2520,2683,2872,3444,3031,2809,2555,,179,3008,760,760,852,815,751,723,,57,797,648,699,844,686,655,651,,59,719,143,190,256,178,156,154,,17,192,18926,20930,25535,20790,19507,18365,,1346,21545,351,402,432,384,342,349,,28,392,1347,1489,1701,1483,1344,1293,,95,1505,399,471,527,424,477,438,,36,455,2004,2216,2605,2068,1950,1823,,123,2223,4145,4492,5944,4540,4292,4059,,260,4780,1013,1027,1330,1040,990,861,,32,1102,260,332,383,288,293,251,,18,316,672,733,941,728,661,706,,73,768,1087,1295,1538,1225,1158,1100,,114,1286,670,846,947,716,743,674,,37,795,563,701,838,642,596,646,,91,686
10,2215,2126,3037,2383,2329,2048,2,105,2440,2645,2778,3500,2938,2755,2689,0,156,2965,682,668,969,735,709,668,0,41,764,632,641,908,686,647,675,0,47,717,157,152,230,151,187,142,0,14,172,18888,19102,26777,20453,19656,18544,2,1220,21305,333,350,427,386,369,360,0,21,374,1337,1374,1833,1470,1402,1314,0,102,1504,416,440,589,476,450,462,0,27,480,1875,2014,2705,2068,2022,1883,0,108,2166,4232,4247,6179,4488,4392,4019,0,245,4786,953,948,1412,1035,963,875,0,31,1087,274,264,415,310,306,244,0,9,316,653,688,1013,750,670,689,0,76,776,1098,1144,1650,1202,1125,1149,0,124,1274,757,691,969,734,712,713,2,32,788,629,577,941,641,618,614,0,82,697
