datum,covid,frei
2020-12-03,3980,5490
2020-12-04,4011,5447
2020-12-05,4051,5388
2020-12-06,4108,5336
2020-12-07,4181,5270
2020-12-08,4255,5196
2020-12-09,4278,5137
2020-12-10,4339,5069
2020-12-11,4432,5015
2020-12-12,4491,4983
2020-12-13,4553,4936
2020-12-14,4675,4882
2020-12-15,4735,4844
2020-12-16,4834,4799
2020-12-17,4855,4784
2020-12-18,4904,4779
2020-12-19,4941,4763
2020-12-20,5029,4745
2020-12-21,5168,4716
2020-12-22,5217,4731
2020-12-23,5241,4774
2020-12-24,5346,4829
2020-12-25,5381,4931
2020-12-26,5536,5002
2020-12-27,5562,5014
2020-12-28,5600,5039
2020-12-29,5649,5034
2020-12-30,5647,5018
2020-12-31,5638,4980
2021-01-01,5604,4913
2021-01-02,5724,4842
2021-01-03,5761,4773
2021-01-04,5744,4726
2021-01-05,5671,4695
2021-01-06,5572,4657
2021-01-07,5492,4619
2021-01-08,5486,4551
2021-01-09,5414,4520
2021-01-10,5320,4558
2021-01-11,5288,4571
2021-01-12,5230,4578
2021-01-13,5185,4571
2021-01-14,5126,4555
2021-01-15,5074,4558
2021-01-16,5015,4555
2021-01-17,4972,4557
2021-01-18,5005,4566
2021-01-19,4947,4546
2021-01-20,4835,4533
2021-01-21,4787,4514
2021-01-22,4769,4479
2021-01-23,4657,4461
2021-01-24,4624,4435
2021-01-25,4620,4426
2021-01-26,4571,4427
2021-01-27,4501,4411
2021-01-28,4438,4429
2021-01-29,4376,4454
2021-01-30,4351,4470
2021-01-31,4346,4478
2021-02-01,4322,4467
2021-02-02,4263,4473
2021-02-03,4222,4481
2021-02-04,4178,4480
2021-02-05,4072,4485
2021-02-06,3965,4501
2021-02-07,3932,4538
2021-02-08,3956,4565
2021-02-09,3847,4586
2021-02-10,3738,4625
2021-02-11,3675,4659
2021-02-12,3551,4699
2021-02-13,3485,4717
2021-02-14,3424,4721
2021-02-15,3436,4734
2021-02-16,3354,4735
2021-02-17,3248,4738
2021-02-18,3178,4738
2021-02-19,3121,4721
2021-02-20,3081,4708
2021-02-21,3056,4693
2021-02-22,3058,4687
2021-02-23,3037,4681
2021-02-24,2956,4664
2021-02-25,2899,4653
2021-02-26,2848,4660
2021-02-27,2826,4680
2021-02-28,2840,4707
2021-03-01,2869,4728
2021-03-02,2855,4736
2021-03-03,2823,4769
2021-03-04,2814,4788
2021-03-05,2765,4793
2021-03-06,2755,4804
2021-03-07,2787,4813
2021-03-08,2865,4823
2021-03-09,2785,4860
2021-03-10,2736,4857
2021-03-11,2758,4848
2021-03-12,2755,4835
2021-03-13,2719,4817
2021-03-14,2773,4796
2021-03-15,2833,4777
2021-03-16,2852,4737
2021-03-17,2859,4717
2021-03-18,2895,4693
2021-03-19,2951,4676
2021-03-20,2958,4657
2021-03-21,3056,4650
2021-03-22,3150,4628
2021-03-23,3168,4600
2021-03-24,3207,4573
2021-03-25,3261,4555
2021-03-26,3333,4523
2021-03-27,3390,4474
2021-03-28,3455,4434
2021-03-29,3571,4412
2021-03-30,3599,4408
2021-03-31,3680,4389
2021-04-01,3730,4374
2021-04-02,3850,4411
2021-04-03,3917,4482
2021-04-04,4060,4489
2021-04-05,4164,4479
2021-04-06,4357,4471
2021-04-07,4443,4451
2021-04-08,4477,4409
2021-04-09,4515,4326
2021-04-10,4535,4222
2021-04-11,4585,4160
2021-04-12,4662,4098
2021-04-13,4692,4023
2021-04-14,4680,3987
2021-04-15,4684,3983
2021-04-16,4740,3981
2021-04-17,4786,3976
2021-04-18,4844,3968
2021-04-19,4932,3973
2021-04-20,4968,3979
2021-04-21,4988,3973
2021-04-22,5050,3956
2021-04-23,5054,3943
2021-04-24,5025,3919
2021-04-25,5052,3891
2021-04-26,5120,3858
2021-04-27,5064,3845
2021-04-28,5046,3829
2021-04-29,5033,3817
2021-04-30,5024,3800
2021-05-01,5009,3791
2021-05-02,5028,3782
2021-05-03,5007,3789
2021-05-04,4954,3789
2021-05-05,4839,3791
2021-05-06,4766,3802
2021-05-07,4672,3808
2021-05-08,4607,3831
2021-05-09,4583,3853
2021-05-10,4582,3839
2021-05-11,4460,3831
2021-05-12,4374,3838
2021-05-13,4255,3859
2021-05-14,4179,3949
2021-05-15,4090,3987
2021-05-16,4065,4020
2021-05-17,4015,4068
2021-05-18,3877,4104
2021-05-19,3707,4126
2021-05-20,3593,4124
2021-05-21,3473,4071
2021-05-22,3358,4057
2021-05-23,3303,4078
2021-05-24,3234,4135
2021-05-25,3179,4228
2021-05-26,3000,4286
2021-05-27,2836,4341
2021-05-28,2702,4401
2021-05-29,2594,4466
2021-05-30,2517,4500
2021-05-31,2451,4500
2021-06-01,2289,4473
2021-06-02,2148,4484
2021-06-03,2035,4507
2021-06-04,1969,4543
2021-06-05,1896,4553
2021-06-06,1853,4561
2021-06-07,1795,4585
2021-06-08,1699,4583
2021-06-09,1598,4589
2021-06-10,1507,4579
2021-06-11,1420,4553
2021-06-12,1343,4534
2021-06-13,1337,4524
2021-06-14,1281,4505
2021-06-15,1208,4512
2021-06-16,1135,4520
2021-06-17,1069,4532
2021-06-18,1010,4524
2021-06-19,965,4530
2021-06-20,931,4539
2021-06-21,889,4535
2021-06-22,850,4508
2021-06-23,811,4480
2021-06-24,779,4460
2021-06-25,735,4454
2021-06-26,716,4453
2021-06-27,706,4448
2021-06-28,689,4469
2021-06-29,664,4499
2021-06-30,614,4534
2021-07-01,590,4570
2021-07-02,565,4595
2021-07-03,549,4621
2021-07-04,548,4641
2021-07-05,526,4670
2021-07-06,509,4691
2021-07-07,484,4704
2021-07-08,470,4715
2021-07-09,453,4717
2021-07-10,435,4724
2021-07-11,432,4736
2021-07-12,435,4744
2021-07-13,406,4734
2021-07-14,398,4724
2021-07-15,396,4696
2021-07-16,379,4678
2021-07-17,372,4652
2021-07-18,371,4632
2021-07-19,368,4609
2021-07-20,361,4598
2021-07-21,357,4588
2021-07-22,354,4596
2021-07-23,356,4598
2021-07-24,354,4596
2021-07-25,371,4588
2021-07-26,369,4576
2021-07-27,370,4580
2021-07-28,356,4558
2021-07-29,347,4539
2021-07-30,352,4533
2021-07-31,361,4524
2021-08-01,364,4503
2021-08-02,378,4507
2021-08-03,378,4509
2021-08-04,392,4549
2021-08-05,387,4576
2021-08-06,393,4580
2021-08-07,416,4570
2021-08-08,434,4565
2021-08-09,456,4549
2021-08-10,443,4555
2021-08-11,454,4543
2021-08-12,472,4536
2021-08-13,480,4547
2021-08-14,489,4570
2021-08-15,517,4593
2021-08-16,547,4593
2021-08-17,576,4594
2021-08-18,600,4603
2021-08-19,623,4604
2021-08-20,652,4595
2021-08-21,682,4589
2021-08-22,714,4578
2021-08-23,776,4575
2021-08-24,805,4544
2021-08-25,836,4531
2021-08-26,869,4503
2021-08-27,925,4494
2021-08-28,974,4475
2021-08-29,1011,4452
2021-08-30,1069,4437
2021-08-31,1096,4438
2021-09-01,1136,4408
2021-09-02,1170,4399
2021-09-03,1217,4376
2021-09-04,1261,4344
2021-09-05,1287,4314
2021-09-06,1322,4284
2021-09-07,1349,4244
2021-09-08,1387,4209
2021-09-09,1396,4166
2021-09-10,1412,4126
2021-09-11,1437,4099
2021-09-12,1453,4079
2021-09-13,1500,4067
2021-09-14,1540,4045
2021-09-15,1527,4031
2021-09-16,1550,4007
2021-09-17,1544,4006
2021-09-18,1523,4019
2021-09-19,1535,4030
2021-09-20,1541,4038
2021-09-21,1504,4060
2021-09-22,1500,4066
2021-09-23,1458,4092
2021-09-24,1434,4105
2021-09-25,1436,4112
2021-09-26,1435,4096
2021-09-27,1434,4077
2021-09-28,1414,4059
2021-09-29,1364,4055
2021-09-30,1357,4033
2021-10-01,1363,4011
2021-10-02,1332,3979
2021-10-03,1334,3973
2021-10-04,1349,3975
2021-10-05,1361,3962
2021-10-06,1359,3952
2021-10-07,1374,3947
2021-10-08,1352,3940
2021-10-09,1342,3933
2021-10-10,1345,3929
2021-10-11,1354,3903
2021-10-12,1383,3893
2021-10-13,1401,3871
2021-10-14,1395,3863
2021-10-15,1402,3848
2021-10-16,1407,3848
2021-10-17,1421,3829
2021-10-18,1458,3820
2021-10-19,1476,3804
2021-10-20,1482,3794
2021-10-21,1540,3752
2021-10-22,1542,3710
2021-10-23,1606,3662
2021-10-24,1630,3623
2021-10-25,1682,3577
2021-10-26,1704,3550
2021-10-27,1765,3504
2021-10-28,1810,3491
2021-10-29,1870,3475
2021-10-30,1937,3460
2021-10-31,1985,3450
2021-11-01,2060,3438
2021-11-02,2137,3424
2021-11-03,2226,3425
2021-11-04,2333,3412
2021-11-05,2420,3400
2021-11-06,2449,3389
2021-11-07,2543,3369
2021-11-08,2622,3364
2021-11-09,2687,3343
2021-11-10,2739,3329
2021-11-11,2830,3329
2021-11-12,2864,3334
2021-11-13,2941,3320
2021-11-14,3034,3304
2021-11-15,3194,3279
2021-11-16,3285,3272
2021-11-17,3378,3266
2021-11-18,3431,3262
2021-11-19,3513,3260
2021-11-20,3566,3262
2021-11-21,3678,3278
2021-11-22,3855,3274
2021-11-23,3994,3260
2021-11-24,4078,3245
2021-11-25,4205,3223
2021-11-26,4328,3199
2021-11-27,4383,3181
2021-11-28,4478,3152
2021-11-29,4605,3118
2021-11-30,4642,3116
2021-12-01,4690,3126
2021-12-02,4797,3116
2021-12-03,4796,3106
2021-12-04,4805,3099
2021-12-05,4826,3099
2021-12-06,4904,3106
2021-12-07,4943,3100
2021-12-08,4894,3092
2021-12-09,4939,3089
2021-12-10,4945,3096
2021-12-11,4905,3093
2021-12-12,4907,3084
2021-12-13,4925,3095
2021-12-14,4895,3100
2021-12-15,4826,3108
2021-12-16,4765,3141
2021-12-17,4685,3177
2021-12-18,4660,3217
2021-12-19,4640,3264
2021-12-20,4620,3312
2021-12-21,4562,3359
2021-12-22,4470,3439
2021-12-23,4384,3524
2021-12-24,4282,3642
2021-12-25,4273,3760
2021-12-26,4234,3833
2021-12-27,4206,3891
2021-12-28,4128,3965
2021-12-29,4004,4000
2021-12-30,3913,4031
2021-12-31,3832,4041
2022-01-01,3825,4033
2022-01-02,3806,4038
2022-01-03,3802,4042
2022-01-04,3670,4030
2022-01-05,3561,4034
2022-01-06,3439,4030
2022-01-07,3380,4010
2022-01-08,3314,4008
2022-01-09,3273,4042
2022-01-10,3249,4070
2022-01-11,3153,4105
2022-01-12,3048,4115
2022-01-13,2956,4128
2022-01-14,2868,4129
2022-01-15,2797,4134
2022-01-16,2742,4171
2022-01-17,2744,4213
2022-01-18,2667,4234
2022-01-19,2570,4251
2022-01-20,2447,4259
2022-01-21,2418,4266
2022-01-22,2398,4275
2022-01-23,2424,4274
2022-01-24,2432,4265
2022-01-25,2396,4252
2022-01-26,2364,4236
2022-01-27,2273,4224
2022-01-28,2259,4224
2022-01-29,2222,4215
2022-01-30,2268,4195
2022-01-31,2304,4186
2022-02-01,2259,4165
2022-02-02,2311,4156
2022-02-03,2262,4130
2022-02-04,2306,4092
2022-02-05,2306,4065
2022-02-06,2343,4046
2022-02-07,2375,4023
2022-02-08,2392,4010
2022-02-09,2397,3997
2022-02-10,2396,4002
2022-02-11,2403,4016
2022-02-12,2404,4045
2022-02-13,2432,4054
2022-02-14,2475,4065
2022-02-15,2498,4075
2022-02-16,2469,4078
2022-02-17,2475,4075
2022-02-18,2437,4053
2022-02-19,2417,4020
2022-02-20,2394,4007
2022-02-21,2416,3993
2022-02-22,2397,3988
2022-02-23,2398,3991
2022-02-24,2284,3993
2022-02-25,2289,4008
2022-02-26,2253,4024
2022-02-27,2241,4044
2022-02-28,2280,4073
2022-03-01,2288,4101
2022-03-02,2201,4126
2022-03-03,2152,4158
2022-03-04,2110,4177
2022-03-05,2103,4190
2022-03-06,2104,4198
2022-03-07,2167,4197
2022-03-08,2158,4193
2022-03-09,2118,4184
2022-03-10,2115,4179
2022-03-11,2116,4178
2022-03-12,2111,4173
2022-03-13,2192,4155
2022-03-14,2259,4136
2022-03-15,2294,4106
2022-03-16,2303,4065
2022-03-17,2287,4026
2022-03-18,2284,3997
2022-03-19,2240,3979
2022-03-20,2268,3966
2022-03-21,2348,3947
2022-03-22,2381,3955
2022-03-23,2332,3977
2022-03-24,2326,3990
2022-03-25,2305,4004
2022-03-26,2335,3991
2022-03-27,2336,3980
2022-03-28,2356,3990
2022-03-29,2377,3981
2022-03-30,2332,3966
2022-03-31,2304,3959
2022-04-01,2271,3948
2022-04-02,2215,3952
2022-04-03,2212,3957
2022-04-04,2234,3957
2022-04-05,2164,3953
2022-04-06,2107,3952
2022-04-07,2054,3939
2022-04-08,2028,3939
2022-04-09,1985,3944
2022-04-10,1989,3942
2022-04-11,1982,3935
2022-04-12,1916,3949
2022-04-13,1849,3960
2022-04-14,1821,3997
2022-04-15,1793,4057
2022-04-16,1742,4151
2022-04-17,1766,4229
2022-04-18,1764,4310
2022-04-19,1803,4393
2022-04-20,1734,4432
2022-04-21,1646,4431
2022-04-22,1613,4405
2022-04-23,1614,4335
2022-04-24,1571,4281
2022-04-25,1576,4222
2022-04-26,1519,4144
2022-04-27,1445,4105
2022-04-28,1408,4095
