value,name
112,Stadt Brandenburg an der Havel (Briefwahlbezirk 9001)
113,Stadt Brandenburg an der Havel (Briefwahlbezirk 9002)
114,Stadt Brandenburg an der Havel (Briefwahlbezirk 9003)
115,Stadt Brandenburg an der Havel (Briefwahlbezirk 9004)
116,Stadt Brandenburg an der Havel (Briefwahlbezirk 9005)
117,Stadt Brandenburg an der Havel (Briefwahlbezirk 9006)
118,Stadt Brandenburg an der Havel (Briefwahlbezirk 9007)
119,Stadt Brandenburg an der Havel (Briefwahlbezirk 9008)
120,Stadt Brandenburg an der Havel (Briefwahlbezirk 9009)
121,Stadt Brandenburg an der Havel (Briefwahlbezirk 9010)
122,Stadt Brandenburg an der Havel (Briefwahlbezirk 9011)
123,Stadt Brandenburg an der Havel (Briefwahlbezirk 9012)
124,Stadt Brandenburg an der Havel (Briefwahlbezirk 9013)
125,Stadt Brandenburg an der Havel (Briefwahlbezirk 9014)
126,Stadt Brandenburg an der Havel (Briefwahlbezirk 9015)
127,Stadt Brandenburg an der Havel (Briefwahlbezirk 9016)
128,Groß Kreutz (Havel) (Urnenwahlbezirk 701)
129,Groß Kreutz (Havel) (Urnenwahlbezirk 702)
130,Groß Kreutz (Havel) (Urnenwahlbezirk 703)
131,Groß Kreutz (Havel) (Urnenwahlbezirk 704)
132,Groß Kreutz (Havel) (Urnenwahlbezirk 705)
133,Groß Kreutz (Havel) (Urnenwahlbezirk 706)
134,Groß Kreutz (Havel) (Urnenwahlbezirk 707)
135,Groß Kreutz (Havel) (Urnenwahlbezirk 708)
136,Groß Kreutz (Havel) (Briefwahlbezirk 9030)
137,Groß Kreutz (Havel) (Briefwahlbezirk 9031)
138,Groß Kreutz (Havel) (Briefwahlbezirk 9032)
139,Jüterbog (Urnenwahlbezirk 1)
140,Jüterbog (Urnenwahlbezirk 2)
141,Jüterbog (Urnenwahlbezirk 3)
142,Jüterbog (Urnenwahlbezirk 4)
143,Jüterbog (Urnenwahlbezirk 5)
144,Jüterbog (Urnenwahlbezirk 7)
