"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Dillingen a.d. Donau","Landkreis","Bayern",97172,167,0,"de-by-09773000",172
"Günzburg","Landkreis","Bayern",127342,152,0,"de-by-09774000",119
"Neu-Ulm","Landkreis","Bayern",175823,179,2,"de-by-09775000",102
"Lindau (Bodensee)","Landkreis","Bayern",82085,69,0,"de-by-09776000",84
"Ostallgäu","Landkreis","Bayern",141907,188,0,"de-by-09777000",132
"Unterallgäu","Landkreis","Bayern",146164,212,2,"de-by-09778000",145
"Donau-Ries","Landkreis","Bayern",134324,196,0,"de-by-09779000",146
"Oberallgäu","Landkreis","Bayern",156308,117,0,"de-by-09780000",75
"Regionalverband Saarbrücken","Landkreis","Saarland",327502,527,2,"de-sl-10041000",161
"Merzig-Wadern","Landkreis","Saarland",103471,78,1,"de-sl-10042000",75
"Neunkirchen","Landkreis","Saarland",131172,143,0,"de-sl-10043000",109
"Saarlouis","Landkreis","Saarland",193732,188,0,"de-sl-10044000",97
"Saarpfalz-Kreis","Landkreis","Saarland",141656,135,3,"de-sl-10045000",95
"St. Wendel","Landkreis","Saarland",86458,119,0,"de-sl-10046000",138
"Brandenburg an der Havel","Kreisfreie Stadt","Brandenburg",72040,113,3,"de-bb-12051000",157
"Cottbus","Kreisfreie Stadt","Brandenburg",98693,244,1,"de-bb-12052000",247
"Frankfurt (Oder)","Kreisfreie Stadt","Brandenburg",57015,128,0,"de-bb-12053000",225
"Potsdam","Kreisfreie Stadt","Brandenburg",182112,257,0,"de-bb-12054000",141
"Barnim","Landkreis","Brandenburg",187343,296,5,"de-bb-12060000",158
"Dahme-Spreewald","Landkreis","Brandenburg",173316,303,1,"de-bb-12061000",175
"Elbe-Elster","Landkreis","Brandenburg",101085,302,4,"de-bb-12062000",299
"Havelland","Landkreis","Brandenburg",164693,215,0,"de-bb-12063000",131
"Märkisch-Oderland","Landkreis","Brandenburg",197195,310,0,"de-bb-12064000",157
"Oberhavel","Landkreis","Brandenburg",214234,342,0,"de-bb-12065000",160
"Oberspreewald-Lausitz","Landkreis","Brandenburg",108396,304,1,"de-bb-12066000",280
"Oder-Spree","Landkreis","Brandenburg",179276,358,4,"de-bb-12067000",200
"Ostprignitz-Ruppin","Landkreis","Brandenburg",98808,174,0,"de-bb-12068000",176
"Potsdam-Mittelmark","Landkreis","Brandenburg",217954,236,0,"de-bb-12069000",108
"Prignitz","Landkreis","Brandenburg",76096,173,0,"de-bb-12070000",227
"Spree-Neiße","Landkreis","Brandenburg",113011,249,1,"de-bb-12071000",220
"Teltow-Fläming","Landkreis","Brandenburg",171554,239,0,"de-bb-12072000",139
"Uckermark","Landkreis","Brandenburg",118250,196,3,"de-bb-12073000",166
"Rostock","Kreisfreie Stadt","Mecklenburg-Vorpommern",209061,75,0,"de-mv-13003000",36
"Schwerin","Kreisfreie Stadt","Mecklenburg-Vorpommern",95609,121,0,"de-mv-13004000",127
"Mecklenburgische Seenplatte","Landkreis","Mecklenburg-Vorpommern",258057,189,1,"de-mv-13071000",73
"Rostock","Landkreis","Mecklenburg-Vorpommern",217072,200,4,"de-mv-13072000",92
"Vorpommern-Rügen","Landkreis","Mecklenburg-Vorpommern",225383,115,1,"de-mv-13073000",51
"Nordwestmecklenburg","Landkreis","Mecklenburg-Vorpommern",157975,93,0,"de-mv-13074000",59
"Vorpommern-Greifswald","Landkreis","Mecklenburg-Vorpommern",235773,327,2,"de-mv-13075000",139
"Ludwigslust-Parchim","Landkreis","Mecklenburg-Vorpommern",211844,293,3,"de-mv-13076000",138
"Chemnitz","Kreisfreie Stadt","Sachsen",244401,676,2,"de-sn-14511000",277
"Erzgebirgskreis","Landkreis","Sachsen",331917,1080,1,"de-sn-14521000",325
"Mittelsachsen","Landkreis","Sachsen",301474,824,0,"de-sn-14522000",273
"Vogtlandkreis","Landkreis","Sachsen",223905,952,1,"de-sn-14523000",425
"Zwickau","Landkreis","Sachsen",312033,1245,0,"de-sn-14524000",399
"Dresden","Kreisfreie Stadt","Sachsen",556227,1381,0,"de-sn-14612000",248
"Bautzen","Landkreis","Sachsen",298010,1088,1,"de-sn-14625000",365
"Görlitz","Landkreis","Sachsen",250558,1330,1,"de-sn-14626000",531
"Meißen","Landkreis","Sachsen",240371,782,0,"de-sn-14627000",325
"Sächsische Schweiz-Osterzgebirge","Landkreis","Sachsen",244722,1173,3,"de-sn-14628000",479
"Leipzig","Kreisfreie Stadt","Sachsen",597493,620,0,"de-sn-14713000",104
"Leipzig","Landkreis","Sachsen",258386,423,0,"de-sn-14729000",164
"Nordsachsen","Landkreis","Sachsen",197444,467,2,"de-st-14730000",237
"Dessau-Roßlau","Kreisfreie Stadt","Sachsen-Anhalt",79354,128,1,"de-st-15001000",161
"Halle (Saale)","Kreisfreie Stadt","Sachsen-Anhalt",237865,405,6,"de-st-15002000",170
"Magdeburg","Kreisfreie Stadt","Sachsen-Anhalt",235775,187,2,"de-st-15003000",79
"Altmarkkreis Salzwedel","Landkreis","Sachsen-Anhalt",82687,113,2,"de-st-15081000",137
"Anhalt-Bitterfeld","Landkreis","Sachsen-Anhalt",157217,223,0,"de-st-15082000",142
"Börde","Landkreis","Sachsen-Anhalt",170567,152,1,"de-st-15083000",89
"Burgenlandkreis","Landkreis","Sachsen-Anhalt",177590,709,3,"de-st-15084000",399
"Harz","Landkreis","Sachsen-Anhalt",210975,337,1,"de-st-15085000",160
"Jerichower Land","Landkreis","Sachsen-Anhalt",89403,168,0,"de-st-15086000",188
"Mansfeld-Südharz","Landkreis","Sachsen-Anhalt",133690,267,0,"de-st-15087000",200
"Saalekreis","Landkreis","Sachsen-Anhalt",183434,419,2,"de-st-15088000",228
"Salzlandkreis","Landkreis","Sachsen-Anhalt",187457,379,5,"de-st-15089000",202
"Stendal","Landkreis","Sachsen-Anhalt",110485,241,0,"de-st-15090000",218
"Wittenberg","Landkreis","Sachsen-Anhalt",124185,332,1,"de-st-15091000",267
"Erfurt","Kreisfreie Stadt","Thüringen",213692,330,2,"de-th-16051000",154
"Gera","Kreisfreie Stadt","Thüringen",92126,278,3,"de-th-16052000",302
"Jena","Kreisfreie Stadt","Thüringen",110731,108,0,"de-th-16053000",98
"Suhl","Kreisfreie Stadt","Thüringen",36395,142,0,"de-th-16054000",390
"Weimar","Kreisfreie Stadt","Thüringen",65098,121,0,"de-th-16055000",186
"Eichsfeld","Landkreis","Thüringen",99463,278,1,"de-th-16061000",280
"Nordhausen","Landkreis","Thüringen",82456,80,2,"de-th-16062000",97
"Wartburgkreis","Landkreis","Thüringen",159937,374,1,"de-th-16063000",234
"Unstrut-Hainich-Kreis","Landkreis","Thüringen",101698,331,0,"de-th-16064000",325
"Kyffhäuserkreis","Landkreis","Thüringen",73522,169,1,"de-th-16065000",230
"Schmalkalden-Meiningen","Landkreis","Thüringen",124241,476,1,"de-th-16066000",383
"Gotha","Landkreis","Thüringen",134563,264,2,"de-th-16067000",196
"Sömmerda","Landkreis","Thüringen",69107,161,0,"de-th-16068000",233
"Hildburghausen","Landkreis","Thüringen",62656,320,1,"de-th-16069000",511
"Ilm-Kreis","Landkreis","Thüringen",105606,329,7,"de-th-16070000",312
"Weimarer Land","Landkreis","Thüringen",82291,95,0,"de-th-16071000",115
"Sonneberg","Landkreis","Thüringen",57044,230,0,"de-th-16072000",403
"Saalfeld-Rudolstadt","Landkreis","Thüringen",102139,377,2,"de-th-16073000",369
"Saale-Holzland-Kreis","Landkreis","Thüringen",82816,171,1,"de-th-16074000",206
"Saale-Orla-Kreis","Landkreis","Thüringen",79632,242,1,"de-th-16075000",304
"Greiz","Landkreis","Thüringen",96668,269,0,"de-th-16076000",278
"Altenburger Land","Landkreis","Thüringen",88356,352,1,"de-th-16077000",398
