"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen",111516,203,2,"de-nw-05120000",182
"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen",159193,231,0,"de-nw-05122000",145
"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen",355004,527,1,"de-nw-05124000",148
"Kleve","Kreis","Nordrhein-Westfalen",313586,251,0,"de-nw-05154000",80
"Mettmann","Kreis","Nordrhein-Westfalen",484322,841,1,"de-nw-05158000",174
"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen",452001,407,0,"de-nw-05162000",90
"Viersen","Kreis","Nordrhein-Westfalen",298536,340,1,"de-nw-05166000",114
"Wesel","Kreis","Nordrhein-Westfalen",460113,343,0,"de-nw-05170000",75
"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen",330579,293,0,"de-nw-05314000",89
"Köln","Kreisfreie Stadt","Nordrhein-Westfalen",1083498,853,2,"de-nw-05315000",79
"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen",163905,131,0,"de-nw-05316000",80
"Städteregion Aachen","Kreis","Nordrhein-Westfalen",556631,650,0,"de-nw-05334000",117
"Düren","Kreis","Nordrhein-Westfalen",265140,332,2,"de-nw-05358000",125
"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen",469611,448,1,"de-nw-05362000",95
"Euskirchen","Kreis","Nordrhein-Westfalen",194359,264,0,"de-nw-05366000",136
"Heinsberg","Kreis","Nordrhein-Westfalen",256458,427,0,"de-nw-05370000",166
"Oberbergischer Kreis","Kreis","Nordrhein-Westfalen",271699,308,0,"de-nw-05374000",113
"Rheinisch-Bergischer Kreis","Kreis","Nordrhein-Westfalen",283275,199,0,"de-nw-05378000",70
"Rhein-Sieg-Kreis","Kreis","Nordrhein-Westfalen",600375,622,1,"de-nw-05382000",104
"Bottrop","Kreisfreie Stadt","Nordrhein-Westfalen",117388,139,0,"de-nw-05512000",118
"Gelsenkirchen","Kreisfreie Stadt","Nordrhein-Westfalen",259105,473,1,"de-nw-05513000",183
"Münster","Kreisfreie Stadt","Nordrhein-Westfalen",316403,139,0,"de-nw-05515000",44
"Borken","Kreis","Nordrhein-Westfalen",371898,307,2,"de-nw-05554000",83
"Coesfeld","Kreis","Nordrhein-Westfalen",220712,104,0,"de-nw-05558000",47
"Recklinghausen","Kreis","Nordrhein-Westfalen",613599,1069,0,"de-nw-05562000",174
"Steinfurt","Kreis","Nordrhein-Westfalen",448197,377,0,"de-nw-05566000",84
"Warendorf","Kreis","Nordrhein-Westfalen",277417,297,1,"de-nw-05570000",107
"Bielefeld","Kreisfreie Stadt","Nordrhein-Westfalen",333509,421,0,"de-nw-05711000",126
