land,erstquote,zweitquote,drittquote
217410,,,
254310,,,
76000,,,
48680,,,
12500,,,
40620,,,
124050,,,
29790,,,
201990,,,
357800,,,
73720,,,
19450,,,
82520,,,
44110,,,
56020,,,
39060,,,
