"name","lat","lon","geometry","url"
"Kita in Essen-Werden",6.9979944,51.3868823,c(6.9979944, 51.3868823, 0),"https://www.radioessen.de/artikel/corona-fall-in-kita-in-essen-680425.html?_gl=1*qplubb*_ga*QUIzM2gxZ0NTeVp4V2gtUnBRc0p5R0V5VnZoM2FlSm1GOGd3OG9zLUIzMkplRk9nRFJfVmtjQ29YZG8wOE0wdg.."
"Kindertagesstätte Hokido (Dortmund)",7.4145606,51.4808762,c(7.4145606, 51.4808762, 0),"https://www.ruhrnachrichten.de/dortmund/24-positive-corona-testergebnisse-am-dienstag-in-dortmund-1545422.html"
"Kita in Wittenburg",11.0831993,53.5058658,c(11.0831993, 53.5058658, 0),"https://www.ndr.de/nachrichten/mecklenburg-vorpommern/Wittenburg-Kind-aus-Kita-mit-Coronavirus-infiziert,coronavirus2882.html"
"Katholische Kindertageseinrichtung Brede Familienzentrum NRW",9.18163,51.71961,c(9.18163, 51.71961, 0),"https://www.nw.de/lokal/kreis_hoexter/brakel/22841462_Coronafall-in-Brakeler-Kindergarten-betroffene-Gruppe-in-Quarantaene.html"
"Haus der Kinder Pinzberg",11.10497,49.68966,c(11.10497, 49.68966, 0),"https://www.infranken.de/lk/forchheim/wieder-ein-corona-fall-in-kita-im-kreis-forchheim-was-nach-der-schliessung-passiert-art-5052083"
"Kita in Coerde",7.648434,51.991479,c(7.648434, 51.991479, 0),"https://www.dein-ms.de/news/allgemein/erste-kita-gruppen-in-quarantaene"
"Kindergarten Kuschel & Carlos Schwabing",11.5824652,48.1659474,c(11.5824652, 48.1659474, 0),"https://www.muenchen.de/rathaus/Serviceangebote/familie/kinderbetreuung/corona.html"
"Kita Am Hedernfeld 42",11.46927,48.1208,c(11.46927, 48.1208, 0),"https://www.muenchen.de/rathaus/Serviceangebote/familie/kinderbetreuung/corona.html"
"Kinderkrippe Elly & Stoffl Laim GmbH",11.5200578,48.1406324,c(11.5200578, 48.1406324, 0),"https://www.muenchen.de/rathaus/Serviceangebote/familie/kinderbetreuung/corona.html"
"Joki Kinderbetreuung Obermenzing",11.47401,48.15491,c(11.47401, 48.15491, 0),"https://www.muenchen.de/rathaus/Serviceangebote/familie/kinderbetreuung/corona.html"
"Kibiku Vogelloh GmbH, MAN Löwenkinder",11.4666709,48.2140182,c(11.4666709, 48.2140182, 0),"https://www.muenchen.de/rathaus/Serviceangebote/familie/kinderbetreuung/corona.html"
