year,Freq
1994-01-01,1
1995-01-01,9
1996-01-01,3
1997-01-01,8
1998-01-01,4
1999-01-01,2
2000-01-01,1
2001-01-01,1
2002-01-01,2
2003-01-01,2
2004-01-01,1
2005-01-01,1
2006-01-01,2
2007-01-01,5
2008-01-01,5
2009-01-01,5
2010-01-01,5
2011-01-01,5
2012-01-01,2
2014-01-01,7
2015-01-01,7
2016-01-01,3
2017-01-01,3
2018-01-01,6
2019-01-01,8
2020-01-01,6
