date,case,variante1,case1,variante2,case2,variante3,case3
2021-05-16,,7829,43,104482,567,1060976,5760
2021-05-17,,7981,40,109694,552,1143639,5760
2021-05-18,,8136,38,115167,538,1232742,5760
2021-05-19,,8294,36,120913,524,1328788,5760
2021-05-20,,8455,34,126945,511,1432317,5760
2021-05-21,,8619,32,133279,497,1543912,5760
2021-05-22,,8787,30,139928,484,1664202,5760
2021-05-23,,8957,29,146909,472,1793864,5760
2021-05-24,,9131,27,154239,459,1933628,5760
2021-05-25,,9309,26,161934,448,2084282,5760
2021-05-26,,9490,24,170013,436,2246673,5760
