"region","neuinf","neuinfpro","add"
"<b>Burgenlandkreis</b><br>Landkreis<br>Sachsen-Anhalt","1621","912,776620305197",""
"<b>Harz</b><br>Landkreis<br>Sachsen-Anhalt","1450","687,285223367698",""
"<b>Jerichower Land</b><br>Landkreis<br>Sachsen-Anhalt","438","489,916445756854",""
"<b>Mansfeld-Südharz</b><br>Landkreis<br>Sachsen-Anhalt","643","480,963422843893",""
"<b>Saalekreis</b><br>Landkreis<br>Sachsen-Anhalt","1253","683,079472725885",""
"<b>Salzlandkreis</b><br>Landkreis<br>Sachsen-Anhalt","815","434,766373088228",""
"<b>Stendal</b><br>Landkreis<br>Sachsen-Anhalt","680","615,468163099063",""
"<b>Wittenberg</b><br>Landkreis<br>Sachsen-Anhalt","577","464,629383580948",""
"<b>Erfurt</b><br>Kreisfreie Stadt<br>Thüringen","887","415,083391048799",""
"<b>Gera</b><br>Kreisfreie Stadt<br>Thüringen","363","394,025573670842",""
"<b>Jena</b><br>Kreisfreie Stadt<br>Thüringen","697","629,45335994437",""
"<b>Suhl</b><br>Kreisfreie Stadt<br>Thüringen","166","456,106608050556",""
"<b>Weimar</b><br>Kreisfreie Stadt<br>Thüringen","403","619,066637991951",""
"<b>Eichsfeld</b><br>Landkreis<br>Thüringen","837","841,518956798005",""
"<b>Nordhausen</b><br>Landkreis<br>Thüringen","215","260,745124672553",""
"<b>Wartburgkreis</b><br>Landkreis<br>Thüringen","852","532,709754465821",""
"<b>Unstrut-Hainich-Kreis</b><br>Landkreis<br>Thüringen","687","675,529508938229",""
"<b>Kyffhäuserkreis</b><br>Landkreis<br>Thüringen","274","372,677565898643",""
"<b>Schmalkalden-Meiningen</b><br>Landkreis<br>Thüringen","664","534,445150956608",""
"<b>Gotha</b><br>Landkreis<br>Thüringen","544","404,271605121765",""
"<b>Sömmerda</b><br>Landkreis<br>Thüringen","216","312,558785651236",""
"<b>Hildburghausen</b><br>Landkreis<br>Thüringen","291","464,44075587334",""
"<b>Ilm-Kreis</b><br>Landkreis<br>Thüringen","938","888,207109444539",""
"<b>Weimarer Land</b><br>Landkreis<br>Thüringen","309","375,496712884763",""
