"Kreis","Typ","Bundesland","Einwohner","Tote","hc.key","totrel"
"Cottbus","Kreisfreie Stadt","Brandenburg",98693,217,"de-bb-12052000",2199
"Frankfurt (Oder)","Kreisfreie Stadt","Brandenburg",57015,113,"de-bb-12053000",1982
"Potsdam","Kreisfreie Stadt","Brandenburg",182112,250,"de-bb-12054000",1373
"Barnim","Landkreis","Brandenburg",187343,255,"de-bb-12060000",1361
"Dahme-Spreewald","Landkreis","Brandenburg",173316,266,"de-bb-12061000",1535
"Elbe-Elster","Landkreis","Brandenburg",101085,258,"de-bb-12062000",2552
"Havelland","Landkreis","Brandenburg",164693,194,"de-bb-12063000",1178
"Märkisch-Oderland","Landkreis","Brandenburg",197195,288,"de-bb-12064000",1460
"Oberhavel","Landkreis","Brandenburg",214234,320,"de-bb-12065000",1494
"Oberspreewald-Lausitz","Landkreis","Brandenburg",108396,265,"de-bb-12066000",2445
"Oder-Spree","Landkreis","Brandenburg",179276,325,"de-bb-12067000",1813
"Ostprignitz-Ruppin","Landkreis","Brandenburg",98808,158,"de-bb-12068000",1599
"Potsdam-Mittelmark","Landkreis","Brandenburg",217954,225,"de-bb-12069000",1032
"Prignitz","Landkreis","Brandenburg",76096,165,"de-bb-12070000",2168
"Spree-Neiße","Landkreis","Brandenburg",113011,229,"de-bb-12071000",2026
"Teltow-Fläming","Landkreis","Brandenburg",171554,222,"de-bb-12072000",1294
"Uckermark","Landkreis","Brandenburg",118250,171,"de-bb-12073000",1446
"Rostock","Kreisfreie Stadt","Mecklenburg-Vorpommern",209061,64,"de-mv-13003000",306
"Schwerin","Kreisfreie Stadt","Mecklenburg-Vorpommern",95609,115,"de-mv-13004000",1203
"Mecklenburgische Seenplatte","Landkreis","Mecklenburg-Vorpommern",258057,169,"de-mv-13071000",655
"Rostock","Landkreis","Mecklenburg-Vorpommern",217072,184,"de-mv-13072000",848
"Vorpommern-Rügen","Landkreis","Mecklenburg-Vorpommern",225383,98,"de-mv-13073000",435
"Nordwestmecklenburg","Landkreis","Mecklenburg-Vorpommern",157975,88,"de-mv-13074000",557
"Vorpommern-Greifswald","Landkreis","Mecklenburg-Vorpommern",235773,298,"de-mv-13075000",1264
"Ludwigslust-Parchim","Landkreis","Mecklenburg-Vorpommern",211844,273,"de-mv-13076000",1289
"Chemnitz","Kreisfreie Stadt","Sachsen",244401,567,"de-sn-14511000",2320
"Erzgebirgskreis","Landkreis","Sachsen",331917,981,"de-sn-14521000",2956
"Mittelsachsen","Landkreis","Sachsen",301474,724,"de-sn-14522000",2402
"Vogtlandkreis","Landkreis","Sachsen",223905,853,"de-sn-14523000",3810
"Zwickau","Landkreis","Sachsen",312033,1093,"de-sn-14524000",3503
"Dresden","Kreisfreie Stadt","Sachsen",556227,1194,"de-sn-14612000",2147
"Bautzen","Landkreis","Sachsen",298010,966,"de-sn-14625000",3242
"Görlitz","Landkreis","Sachsen",250558,1199,"de-sn-14626000",4785
"Meißen","Landkreis","Sachsen",240371,655,"de-sn-14627000",2725
"Sächsische Schweiz-Osterzgebirge","Landkreis","Sachsen",244722,1025,"de-sn-14628000",4188
"Leipzig","Kreisfreie Stadt","Sachsen",597493,552,"de-sn-14713000",924
"Leipzig","Landkreis","Sachsen",258386,376,"de-sn-14729000",1455
"Nordsachsen","Landkreis","Sachsen",197444,412,"de-st-14730000",2087
"Dessau-Roßlau","Kreisfreie Stadt","Sachsen-Anhalt",79354,125,"de-st-15001000",1575
"Halle (Saale)","Kreisfreie Stadt","Sachsen-Anhalt",237865,367,"de-st-15002000",1543
"Magdeburg","Kreisfreie Stadt","Sachsen-Anhalt",235775,170,"de-st-15003000",721
"Altmarkkreis Salzwedel","Landkreis","Sachsen-Anhalt",82687,95,"de-st-15081000",1149
"Anhalt-Bitterfeld","Landkreis","Sachsen-Anhalt",157217,206,"de-st-15082000",1310
"Börde","Landkreis","Sachsen-Anhalt",170567,142,"de-st-15083000",833
"Burgenlandkreis","Landkreis","Sachsen-Anhalt",177590,623,"de-st-15084000",3508
"Harz","Landkreis","Sachsen-Anhalt",210975,301,"de-st-15085000",1427
"Jerichower Land","Landkreis","Sachsen-Anhalt",89403,163,"de-st-15086000",1823
"Mansfeld-Südharz","Landkreis","Sachsen-Anhalt",133690,239,"de-st-15087000",1788
"Saalekreis","Landkreis","Sachsen-Anhalt",183434,374,"de-st-15088000",2039
"Salzlandkreis","Landkreis","Sachsen-Anhalt",187457,340,"de-st-15089000",1814
"Stendal","Landkreis","Sachsen-Anhalt",110485,224,"de-st-15090000",2027
"Wittenberg","Landkreis","Sachsen-Anhalt",124185,305,"de-st-15091000",2456
"Erfurt","Kreisfreie Stadt","Thüringen",213692,295,"de-th-16051000",1380
"Gera","Kreisfreie Stadt","Thüringen",92126,233,"de-th-16052000",2529
"Jena","Kreisfreie Stadt","Thüringen",110731,95,"de-th-16053000",858
"Suhl","Kreisfreie Stadt","Thüringen",36395,123,"de-th-16054000",3380
"Weimar","Kreisfreie Stadt","Thüringen",65098,111,"de-th-16055000",1705
"Eichsfeld","Landkreis","Thüringen",99463,259,"de-th-16061000",2604
"Nordhausen","Landkreis","Thüringen",82456,71,"de-th-16062000",861
"Wartburgkreis","Landkreis","Thüringen",159937,339,"de-th-16063000",2120
"Unstrut-Hainich-Kreis","Landkreis","Thüringen",101698,280,"de-th-16064000",2753
"Kyffhäuserkreis","Landkreis","Thüringen",73522,154,"de-th-16065000",2095
"Schmalkalden-Meiningen","Landkreis","Thüringen",124241,413,"de-th-16066000",3324
"Gotha","Landkreis","Thüringen",134563,216,"de-th-16067000",1605
"Sömmerda","Landkreis","Thüringen",69107,148,"de-th-16068000",2142
"Hildburghausen","Landkreis","Thüringen",62656,276,"de-th-16069000",4405
"Ilm-Kreis","Landkreis","Thüringen",105606,247,"de-th-16070000",2339
"Weimarer Land","Landkreis","Thüringen",82291,89,"de-th-16071000",1082
"Sonneberg","Landkreis","Thüringen",57044,182,"de-th-16072000",3191
"Saalfeld-Rudolstadt","Landkreis","Thüringen",102139,321,"de-th-16073000",3143
"Saale-Holzland-Kreis","Landkreis","Thüringen",82816,152,"de-th-16074000",1835
"Saale-Orla-Kreis","Landkreis","Thüringen",79632,203,"de-th-16075000",2549
"Greiz","Landkreis","Thüringen",96668,248,"de-th-16076000",2565
"Altenburger Land","Landkreis","Thüringen",88356,321,"de-th-16077000",3633
