id,bundesland,wahlkreis,partei,Stimmenanteil,number
30,NI,Stade I – Rotenburg II,Linke,6.3,4.6781719494611
31,NI,Mittelems,Linke,4.6,4.70610672375187
32,NI,Cloppenburg – Vechta,Linke,4.4,4.73915402288549
33,NI,Diepholz – Nienburg I,Linke,6.1,4.70312893856317
34,NI,Osterholz – Verden,Linke,7.3,4.49837108841166
35,NI,Rotenburg I – Heidekreis,Linke,5.9,4.76295901788399
36,NI,Harburg,Linke,6.3,4.25196678261273
37,NI,Lüchow-Dannenberg – Lüneburg,Linke,9.1,4.59077990124933
38,NI,Osnabrück-Land,Linke,6.1,4.14896644908004
39,NI,Stadt Osnabrück,Linke,8.4,4.81012280099094
40,NI,Nienburg II – Schaumburg,Linke,5.7,4.02545221569017
41,NI,Stadt Hannover I,Linke,9.3,4.57436767523177
42,NI,Stadt Hannover II,Linke,12,4.57012091926299
43,NI,Hannover-Land I,Linke,6,4.5172489900142
44,NI,Celle – Uelzen,Linke,5.8,4.2382239412982
45,NI,Gifhorn – Peine,Linke,6.1,4.09567034593783
46,NI,Hameln-Pyrmont – Holzminden,Linke,6.6,4.19251362932846
47,NI,Hannover-Land II,Linke,6.6,4.88812077394687
48,NI,Hildesheim,Linke,6.5,4.5669694817625
49,NI,Salzgitter – Wolfenbüttel,Linke,7.2,4.11717187589966
50,NI,Braunschweig,Linke,9.3,4.15945435781032
51,NI,Helmstedt – Wolfsburg,Linke,6.7,4.1629753743764
52,NI,Goslar – Northeim – Osterode,Linke,6.4,4.47052752343006
53,NI,Göttingen,Linke,8.7,4.1741826927755
54,HB,Bremen I,Linke,14.2,4.66053589154035
55,HB,Bremen II – Bremerhaven,Linke,12.5,4.09965590108186
56,BB,Prignitz – Ostprignitz-Ruppin – Havelland I,Linke,16.4,4.17164655355737
57,BB,Uckermark – Barnim I,Linke,18.6,4.22064785566181
58,BB,Oberhavel – Havelland II,Linke,14.3,4.42755959415808
59,BB,Märkisch-Oderland – Barnim II,Linke,20.7,4.56282302760519
60,BB,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Linke,16.5,4.38065466773696
61,BB,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Linke,18.3,4.63258104212582
62,BB,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Linke,15.8,4.64666096377186
63,BB,Frankfurt (Oder) – Oder-Spree,Linke,19,4.92524228175171
64,BB,Cottbus – Spree-Neiße,Linke,16.5,4.12598870811053
65,BB,Elbe-Elster – Oberspreewald-Lausitz II,Linke,15.5,4.22301208646968
