id,bundesland,wahlkreis,partei,Stimmenanteil,number
62,BB,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Grüne,4.7,8.90898442454636
63,BB,Frankfurt (Oder) – Oder-Spree,Grüne,4.3,8.27089085546322
64,BB,Cottbus – Spree-Neiße,Grüne,3.1,8.44433293188922
65,BB,Elbe-Elster – Oberspreewald-Lausitz II,Grüne,2.6,8.81227642484009
66,ST,Altmark,Grüne,3.3,8.46690130163915
67,ST,Börde – Jerichower Land,Grüne,2.9,8.64811767102219
68,ST,Harz,Grüne,3.5,8.48766277148388
69,ST,Magdeburg,Grüne,5.3,8.7707308861427
70,ST,Dessau – Wittenberg,Grüne,3.5,8.30409605754539
71,ST,Anhalt,Grüne,2.4,8.72284845891409
72,ST,Halle,Grüne,7,8.86329921358265
73,ST,Burgenland – Saalekreis,Grüne,2.6,8.5008516907692
74,ST,Mansfeld,Grüne,2.4,8.1091724652797
75,BE,Berlin-Mitte,Grüne,17.2,8.5991923820693
76,BE,Berlin-Pankow,Grüne,14.3,8.23914544354193
77,BE,Berlin-Reinickendorf,Grüne,9.1,8.44385762582533
78,BE,Berlin-Spandau – Charlottenburg Nord,Grüne,8.5,8.79718942753971
79,BE,Berlin-Steglitz-Zehlendorf,Grüne,14.2,8.92781598400325
80,BE,Berlin-Charlottenburg-Wilmersdorf,Grüne,15.8,8.13470445480198
81,BE,Berlin-Tempelhof-Schöneberg,Grüne,15.6,8.22007781476714
82,BE,Berlin-Neukölln,Grüne,13,8.47645501350053
83,BE,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Grüne,20.4,8.63356220629066
84,BE,Berlin-Treptow-Köpenick,Grüne,7.8,8.42061523976736
85,BE,Berlin-Marzahn-Hellersdorf,Grüne,4.1,8.81198633392341
86,BE,Berlin-Lichtenberg,Grüne,6.7,8.12367614265531
87,NW,Aachen I,Grüne,12.8,8.76995604392141
88,NW,Aachen II,Grüne,4.9,8.10952047072351
89,NW,Heinsberg,Grüne,5.2,8.91364328120835
90,NW,Düren,Grüne,5.5,8.48518807510845
91,NW,Rhein-Erft-Kreis I,Grüne,6.6,8.42201292398386
92,NW,Euskirchen – Rhein-Erft-Kreis II,Grüne,6.7,8.6879907543771
93,NW,Köln I,Grüne,11.4,8.16176599333994
94,NW,Köln II,Grüne,15.5,8.97419276484288
95,NW,Köln III,Grüne,14,8.3403512078803
96,NW,Bonn,Grüne,14.1,8.23490811977535
97,NW,Rhein-Sieg-Kreis I,Grüne,7.5,8.21403923700564
98,NW,Rhein-Sieg-Kreis II,Grüne,8.8,8.63196578389034
99,NW,Oberbergischer Kreis,Grüne,6.4,8.3568264064379
100,NW,Rheinisch-Bergischer Kreis,Grüne,9,8.4326899391599
101,NW,Leverkusen – Köln IV,Grüne,8.8,8.45358604751527
102,NW,Wuppertal I,Grüne,8.6,8.07194344094023
103,NW,Solingen – Remscheid – Wuppertal II,Grüne,7.2,8.74514181306586
104,NW,Mettmann I,Grüne,7.4,8.07178422948346
105,NW,Mettmann II,Grüne,6.9,8.50721357320435
106,NW,Düsseldorf I,Grüne,10,8.15037499228492
107,NW,Düsseldorf II,Grüne,10.1,8.61236561904661
108,NW,Neuss I,Grüne,6,8.9923371905461
109,NW,Mönchengladbach,Grüne,6.2,8.73768406012096
110,NW,Krefeld I – Neuss II,Grüne,7.1,8.49115417920984
111,NW,Viersen,Grüne,6.7,8.84903760161251
112,NW,Kleve,Grüne,6,8.35125272534788
113,NW,Wesel I,Grüne,6.1,8.56596298073418
114,NW,Krefeld II – Wesel II,Grüne,7,8.83096343581565
115,NW,Duisburg I,Grüne,6.6,8.6229161825031
116,NW,Duisburg II,Grüne,4.4,8.06500373198651
117,NW,Oberhausen – Wesel III,Grüne,5.5,8.30912960600108
118,NW,Mülheim – Essen I,Grüne,6.7,8.69207250140607
119,NW,Essen II,Grüne,6.2,8.49507096246816
120,NW,Essen III,Grüne,9.4,8.4563820688054
121,NW,Recklinghausen I,Grüne,5.8,8.34131951862946
122,NW,Recklinghausen II,Grüne,5.2,8.55533505999483
123,NW,Gelsenkirchen,Grüne,4.6,8.19512436236255
124,NW,Steinfurt I – Borken I,Grüne,6,8.69207390770316
125,NW,Bottrop – Recklinghausen III,Grüne,4.8,8.35039218515158
126,NW,Borken II,Grüne,5.9,8.03958130371757
127,NW,Coesfeld – Steinfurt II,Grüne,7.5,8.9823520986829
128,NW,Steinfurt III,Grüne,7.3,8.54081036848947
129,NW,Münster,Grüne,14.6,8.24282168736681
130,NW,Warendorf,Grüne,6.7,8.41752556711435
131,NW,Gütersloh I,Grüne,7.9,8.26579968980514
132,NW,Bielefeld – Gütersloh II,Grüne,11.1,8.47114970278926
133,NW,Herford – Minden-Lübbecke II,Grüne,6.9,8.11077835550532
134,NW,Minden-Lübbecke I,Grüne,6.4,8.99198818905279
135,NW,Lippe I,Grüne,7.4,8.19370671315119
136,NW,Höxter – Gütersloh III – Lippe II,Grüne,5.6,8.55590954888612
137,NW,Paderborn,Grüne,7.4,8.60512802307494
138,NW,Hagen – Ennepe-Ruhr-Kreis I,Grüne,5.8,8.24266770039685
139,NW,Ennepe-Ruhr-Kreis II,Grüne,8.2,8.64318156428635
140,NW,Bochum I,Grüne,8.9,8.15632528276183
141,NW,Herne – Bochum II,Grüne,5.9,8.32351144449785
142,NW,Dortmund I,Grüne,9.5,8.37813207064755
143,NW,Dortmund II,Grüne,7.2,8.95648135640658
144,NW,Unna I,Grüne,6.9,8.23562510311604
145,NW,Hamm – Unna II,Grüne,5.3,8.43346249265596
146,NW,Soest,Grüne,6.2,8.80194028560072
147,NW,Hochsauerlandkreis,Grüne,4.7,8.22374555794522
148,NW,Siegen-Wittgenstein,Grüne,5.5,8.7733279298991
149,NW,Olpe – Märkischer Kreis I,Grüne,4.5,8.75952147692442
150,NW,Märkischer Kreis II,Grüne,4.9,8.76876545860432
151,SN,Nordsachsen,Grüne,2.6,8.30808549630456
152,SN,Leipzig I,Grüne,7.1,8.47643338213675
153,SN,Leipzig II,Grüne,10.4,8.63126941723749
154,SN,Leipzig-Land,Grüne,3.2,8.21277117659338
155,SN,Meißen,Grüne,3.7,8.58448485354893
156,SN,Bautzen I,Grüne,2.4,8.348300015321
157,SN,Görlitz,Grüne,2.9,8.26976307248697
158,SN,Sächsische Schweiz-Osterzgebirge,Grüne,3,8.95600734720938
159,SN,Dresden I,Grüne,7.7,8.66328813624568
160,SN,Dresden II – Bautzen II,Grüne,9,8.9692225723993
161,SN,Mittelsachsen,Grüne,2.8,8.42801426840015
162,SN,Chemnitz,Grüne,4.7,8.1730803954415
163,SN,Chemnitzer Umland – Erzgebirgskreis II,Grüne,2.8,8.31199032487348
164,SN,Erzgebirgskreis I,Grüne,2.2,8.17131611029617
165,SN,Zwickau,Grüne,2.9,8.84960494260304
166,SN,Vogtlandkreis,Grüne,3,8.56698729260825
167,HE,Waldeck,Grüne,6.9,8.34409840055741
168,HE,Kassel,Grüne,11.4,8.017085227184
169,HE,Werra-Meißner – Hersfeld-Rotenburg,Grüne,6,8.42112038563937
170,HE,Schwalm-Eder,Grüne,6.6,8.43739730655216
171,HE,Marburg,Grüne,9.3,8.30929815839045
172,HE,Lahn-Dill,Grüne,7,8.78975204052404
173,HE,Gießen,Grüne,9.7,8.58607633807696
174,HE,Fulda,Grüne,6.7,8.55063059180975
175,HE,Main-Kinzig – Wetterau II – Schotten,Grüne,7.1,8.0337924612686
176,HE,Hochtaunus,Grüne,9.7,8.93970855511725
177,HE,Wetterau I,Grüne,9.5,8.63833065098152
178,HE,Rheingau-Taunus – Limburg,Grüne,8.9,8.67124258331023
179,HE,Wiesbaden,Grüne,11.8,8.22808651416562
180,HE,Hanau,Grüne,8.6,8.57912272331305
181,HE,Main-Taunus,Grüne,10.5,8.66354139475152
182,HE,Frankfurt am Main I,Grüne,13.6,8.00192343513481
183,HE,Frankfurt am Main II,Grüne,15.5,8.81566719943658
184,HE,Groß-Gerau,Grüne,9,8.88899485697038
185,HE,Offenbach,Grüne,10.2,8.23997256648727
186,HE,Darmstadt,Grüne,14.3,8.19028479978442
187,HE,Odenwald,Grüne,8.8,8.99926078622229
188,HE,Bergstraße,Grüne,8.8,8.3892145906575
189,TH,Eichsfeld – Nordhausen – Kyffhäuserkreis,Grüne,3.1,8.61056744144298
190,TH,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Grüne,3.5,8.65285439114086
191,TH,Jena – Sömmerda – Weimarer Land I,Grüne,6.2,8.3206797321327
192,TH,Gotha – Ilm-Kreis,Grüne,3.7,8.83488338114694
193,TH,Erfurt – Weimar – Weimarer Land II,Grüne,7.6,8.10872695082799
194,TH,Gera – Greiz – Altenburger Land,Grüne,2.7,8.89280290249735
195,TH,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Grüne,3,8.06347221648321
196,TH,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Grüne,3.3,8.20550746074878
197,RP,Neuwied,Grüne,6,8.08744046767242
198,RP,Ahrweiler,Grüne,6.7,8.94479888631031
199,RP,Koblenz,Grüne,7.9,8.83731499616988
200,RP,Mosel/Rhein-Hunsrück,Grüne,5.6,8.42858399590477
201,RP,Kreuznach,Grüne,6.2,8.71252362639643
202,RP,Bitburg,Grüne,6.2,8.55808763299137
203,RP,Trier,Grüne,9,8.23946521570906
204,RP,Montabaur,Grüne,6.2,8.24637125222944
205,RP,Mainz,Grüne,13.1,8.24524573027156
206,RP,Worms,Grüne,8,8.3241008229088
207,RP,Ludwigshafen/Frankenthal,Grüne,7.3,8.19316712510772
208,RP,Neustadt – Speyer,Grüne,8.8,8.13053243979812
209,RP,Kaiserslautern,Grüne,6.7,8.31699674064294
210,RP,Pirmasens,Grüne,4.6,8.27854995569214
211,RP,Südpfalz,Grüne,8.7,8.53538185590878
212,BY,Altötting,Grüne,6.8,8.65536878281273
213,BY,Erding – Ebersberg,Grüne,10.9,8.61204159981571
214,BY,Freising,Grüne,9.7,8.62502139783464
215,BY,Fürstenfeldbruck,Grüne,11,8.27118149073794
216,BY,Ingolstadt,Grüne,7.2,8.21845044032671
217,BY,München-Nord,Grüne,16.9,8.52715719118714
218,BY,München-Ost,Grüne,16,8.34176663123071
219,BY,München-Süd,Grüne,17.4,8.92370466864668
220,BY,München-West/Mitte,Grüne,18.5,8.03673222847283
221,BY,München-Land,Grüne,12.6,8.47968797152862
222,BY,Rosenheim,Grüne,10,8.392260130262
223,BY,Bad Tölz-Wolfratshausen – Miesbach,Grüne,10.3,8.16422131936997
224,BY,Starnberg – Landsberg am Lech,Grüne,13.1,8.86076987278648
225,BY,Traunstein,Grüne,9.2,8.12118213460781
226,BY,Weilheim,Grüne,9.5,8.70325354975648
227,BY,Deggendorf,Grüne,4.7,8.7871425843332
228,BY,Landshut,Grüne,7.3,8.89702341542579
229,BY,Passau,Grüne,6.4,8.30798634025268
230,BY,Rottal-Inn,Grüne,5.2,8.25319193513133
231,BY,Straubing,Grüne,4.6,8.58613942470402
232,BY,Amberg,Grüne,7.1,8.99823928228579
233,BY,Regensburg,Grüne,10.4,8.87540041771717
234,BY,Schwandorf,Grüne,4.6,8.40186262084171
235,BY,Weiden,Grüne,5,8.07921696733683
236,BY,Bamberg,Grüne,9.9,8.14565695659257
237,BY,Bayreuth,Grüne,7.9,8.89534729975276
238,BY,Coburg,Grüne,6.7,8.33967931289226
239,BY,Hof,Grüne,5.6,8.77554953587241
240,BY,Kulmbach,Grüne,5.9,8.84078242420219
241,BY,Ansbach,Grüne,8.8,8.3117051734589
242,BY,Erlangen,Grüne,13.3,8.35417287726887
243,BY,Fürth,Grüne,10.5,8.52096294309013
244,BY,Nürnberg-Nord,Grüne,15.1,8.04393970407546
245,BY,Nürnberg-Süd,Grüne,9.3,8.54883691715077
246,BY,Roth,Grüne,9.8,8.71385868010111
247,BY,Aschaffenburg,Grüne,9.4,8.73366720159538
248,BY,Bad Kissingen,Grüne,6.7,8.38613712019287
249,BY,Main-Spessart,Grüne,7.7,8.06269466551021
250,BY,Schweinfurt,Grüne,7.6,8.56391035951674
251,BY,Würzburg,Grüne,13,8.27950726985
252,BY,Augsburg-Stadt,Grüne,12.4,8.97968000196852
253,BY,Augsburg-Land,Grüne,8.8,8.0843342167791
254,BY,Donau-Ries,Grüne,6.9,8.04067580867559
255,BY,Neu-Ulm,Grüne,8.2,8.1211731180083
256,BY,Oberallgäu,Grüne,11.3,8.9577743858099
257,BY,Ostallgäu,Grüne,8.5,8.77379705919884
258,BW,Stuttgart I,Grüne,19.6,8.28608666267246
259,BW,Stuttgart II,Grüne,15.3,8.11749335448258
260,BW,Böblingen,Grüne,12.7,8.70709892967716
261,BW,Esslingen,Grüne,14.6,8.52028516028076
262,BW,Nürtingen,Grüne,14.2,8.05392355821095
263,BW,Göppingen,Grüne,12.3,8.49124691169709
264,BW,Waiblingen,Grüne,12.2,8.39602164155804
265,BW,Ludwigsburg,Grüne,13.8,8.58597601437941
266,BW,Neckar-Zaber,Grüne,13.1,8.53483306942508
267,BW,Heilbronn,Grüne,10.4,8.87907283939421
268,BW,Schwäbisch Hall – Hohenlohe,Grüne,12.1,8.60950528504327
269,BW,Backnang – Schwäbisch Gmünd,Grüne,11.4,8.87322825402953
270,BW,Aalen – Heidenheim,Grüne,11,8.44050967786461
271,BW,Karlsruhe-Stadt,Grüne,18.3,8.34776409249753
272,BW,Karlsruhe-Land,Grüne,12.3,8.76154107553884
273,BW,Rastatt,Grüne,11.4,8.49361560051329
274,BW,Heidelberg,Grüne,17.1,8.77111044595949
275,BW,Mannheim,Grüne,13.2,8.89545787661336
276,BW,Odenwald – Tauber,Grüne,8.5,8.88279735064134
277,BW,Rhein-Neckar,Grüne,11.4,8.56018071179278
278,BW,Bruchsal – Schwetzingen,Grüne,10.2,8.05906288372353
279,BW,Pforzheim,Grüne,10.8,8.62566417688504
280,BW,Calw,Grüne,9.9,8.05279834894463
281,BW,Freiburg,Grüne,21.2,8.11921716341749
282,BW,Lörrach – Müllheim,Grüne,15.4,8.65507787000388
283,BW,Emmendingen – Lahr,Grüne,13.7,8.1086918390356
284,BW,Offenburg,Grüne,13.8,8.54837824427523
285,BW,Rottweil – Tuttlingen,Grüne,10.2,8.11081747501157
286,BW,Schwarzwald-Baar,Grüne,12.2,8.6640890231356
287,BW,Konstanz,Grüne,16,8.65144834993407
288,BW,Waldshut,Grüne,13.9,8.90070602018386
289,BW,Reutlingen,Grüne,13.9,8.94617196568288
290,BW,Tübingen,Grüne,18,8.51496220729314
291,BW,Ulm,Grüne,13.7,8.02255907002836
292,BW,Biberach,Grüne,11.3,8.94155377149582
293,BW,Bodensee,Grüne,14.7,8.7999194925651
294,BW,Ravensburg,Grüne,15,8.87920310744084
295,BW,Zollernalb – Sigmaringen,Grüne,11.5,8.98056439193897
296,SL,Saarbrücken,Grüne,8.1,8.59058010927401
297,SL,Saarlouis,Grüne,5.5,8.31223794794641
298,SL,St. Wendel,Grüne,4.8,8.20740462071262
299,SL,Homburg,Grüne,5.6,8.08800032082945
1,SH,Flensburg – Schleswig,AfD,6.8,2.57715969532728
2,SH,Nordfriesland – Dithmarschen Nord,AfD,6.5,2.15350714605302
3,SH,Steinburg – Dithmarschen Süd,AfD,8.5,2.46320025180466
4,SH,Rendsburg-Eckernförde,AfD,7.4,2.81581218191423
5,SH,Kiel,AfD,6.9,2.14678712957539
6,SH,Plön – Neumünster,AfD,8.6,2.96379989013076
7,SH,Pinneberg,AfD,8.6,2.29471016628668
8,SH,Segeberg – Stormarn-Mitte,AfD,8.9,2.5461847493425
9,SH,Ostholstein – Stormarn-Nord,AfD,8.6,2.32411034312099
10,SH,Herzogtum Lauenburg – Stormarn-Süd,AfD,9.8,2.31917860079557
11,SH,Lübeck,AfD,8.9,2.77860767301172
12,MV,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,AfD,16.5,2.71592228277586
13,MV,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,AfD,17.7,2.35604114132002
14,MV,Rostock – Landkreis Rostock II,AfD,15.5,2.89110364369117
15,MV,Vorpommern-Rügen – Vorpommern-Greifswald I,AfD,19.6,2.57559818774462
16,MV,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,AfD,23,2.54811267508194
17,MV,Mecklenburgische Seenplatte II – Landkreis Rostock III,AfD,19.2,2.95958283985965
18,HH,Hamburg-Mitte,AfD,8,2.62095310376026
19,HH,Hamburg-Altona,AfD,5.5,2.64396265475079
20,HH,Hamburg-Eimsbüttel,AfD,5.9,2.0975224270951
21,HH,Hamburg-Nord,AfD,6.2,2.93309152428992
22,HH,Hamburg-Wandsbek,AfD,9.8,2.92158323060721
23,HH,Hamburg-Bergedorf – Harburg,AfD,11.5,2.14557179878466
24,NI,Aurich – Emden,AfD,9.1,2.29190086433664
25,NI,Unterems,AfD,8.4,2.21649060957134
26,NI,Friesland – Wilhelmshaven – Wittmund,AfD,9.1,2.78703872486949
27,NI,Oldenburg – Ammerland,AfD,7.2,2.26431946549565
28,NI,Delmenhorst – Wesermarsch – Oldenburg-Land,AfD,9.7,2.09123153146356
29,NI,Cuxhaven – Stade II,AfD,9,2.28429988073185
30,NI,Stade I – Rotenburg II,AfD,8.9,2.21127919526771
31,NI,Mittelems,AfD,5.4,2.90388473891653
32,NI,Cloppenburg – Vechta,AfD,8.1,2.89839924545959
33,NI,Diepholz – Nienburg I,AfD,8.4,2.42285383562557
34,NI,Osterholz – Verden,AfD,9.7,2.92133493279107
35,NI,Rotenburg I – Heidekreis,AfD,9.3,2.47704328922555
36,NI,Harburg,AfD,10,2.727359152399
37,NI,Lüchow-Dannenberg – Lüneburg,AfD,8.9,2.40341394720599
38,NI,Osnabrück-Land,AfD,7.3,2.01475421153009
39,NI,Stadt Osnabrück,AfD,6.3,2.058393958956
40,NI,Nienburg II – Schaumburg,AfD,10.3,2.96783154178411
41,NI,Stadt Hannover I,AfD,9.1,2.98086080397479
42,NI,Stadt Hannover II,AfD,7.6,2.26008712872863
43,NI,Hannover-Land I,AfD,10.2,2.80156111274846
44,NI,Celle – Uelzen,AfD,10.9,2.52644474920817
45,NI,Gifhorn – Peine,AfD,10.9,2.0819443508517
46,NI,Hameln-Pyrmont – Holzminden,AfD,10.1,2.00478860852309
47,NI,Hannover-Land II,AfD,10.4,2.10885692806914
48,NI,Hildesheim,AfD,9.3,2.06608734419569
49,NI,Salzgitter – Wolfenbüttel,AfD,12.3,2.65628194459714
50,NI,Braunschweig,AfD,8.4,2.86409539543092
51,NI,Helmstedt – Wolfsburg,AfD,10.9,2.55939247924834
52,NI,Goslar – Northeim – Osterode,AfD,10.1,2.94936119089834
53,NI,Göttingen,AfD,7.9,2.52074274118058
54,HB,Bremen I,AfD,8.3,2.20143885724247
55,HB,Bremen II – Bremerhaven,AfD,12.1,2.32562212995254
56,BB,Prignitz – Ostprignitz-Ruppin – Havelland I,AfD,18.7,2.66531363222748
57,BB,Uckermark – Barnim I,AfD,20.8,2.6328991712071
58,BB,Oberhavel – Havelland II,AfD,18.6,2.69290766189806
59,BB,Märkisch-Oderland – Barnim II,AfD,20.7,2.90090625826269
60,BB,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,AfD,17.7,2.46777476323768
61,BB,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,AfD,13.3,2.23797984491102
62,BB,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,AfD,21,2.07542451261543
63,BB,Frankfurt (Oder) – Oder-Spree,AfD,22.1,2.3370339598041
64,BB,Cottbus – Spree-Neiße,AfD,26.8,2.36080815969035
65,BB,Elbe-Elster – Oberspreewald-Lausitz II,AfD,25.2,2.74735159124248
66,ST,Altmark,AfD,16.8,2.11885689920746
67,ST,Börde – Jerichower Land,AfD,18.8,2.37581720855087
68,ST,Harz,AfD,16.9,2.06224858621135
69,ST,Magdeburg,AfD,16.2,2.14397887815721
70,ST,Dessau – Wittenberg,AfD,20,2.66719984379597
71,ST,Anhalt,AfD,22.2,2.3632125495933
72,ST,Halle,AfD,17.8,2.09146300749853
73,ST,Burgenland – Saalekreis,AfD,24.6,2.07425606157631
74,ST,Mansfeld,AfD,23.9,2.38930301484652
75,BE,Berlin-Mitte,AfD,8.2,2.97125762468204
76,BE,Berlin-Pankow,AfD,12.5,2.92197836725973
77,BE,Berlin-Reinickendorf,AfD,13.7,2.80642229947262
78,BE,Berlin-Spandau – Charlottenburg Nord,AfD,14.1,2.57276786561124
79,BE,Berlin-Steglitz-Zehlendorf,AfD,8.8,2.56926652463153
80,BE,Berlin-Charlottenburg-Wilmersdorf,AfD,7.9,2.40822159592062
81,BE,Berlin-Tempelhof-Schöneberg,AfD,9.6,2.42010228568688
82,BE,Berlin-Neukölln,AfD,11.2,2.69610914564691
83,BE,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,AfD,6.3,2.5888717493508
84,BE,Berlin-Treptow-Köpenick,AfD,16.9,2.12920810910873
85,BE,Berlin-Marzahn-Hellersdorf,AfD,21.6,2.36407673265785
86,BE,Berlin-Lichtenberg,AfD,16.7,2.00714674824849
87,NW,Aachen I,AfD,5.9,2.95735261170194
88,NW,Aachen II,AfD,8.7,2.04749528574757
89,NW,Heinsberg,AfD,8.7,2.22339839441702
90,NW,Düren,AfD,9.6,2.17452670726925
91,NW,Rhein-Erft-Kreis I,AfD,9.5,2.14237351412885
92,NW,Euskirchen – Rhein-Erft-Kreis II,AfD,9.8,2.19993246113881
93,NW,Köln I,AfD,8.9,2.16751343873329
94,NW,Köln II,AfD,5.1,2.94441985012963
95,NW,Köln III,AfD,7.8,2.6815847796388
96,NW,Bonn,AfD,7.3,2.68896742071956
97,NW,Rhein-Sieg-Kreis I,AfD,10,2.96936554741114
98,NW,Rhein-Sieg-Kreis II,AfD,8.8,2.46144432527944
99,NW,Oberbergischer Kreis,AfD,10.6,2.30811051325873
100,NW,Rheinisch-Bergischer Kreis,AfD,8,2.46968265948817
101,NW,Leverkusen – Köln IV,AfD,9.7,2.77058628643863
102,NW,Wuppertal I,AfD,11.1,2.47430649795569
103,NW,Solingen – Remscheid – Wuppertal II,AfD,10,2.59426762326621
104,NW,Mettmann I,AfD,9.5,2.90741110616364
105,NW,Mettmann II,AfD,9.6,2.40923960716464
106,NW,Düsseldorf I,AfD,7,2.83019879949279
107,NW,Düsseldorf II,AfD,9.1,2.61118786805309
108,NW,Neuss I,AfD,9.4,2.11618190817535
109,NW,Mönchengladbach,AfD,9.5,2.89334508031607
110,NW,Krefeld I – Neuss II,AfD,7.9,2.83561718976125
111,NW,Viersen,AfD,7.5,2.8911116537638
112,NW,Kleve,AfD,6.9,2.87724716495723
113,NW,Wesel I,AfD,9,2.58668989152648
114,NW,Krefeld II – Wesel II,AfD,9.2,2.5713283510413
115,NW,Duisburg I,AfD,11.3,2.40077718230896
116,NW,Duisburg II,AfD,15.5,2.42779086553492
117,NW,Oberhausen – Wesel III,AfD,12.5,2.65523898648098
118,NW,Mülheim – Essen I,AfD,11.4,2.10095492936671
119,NW,Essen II,AfD,15,2.69713180768304
120,NW,Essen III,AfD,8.4,2.81737871048972
121,NW,Recklinghausen I,AfD,12,2.78200072515756
122,NW,Recklinghausen II,AfD,12.5,2.90629238076508
123,NW,Gelsenkirchen,AfD,17,2.0000987239182
124,NW,Steinfurt I – Borken I,AfD,6.3,2.82120191911235
125,NW,Bottrop – Recklinghausen III,AfD,12.4,2.54058911837637
126,NW,Borken II,AfD,6,2.85415587364696
127,NW,Coesfeld – Steinfurt II,AfD,6.1,2.27325625065714
128,NW,Steinfurt III,AfD,6.8,2.58056172030047
129,NW,Münster,AfD,4.9,2.53493818989955
130,NW,Warendorf,AfD,7.4,2.8307482546661
131,NW,Gütersloh I,AfD,8.6,2.01647018571384
132,NW,Bielefeld – Gütersloh II,AfD,8.9,2.73994878237136
133,NW,Herford – Minden-Lübbecke II,AfD,10.8,2.84501246130094
134,NW,Minden-Lübbecke I,AfD,10.6,2.48050363804214
135,NW,Lippe I,AfD,10.8,2.25127301318571
136,NW,Höxter – Gütersloh III – Lippe II,AfD,9.6,2.36382174910977
137,NW,Paderborn,AfD,9.9,2.01765396120027
138,NW,Hagen – Ennepe-Ruhr-Kreis I,AfD,11.8,2.75224497634917
139,NW,Ennepe-Ruhr-Kreis II,AfD,9.7,2.90246141841635
140,NW,Bochum I,AfD,9.8,2.40482528321445
141,NW,Herne – Bochum II,AfD,13.4,2.6967800417915
142,NW,Dortmund I,AfD,9.8,2.28408548375592
143,NW,Dortmund II,AfD,10.9,2.10511719458736
144,NW,Unna I,AfD,9.8,2.4853347747121
145,NW,Hamm – Unna II,AfD,11.2,2.10678893770091
146,NW,Soest,AfD,9.3,2.38183086342178
147,NW,Hochsauerlandkreis,AfD,8,2.06099641066976
148,NW,Siegen-Wittgenstein,AfD,10.7,2.76268650498241
149,NW,Olpe – Märkischer Kreis I,AfD,9.2,2.55206278688274
150,NW,Märkischer Kreis II,AfD,11.6,2.56917765201069
151,SN,Nordsachsen,AfD,26.9,2.60030518914573
152,SN,Leipzig I,AfD,20.8,2.28058394161053
153,SN,Leipzig II,AfD,16,2.27454928285442
154,SN,Leipzig-Land,AfD,26.9,2.182545368094
155,SN,Meißen,AfD,32.9,2.37268836447038
156,SN,Bautzen I,AfD,32.8,2.95360721414909
157,SN,Görlitz,AfD,32.9,2.17060651839711
158,SN,Sächsische Schweiz-Osterzgebirge,AfD,35.5,2.99955411348492
159,SN,Dresden I,AfD,23.1,2.4194569347892
160,SN,Dresden II – Bautzen II,AfD,23.3,2.83059024368413
161,SN,Mittelsachsen,AfD,31.2,2.83559461124241
162,SN,Chemnitz,AfD,24.3,2.55755433393642
163,SN,Chemnitzer Umland – Erzgebirgskreis II,AfD,26.8,2.24280510260724
164,SN,Erzgebirgskreis I,AfD,29.2,2.37376319710165
165,SN,Zwickau,AfD,26.2,2.46646304591559
166,SN,Vogtlandkreis,AfD,26.4,2.66184150148183
167,HE,Waldeck,AfD,11.7,2.95339344744571
168,HE,Kassel,AfD,10.5,2.09808368305676
169,HE,Werra-Meißner – Hersfeld-Rotenburg,AfD,13.1,2.09313104278408
170,HE,Schwalm-Eder,AfD,12.9,2.54850270156749
171,HE,Marburg,AfD,11.5,2.42068143119104
172,HE,Lahn-Dill,AfD,13.7,2.67106784065254
173,HE,Gießen,AfD,12.4,2.80689893267117
174,HE,Fulda,AfD,15.8,2.09141415404156
175,HE,Main-Kinzig – Wetterau II – Schotten,AfD,15.4,2.66547504998744
176,HE,Hochtaunus,AfD,11.2,2.47828213637695
177,HE,Wetterau I,AfD,11.6,2.72039157664403
178,HE,Rheingau-Taunus – Limburg,AfD,11.9,2.60260104434565
179,HE,Wiesbaden,AfD,11.2,2.58811469376087
180,HE,Hanau,AfD,14.1,2.1212094835937
181,HE,Main-Taunus,AfD,10.3,2.05569015955552
182,HE,Frankfurt am Main I,AfD,9.3,2.4223034507595
183,HE,Frankfurt am Main II,AfD,8,2.49679806292988
184,HE,Groß-Gerau,AfD,12.2,2.42019407940097
185,HE,Offenbach,AfD,11.8,2.71224693744443
186,HE,Darmstadt,AfD,9.8,2.24915340123698
187,HE,Odenwald,AfD,12.2,2.58207883150317
188,HE,Bergstraße,AfD,12.9,2.81093306769617
189,TH,Eichsfeld – Nordhausen – Kyffhäuserkreis,AfD,21.1,2.42961281724274
190,TH,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,AfD,22.3,2.89320067479275
191,TH,Jena – Sömmerda – Weimarer Land I,AfD,19.8,2.89701179950498
192,TH,Gotha – Ilm-Kreis,AfD,24.1,2.61243858071975
