...1,Typ,Bundesland,Einwohner,Tote,Infizierte,Fälle pro 100.000,hc-key...8,lat,lon,bl,inf,tot,hc-key...14
Warendorf,Kreis,Nordrhein-Westfalen,277417,325,45335,1222,de-nw-05570000,51.8702227935,7.95829493253,null,null,null,null
Bielefeld,Kreisfreie Stadt,Nordrhein-Westfalen,333509,476,57611,1182,de-nw-05711000,52.0109486234,8.54074389731,null,null,null,null
Gütersloh,Kreis,Nordrhein-Westfalen,364818,421,72513,1367,de-nw-05754000,51.9317089342,8.35138605299,null,null,null,null
Herford,Kreis,Nordrhein-Westfalen,250547,268,43523,1162,de-nw-05758000,52.1675778068,8.64393163854,null,null,null,null
Höxter,Kreis,Nordrhein-Westfalen,139729,178,19084,1323,de-nw-05762000,51.6849407394,9.17809149846,null,null,null,null
Lippe,Kreis,Nordrhein-Westfalen,346970,512,59138,1203,de-nw-05766000,51.9814226536,8.95083727251,null,null,null,null
Minden-Lübbecke,Kreis,Nordrhein-Westfalen,310270,395,61208,1908,de-nw-05770000,52.3524754985,8.73934839311,null,null,null,null
Paderborn,Kreis,Nordrhein-Westfalen,308335,204,43940,1213,de-nw-05774000,51.6641754561,8.7196350334,null,null,null,null
Bochum,Kreisfreie Stadt,Nordrhein-Westfalen,364454,364,56787,895,de-nw-05911000,51.469927372,7.22493523189,null,null,null,null
Dortmund,Kreisfreie Stadt,Nordrhein-Westfalen,587696,492,105775,834,de-nw-05913000,51.5160775711,7.47490090518,null,null,null,null
Hagen,Kreisfreie Stadt,Nordrhein-Westfalen,188687,407,38127,815,de-nw-05914000,51.348045073,7.49755553757,null,null,null,null
Hamm,Kreisfreie Stadt,Nordrhein-Westfalen,178967,261,34982,1133,de-nw-05915000,51.6651743978,7.82358619294,null,null,null,null
Herne,Kreisfreie Stadt,Nordrhein-Westfalen,156940,333,30951,886,de-nw-05916000,51.5375332354,7.20855761523,null,null,null,null
Ennepe-Ruhr-Kreis,Kreis,Nordrhein-Westfalen,323130,463,48898,726,de-nw-05954000,51.3468447914,7.32402933363,null,null,null,null
Hochsauerlandkreis,Kreis,Nordrhein-Westfalen,259030,249,41677,1281,de-nw-05958000,51.3068253808,8.38507986661,null,null,null,null
Märkischer Kreis,Kreis,Nordrhein-Westfalen,408662,558,79196,1102,de-nw-05962000,51.2626114418,7.71300809906,null,null,null,null
Olpe,Kreis,Nordrhein-Westfalen,133362,189,20645,1150,de-nw-05966000,51.0861595881,7.97647726624,null,null,null,null
Siegen-Wittgenstein,Kreis,Nordrhein-Westfalen,275491,244,46078,1339,de-nw-05970000,50.9377386445,8.19517026923,null,null,null,null
Soest,Kreis,Nordrhein-Westfalen,301016,271,44295,1201,de-nw-05974000,51.5644104976,8.21743743758,null,null,null,null
Unna,Kreis,Nordrhein-Westfalen,393618,594,62874,789,de-nw-05978000,51.5785745363,7.63644458507,null,null,null,null
Darmstadt,Kreisfreie Stadt,Hessen,159174,182,26285,785,de-he-06411000,49.88144614,8.66468155462,null,null,null,null
Frankfurt am Main,Kreisfreie Stadt,Hessen,764104,1128,154969,677,de-he-06412000,50.117968104,8.64419039448,null,null,null,null
Offenbach am Main,Kreisfreie Stadt,Hessen,130892,249,31210,878,de-he-06413000,50.091078767,8.78096226536,null,null,null,null
Wiesbaden,Kreisfreie Stadt,Hessen,278609,352,53259,962,de-he-06414000,50.0791566662,8.26036646911,null,null,null,null
Bergstraße,Landkreis,Hessen,271015,413,45980,1688,de-he-06431000,49.6177012221,8.66011611597,null,null,null,null
Darmstadt-Dieburg,Landkreis,Hessen,297701,385,45223,865,de-he-06432000,49.8555038512,8.79546987935,null,null,null,null
Groß-Gerau,Landkreis,Hessen,275807,348,48920,642,de-he-06433000,49.9045086093,8.47025247743,null,null,null,null
Hochtaunuskreis,Landkreis,Hessen,237281,252,33829,848,de-he-06434000,50.2816152547,8.50464605826,null,null,null,null
Main-Kinzig-Kreis,Landkreis,Hessen,421689,774,79804,1118,de-he-06435000,50.2438645181,9.28622299151,null,null,null,null
Main-Taunus-Kreis,Landkreis,Hessen,239264,280,38187,746,de-he-06436000,50.1025789147,8.43457121479,null,null,null,null
Odenwaldkreis,Landkreis,Hessen,96754,211,16752,956,de-he-06437000,49.6715861652,8.97952523934,null,null,null,null
Offenbach,Landkreis,Hessen,356542,668,66657,886,de-he-06438000,50.0216774635,8.81143914637,null,null,null,null
Rheingau-Taunus-Kreis,Landkreis,Hessen,187433,208,28693,946,de-he-06439000,50.1419717211,8.08113471294,null,null,null,null
Wetteraukreis,Landkreis,Hessen,310353,595,48821,842,de-he-06440000,50.3547764783,8.90765705912,null,null,null,null
Gießen,Landkreis,Hessen,271667,401,45283,1103,de-he-06531000,50.5702779049,8.80751371735,null,null,null,null
Lahn-Dill-Kreis,Landkreis,Hessen,253373,274,40963,1111,de-he-06532000,50.6482687297,8.36532824,null,null,null,null
Limburg-Weilburg,Landkreis,Hessen,172291,318,27555,1057,de-he-06533000,50.4274703547,8.19943723806,null,null,null,null
Marburg-Biedenkopf,Landkreis,Hessen,245903,320,35905,836,de-he-06534000,50.8368638341,8.73804376785,null,null,null,null
Vogelsbergkreis,Landkreis,Hessen,105506,122,14735,908,de-he-06535000,50.6381193653,9.27137950882,null,null,null,null
Kassel,Kreisfreie Stadt,Hessen,201048,235,32987,829,de-he-06611000,51.3114548137,9.46020305009,null,null,null,null
Fulda,Landkreis,Hessen,223023,358,45723,1082,de-he-06631000,50.5638809858,9.75913916517,null,null,null,null
Hersfeld-Rotenburg,Landkreis,Hessen,120304,215,17926,740,de-he-06632000,50.90618961,9.7529324059,null,null,null,null
Kassel,Landkreis,Hessen,237007,255,31492,897,de-he-06633000,51.4012961379,9.4070389164,null,null,null,null
Schwalm-Eder-Kreis,Landkreis,Hessen,179840,274,22666,821,de-he-06634000,51.0237758195,9.3736523386,null,null,null,null
Waldeck-Frankenberg,Landkreis,Hessen,156528,178,22666,1135,de-he-06635000,51.1906875733,8.88888422026,null,null,null,null
Werra-Meißner-Kreis,Landkreis,Hessen,100046,195,12183,838,de-he-06636000,51.190756376,9.92890620729,null,null,null,null
Koblenz,Kreisfreie Stadt,Rheinland-Pfalz,113388,180,16264,563,de-rp-07111000,50.348516061,7.5795510239,null,null,null,null
Ahrweiler,Landkreis,Rheinland-Pfalz,130479,84,16152,814,de-rp-07131000,50.4675853221,7.04497643896,null,null,null,null
Altenkirchen (Westerwald),Landkreis,Rheinland-Pfalz,129087,120,16901,918,de-rp-07132000,50.750747657,7.74412525976,null,null,null,null
Bad Kreuznach,Landkreis,Rheinland-Pfalz,158746,160,22747,773,de-rp-07133000,49.8248204055,7.68666499174,null,null,null,null
Birkenfeld,Landkreis,Rheinland-Pfalz,80830,124,11445,695,de-rp-07134000,49.7125403895,7.27765459793,null,null,null,null
Cochem-Zell,Landkreis,Rheinland-Pfalz,61578,87,7322,877,de-rp-07135000,50.1328800059,7.17431996528,null,null,null,null
Mayen-Koblenz,Landkreis,Rheinland-Pfalz,214786,214,26609,572,de-rp-07137000,50.3316078654,7.33216943214,null,null,null,null
Neuwied,Landkreis,Rheinland-Pfalz,183131,230,25639,634,de-rp-07138000,50.5577005458,7.46900064967,null,null,null,null
Rhein-Hunsrück-Kreis,Landkreis,Rheinland-Pfalz,103401,122,13692,788,de-rp-07140000,50.0442098205,7.50009971248,null,null,null,null
Rhein-Lahn-Kreis,Landkreis,Rheinland-Pfalz,122574,115,15077,668,de-rp-07141000,50.2632817442,7.84270993642,null,null,null,null
Westerwaldkreis,Landkreis,Rheinland-Pfalz,202830,211,26304,906,de-rp-07143000,50.5523493705,7.86568137201,null,null,null,null
Trier,Kreisfreie Stadt,Rheinland-Pfalz,110674,53,14173,857,de-rp-07211000,49.762938832,6.65505102152,null,null,null,null
Bernkastel-Wittlich,Landkreis,Rheinland-Pfalz,112685,89,13220,911,de-rp-07231000,49.924645182,6.96721862193,null,null,null,null
Eifelkreis Bitburg-Prüm,Landkreis,Rheinland-Pfalz,100055,49,12404,743,de-rp-07232000,50.0621597731,6.41012996519,null,null,null,null
Vulkaneifel,Landkreis,Rheinland-Pfalz,60491,74,6739,913,de-rp-07233000,50.2383358519,6.74865373201,null,null,null,null
Trier-Saarburg,Landkreis,Rheinland-Pfalz,150533,126,19068,990,de-rp-07235000,49.6964711338,6.69519559648,null,null,null,null
Frankenthal (Pfalz),Kreisfreie Stadt,Rheinland-Pfalz,48750,77,8232,685,de-rp-07311000,49.5330640295,8.35688379873,null,null,null,null
Kaiserslautern,Kreisfreie Stadt,Rheinland-Pfalz,99662,169,15636,731,de-rp-07312000,49.4328526023,7.76067474783,null,null,null,null
Landau in der Pfalz,Kreisfreie Stadt,Rheinland-Pfalz,46685,59,6717,632,de-rp-07313000,49.2244938821,8.05060075998,null,null,null,null
Ludwigshafen am Rhein,Kreisfreie Stadt,Rheinland-Pfalz,172557,386,32475,581,de-rp-07314000,49.4820876658,8.39684453576,null,null,null,null
Mainz,Kreisfreie Stadt,Rheinland-Pfalz,217123,247,34833,800,de-rp-07315000,49.9741865223,8.24149708463,null,null,null,null
Neustadt an der Weinstraße,Kreisfreie Stadt,Rheinland-Pfalz,53306,54,8123,1099,de-rp-07316000,49.3418758196,8.15228785937,null,null,null,null
Pirmasens,Kreisfreie Stadt,Rheinland-Pfalz,40176,75,5251,968,de-rp-07317000,49.1971270853,7.59436316477,null,null,null,null
Speyer,Kreisfreie Stadt,Rheinland-Pfalz,50741,108,9570,564,de-rp-07318000,49.3297181375,8.43501974938,null,null,null,null
Worms,Kreisfreie Stadt,Rheinland-Pfalz,83459,123,15505,943,de-rp-07319000,49.6494455343,8.32452863106,null,null,null,null
Zweibrücken,Kreisfreie Stadt,Rheinland-Pfalz,34001,14,4407,1000,de-rp-07320000,49.2481606938,7.36539388964,null,null,null,null
Alzey-Worms,Landkreis,Rheinland-Pfalz,130715,168,18043,829,de-rp-07331000,49.759441395,8.15718502019,null,null,null,null
Bad Dürkheim,Landkreis,Rheinland-Pfalz,133004,198,16443,892,de-rp-07332000,49.4530205976,8.11030493729,null,null,null,null
Donnersbergkreis,Landkreis,Rheinland-Pfalz,75539,94,9401,935,de-rp-07333000,49.631983052,7.9150113274,null,null,null,null
Germersheim,Landkreis,Rheinland-Pfalz,129006,190,23396,1134,de-rp-07334000,49.1159081733,8.2461937699,null,null,null,null
Kaiserslautern,Landkreis,Rheinland-Pfalz,106320,114,17252,1040,de-rp-07335000,49.446222318,7.6849815727,null,null,null,null
Kusel,Landkreis,Rheinland-Pfalz,70105,89,7496,655,de-rp-07336000,49.5498108558,7.47132028218,null,null,null,null
Südliche Weinstraße,Landkreis,Rheinland-Pfalz,110783,143,14541,584,de-rp-07337000,49.1903823441,8.04807600445,null,null,null,null
Rhein-Pfalz-Kreis,Landkreis,Rheinland-Pfalz,154754,265,23803,574,de-rp-07338000,49.416649982,8.36068108599,null,null,null,null
Mainz-Bingen,Landkreis,Rheinland-Pfalz,211525,271,28192,693,de-rp-07339000,49.9220138826,8.07964875059,null,null,null,null
Südwestpfalz,Landkreis,Rheinland-Pfalz,94912,113,10875,944,de-rp-07340000,49.2082747366,7.65886718981,null,null,null,null
Stuttgart,Stadtkreis,Baden-Württemberg,630305,635,107762,1473,de-bw-08111000,48.7745339639,9.17206798796,null,null,null,null
Böblingen,Landkreis,Baden-Württemberg,392898,424,71901,983,de-bw-08115000,48.6782256288,8.9427773012,null,null,null,null
Esslingen,Landkreis,Baden-Württemberg,533617,735,101220,1207,de-bw-08116000,48.6480216763,9.36916572775,null,null,null,null
Göppingen,Landkreis,Baden-Württemberg,258781,361,51958,1315,de-bw-08117000,48.6631483606,9.71750497706,null,null,null,null
Ludwigsburg,Landkreis,Baden-Württemberg,544971,665,96612,840,de-bw-08118000,48.940602979,9.12434425665,null,null,null,null
Rems-Murr-Kreis,Landkreis,Baden-Württemberg,427286,524,79455,1394,de-bw-08119000,48.899008131,9.50121295556,null,null,null,null
Heilbronn,Stadtkreis,Baden-Württemberg,126458,226,29983,1185,de-bw-08121000,49.1527195922,9.18234690067,null,null,null,null
Heilbronn,Landkreis,Baden-Württemberg,346363,306,70060,1475,de-bw-08125000,49.177198517,9.19077872323,null,null,null,null
Hohenlohekreis,Landkreis,Baden-Württemberg,112765,162,22341,1617,de-bw-08126000,49.2715461389,9.61413578119,null,null,null,null
Schwäbisch Hall,Landkreis,Baden-Württemberg,197860,314,40315,1475,de-bw-08127000,49.1444689707,9.90893216762,null,null,null,null
Main-Tauber-Kreis,Landkreis,Baden-Württemberg,132684,147,23433,1676,de-bw-08128000,49.5607007055,9.72508840096,null,null,null,null
Heidenheim,Landkreis,Baden-Württemberg,132812,256,29312,1422,de-bw-08135000,48.6622814605,10.182150425,null,null,null,null
Ostalbkreis,Landkreis,Baden-Württemberg,314294,522,62767,1641,de-bw-08136000,48.877525969,10.0901573582,null,null,null,null
Baden-Baden,Stadtkreis,Baden-Württemberg,55449,90,9637,1035,de-bw-08211000,48.748527439,8.23176220313,null,null,null,null
Karlsruhe,Stadtkreis,Baden-Württemberg,308436,310,48799,1131,de-bw-08212000,49.0113339856,8.41266976981,null,null,null,null
