Land,Kreis,Standort,PLZ,Ort,Straße,lat,lon,z
Niedersachsen,Ammerland,Schule,26160,26160 Bad Zwischenahn,Virchowstraße 2,53.1971754,7.9898233,1
Niedersachsen,Aurich,Sporthalle,26624,26624 Südbrookmerland,Georgsheiler Weg 52,53.4775703,7.32657352694432,1
Niedersachsen,Braunschweig,Stadthalle Braunschweig,38102,38102 Braunschweig,St. Leonhard 14,52.2576118,10.5392095718246,1
Niedersachsen,Celle,Veranstaltungshalle,29221,29221 Celle,Hannoversche Straße 30b,52.6149897,10.0798823,1
Niedersachsen,Cloppenburg,Jugendherberge,49681,49681 Garrel,Am Campingplatz 7,52.920738,7.9502385,1
Niedersachsen,Cuxhaven,Veranstaltungshalle,27472,27472 Cuxhaven,Lentzstraße 1,53.8672609,8.7116486,1
Niedersachsen,Delmenhorst,Sporthalle,27749,27749 Delmenhorst,Am Wehrhahn 6,53.05467005,8.6277979589159,1
Niedersachsen,Diepholz,Krankenhaus,27211,27211 Bassum,Marie-Hackfeld-Str. 6,52.84427055,8.72851322209443,1
Niedersachsen,Emden,Veranstaltungshalle,26721,26721 Emden,Früchteburger Weg 17-19,53.377333,7.2033777,1
Niedersachsen,Emsland,Veranstaltungshalle,49808,49808 Lingen (Ems),Lindenstraße 24a,52.51393095,7.3140279097085,1
Niedersachsen,Emsland,Stadthalle,26871,26871 Papenburg,Ölmühlenweg 9,53.08739825,7.38680667843623,1
Niedersachsen,Friesland,ehem. Schule,26419,26419 Schortens,Potsdamer Straße 10,53.5278078,8.03268926270286,1
Niedersachsen,Gifhorn,Stadthalle,38518,38518 Gifhorn,Schützenplatz 2,52.4854723,10.5356241591919,1
Niedersachsen,Goslar,Sporthalle,38642,38642 Goslar,Bei der Eiche 5,51.9013264,10.4791189370194,1
Niedersachsen,Göttingen,Sporthalle,37412,37412 Herzberg am Harz,Heidestraße 10,51.6524372,10.3386663596311,1
Niedersachsen,Göttingen (Landkreis),Sporthalle,37081,37081 Göttingen,Godehardstraße 11,51.5395263,9.9241537,1
Niedersachsen,Göttingen (Stadt),ehemaliger Großmarkt,37081,37081 Göttingen,Anna-Vandenhoeck-Ring 13,51.5198672,9.8818206,1
Niedersachsen,Graftschaft Bentheim,Gewerbehalle,48529,48529 Nordhorn,Paulstr. 4-8,52.4277271,7.0651227,1
Niedersachsen,Hameln-Pyrmont,Unterkunftsgebäude,31787,31787 Hameln,Reimerdeskamp,52.1218164,9.3393682,1
Niedersachsen,Hannover - Region und Landeshauptstadt,Messehalle / Messehalle 25,30521,30521 Hannover,Messegelände,52.32464065,9.80564905855786,1
Niedersachsen,Harburg,Stadthalle,21423,21423 Winsen (Luhe),Luhdorfer Straße 29,53.3514607,10.2086515098186,1
Niedersachsen,Harburg,Veranstaltungshalle,21244,21244 Buchholz,Richard-Schmidt-Straße 27,53.331335,9.87056062904249,1
Niedersachsen,Heidekreis,Veranstaltungshalle,29683,29683 Bad Fallingbostel,Soltauer Str. 39,52.87476895,9.7055943054949,1
Niedersachsen,Helmstedt,Sporthalle,38350,38350 Helmstedt,Kantstraße 27,52.2189334,10.9989077,1
Niedersachsen,Hildesheim,Sporthalle,31137,31137 Hildesheim,Steuerwalder Str. 158,52.16948785,9.93813796478524,1
Niedersachsen,Holzminden,Gewerbehalle,37603,37603 Holzminden,Zeppelinstraße 6,51.83995735,9.46910168679558,1
Niedersachsen,Leer,Schule,26835,26835 Hesel,An der Schule 6,53.3066831,7.58875998047828,1
Niedersachsen,Lüneburg,Gewerbehalle,21337,21337 Lüneburg,Lilienthalstraße 1,53.2439688,10.4581629805494,1
Niedersachsen,Nienburg,ehem. Schule,31623,31623 Drakenburg,Weserweg 48,52.6923881,9.2272443,1
Niedersachsen,Northeim,Stadthalle,37154,37154 Northeim,Medenheimer Str. 4,51.7058971,9.9959734,1
Niedersachsen,Oldenburg (Landkreis),ehem. Verbrauchermarkt,27793,27793 Wildeshausen,Westring 7,52.8951434,8.41488408355995,1
Niedersachsen,Oldenburg (Stadt),Messehalle,26123,26123 Oldenburg,Europaplatz 12,53.14659175,8.22671458394519,1
Niedersachsen,Osnabrück (Landkreis),ehem. Verbrauchermarkt,49134,49134 Wallenhorst,Borsigstraße 2,52.3581591,8.00399743147007,1
Niedersachsen,Osnabrück (Landkreis),ehem. Verbrauchermarkt,49124,49124 Georgsmarienhütte,Leimbrink 1-3,52.2046019,8.0573642,1
Niedersachsen,Osnabrück (Stadt),Sporthalle,49080,49080 Osnabrück,Schlosswall 10,52.27072925,8.0407024335753,1
Niedersachsen,Osterholz,Stadthalle,27711,27711 Osterholz-Scharmbeck,Jacob-Frerichs-Straße 1,53.2195867,8.7954475,1
Niedersachsen,Peine,Industriehalle,31224,31224 Peine,Woltorfer Straße 77a,52.3204731,10.2472964,1
Niedersachsen,Rotenburg (Wümme),ehem. Krankenhaus,27404,27404 Zeven,Dr. Otto-Straße 2,53.3025635,9.28291845370818,1
Niedersachsen,Salzgitter,Unterkunftsgebäude,38229,38229 Salzgitter,Hans-Birnbaum-Straße 30-32,52.1588149,10.3618254,1
Niedersachsen,Schaumburg,Festhalle,31655,31655 Stadthagen,Enzer Straße 19a,52.32305495,9.19758669196626,1
Niedersachsen,Stade,Industriehalle,21684,21684 Stade-Ottenbeck,Sophie-Scholl-Weg 24,53.56859865,9.50119448761502,1
Niedersachsen,Uelzen und Lüchow-Dannenberg,Stadthalle,29525,29525 Uelzen,Am Schützenplatz 1,52.9737508,10.5564773,1
Niedersachsen,Hildesheim,Sporthalle,31061,31061 Alfeld / Leine,Kalandstraße 19,51.98851025,9.83195490576751,1
Niedersachsen,Vechta,Gewerbehalle,49393,49393 Lohne,Robert-Bosch-Straße 1,52.6592411,8.1694601,1
Niedersachsen,Verden,Containerbau am Kreishaus,27283,27283 Verden (Aller),Lindhooper Straße 67a,52.9282571,9.2507511,1
Niedersachsen,Wesermarsch,ehem. Schule,26919,26919 Brake,Kirchenstraße 17,53.3259322,8.4811284,1
Niedersachsen,Wilhelmshaven,ehem. Verbrauchermarkt,26389,26389 Wilhelmshaven,Güterstraße 48a,53.5212959,8.0756163,1
Niedersachsen,Wittmund,Jugendherberge Esens-Bensersiel,26427,26427 Esens,Grashauser Flage 2,53.6549516,7.6092446,1
Niedersachsen,Wolfenbüttel,Veranstaltungshalle,38300,38300 Wolfenbüttel,Schweigerstraße 8,52.1670427,10.5698845,1
Niedersachsen,Wolfsburg,Veranstaltungshalle,38440,38440 Wolfsburg,Heinrich-Heine-Straße,52.4205664,10.7755350074949,1
Nordrhein-Westfalen,Aachen (Städteregion),Aachener Eissporthalle,52070,52070 Aachen,Hubert-Wienen-Straße 8,50.79576995,6.10103864390438,1
Nordrhein-Westfalen,Bielefeld,Stadthalle Bielefeld,33602,33602 Bielefeld,Willy-Brandt-Platz 1,52.02862625,8.53547733581889,1
Nordrhein-Westfalen,Bochum,Ruhr Congress,44791,44791 Bochum,Stadionring 20,51.49075995,7.23378921853803,1
Nordrhein-Westfalen,Bonn,World Conference Center Bonn,53113,53113 Bonn,Platz der Vereinten Nationen 2,50.71858,7.1240392,1
Nordrhein-Westfalen,Borken,Interkommunaler Bauhof,46342,46342 Velen,Schlatt 23,51.9405033,6.9537985,1
Nordrhein-Westfalen,Bottrop,Leere Unternehmenshallen von Fressnapf und Golf Area,46242,46242 Bottrop,Südring 79,51.5112265,6.9245169,1
Nordrhein-Westfalen,Coesfeld,Veranstaltungsräumen des Unternehmens Wiesmann,48249,48249 Dülmen,An der Lehmkuhle 87,51.8444978,7.2914752,1
Nordrhein-Westfalen,Dortmund,Warsteiner Music Hall,44263,44263 Dortmund,Phoenixplatz 4,51.4886686,7.4885881,1
Nordrhein-Westfalen,Duisburg,Theater am Marientor,47051,47051 Duisburg,Plessingstraße 20,51.4290272,6.75704138425945,1
Nordrhein-Westfalen,Düren,Ehemaliges Telekom-Gebäude,52355,52355 Düren,Am Ellernbusch 18-20,50.7954549,6.466645,1
Nordrhein-Westfalen,Düsseldorf,Merkur Spiel-Arena,40474,40474 Düsseldorf,Arena-Straße 1,51.261455,6.73338,1
Nordrhein-Westfalen,Ennepe-Ruhr-Kreis,Ehemaliger Aldi-Markt,58256,58256 Ennepetal,Kölner Straße,51.3012332,7.3439156,1
Nordrhein-Westfalen,Essen,Messegelände Halle 4,45131,45131 Essen,Messepl. 1,51.458224,7.015817,1
Nordrhein-Westfalen,Euskirchen,Ehemalige Eifelhöhen-Klinik,53947,53947 Nettersheim,Dr.-Konrad-Adenauer-Straße 1,50.4828685,6.5725443,1
Nordrhein-Westfalen,Gelsenkirchen,Emscher-Lippe-Halle,45891,45891 Gelsenkirchen,Adenauerallee 118,51.5534826,7.07310186815761,1
Nordrhein-Westfalen,Gütersloh,Ehemaliger Supermarkt der britischen Streitkräfte,33334,33334 Gütersloh,Marienfelder Straße 351,51.9254737,8.3246907,1
Nordrhein-Westfalen,Hagen,Stadthalle Hagen,58093,58093 Hagen,Wasserloses Tal 2,51.3531471,7.4850905,1
Nordrhein-Westfalen,Hamm,Dreifachsporthalle der Friedensschule,59063,59063 Hamm,Marker Allee 20,51.6804522,7.8301674,1
Nordrhein-Westfalen,Heinsberg,Ungenutzte Flüchtlingsunterkünfte,41812,41812 Erkelenz,Brüsseler Allee 5,51.0612257,6.3054102,1
Nordrhein-Westfalen,Herford,Ehemaliges Firmengelände von Wellmann Küchen,32130,32130 Enger,Bustedter Weg 16,52.1670316,8.5889415,1
Nordrhein-Westfalen,Herne,Dreifachsporthalle im Gysenbergpark,44627,44627 Herne,Am Revierpark 40,51.53333265,7.26227452672697,1
Nordrhein-Westfalen,Hochsauerlandkreis,Konzerthalle Olsberg,59939,59939 Olsberg,Ruhrstraße 32,51.3540726,8.4862223,1
Nordrhein-Westfalen,Höxter,Stadthalle Brakel,33034,33034 Brakel,Am Schützenanger 4,51.7162248,9.1931365,1
Nordrhein-Westfalen,Kleve,Hansehalle Grieth auf dem Messegelände Kalkar,47546,47546 Kalkar,Griether Str. 110,51.7635488,6.32602596047758,1
Nordrhein-Westfalen,Krefeld,Container auf Sprödentalplatz,47799,47799 Krefeld,Sprödentalplatz,51.3364648,6.5844467,1
Nordrhein-Westfalen,Köln,Messegelände,50679,50679 Köln,Messeplatz 1,50.9448143,6.9782174,1
Nordrhein-Westfalen,Leverkusen,Erholungshaus der Bayer-Kulturabteilung,51373,51373 Leverkusen,Nobelstraße 37,51.03428115,6.98054029854805,1
Nordrhein-Westfalen,Lippe,Ehemalige Lipperlandhalle,32657,32657 Lemgo,Bunsenstraße 39,52.0168917,8.90810262700441,1
Nordrhein-Westfalen,Mettmann,Räume der Firma Timocom,40699,40699 Erkrath,Timocom Platz 1,51.2206139,6.9379252,1
Nordrhein-Westfalen,Minden-Lübbecke,Sporthalle Unterlübbe,32479,32479 Hille,Schulstraße 18,52.2956573,8.7674883,1
Nordrhein-Westfalen,Märkischer Kreis I,Historische Schützenhalle,58511,58511 Lüdenscheid,Reckenstraße 6,51.21941585,7.64407174702299,1
Nordrhein-Westfalen,Märkischer Kreis II,Leerstehender Gewerbekomplex (ehemals Kottmann Technology),58638,58638 Iserlohn,Lanferkamp 3,51.3784892,7.6631731,1
Nordrhein-Westfalen,Mönchengladbach,Leerstehende Flüchtlingsunterkunft im Nordpark,41068,41068 Mönchengladbach,Am Nordpark 260,51.1799056,6.391198,1
Nordrhein-Westfalen,Mülheim an der Ruhr,Parkstadt Mülheim,45478,45478 Mülheim an der Ruhr,Wissollstraße 5,51.4231967,6.851779,1
Nordrhein-Westfalen,Münster,Halle Münsterland,48155,48155 Münster,Albersloher Weg 32,51.9474674,7.6380596,1
Nordrhein-Westfalen,Oberbergischer Kreis,Einkaufszentrum Bergischer Hof,51643,51643 Gummersbach,Kaiserstraße 35,51.0274101,7.5642061,1
Nordrhein-Westfalen,Oberhausen,Willy-Jürissen-Halle,46045,46045 Oberhausen,Lothringer Str. 75,51.4660928,6.85227728918904,1
Nordrhein-Westfalen,Olpe,Gewerbehalle,57439,57439 Attendorn,Heggener Weg 34,51.1323734,7.9189539,1
Nordrhein-Westfalen,Paderborn,Stadthalle Salzkotten (Sälzerhalle),33154,33154 Salzkotten,Upsprunger Str. 1,51.66977605,8.60104156662129,1
Nordrhein-Westfalen,Recklinghausen,Leichtbauhalle auf Konrad-Adenauer-Platz,45657,45657 Recklinghausen,Konrad-Adenauer-Platz,51.6523153,7.08923381834624,1
Nordrhein-Westfalen,Remscheid,Sporthalle West,42857,42857 Remscheid,Wallburgstraße 23,51.1654661,7.1517878,1
Nordrhein-Westfalen,Rhein-Erft-Kreis,Ehemaliger Real-Supermarkt,50354,50354 Hürth,Theresienhöhe 1,50.8779759,6.8764262,1
Nordrhein-Westfalen,Rhein-Kreis Neuss,Turnhalle des Berufskollegs für Technik und Informatik,41460,41460 Neuss,Hammfelddamm 2,51.1908448,6.7092111,1
Nordrhein-Westfalen,Rhein-Sieg-Kreis,Asklepios Kinderklinik,53757,53757 Sankt Augustin,Arnold-Janssen-Straße 29,50.7752904,7.1812681,1
Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,RheinBerg Galerie,51465,51465 Bergisch Gladbach,Hauptstraße 131,50.9899525,7.1239494,1
Nordrhein-Westfalen,Siegen-Wittgenstein,Ehemaliger Baustoffhandel "Bauking",57080,57080 Siegen,Eiserfelder Str. 236,50.8506228,7.9949744,1
Nordrhein-Westfalen,Soest,Halle der Firma Eaton - CEAG Notlichtsysteme,59494,59494 Soest,Senator-Schwartz-Ring 26,51.5579575,8.0838055,1
Nordrhein-Westfalen,Solingen,Ehemaliger Kaufhof,42651,42651 Solingen,Hauptstraße 75-77,51.17127865,7.08548240377351,1
Nordrhein-Westfalen,Steinfurt,Flughafen Münster/Osnabrück,48268,48268 Greven,Airportallee 1,52.1303136,7.6904795,1
Nordrhein-Westfalen,Unna,Kreissporthalle II,59425,59425 Unna,Platanenallee 20,51.5457212,7.6882893,1
Nordrhein-Westfalen,Viersen,Leerstehendes St.-Cornelius-Krankenhaus,41751,41751 Viersen,Heesstr. 2-10,51.2493205,6.3401898,1
Nordrhein-Westfalen,Warendorf,Gelände der Abfallwirtschaftsgesellschaft (AWG),59320,59320 Ennigerloh,Westring 10,51.8500004,8.0208027,1
Nordrhein-Westfalen,Wesel,Niederrheinhalle,46485,46485 Wesel,An de Tent 1,51.6524792,6.6289341,1
Nordrhein-Westfalen,Wuppertal,Uni-Campus Freudenberg,42119,42119 Wuppertal,Rainer-Gruenter-Straße,51.2388186,7.1611038,1
Rheinland-Pfalz,Ahrweiler,Mehrzweckhalle,, Grafschaft-Gelsdorf, ,50.5806906,7.03280469741016,1
Rheinland-Pfalz,Altenkirchen,Gebäude der Westerwaldbank,, Wissen, ,50.7829232,7.7344766,1
Rheinland-Pfalz,Alzey-Worms,Fahrzeughalle des DRK-Kreisverbandes,, Alzey, ,49.7455695,8.1150946,1
Rheinland-Pfalz,Bad Dürkheim,Salierhalle,, Bad Dürkheim, ,49.4632944,8.1705063,1
Rheinland-Pfalz,Bad Kreuznach,leer stehender Real-Markt an der Westtangente,, Bad Sobernheim, ,49.7843963,7.6520457,1
Rheinland-Pfalz,Bernkastel-Wittlich,ehemaliges Hela-Gelände,, Wittlich, ,49.9850353,6.88844,1
Rheinland-Pfalz,Birkenfeld,Messe Idar-Oberstein,, Idar-Oberstein (Nahbollenbach), ,49.7125718,7.36274036947754,1
Rheinland-Pfalz,Bitburg-Prüm,High School auf dem US-Housing-Gelände,, Bitburg, ,49.9732762,6.524947,1
Rheinland-Pfalz,Cochem-Zell,Eifelgoldhalle,, Landkern, ,50.1947984,7.1539474,1
Rheinland-Pfalz,Donnersbergkreis,Stadthalle,, Kirchheimbolanden, ,49.6644306,8.0107385,1
Rheinland-Pfalz,Frankenthal,Sporthalle der Andreas-Albert-Schule,, Frankenthal, ,49.5445804,8.3540061,1
Rheinland-Pfalz,Germersheim / Südliche Weinstraße / Landau,Lagerhalle in Hafengebiet,76744,76744 Wörth am Rhein, ,49.0543232,8.2667399,1
Rheinland-Pfalz,Kaiserslautern,Werksgelände Opel,67663,67663 Kaiserslautern,Opelkreisel 1,49.4414308,7.7040504,1
Rheinland-Pfalz,Koblenz,Fechthalle an der Sporthalle,, Koblenz – Oberwerth, ,50.33337925,7.59311795860739,1
Rheinland-Pfalz,Kusel,Gelände der ehemaligen Bundeswehr-Kaserne,, Kusel, ,49.5399844,7.4008479,1
Rheinland-Pfalz,Ludwigshafen am Rhein,Einkaufszentrum Walzmühle,, Ludwigshafen am Rhein, ,49.4704113,8.4381568,1
Rheinland-Pfalz,Mainz,frühere Fachhochschule im Stadtteil Gonsenheim,, Mainz – Gonsenheim, ,49.9977389,8.2143081,1
Rheinland-Pfalz,Mainz-Bingen,Aufnahmeeinrichtung für Asylbegehrende,, Ingelheim, ,49.9760129,8.0532128,1
Rheinland-Pfalz,Mayen-Koblenz,Maifeldhalle,, Polch, ,50.298748,7.3129547,1
Rheinland-Pfalz,Neustadt an der Weinstraße,Telekom-Hochhaus,, Neustadt an der Weinstraße, ,49.3539802,8.1350021,1
Rheinland-Pfalz,Neuwied,Gewerbehalle,, Oberhonnefeld, ,50.5526195,7.5165205,1
Rheinland-Pfalz,Pirmasens und Südwestpfalz,Messehalle,, Pirmasens, ,49.1996961,7.6087847,1
Rheinland-Pfalz,Rhein-Hunsrück-Kreis,ehemaliges Sconto-Gelände,, Simmern, ,50.389471,7.6734439,1
Rheinland-Pfalz,Rhein-Lahn-Kreis,ehemaliges Lidl-Gebäude,, Lahnstein, ,50.3090305,7.6044602,1
Rheinland-Pfalz,Rhein-Pfalz-Kreis,Kreissporthalle im Neustückweg,, Schifferstadt, ,49.3865825,8.3737948,1
Rheinland-Pfalz,Speyer,Stadthalle,, Speyer, ,49.3165553,8.433615,1
Rheinland-Pfalz,Trier und Trier-Saarburg,Trierer Messepark,, Trier, ,49.75334125,6.64418320074198,1
Rheinland-Pfalz,Vulkaneifel,Markt- und Messehalle,, Hillesheim, ,50.2916705,6.6680009,1
Rheinland-Pfalz,Westerwaldkreis,leerstehende Realschule,, Hachenburg, ,50.6627538,7.8253173,1
Rheinland-Pfalz,Worms,Nikolaus-Dörr-Halle,, Worms, ,49.6302618,8.3620898,1
Rheinland-Pfalz,Zweibrücken,Cityoutlet,, Zweibrücken, ,49.248655,7.3641981,1
Schleswig-Holstein,Dithmarschen,ehem. Schule,25541,25541 Brunsbüttel,Bojestraße 29-35,53.8999342,9.1383487,1
Schleswig-Holstein,Dithmarschen,Ehemaliges Autohaus,25746,25746 Heide,Meldorfer Straße 196,54.178168,9.091326,1
Schleswig-Holstein,Flensburg,Ehemaliges Bundeswehrgelände,24944,24944 Flensburg,Twedter Mark 11,54.8174062,9.4641616,1
Schleswig-Holstein,Herzogtum-Lauenburg,ehemaliges Schleswag-Gebäude,23882,23882 (Alt-) Mölln,Zu den Ziegelwiesen 8,53.6264298,10.672185,1
Schleswig-Holstein,Herzogtum-Lauenburg,ehemaliges Berufsbildungszentrum,21502,21502 Geesthacht,Dialogweg 4,53.4442241,10.3846998075349,1
Schleswig-Holstein,Kiel,Schwedenkai,24103,24103 Kiel,Schwedenkai 1,54.3197342,10.1391296,1
Schleswig-Holstein,Lübeck,Musik- und Kongresshalle,23554,23554 Lübeck,Willy-Brandt-Allee 10,53.8693781,10.678048650823,1
Schleswig-Holstein,Neumünster,Holstenhallen,24537,24537 Neumünster,Justus-von-Liebig-Straße 43923,54.0920261,9.9751484,1
Schleswig-Holstein,Nordfriesland,Messehalle,25813,25813 Husum,Messehalle,54.49639135,9.08970295086154,1
Schleswig-Holstein,Nordfriesland,Jugendherberge,25899,25899 Niebüll,Mühlenstraße 65,54.7867869,8.8107119,1
Schleswig-Holstein,Ostholstein,ehem. Amtsgericht,23611,23611 Bad Schwartau,Markt 15,53.9196856,10.6972045,1
Schleswig-Holstein,Ostholstein,Ehemaliger Supermarkt,23701,23701 Eutin,Markt 7-8,54.1359573,10.616608,1
Schleswig-Holstein,Ostholstein,Trakt D,23738,23738 Lensahn,Eutiner Str. 56,54.215333,10.8646011,1
Schleswig-Holstein,Pinneberg,Gewerbehalle,25337,25337 Elmshorn,Otto-Hahn-Straße 18,53.74338,9.68563565800597,1
Schleswig-Holstein,Pinneberg,ehem. Supermarkt,25497,25497 Prisdorf,Peiner Hag 11-13,53.6717964,9.7694035,1
Schleswig-Holstein,Plön,Jugendherberge,24306,24306 Plön,Ascheberger Str. 67,54.1480191,10.3930937,1
Schleswig-Holstein,Plön,Jugendherberge,24217,24217 Schönberg in Holstein,Stakendorfer Weg 1,54.3946547,10.3815567,1
Schleswig-Holstein,Rendsburg-Eckernförde,ACO-Gebäude,24782,24782 Büdelsdorf,Am Friedrichsbrunnen 2,54.3126071,9.6763588,1
Schleswig-Holstein,Rendsburg-Eckernförde,Impfzentrum,24214,24214 Gettorf,Sportpark 3,54.3971968,9.9660721,1
Schleswig-Holstein,Schleswig-Flensburg,Forum,24392,24392 Kropp,Am Markt 11,54.4128285,9.5093325,1
Schleswig-Holstein,Schleswig-Flensburg,Ehemalige Knüttel-Antonius-Schule,24392,24392 Norderbrarup,Knüttelallee 1,54.6561076,9.768219,1
Schleswig-Holstein,Segeberg,Gewerbehalle,24568,24568 Kaltenkirchen,Borsigstraße 1,53.822912,9.97609417860912,1
Schleswig-Holstein,Segeberg,TriBühne,22846,22846 Norderstedt,Jörg-Peter-Hahn-Platz 1,53.7078441,9.9928676,1
Schleswig-Holstein,Segeberg,Tennishalle,23812,23812 Wahlstedt,Nordlandstraße 7,53.9482512,10.1957846,1
Schleswig-Holstein,Steinburg,ehemaliger Indoor-Spielplatz,25524,25524 Itzehoe,Emmy-Noether-Straße 17,53.957716,9.4983263,1
Schleswig-Holstein,Stormarn,Jugendherberge,23843,23843 Bad Oldesloe,Konrad-Adenauer-Ring 2,53.8121332,10.3686583,1
Schleswig-Holstein,Stormarn,Gelände Lungenklinik,22927,22927 Großhansdorf,Wöhrendamm 80,53.66047545,10.2810919223336,1
Schleswig-Holstein,Stormarn,Jürgen-Rickertsen-Haus,21465,21465 Reinbek,Schulstraße 7,53.5133119,10.2491832,1
Saarland,Neunkirchen,ehemaliger Praktiker/Max-Bahr-Baumarkt,66540,66540 Neunkirchen,Redener Straße 20,49.35514785,7.12524252760388,1
Saarland,Regionalverband Saarbrücken,Messehallen 1 und 2,66117,66117 Saarbrücken,Am Schanzenberg,49.2327137,6.960804,1
Saarland,Saarlouis,ehemaliger Gebäudekomplex der Firma Braun CarTec,66740,66740 Saarlouis,Fasanenallee 30,49.3091849,6.7327598,1
Sachsen,Bautzen,Sporthalle am Flughafen,1917,1917 Kamenz,Macherstraße 146,51.28979995,14.11491205,1
Sachsen,Chemnitz,Netto Chemnitz,9120,9120 Chemnitz,Wilhelm-Raabe-Str. 6,50.8210608,12.9183455873979,1
Sachsen,Dresden,Messe Dresden,1067,1067 Dresden,Messering 6,51.06884745,13.7157963440194,1
Sachsen,Erzgebirgskreis,Festhalle Annaberg-Buchholz,9456,9456 Annaberg-Buchholz,Ernst-Roch-Straße 4,50.5764704,13.0121881,1
Sachsen,Görlitz,Messehalle Löbau,2708,2708 Löbau,Görlitzer Str. 2,51.0993263,14.6755207,1
Sachsen,Leipzig (Stadt),Messe Leipzig,4356,4356 Leipzig,Messe-Allee 1,51.3951925,12.4049179,1
Sachsen,Leipzig (Land),ehem. Aldi Markt Borna,4552,4552 Borna,Oststraße 3a,51.12411135,12.5067162527896,1
Sachsen,Meißen,Sachsen-Arena Riesa,1589,1589 Riesa,Am Sportzentrum 5,51.2975359,13.2950261413985,1
Sachsen,Mittelsachsen,Mittweida über Simmel-Markt (ehem. EKZ),9648,9648 Mittweida,Schillerstraße 1,50.9853245,12.9731730532481,1
Sachsen,Nordsachsen,Stadthalle Belgern,4874,4874 Belgern-Schildau,Mühlberger Str. 37,51.4781965,13.1313685,1
Sachsen,Sächsische Schweiz - Osterzgebirge,Aldi Pirna Jessen,1796,1796 Pirna,Radeberger Str. 1h,50.98157145,13.9306213525581,1
Sachsen,Vogtlandkreis,Spektrum Treuen/Eich (ehem. Baumarkt),8223,8223 Treuen,Rebesgrüner Str. 9,50.5403976,12.3514385461494,1
Sachsen,Zwickau,Stadthalle Zwickau,8056,8056 Zwickau,Bergmannsstraße 1,50.70401935,12.4966220846861,1
Sachsen-Anhalt,Dessau-Roßlau,Anhalt-Arena,6874,6874 Dessau-Roßlau,Robert-Bosch-Str. 54,51.8299409,12.21802,1
Sachsen-Anhalt,Stendal,ehemalige Kita,39576,39576 Stendal,Osterburger Str. 83/84,52.6251939,11.8443396,1
Sachsen-Anhalt,Harz,ehemaliger Supermarkt in der Nähe des Bahnhofs,6484,6484 Quedlinburg,August-Bebel-Ring 13,51.7805162,11.1549901955099,1
Sachsen-Anhalt,Mansfeld-Südharz,Mammuthalle,6525,6525 Sangerhausen,Dr.-Wilhelm-Külz-Straße 35,51.47298,11.29819,1
Sachsen-Anhalt,Wittenberg,Sporthalle der Berufsbildenden Schule,6886,6886 Wittenberg,Mittelfeld 50,51.8659061,12.6889115466116,1
Sachsen-Anhalt,Salzlandkreis,Ameos Klinikum,39418,39418 Staßfurt,Bodestr. 11,51.85279875,11.5923155134081,1
Sachsen-Anhalt,Magdeburg,Messehalle 3,39114,39114 Magdeburg,Tessenowstr. 9a,52.1343215,11.6699095523069,1
Sachsen-Anhalt,Börde,Kindertagesstätte "Regenbogen",39340,39340 Haldensleben,Waldring 113 B/C,52.284226,11.3905765,1
Sachsen-Anhalt,Altmarkkreis Salzwedel,,39638,39638 Gardelegen,Philipp-Müller-Str. 18,52.5243553,11.3961339261714,1
Sachsen-Anhalt,Anhalt-Bitterfeld,,6766,6766 Bitterfeld-Wolfen,Hauptstr. 1,51.65666605,12.2645019406553,1
Sachsen-Anhalt,Burgenlandkreis,,6686,6686 Lützen,Patterken 9,51.1828258,12.0128111418619,1
Sachsen-Anhalt,Saalekreis,Mehrzweckhalle Rischmühleninsel,6217,6217 Merseburg,Rischmühle 3,51.35301245,12.0035809541566,1
Sachsen-Anhalt,Jerichower Land,Stadthalle,39288,39288 Burg,Platz des Friedens 1,52.27204125,11.8445443192822,1
Sachsen-Anhalt,Halle (Saale),Glaucha Grundschule,6110,6110 Halle (Saale),Heinrich-Pera-Str. 13,51.47648685,11.9678043195584,1
Thüringen,Altenburger Land,Klinik,4626,4626 Schmölln,Robert-Koch-Straße 95,50.9048555,12.3606817,1
Thüringen,Eichsfeld,alte Schule,37327,37327 Leinefelde,Händelstraße 6,51.3755502,10.3206937,1
Thüringen,Eisenach,Container Klinikgelände,99817,99817 Eisenach,Mühlhäuser Straße 94,50.98859865,10.3160887023739,1
Thüringen,Erfurt,Helios Klinik,99089,99089 Erfurt,Nordhäuser Straße 74,50.99268485,11.0134458697762,1
Thüringen,Erfurt,Katholisches Krankenhaus,99097,99097 Erfurt,Haarbergstraße 70,50.9485122,11.08392,1
Thüringen,Gera,Ärztehaus Bieblach,7549,7549 Gera,Johannes-R.-Becher-Straße 1,50.8946379,12.082696,1
Thüringen,Gotha,ehemalige Praxis,99867,99867 Gotha,Kastanienallee 8,50.9500245,10.7094285,1
Thüringen,Greiz,Kreiskrankenhaus Greiz GmbH,7973,7973 Greiz,Wichmannstraße 12,50.66269875,12.1982556298835,1
Thüringen,Hildburghausen,,98646,98646 Hildburghausen,Coburger Straße 22,50.42251295,10.7314526708725,1
Thüringen,Ilm-Kreis,Stadthalle Arnstadt,99310,99310 Arnstadt,Brauhausstraße 1,50.8272418,10.9530912,1
Thüringen,Ilm-Kreis,Alte Schwimmhalle,98693,98693 Ilmenau,Am Stollen 48,50.6792156,10.9283319,1
