owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-02-22,1614,,23,,,357,991,0,1030,43,1402,43,1174,1098,6214,452,120,2186,244,98,186,,2362,1754,,2341,5209,,,,304,236,,36,14318,1337,19,180,1046,34,,179,349,,,3402,1102,,823,2009,,2377,1603,27,28,458,,2259,2147,330,1904,488,471,2124,2172,,5016,,22,2482,1908,1641,1058,66,,,,,1279,,4547,,,2767,4407,1,6886,,
2021-02-23,1668,36,23,,,431,991,16,991,43,1469,43,1142,1369,5266,452,299,2230,292,116,241,,2304,1704,,2490,5157,,,,319,212,,41,14098,1421,20,484,1131,34,,159,381,,,2988,992,,969,2117,,2450,1605,33,39,543,,2427,2193,330,1781,488,506,2114,2157,5,5016,,55,2532,1944,1803,1119,79,,,,,1308,,4553,,,2867,4270,8,6866,,
2021-02-24,1709,36,23,,,534,991,39,952,43,1509,43,1129,1689,4498,452,479,2347,333,134,281,,2051,1667,,2541,5121,,,,332,233,,46,13886,1521,20,789,1228,34,,143,405,,28,3400,944,,1114,2225,,2486,1610,39,47,624,,2280,2330,330,1669,488,494,2105,2283,125,5193,,90,2582,1980,1983,1200,99,,,,,1333,,4103,,,3116,4432,13,6976,,
2021-02-25,1784,36,23,,,617,991,99,878,44,1555,43,1078,2006,3977,452,658,2428,370,144,328,,2142,1671,,2563,5234,,,,337,279,,46,13374,1613,24,1093,1349,56,,160,421,,28,3803,863,,1260,2333,,2660,1613,45,48,662,,2157,2459,330,1525,488,575,2095,2231,240,5138,,107,2632,1977,2032,1092,123,,,,,1375,,3569,,27,3182,4586,19,6906,,
2021-02-26,1877,36,23,,,748,991,141,834,44,1569,43,1060,2050,3495,452,837,2971,394,154,313,,2411,1726,,2571,5555,67,,,346,305,,46,13059,1717,27,1110,1423,78,,170,451,,28,4161,780,,1405,2441,,2733,1726,50,43,600,,2291,2525,330,1385,488,506,2086,2200,332,4776,,119,2632,1972,2102,936,139,,358,,,1406,,3317,,33,3041,4730,25,6821,,
2021-02-27,1934,36,23,,,883,991,169,790,44,1552,43,1021,2075,3499,452,1017,2899,445,164,298,,2421,1776,,2564,5747,67,,,356,339,,46,12729,1832,25,1127,1469,100,,230,451,,28,4453,814,,1551,2549,,2732,1913,56,37,518,,2277,2568,330,1258,488,731,2076,2184,315,4882,,147,2632,2052,2172,912,139,,196,,,1412,,3393,,22,4254,5012,30,6751,,
2021-02-28,1972,36,23,,,969,991,180,802,44,1536,43,1004,1905,3492,452,1196,2930,519,173,283,,2279,1777,,2749,5864,47,,,336,369,,46,11756,1896,24,1143,1485,121,,258,568,,90,4627,858,,1551,2658,,2746,1981,61,32,504,,2337,2637,330,1134,488,956,2067,2216,276,4240,,174,2632,2032,2243,836,135,,137,2,,1423,,3384,,22,4130,5286,36,6816,,
2021-03-01,2030,42,23,,,1039,991,190,804,44,1545,43,973,1893,3714,478,1376,3083,555,183,268,,2539,1784,,2542,5908,37,,28,359,429,,46,10835,1966,22,1160,1475,143,,295,579,,132,4802,888,,1551,2612,,2834,2007,61,28,423,13,2348,2686,330,1151,488,1106,2135,2234,309,4222,,196,2632,2101,2256,1015,122,,263,2,,1512,,3317,,21,4558,5537,42,6881,,
2021-03-02,2120,47,23,,28,1206,1163,220,745,44,1589,43,1045,1955,4295,505,1400,3123,1099,211,206,16,2695,1842,950,2592,5744,50,,28,388,509,24,46,10174,2092,22,873,1565,165,,345,542,,238,5030,876,,1551,2566,,2924,2174,61,22,342,13,2356,2716,330,1216,429,1255,2203,2226,349,4150,,205,2590,2168,2351,1225,107,,338,35,,1653,,3055,,25,4848,5919,42,6239,,
2021-03-03,2235,53,23,,28,1274,1334,247,691,44,1673,41,1168,1631,5995,531,1425,3083,1801,239,144,16,2851,1928,950,2626,5459,60,,28,444,632,24,46,9935,2242,22,585,1669,187,,400,608,,355,4532,821,,1551,2520,,2987,2300,61,14,320,25,2365,2567,330,1293,596,1678,2272,2256,364,3943,,196,2548,2178,2406,1353,102,,498,38,,1853,,2907,,30,4876,6126,42,5949,,
2021-03-04,2326,58,23,,28,1343,1369,245,640,44,1887,37,1314,1638,7686,558,1450,3185,2588,257,82,16,2907,1989,950,2643,5300,66,,28,516,603,24,46,9971,2400,20,298,1740,187,,398,576,,437,4031,658,,1551,2474,,2946,2409,61,7,382,31,2488,2521,330,1466,1043,2311,2340,2291,356,4140,,192,2506,2229,2628,1644,96,,624,40,,2038,,2706,,36,5568,6223,42,5234,,
2021-03-05,2424,64,23,,28,1442,1404,264,611,44,2028,32,1399,1638,9340,584,1475,2824,3507,326,82,16,2746,2143,950,2692,5208,72,,28,600,569,24,46,9970,2558,20,298,1811,187,13,450,532,,493,3734,516,,1551,2428,4,2951,2528,61,5,460,35,2263,2498,330,1675,1261,2607,2408,2300,354,4645,,183,2389,2224,2645,1919,89,,768,41,,2205,,2496,,41,6527,6334,37,4416,,
2021-03-06,2517,70,23,,28,1453,1439,264,582,44,2078,1094,1276,1583,9519,610,1500,3082,4372,306,82,16,3178,2434,950,2744,5237,77,,28,698,621,24,46,9917,2675,28,298,1859,187,13,444,536,,555,3504,428,,1551,2382,4,2956,2579,61,4,503,37,2438,2484,1231,1918,1470,2454,2476,2300,337,4466,,159,2272,2517,2662,1850,84,,813,42,,2329,,2344,,45,5290,6575,31,3667,,
2021-03-07,2588,75,23,,28,1593,1473,279,501,44,2086,1097,1227,1559,9576,637,1525,3180,4448,286,82,16,2948,2656,950,2737,5191,91,,28,699,703,24,46,10037,2728,36,298,1901,187,13,479,432,,560,3342,378,,1551,2336,4,2940,2605,61,4,508,39,2414,2388,1632,2169,1471,2301,2545,2398,333,4418,,131,2155,2702,2679,1725,76,,817,48,,2453,,2345,,45,5464,6579,25,3693,,
2021-03-08,2662,75,23,,28,1582,1508,297,545,44,2134,1155,1232,1445,11179,637,1550,3064,4523,266,82,16,2584,2762,950,2730,5240,106,,28,853,768,24,46,9935,2830,44,298,2005,187,13,474,378,,631,3179,361,255,1551,2318,4,2913,2652,61,6,579,56,2338,2347,1700,2252,1416,2717,2609,2391,276,4821,,137,2162,2667,2852,1493,70,,909,55,,2607,,2101,,46,5659,6611,20,3792,4,
2021-03-09,2715,75,23,,43,1662,1371,299,589,44,2191,1236,1004,1195,12723,637,1591,3068,4991,225,82,22,2554,2892,1044,2682,5270,106,,28,915,814,24,46,9896,2903,82,298,1995,187,13,663,361,,638,3067,579,255,1551,2300,4,2976,2701,61,6,639,101,2203,2275,1781,2326,1429,3150,2673,2394,246,5118,,104,2477,2529,2823,1245,76,,993,47,,2765,,1968,,53,6058,6555,14,3367,3,
2021-03-10,2782,75,23,,58,1886,1302,312,574,44,2263,1328,735,1248,13390,637,1632,3198,5125,263,82,44,2921,3004,1137,2656,5256,106,,28,948,766,24,46,9471,2963,126,298,2013,187,13,819,680,,642,3245,957,255,1551,2281,4,3041,2716,61,24,631,141,2332,2209,1835,2420,1542,2845,2737,2554,198,5303,,77,2791,2461,2861,997,111,,956,47,347,2938,,1785,8,64,6205,6607,9,2918,3,
2021-03-11,2847,75,23,,73,2119,1243,360,558,44,2311,1393,678,1144,14187,637,1673,3037,5032,301,82,51,2998,3174,1072,2634,5059,106,,28,853,810,24,46,9055,3018,161,298,2090,187,14,1086,718,,672,3406,1259,255,1551,2263,4,2876,2997,61,61,555,160,2256,2145,1901,2466,1250,2625,2801,2539,323,5153,,52,3106,2601,2674,711,112,39,885,54,347,3143,,1614,8,83,6417,6803,3,2973,4,
2021-03-12,2942,75,23,,89,2354,1167,356,581,44,2312,1453,664,1068,14760,637,1715,2834,4253,428,82,57,3064,3353,1007,2596,4980,164,,28,912,834,24,46,8974,3030,208,298,2185,187,16,1287,736,,729,3982,1426,255,1551,2245,4,2667,3332,61,124,504,180,2317,2034,1968,2481,1134,3095,2865,2570,422,5734,,48,3496,2774,2652,401,110,39,794,61,347,3315,,1688,8,102,6088,7016,3,3328,11,
2021-03-13,3018,75,23,,104,2711,1082,464,604,77,2324,392,781,1039,14885,637,1553,2634,3528,552,82,63,2812,3408,942,2555,5228,170,,28,922,879,24,46,8929,3029,222,298,2297,187,18,1453,793,,735,4661,1622,255,1551,2227,4,2653,3707,61,165,566,200,2131,1949,1070,2481,1044,3268,2929,2575,588,6320,,42,3885,2850,2630,302,107,39,755,69,347,3386,64,1780,7,110,6185,7743,3,3668,17,
2021-03-14,3055,75,23,,119,2719,953,457,627,110,2319,389,796,1028,14875,637,1392,2492,3593,550,82,69,3029,3306,876,2339,5437,183,,28,932,770,24,46,8788,3039,235,298,2430,187,19,1543,842,,724,5032,1732,224,1551,2208,4,2654,3989,61,200,570,220,2080,1937,667,2463,1032,3749,2993,2497,580,7335,,40,4274,2949,2609,285,110,39,752,71,347,3398,89,1840,5,113,6184,7272,3,3917,17,
2021-03-15,3071,75,23,,135,2726,845,442,562,143,2480,369,1090,974,15474,716,1230,2411,3657,549,152,68,3038,3365,811,2124,5835,238,,28,1039,763,24,46,8750,3021,248,298,2575,187,27,1697,848,,693,5404,1741,192,1551,2140,4,2536,4133,70,207,616,227,2078,1981,1191,2508,1058,3551,2905,2526,634,6907,124,21,4539,3046,2416,311,112,39,604,73,347,3430,73,2157,11,138,5630,7395,3,4257,23,
2021-03-16,2952,75,23,,135,2837,738,493,496,176,2705,335,1330,897,15725,795,1228,2366,2798,594,221,73,3149,3286,652,2108,6346,273,,28,1118,855,24,46,8542,2900,285,522,2767,217,35,1626,1045,,673,5731,1601,161,1551,2073,24,2257,4131,78,226,660,191,1953,2175,1105,2595,1073,3376,2818,2553,668,6214,124,37,4891,3283,2284,347,123,39,483,75,347,3518,78,2523,15,174,5533,7418,3,5021,30,
2021-03-17,2820,,23,,135,2841,563,548,454,210,2825,294,1570,851,15472,874,1225,2381,2117,561,291,57,3175,3197,493,2066,6860,317,,339,1198,921,24,46,8459,2790,326,746,2997,247,43,1544,701,,641,5588,1399,130,1551,2005,45,1895,4203,87,224,749,156,1881,2127,1049,2616,762,3717,2731,2353,684,5852,124,36,5244,3501,2078,356,96,39,389,77,347,3514,81,3051,24,204,5653,7536,3,6763,34,
2021-03-18,2674,,23,,135,2817,515,569,412,243,3082,294,1538,647,14856,953,1223,2607,1541,528,401,58,3461,3027,493,2045,7514,346,,399,1377,948,24,46,8174,2658,371,813,3219,277,57,1383,781,197,605,5418,1285,98,1551,1937,66,1731,4045,96,198,868,139,1889,2276,959,2631,629,3620,2643,2383,517,5861,124,39,5596,3549,1944,367,96,39,313,73,347,3473,82,3303,40,194,4979,7628,3,8380,38,
2021-03-19,2538,,23,,144,2674,484,595,391,276,3358,345,1480,533,14258,1032,1220,2743,1520,355,444,59,3552,2768,485,2039,8120,326,,459,1447,1181,24,46,7893,2575,394,879,3417,,71,1244,820,266,553,4767,1323,67,1551,1869,87,1654,3973,105,139,944,144,1867,2418,909,2635,730,3091,2556,2399,356,5440,124,53,5948,3528,1971,418,92,39,254,68,347,3482,84,3600,53,183,4609,7480,3,9669,38,
2021-03-20,2491,,23,,153,2445,461,533,370,276,3508,365,1433,586,14136,1111,1420,2677,1498,274,488,60,3569,2728,477,2039,8719,327,175,497,1554,1264,24,,7692,2570,399,945,3529,,84,1135,760,260,542,3937,1394,36,,1801,107,1658,3895,113,97,902,149,1869,2573,903,2651,660,3823,2469,2389,245,4251,124,57,6300,3434,1999,385,98,39,246,63,347,3462,109,3607,57,184,4769,6850,3,9714,33,
2021-03-21,2481,,23,,162,2347,481,532,384,276,3505,376,1448,614,14118,1301,1620,2651,1476,318,532,54,3538,2704,470,2243,9012,302,175,535,1585,1267,24,,7039,2626,405,1011,3525,,98,1055,763,257,568,3513,1425,36,,1733,128,1661,3670,122,62,896,154,1864,2667,872,2663,657,3989,2381,2482,245,3339,124,62,6652,3426,2027,373,102,39,244,63,347,3406,127,3537,72,186,4905,7582,3,11081,33,
2021-03-22,2508,,23,,171,2347,477,661,370,276,3525,476,1503,709,12898,1412,1820,2631,1455,324,517,53,3560,2732,462,2446,8952,259,175,542,1625,1313,24,,6335,2673,410,1193,3608,,105,920,904,217,588,3089,1542,36,,1816,149,1690,3591,122,54,802,159,1960,2935,277,2641,959,4153,2240,2513,268,2853,124,58,7005,3527,2054,353,107,39,219,63,347,3403,189,3432,74,193,5435,7585,3,11637,30,
2021-03-23,2702,,23,,181,2223,474,705,359,276,3536,646,1977,876,11624,1486,2064,2567,1455,286,502,48,3442,2946,454,2491,8879,260,175,549,1649,1660,24,,5070,2862,385,1150,3618,,113,919,892,299,606,2589,1563,36,,1899,149,1897,3691,122,118,731,262,2212,2834,294,2632,1261,4357,2100,2557,318,3179,124,55,6934,3612,2024,332,90,39,230,63,347,3276,225,3241,90,252,5652,7607,3,11833,25,
2021-03-24,2904,,23,,190,2101,471,855,381,276,3722,839,2208,1036,10504,1624,2308,2651,1458,308,487,49,3218,3180,446,2548,8876,241,183,245,1673,1561,24,,4763,3062,344,1107,3739,,120,1025,940,377,643,3009,1547,,,1982,149,2380,3769,122,212,642,365,2419,3040,305,2667,1564,4457,1959,2753,453,3382,124,120,6810,3683,2315,329,96,39,261,63,347,3204,273,3129,124,261,5973,7589,3,11302,23,
2021-03-25,3127,,23,,210,1782,468,1027,396,276,3728,1021,2399,1219,9583,2015,2253,2513,1461,419,432,49,2918,3514,,2149,8660,245,189,192,1690,1562,24,,4309,3294,301,1208,3867,,138,1135,928,485,678,3425,1452,,,2064,170,2874,3932,122,316,526,405,2541,3152,285,2719,1815,4631,1818,2818,553,3090,124,185,6686,3638,2568,329,105,39,309,81,,3126,321,3075,109,302,6963,7649,3,10965,22,
2021-03-26,3324,,23,,221,1701,465,1236,403,276,3739,1169,2503,1382,8995,2471,2198,2377,1463,530,443,48,2838,3893,,2208,8562,220,193,139,1678,1619,24,,4033,3506,276,1309,4073,,157,1318,933,573,680,3581,1456,,,2147,190,3159,3881,122,408,419,424,2905,3516,,2758,1883,4747,1677,2850,653,2497,162,253,6562,3639,3010,331,117,39,337,99,,3049,391,2820,94,290,8071,7995,3,9875,19,
2021-03-27,3429,,23,,232,1610,1218,1423,411,,3743,1191,2735,1384,8856,2807,2144,2508,1466,513,454,51,2823,3879,,2235,8175,213,200,108,1638,1367,24,,3806,3655,274,1410,4199,,179,1546,953,687,684,3709,1417,,,2230,211,3161,3777,122,451,360,443,3028,3319,,2814,2105,4149,1707,2857,636,2876,200,304,6438,3489,3270,360,112,39,338,116,,2999,423,2779,133,283,8062,8156,63,11385,18,
2021-03-28,3476,,23,,242,1607,1974,1434,384,,3761,1184,2806,1384,8835,2954,2089,2605,1469,501,465,51,2770,3887,,2228,8221,215,206,77,1617,1524,24,,3069,3730,272,1512,4407,,200,1714,1006,667,680,3768,1389,,,2313,232,3163,3761,122,476,359,462,3222,3880,,2890,2391,3903,1736,3047,646,3166,237,355,6314,3308,3531,421,115,39,337,134,,3008,442,2985,149,281,7907,8261,122,11449,17,
2021-03-29,3535,,23,,253,1601,2730,1462,357,,3638,1187,2684,1416,8822,3118,2035,2903,1472,528,619,54,2871,4004,,2221,8206,228,212,77,1319,1501,24,,2799,3839,269,1498,4563,,222,2063,953,704,753,3827,1385,,,,259,3248,3921,122,544,357,481,3402,3850,,2933,2391,3787,1907,3094,565,3981,275,371,6191,3259,3792,367,118,39,407,152,,3047,429,2882,177,293,8316,8401,182,11100,15,
2021-03-30,3564,,23,,,1602,3486,1634,311,,3433,1132,2040,1431,9106,3255,1957,3246,1475,620,773,63,3130,4106,,2205,8225,229,218,77,1277,1077,61,,3117,3922,284,1484,4741,,244,2332,1034,646,803,4011,1655,,,,286,3823,4010,122,502,350,418,3341,3931,,2976,2108,3431,2077,3133,590,4409,313,397,6259,3223,4028,367,140,39,429,170,,3137,433,2932,186,245,8387,8437,241,10863,15,
2021-03-31,3553,,23,,,1790,4242,1775,264,,3633,1067,2174,1456,9566,3471,1880,3236,2532,651,927,68,3469,4189,,2170,8324,216,218,77,1252,1128,98,,2650,4030,296,,4927,,265,2435,1047,611,837,3391,1939,,,,313,3819,3936,122,425,348,330,3346,4052,,2969,1955,3202,2195,3204,551,4176,406,390,6380,3231,4294,371,137,39,425,196,,3232,426,3193,167,241,8496,8617,301,10311,15,
2021-04-01,3499,,23,,,2089,4998,1892,239,,3843,992,2259,1441,10237,3605,2101,3111,3589,593,1317,73,3847,4215,,2691,8446,187,215,77,1389,1309,134,,2358,4062,311,,4990,,261,2340,1006,557,910,2883,2244,,,,343,3015,3849,,314,312,305,3364,3790,,2960,1879,3203,2763,3223,558,4661,,452,6501,3288,4559,353,119,39,449,204,,3397,419,3290,191,243,9090,8846,360,9664,13,
2021-04-02,3278,,23,,,2062,5398,2047,217,,3863,756,2437,1389,8659,3713,2322,3059,,480,1536,79,4057,4162,,2729,7717,179,212,77,1562,992,171,,2257,4054,310,,4774,,257,2100,950,496,980,2532,2416,,,,322,2656,3722,,,259,280,3233,3955,,2981,1673,3481,2967,3021,552,4919,,557,6622,2924,4181,321,95,39,504,213,,3097,390,3127,217,297,8609,9106,420,10116,12,
2021-04-03,3182,,23,,,1934,5086,1814,195,,3781,728,2327,1390,8565,3502,2543,3088,,494,,81,3634,4150,,3013,6913,180,208,77,1642,1080,208,,2230,4009,322,,4904,,249,1856,931,365,990,2375,2533,,,,300,2648,3397,,,249,255,3077,4020,,2958,1588,3655,3000,3023,591,4971,,580,6743,2725,3985,262,95,39,526,229,,3115,438,3339,199,299,9185,9361,,8767,12,
2021-04-04,3182,,23,,,1937,4591,1868,196,,3753,735,2276,1372,8563,3409,2764,3085,,503,,87,3543,4159,,3177,6175,189,205,,1942,994,244,,2666,3852,334,,4782,,,1672,861,368,988,2254,2445,,,,279,2650,3320,,,245,230,2921,3388,,2911,1328,3623,3034,2761,613,5023,,583,,2593,3771,199,87,39,527,245,,3136,487,3223,193,300,9740,9397,,7271,,
2021-04-05,3092,,,,,1954,3772,1704,193,,3579,792,2626,1320,8679,3254,2985,2828,,,,84,3406,3755,,3341,5534,178,188,,2300,1046,277,,2565,3684,346,,4766,,,1460,862,330,933,2133,2541,,,,251,2560,3102,,,212,205,2570,3011,,2903,1080,3639,3068,,625,4559,,623,,2090,3557,198,78,39,550,262,,2737,550,3500,,295,9771,9303,,6768,,
2021-04-06,3114,,,,,2097,3439,1450,,,,851,3133,1247,8291,3192,2985,,,,,67,2952,,,3696,,,,,2512,1098,,,2307,3636,383,,4894,,,,773,319,,1931,2542,,,,223,,,,,,,,3137,,,1278,4126,3102,,531,4213,,749,,,3897,138,51,102,586,294,,2679,579,3538,,285,11383,9135,,6415,,
