value,name
293,Rhein-Erft-Kreis
294,Rhein-Hunsrück-Kreis
295,Rhein-Kreis Neuss
296,Rhein-Lahn-Kreis
297,Rhein-Neckar-Kreis
298,Rhein-Pfalz-Kreis
299,Rhein-Sieg-Kreis
300,Rheingau-Taunus-Kreis
301,Rheinisch-Bergischer Kreis
302,Rhön-Grabfeld
303,Rosenheim (Landkreis)
304,Rosenheim (Stadt)
305,Rostock (Landkreis)
306,Rostock (Stadt)
307,Rotenburg (Wümme)
308,Roth
309,Rottal-Inn
310,Rottweil
311,Saale-Holzland-Kreis
312,Saale-Orla-Kreis
313,Saalekreis
314,Saalfeld-Rudolstadt
315,Saarlouis
316,Saarpfalz-Kreis
317,Sächsische Schweiz-Osterzgebirge
318,Salzgitter
319,Salzlandkreis
320,Schaumburg
321,Schleswig-Flensburg
322,Schmalkalden-Meiningen
323,Schwabach
324,Schwäbisch Hall
325,Schwalm-Eder-Kreis
326,Schwandorf
327,Schwarzwald-Baar-Kreis
328,Schweinfurt (Landkreis)
329,Schweinfurt (Stadt)
330,Schwerin
331,Segeberg
332,Siegen-Wittgenstein
333,Sigmaringen
334,Soest
335,Solingen
336,Sömmerda
337,Sonneberg
338,Speyer
339,Spree-Neiße
340,St. Wendel
341,Stade
342,Städteregion Aachen
343,Starnberg
344,Steinburg
345,Steinfurt
346,Stendal
347,Stormarn
348,Straubing
349,Straubing-Bogen
350,Stuttgart
351,Südliche Weinstraße
352,Südwestpfalz
353,Suhl
354,Teltow-Fläming
355,Tirschenreuth
356,Traunstein
357,Trier
358,Trier-Saarburg
359,Tübingen
360,Tuttlingen
361,Uckermark
362,Uelzen
363,Ulm
364,Unna
365,Unstrut-Hainich-Kreis
366,Unterallgäu
367,Vechta
368,Verden
369,Viersen
370,Vogelsbergkreis
371,Vogtlandkreis
372,Vorpommern-Greifswald
373,Vorpommern-Rügen
374,Vulkaneifel
375,Waldeck-Frankenberg
376,Waldshut
377,Warendorf
378,Wartburgkreis
379,Weiden i.d. OPf.
380,Weilheim-Schongau
381,Weimar
