"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Delmenhorst","Kreisfreie Stadt","Niedersachsen","77503","73","4695","6057.8","197.4",153,"de-ni-03401000","53.0494043992","8.64568293102"
"Emden","Kreisfreie Stadt","Niedersachsen","49874","16","1730","3468.7","92.2",46,"de-ni-03402000","53.3606790665","7.18158411476"
"Oldenburg (Oldb)","Kreisfreie Stadt","Niedersachsen","169605","54","6030","3555.3","115",195,"de-ni-03403000","53.1445781697","8.22435903936"
"Osnabrück","Kreisfreie Stadt","Niedersachsen","164223","108","9384","5714.2","81.6",134,"de-ni-03404000","52.2776798178","8.04703290985"
"Wilhelmshaven","Kreisfreie Stadt","Niedersachsen","75189","58","2684","3569.7","93.1",70,"de-ni-03405000","53.5659448147","8.08620462896"
"Ammerland","Landkreis","Niedersachsen","125643","71","4149","3302.2","159.2",200,"de-ni-03451000","53.2184881736","8.01326226621"
"Aurich","Landkreis","Niedersachsen","190178","63","4843","2546.6","95.7",182,"de-ni-03452000","53.4964307678","7.36808958075"
"Cloppenburg","Landkreis","Niedersachsen","172632","179","14740","8538.4","332.5",574,"de-ni-03453000","52.9110290194","7.90471393786"
"Emsland","Landkreis","Niedersachsen","328930","217","17352","5275.3","233.5",768,"de-ni-03454000","52.7382970162","7.40268865164"
"Friesland","Landkreis","Niedersachsen","98971","43","2186","2208.7","144.5",143,"de-ni-03455000","53.510362974","7.98324746163"
"Grafschaft Bentheim","Landkreis","Niedersachsen","137891","129","6978","5060.5","226.3",312,"de-ni-03456000","52.4760534093","7.01985676166"
"Leer","Landkreis","Niedersachsen","171483","68","5900","3440.6","184.3",316,"de-ni-03457000","53.2435417357","7.46976164078"
"Oldenburg","Landkreis","Niedersachsen","131467","119","6338","4821","154.4",203,"de-ni-03458000","52.9880769073","8.38939656642"
"Osnabrück","Landkreis","Niedersachsen","359471","321","19708","5482.5","116.6",419,"de-ni-03459000","52.3816139244","8.04515734225"
"Vechta","Landkreis","Niedersachsen","143698","99","10950","7620.1","279.8",402,"de-ni-03460000","52.6602901512","8.22305794318"
"Wesermarsch","Landkreis","Niedersachsen","88524","118","3953","4465.5","137.8",122,"de-ni-03461000","53.357641762","8.38864623114"
"Wittmund","Landkreis","Niedersachsen","57384","35","1620","2823.1","106.3",61,"de-ni-03462000","53.5734137385","7.7061235505"
"Bremen","Kreisfreie Stadt","Bremen","566573","414","30088","5310.5","140.3",795,"de-ni-04011000","53.1195434664","8.78049374679"
"Bremerhaven","Kreisfreie Stadt","Bremen","113557","124","7330","6454.9","140.9",160,"de-hb-04012000","53.5381662933","8.58850522385"
"Düsseldorf","Kreisfreie Stadt","Nordrhein-Westfalen","620523","521","37472","6038.8","238",1477,"de-nw-05111000","51.235456959","6.81020262394"
"Duisburg","Kreisfreie Stadt","Nordrhein-Westfalen","495885","715","36919","7445.1","176.3",874,"de-nw-05112000","51.439615769","6.73469184999"
"Essen","Kreisfreie Stadt","Nordrhein-Westfalen","582415","617","34538","5930.1","156.1",909,"de-nw-05113000","51.433832766","7.01715391614"
"Krefeld","Kreisfreie Stadt","Nordrhein-Westfalen","226844","194","15491","6828.9","230.1",522,"de-nw-05114000","51.3452191428","6.57966800647"
"Mönchengladbach","Kreisfreie Stadt","Nordrhein-Westfalen","259665","251","15754","6067","189.5",492,"de-nw-05116000","51.1671935981","6.41197447381"
"Mülheim an der Ruhr","Kreisfreie Stadt","Nordrhein-Westfalen","170921","244","10783","6308.8","171.4",293,"de-nw-05117000","51.4137814936","6.878461621"
"Oberhausen","Kreisfreie Stadt","Nordrhein-Westfalen","209566","388","13839","6603.6","148.4",311,"de-nw-05119000","51.5131313527","6.84712049817"
"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen","111516","186","7816","7008.9","154.2",172,"de-nw-05120000","51.1826933037","7.22411565185"
"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen","159193","211","12153","7634.1","277",441,"de-nw-05122000","51.1624551579","7.06606973298"
"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen","355004","512","27557","7762.4","211.5",751,"de-nw-05124000","51.2506036112","7.16893008228"
"Kleve","Kreis","Nordrhein-Westfalen","313586","212","14910","4754.7","178.9",561,"de-nw-05154000","51.6523631313","6.25880908496"
"Mettmann","Kreis","Nordrhein-Westfalen","484322","797","32119","6631.7","210",1017,"de-nw-05158000","51.2571043543","6.96906518309"
"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen","452001","385","25076","5547.8","178.1",805,"de-nw-05162000","51.1435712356","6.64932316692"
"Viersen","Kreis","Nordrhein-Westfalen","298536","316","15240","5104.9","218.7",653,"de-nw-05166000","51.2828202383","6.32612051327"
"Wesel","Kreis","Nordrhein-Westfalen","460113","327","22814","4958.3","180.6",831,"de-nw-05170000","51.6270425398","6.61836262868"
"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen","330579","275","19634","5939.3","193.3",639,"de-nw-05314000","50.7057346173","7.10983940994"
"Köln","Kreisfreie Stadt","Nordrhein-Westfalen","1083498","789","74894","6912.2","265.2",2873,"de-nw-05315000","50.9456668791","6.97321855167"
"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen","163905","120","11794","7195.6","289.2",474,"de-nw-05316000","51.0530662603","7.01547411084"
"Städteregion Aachen","Kreis","Nordrhein-Westfalen","556631","624","34723","6238.1","192.8",1073,"de-nw-05334000","50.7275046127","6.21672721805"
"Düren","Kreis","Nordrhein-Westfalen","265140","308","17320","6532.4","176.9",469,"de-nw-05358000","50.8178950546","6.44556160998"
"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen","469611","437","27293","5811.8","204.2",959,"de-nw-05362000","50.9049330282","6.71649101914"
"Euskirchen","Kreis","Nordrhein-Westfalen","194359","253","10460","5381.8","220.2",428,"de-nw-05366000","50.5364731669","6.6441519123"
"Heinsberg","Kreis","Nordrhein-Westfalen","256458","402","15588","6078.2","237.5",609,"de-nw-05370000","51.0493489074","6.16411292416"
"Oberbergischer Kreis","Kreis","Nordrhein-Westfalen","271699","283","19705","7252.5","323.5",879,"de-nw-05374000","51.0127091971","7.51662881723"
"Rheinisch-Bergischer Kreis","Kreis","Nordrhein-Westfalen","283275","195","14780","5217.5","182.5",517,"de-nw-05378000","51.0230044262","7.19484653806"
"Rhein-Sieg-Kreis","Kreis","Nordrhein-Westfalen","600375","593","31977","5326.2","195.4",1173,"de-nw-05382000","50.7606389137","7.23457302819"
"Bottrop","Kreisfreie Stadt","Nordrhein-Westfalen","117388","129","7068","6021.1","108.2",127,"de-nw-05512000","51.5716938262","6.9201161778"
"Gelsenkirchen","Kreisfreie Stadt","Nordrhein-Westfalen","259105","444","20417","7879.8","204.2",529,"de-nw-05513000","51.5539564213","7.07124023772"
"Münster","Kreisfreie Stadt","Nordrhein-Westfalen","316403","136","11580","3659.9","140.3",444,"de-nw-05515000","51.954316786","7.62364679497"
"Borken","Kreis","Nordrhein-Westfalen","371898","295","18671","5020.5","202.2",752,"de-nw-05554000","51.9613198354","6.89961561244"
"Coesfeld","Kreis","Nordrhein-Westfalen","220712","104","7283","3299.8","102.4",226,"de-nw-05558000","51.8668510417","7.36601223345"
"Recklinghausen","Kreis","Nordrhein-Westfalen","613599","1026","40230","6556.4","148.5",911,"de-nw-05562000","51.6724839158","7.15924893893"
"Steinfurt","Kreis","Nordrhein-Westfalen","448197","345","22927","5115.4","156.6",702,"de-nw-05566000","52.2115366779","7.57944671253"
"Warendorf","Kreis","Nordrhein-Westfalen","277417","271","15501","5587.6","210.9",585,"de-nw-05570000","51.8702227935","7.95829493253"
"Bielefeld","Kreisfreie Stadt","Nordrhein-Westfalen","333509","385","22233","6666.4","229.4",765,"de-nw-05711000","52.0109486234","8.54074389731"
"Gütersloh","Kreis","Nordrhein-Westfalen","364818","347","27201","7456","293",1069,"de-nw-05754000","51.9317089342","8.35138605299"
"Herford","Kreis","Nordrhein-Westfalen","250547","204","15421","6154.9","243.5",610,"de-nw-05758000","52.1675778068","8.64393163854"
"Höxter","Kreis","Nordrhein-Westfalen","139729","159","6808","4872.3","142.4",199,"de-nw-05762000","51.6849407394","9.17809149846"
"Lippe","Kreis","Nordrhein-Westfalen","346970","430","24077","6939.2","223.1",774,"de-nw-05766000","51.9814226536","8.95083727251"
"Minden-Lübbecke","Kreis","Nordrhein-Westfalen","310270","321","22207","7157.3","268.8",834,"de-nw-05770000","52.3524754985","8.73934839311"
"Paderborn","Kreis","Nordrhein-Westfalen","308335","169","14893","4830.1","253",780,"de-nw-05774000","51.6641754561","8.7196350334"
"Bochum","Kreisfreie Stadt","Nordrhein-Westfalen","364454","283","21980","6030.9","196.5",716,"de-nw-05911000","51.469927372","7.22493523189"
"Dortmund","Kreisfreie Stadt","Nordrhein-Westfalen","587696","430","38154","6492.1","222.9",1310,"de-nw-05913000","51.5160775711","7.47490090518"
"Hagen","Kreisfreie Stadt","Nordrhein-Westfalen","188687","346","16514","8752.1","217.3",410,"de-nw-05914000","51.348045073","7.49755553757"
"Hamm","Kreisfreie Stadt","Nordrhein-Westfalen","178967","222","13325","7445.5","190",340,"de-nw-05915000","51.6651743978","7.82358619294"
"Herne","Kreisfreie Stadt","Nordrhein-Westfalen","156940","283","11897","7580.6","185.4",291,"de-nw-05916000","51.5375332354","7.20855761523"
"Ennepe-Ruhr-Kreis","Kreis","Nordrhein-Westfalen","323130","391","17626","5454.8","160.9",520,"de-nw-05954000","51.3468447914","7.32402933363"
"Hochsauerlandkreis","Kreis","Nordrhein-Westfalen","259030","213","12604","4865.8","114.3",296,"de-nw-05958000","51.3068253808","8.38507986661"
"Märkischer Kreis","Kreis","Nordrhein-Westfalen","408662","449","27227","6662.5","212.4",868,"de-nw-05962000","51.2626114418","7.71300809906"
"Olpe","Kreis","Nordrhein-Westfalen","133362","173","7493","5618.5","152.2",203,"de-nw-05966000","51.0861595881","7.97647726624"
"Siegen-Wittgenstein","Kreis","Nordrhein-Westfalen","275491","195","16158","5865.2","165.5",456,"de-nw-05970000","50.9377386445","8.19517026923"
"Soest","Kreis","Nordrhein-Westfalen","301016","211","11897","3952.3","126.9",382,"de-nw-05974000","51.5644104976","8.21743743758"
"Unna","Kreis","Nordrhein-Westfalen","393618","514","23220","5899.1","181.6",715,"de-nw-05978000","51.5785745363","7.63644458507"
"Darmstadt","Kreisfreie Stadt","Hessen","159174","163","8253","5184.9","196",312,"de-he-06411000","49.88144614","8.66468155462"
"Frankfurt am Main","Kreisfreie Stadt","Hessen","764104","895","55980","7326.2","320.1",2446,"de-he-06412000","50.117968104","8.64419039448"
"Offenbach am Main","Kreisfreie Stadt","Hessen","130892","206","12939","9885.2","301.8",395,"de-he-06413000","50.091078767","8.78096226536"
"Wiesbaden","Kreisfreie Stadt","Hessen","278609","299","17301","6209.8","177.3",494,"de-he-06414000","50.0791566662","8.26036646911"
"Bergstraße","Landkreis","Hessen","271015","355","15404","5683.8","324",878,"de-he-06431000","49.6177012221","8.66011611597"
"Darmstadt-Dieburg","Landkreis","Hessen","297701","322","15025","5047","248.6",740,"de-he-06432000","49.8555038512","8.79546987935"
"Groß-Gerau","Landkreis","Hessen","275807","315","19159","6946.5","192.9",532,"de-he-06433000","49.9045086093","8.47025247743"
"Hochtaunuskreis","Landkreis","Hessen","237281","233","11519","4854.6","195.5",464,"de-he-06434000","50.2816152547","8.50464605826"
"Main-Kinzig-Kreis","Landkreis","Hessen","421689","666","30201","7161.9","232.4",980,"de-he-06435000","50.2438645181","9.28622299151"
"Main-Taunus-Kreis","Landkreis","Hessen","239264","236","12453","5204.7","194.3",465,"de-he-06436000","50.1025789147","8.43457121479"
"Odenwaldkreis","Landkreis","Hessen","96754","183","6004","6205.4","307",297,"de-he-06437000","49.6715861652","8.97952523934"
"Offenbach","Landkreis","Hessen","356542","588","25020","7017.4","272.6",972,"de-he-06438000","50.0216774635","8.81143914637"
"Rheingau-Taunus-Kreis","Landkreis","Hessen","187433","196","9309","4966.6","168.6",316,"de-he-06439000","50.1419717211","8.08113471294"
"Wetteraukreis","Landkreis","Hessen","310353","555","17961","5787.3","193.7",601,"de-he-06440000","50.3547764783","8.90765705912"
"Gießen","Landkreis","Hessen","271667","374","17348","6385.8","147.2",400,"de-he-06531000","50.5702779049","8.80751371735"
"Lahn-Dill-Kreis","Landkreis","Hessen","253373","235","15389","6073.7","167.3",424,"de-he-06532000","50.6482687297","8.36532824"
"Limburg-Weilburg","Landkreis","Hessen","172291","291","11540","6698","156.7",270,"de-he-06533000","50.4274703547","8.19943723806"
"Marburg-Biedenkopf","Landkreis","Hessen","245903","296","13767","5598.5","127.7",314,"de-he-06534000","50.8368638341","8.73804376785"
"Vogelsbergkreis","Landkreis","Hessen","105506","111","5125","4857.5","156.4",165,"de-he-06535000","50.6381193653","9.27137950882"
"Kassel","Kreisfreie Stadt","Hessen","201048","203","11194","5567.8","154.2",310,"de-he-06611000","51.3114548137","9.46020305009"
"Fulda","Landkreis","Hessen","223023","295","17263","7740.5","222.4",496,"de-he-06631000","50.5638809858","9.75913916517"
"Hersfeld-Rotenburg","Landkreis","Hessen","120304","195","7222","6003.1","132.2",159,"de-he-06632000","50.90618961","9.7529324059"
"Kassel","Landkreis","Hessen","237007","230","10550","4451.3","151.1",358,"de-he-06633000","51.4012961379","9.4070389164"
"Schwalm-Eder-Kreis","Landkreis","Hessen","179840","253","8382","4660.8","122.9",221,"de-he-06634000","51.0237758195","9.3736523386"
"Waldeck-Frankenberg","Landkreis","Hessen","156528","156","7915","5056.6","166.1",260,"de-he-06635000","51.1906875733","8.88888422026"
"Werra-Meißner-Kreis","Landkreis","Hessen","100046","167","4733","4730.8","235.9",236,"de-he-06636000","51.190756376","9.92890620729"
"Koblenz","Kreisfreie Stadt","Rheinland-Pfalz","113388","164","5894","5198.1","149",169,"de-rp-07111000","50.348516061","7.5795510239"
"Ahrweiler","Landkreis","Rheinland-Pfalz","130479","68","6495","4977.8","161.7",211,"de-rp-07131000","50.4675853221","7.04497643896"
"Altenkirchen (Westerwald)","Landkreis","Rheinland-Pfalz","129087","106","6602","5114.4","193.7",250,"de-rp-07132000","50.750747657","7.74412525976"
