value,name
117,Landeshauptstadt Potsdam (Urnenwahlbezirk 3106)
118,Landeshauptstadt Potsdam (Urnenwahlbezirk 3107)
119,Landeshauptstadt Potsdam (Urnenwahlbezirk 3108)
120,Landeshauptstadt Potsdam (Urnenwahlbezirk 3201)
121,Landeshauptstadt Potsdam (Urnenwahlbezirk 3202)
122,Landeshauptstadt Potsdam (Urnenwahlbezirk 3203)
123,Landeshauptstadt Potsdam (Urnenwahlbezirk 3204)
124,Landeshauptstadt Potsdam (Urnenwahlbezirk 3205)
125,Landeshauptstadt Potsdam (Urnenwahlbezirk 4101)
126,Landeshauptstadt Potsdam (Urnenwahlbezirk 4102)
127,Landeshauptstadt Potsdam (Urnenwahlbezirk 4103)
128,Landeshauptstadt Potsdam (Urnenwahlbezirk 4104)
129,Landeshauptstadt Potsdam (Urnenwahlbezirk 4105)
130,Landeshauptstadt Potsdam (Urnenwahlbezirk 4106)
131,Landeshauptstadt Potsdam (Urnenwahlbezirk 4107)
132,Landeshauptstadt Potsdam (Urnenwahlbezirk 4108)
133,Landeshauptstadt Potsdam (Urnenwahlbezirk 4109)
134,Landeshauptstadt Potsdam (Urnenwahlbezirk 4301)
135,Landeshauptstadt Potsdam (Urnenwahlbezirk 4302)
136,Landeshauptstadt Potsdam (Urnenwahlbezirk 4304)
137,Landeshauptstadt Potsdam (Urnenwahlbezirk 4401)
138,Landeshauptstadt Potsdam (Urnenwahlbezirk 4402)
139,Landeshauptstadt Potsdam (Urnenwahlbezirk 5201)
140,Landeshauptstadt Potsdam (Urnenwahlbezirk 5202)
141,Landeshauptstadt Potsdam (Urnenwahlbezirk 5203)
142,Landeshauptstadt Potsdam (Urnenwahlbezirk 5204)
143,Landeshauptstadt Potsdam (Urnenwahlbezirk 5205)
144,Landeshauptstadt Potsdam (Urnenwahlbezirk 5206)
145,Landeshauptstadt Potsdam (Urnenwahlbezirk 5207)
146,Landeshauptstadt Potsdam (Urnenwahlbezirk 5208)
147,Landeshauptstadt Potsdam (Urnenwahlbezirk 5301)
148,Landeshauptstadt Potsdam (Urnenwahlbezirk 5302)
149,Landeshauptstadt Potsdam (Urnenwahlbezirk 5303)
150,Landeshauptstadt Potsdam (Urnenwahlbezirk 5304)
151,Landeshauptstadt Potsdam (Urnenwahlbezirk 5305)
152,Landeshauptstadt Potsdam (Urnenwahlbezirk 5306)
