owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Äthiopien,Australien,Bangladesch,Belarus,Belgien,Benin,Bolivien,Brasilien,Bulgarien,Burkina Faso,Burundi,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Haiti,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jemen,Jordanien,Kambodscha,Kamerun,Kanada,Kasachstan,Kenia,Kirgisistan,Kolumbien,Kuba,Libanon,Libyen,Madagaskar,Malawi,Malaysia,Mali,Marokko,Mexiko,Mosambik,Nepal,Nicaragua,Niederlande,Niger,Nigeria,Norwegen,Österreich,Pakistan,Papua-Neuguinea,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Sambia,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Somalia,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Südsudan,Syrien,Tadschikistan,Tansania,Thailand,Togo,Tschad,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Usbekistan,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-06-14,10552,86,763,520,924,6196,3263,76,4097,27,2315,13229,80,2652,4713,2208,90,,7671,11243,6912,10957,12683,3452,4921,489,8934,8648,8,9062,6926,655,629,,816,2328,1619,337,574,404,9417,8419,170,4010,4918,52,11344,3511,345,465,4068,11371,3012,874,336,169,4802,101,5130,3522,59,1437,676,13102,42,196,8473,9975,1306,145,2720,5485,1254,8830,8530,173,2065,1797,5,3687,9654,10637,787,3610,161,334,7467,6532,141,9588,3466,1069,249,11997,94,144,136,,3849,714,18,9206,2604,6048,166,1069,2547,3023,1188,1578,7322,315,
2021-06-15,10540,127,705,520,891,5840,3278,76,4160,25,2392,13256,83,2198,4752,2080,87,,7867,11749,6563,10992,10861,3512,4422,440,8933,8667,8,9062,6862,792,632,,763,2261,1577,389,455,398,9308,8559,141,3729,5739,56,11708,3734,362,443,4222,13466,3146,791,380,185,5108,94,4268,3451,74,1434,676,12816,75,196,8287,9885,1220,168,2957,5104,1392,8835,8376,173,1939,1594,5,3703,9836,10507,834,3510,169,338,7793,6506,141,9772,3910,1075,238,11919,113,144,188,,3434,748,18,9191,2563,7965,176,1100,2547,2937,1188,1889,7849,434,
2021-06-16,10467,162,647,520,710,5568,3057,78,4122,23,2469,13094,83,2081,4782,1948,84,,8118,12295,6214,11027,8687,3790,4343,381,8932,8691,8,9053,6729,967,602,,710,2245,1641,395,430,379,9222,8696,112,4480,6168,46,11937,3869,340,422,4421,15127,2776,708,371,199,5364,92,3959,2765,88,1459,676,12529,112,203,8422,9795,1442,154,3116,4700,1443,8438,8473,173,1837,1597,5,3612,10019,10345,819,3410,140,360,8080,6481,135,9762,4264,866,257,12072,120,144,240,,3201,544,18,9168,2538,9849,174,1167,2547,2841,1396,2199,8197,568,
2021-06-17,10391,198,645,520,530,5502,3077,55,4054,18,2546,13019,83,2093,5549,1835,82,,7974,12403,5865,10988,8305,4068,3895,307,8932,8684,8,9068,6638,1102,572,,741,2372,1722,403,405,367,9153,8876,90,5332,6160,37,12049,4028,285,422,4551,15941,3387,677,362,280,5670,91,4012,3048,102,1216,676,12243,149,210,8339,9705,1447,139,3381,4304,1630,8488,8636,173,1744,1949,5,3617,10201,10356,804,3378,110,357,8305,6455,106,9496,4141,925,275,11365,128,144,293,,3185,339,18,9145,2587,11881,152,1255,2547,2720,1604,2510,8654,858,
2021-06-18,10267,234,642,520,507,5605,3050,53,4042,18,2623,12982,83,1909,5881,1727,68,,7433,12954,5515,10924,8796,4122,3447,260,8931,8726,8,9058,6453,1239,614,,1195,2368,1771,410,379,364,9121,9017,97,5342,6074,41,12174,4176,215,422,4778,16416,3410,645,351,304,5934,95,4004,2956,102,1000,676,11956,186,218,8383,9615,1517,125,3488,4080,1729,8131,9414,173,1656,2049,5,3549,10384,10257,651,3390,112,298,8419,6430,81,9481,3905,902,294,10737,136,144,345,,3094,339,18,9173,2513,13127,148,1271,2547,2585,1812,2820,8978,1166,
2021-06-19,10252,270,640,520,483,5756,2992,50,4063,18,2700,12767,83,1945,6085,1704,55,,7465,13488,5166,10857,9628,4160,3308,211,8931,8734,8,9020,6329,1240,569,,1235,2584,1839,417,354,364,9104,9198,104,5030,5961,45,12183,4161,210,422,5135,16033,2986,614,339,330,6089,100,4059,3064,102,785,676,11669,223,225,8465,9659,1487,111,3098,3859,1787,7757,9336,173,1555,2013,5,3508,10566,10123,498,3403,114,303,8665,6404,64,9467,3834,898,312,10293,144,144,398,,3090,339,18,9151,2492,13299,145,1242,2547,2447,2020,2535,9406,1341,
2021-06-20,10273,306,546,520,460,5809,3053,46,4075,17,2777,12870,83,1965,6162,1702,42,,7480,13946,4817,10863,10124,4006,3169,185,8930,8730,8,8966,6211,1258,524,,1275,2599,1877,424,328,368,9109,9392,112,7041,5807,48,12076,4135,191,422,5474,15887,2495,559,328,323,6155,104,4685,3030,102,765,676,11688,260,232,8507,9703,1430,97,2583,3636,1927,7616,10274,173,1473,2048,5,3388,10749,10024,346,3448,116,309,8758,6379,76,9452,3224,996,331,10219,151,144,450,,3059,339,18,9135,2463,14658,98,1184,2547,2396,2228,2249,10297,1369,
2021-06-21,10232,341,436,520,437,5592,3051,40,4440,16,2777,12428,83,1731,6387,1678,28,,5956,14882,4468,10697,10666,4097,3031,213,8625,8731,16,7623,5552,1316,479,,1414,3194,1872,437,303,398,9168,9529,112,7298,5491,52,11919,4153,195,422,6050,14261,2373,504,285,316,6340,100,5311,3244,102,745,676,11707,298,239,8465,9747,1376,82,2555,3627,2043,7442,10222,173,1392,2347,4,3132,10479,9857,193,3211,127,318,8870,6302,135,9854,3089,872,317,8305,148,144,586,,2863,339,18,9063,2489,15156,103,1052,2547,2243,2437,1964,11455,1397,
2021-06-22,10282,341,463,520,413,5688,3082,35,4377,13,2777,11898,83,1869,6417,1622,28,,6697,15114,4468,10591,11020,4098,3486,170,8320,8724,24,7662,5830,1271,932,,1554,3612,1954,444,421,453,9252,9677,112,6989,5267,51,12009,4187,142,422,6291,12983,2126,448,224,289,6505,91,4937,3493,102,725,676,11726,298,246,8752,9791,1415,69,2591,3673,1930,7499,9359,173,1328,3044,4,3074,10209,9652,152,2975,136,321,8832,6226,194,10123,2583,904,285,6728,136,134,723,,2806,339,18,9047,2484,13423,95,1024,2547,2147,2645,1678,10515,1364,
2021-06-23,10198,345,490,520,413,5612,3436,32,4393,11,2777,11903,83,2047,6499,1546,28,,6884,15408,4345,10444,11287,3937,3523,136,8014,8728,31,7719,5713,1164,941,,2185,3664,1971,451,539,584,9276,9823,113,6725,5342,51,12206,4191,124,422,6456,11368,2375,393,193,253,6732,82,4694,3944,102,677,676,11745,298,246,8873,9835,1147,69,2723,3733,1987,7468,9418,173,1284,2794,4,2940,9939,9426,152,2738,145,448,8701,6150,300,10464,2083,1144,252,5321,125,124,859,,2865,339,18,9002,2469,12349,69,1035,2547,2056,2645,1393,9755,1263,
