koalition,unionave,spdave,gruave,fdpave,linave,afdave
0,25.8658008658009,0,20.021645021645,13.0952380952381,0,0
1,25.8658008658009,21.7532467532468,0,13.0952380952381,0,0
2,25.8658008658009,0,20.021645021645,0,0,0
3,0,21.7532467532468,20.021645021645,13.0952380952381,0,0
4,0,21.7532467532468,20.021645021645,0,7.46753246753247,0
5,25.8658008658009,21.7532467532468,0,0,0,0
6,25.8658008658009,0,0,13.0952380952381,0,0
