date,Deutschland,Großbritannien,Andorra,Argentinien,Bahrain,Bangladesch,Belgien,Brasilien,Bulgarien,Cayman Islands,Chile,China,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Indonesien,Irland,Island,Isle of Man,Israel,Italien,Jersey,Kanada,Kroatien,Lettland,Litauen,Luxemburg,Malta,Mexiko,Norwegen,Oman,Österreich,Polen,Portugal,Rumänien,Schweden,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Tschechien,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2021-01-14,11.9,47.7,,,64.4,,7.9,,2.5,,0.7,,,26,,,,4.5,,6.8,,,,,,,237.1,16.8,,,9.3,7.1,15.6,5.2,,2.6,8.5,4.7,3.3,10.8,,8.7,,,,9.9,20.4,14.5,9.5,,29,,
2021-01-15,13,52.4,,,72.2,,9.8,,2.6,,0.7,,4.9,28.7,,,,5.4,152.4,7.2,,,,,,,240.6,18.2,,,10.1,8,18.3,,,3.2,9.3,,4.4,11.5,10.4,9.5,,40.7,,11.2,22.7,16.4,10.7,,31.7,,
2021-01-16,13.7,56.5,,,80.6,,10.2,0,2.6,,0.7,,,29.4,,,,5.6,173.5,7.7,,,,,,,243.9,19.3,,15,11.2,8.4,18.7,,,3.6,9.4,4.9,5.6,12.1,,10.2,,71.2,,11.5,22.8,,11,,,,
2021-01-17,14.1,59.8,,,83.2,,10.5,0,2.7,,0.7,,,29.9,,,,5.8,173.5,,,,,,,,251.7,19.9,,,,8.5,18.7,6,,3.6,9.5,4.9,6.2,12.4,,10.6,11.4,,,11.5,22.8,,11.3,,,,
2021-01-18,14.7,62.8,,,83.9,,11.4,0,2.7,,1.3,,5.7,30.6,,,,6.9,191,8.2,,,,,,,259.7,20.5,,,,8.6,19.8,7.3,,3.8,9.7,4.9,6.7,13,,12.1,,,,13,22.9,19.2,12.4,13.4,,,
2021-01-19,15.5,67.9,,,84.4,,13,0.1,2.7,,2.2,,,31,,,,8.6,208.3,9,,,,,,,268.1,21,,,13.2,8.6,20.6,8.5,,3.8,10.6,4.9,7.8,14,,13.9,,111.6,,14.2,23.1,20.5,13.5,13.5,40.7,,
2021-01-20,16.5,73.3,,5.4,84.7,,14.7,0.1,2.9,,2.4,10.4,,31.2,,,,10.5,208.3,10.4,,,,,16.8,,277.1,21.4,,,,8.6,21.2,9.9,,3.8,12.4,4.9,9.6,15,,15.7,,133.9,,15.4,23.7,21.6,14.7,13.9,42.7,,
2021-01-21,17.2,79.3,,5.5,,,17.2,0.6,3,,2.8,,,31.5,0,,,12.5,235.9,11.9,,,,,,,285.3,21.6,,,,8.8,21.5,11,,4.1,13.9,,11.7,16,,17.6,,,,16.6,24.3,22.5,16.1,14.4,45,,
2021-01-22,18.2,86.3,,5.6,,,19.7,1.2,3.1,,2.9,,,31.6,0,,,14.1,263.5,13.6,,,,,,,289.7,21.8,,,,8.9,21.6,,,4.6,14.5,,13.5,16.9,,19.5,,171.8,10.3,17.7,24.9,23.5,17.5,14.8,48.6,,17.5
2021-01-23,18.8,93.6,,5.7,,,20.4,2.5,3.1,,2.9,,,31.8,,,,14.7,291.1,15.1,,,,,,,294.4,21.9,,20.7,,9,21.6,,,4.6,14.6,4.9,14.7,17.3,,21.1,,186.6,,17.7,25,,17.7,15,52,,
