value,name
127,Neuruppin/Briefwahlbezirk 9136
128,Neuruppin/Briefwahlbezirk 9137
129,Neuruppin/Briefwahlbezirk 9138
130,Neuruppin/Briefwahlbezirk 9139
131,Neuruppin/Briefwahlbezirk 9140
132,Perleberg/Briefwahlbezirk 9105
133,Perleberg/Briefwahlbezirk 9106
134,Perleberg/Briefwahlbezirk 9107
135,Perleberg/Urnenwahlbezirk 1101
136,Perleberg/Urnenwahlbezirk 1102
137,Perleberg/Urnenwahlbezirk 1103
138,Perleberg/Urnenwahlbezirk 1104
139,Perleberg/Urnenwahlbezirk 1105
140,Perleberg/Urnenwahlbezirk 1106
141,Perleberg/Urnenwahlbezirk 1107
142,Perleberg/Urnenwahlbezirk 1108
143,Perleberg/Urnenwahlbezirk 1109
144,Perleberg/Urnenwahlbezirk 1110
145,Perleberg/Urnenwahlbezirk 1111
146,Perleberg/Urnenwahlbezirk 1112
147,Perleberg/Urnenwahlbezirk 1113
148,Perleberg/Urnenwahlbezirk 1114
149,Perleberg/Urnenwahlbezirk 1115
150,Perleberg/Urnenwahlbezirk 1116
151,Perleberg/Urnenwahlbezirk 1117
152,Plattenburg/Briefwahlbezirk 9119
153,Plattenburg/Urnenwahlbezirk 1701
154,Plattenburg/Urnenwahlbezirk 1702
155,Plattenburg/Urnenwahlbezirk 1703
156,Plattenburg/Urnenwahlbezirk 1704
157,Plattenburg/Urnenwahlbezirk 1705
158,Plattenburg/Urnenwahlbezirk 1706
159,Plattenburg/Urnenwahlbezirk 1707
160,Plattenburg/Urnenwahlbezirk 1709
161,Plattenburg/Urnenwahlbezirk 1710
162,Plattenburg/Urnenwahlbezirk 1711
163,Plattenburg/Urnenwahlbezirk 1712
164,Plattenburg/Urnenwahlbezirk 1713
165,Pritzwalk/Briefwahlbezirk 9108
166,Pritzwalk/Briefwahlbezirk 9109
167,Pritzwalk/Briefwahlbezirk 9110
168,Pritzwalk/Briefwahlbezirk 9151
169,Pritzwalk/Urnenwahlbezirk 1201
170,Pritzwalk/Urnenwahlbezirk 1202
171,Pritzwalk/Urnenwahlbezirk 1203
172,Pritzwalk/Urnenwahlbezirk 1204
173,Pritzwalk/Urnenwahlbezirk 1205
174,Pritzwalk/Urnenwahlbezirk 1206
175,Pritzwalk/Urnenwahlbezirk 1207
176,Pritzwalk/Urnenwahlbezirk 1208
177,Pritzwalk/Urnenwahlbezirk 1209
178,Pritzwalk/Urnenwahlbezirk 1210
179,Pritzwalk/Urnenwahlbezirk 1211
180,Pritzwalk/Urnenwahlbezirk 1212
181,Pritzwalk/Urnenwahlbezirk 1213
