date,erst,zweit,dritt,bion,moderna,astra,johnson,average,erstave,zweitave,drittave,bionave,modernaave,astraave,johnsonave
2020-12-28,18036,65,,18101,,,,,,,,,,,
2020-12-29,49974,653,,50626,,1,,,,,,,,,
2020-12-30,64023,32,,64055,,,,,,,,,,,
2020-12-31,49948,87,,50035,,,,,,,,,,,
2021-01-01,25532,6,,25529,6,3,,,,,,,,,
2021-01-02,48018,76,,48094,,,,,,,,,,,
2021-01-03,22548,4,,22550,2,,,39857,39726,132,,39856,1,1,
2021-01-04,46003,51,,46053,1,,,43851,43721,130,,43849,1,1,
2021-01-05,52627,87,,52713,1,,,44149,44100,49,,44147,1,,
2021-01-06,63043,88,,63122,6,3,,44017,43960,57,,44014,2,1,
2021-01-07,54818,20,,54830,5,2,1,44703,44656,47,,44699,3,1,
2021-01-08,62668,103,,62719,51,1,,50022,49961,61,,50012,9,1,
2021-01-09,60635,144,,60775,3,1,,51834,51763,71,,51823,10,1,
2021-01-10,35919,114,,36024,9,,,53760,53673,87,,53748,11,1,
2021-01-11,68140,55,,68179,14,2,,56923,56836,87,,56909,13,1,
2021-01-12,78963,60,,79003,17,3,,60681,60598,83,,60665,15,2,
2021-01-13,111786,203,,110812,1177,,,67661,67561,100,,67477,182,1,
2021-01-14,83899,212,,78953,5158,,,71843,71716,127,,70924,918,1,
2021-01-15,90661,918,,86283,5277,19,,75958,75715,244,,74290,1665,4,
2021-01-16,56792,1219,,56328,1682,1,,75563,75166,397,,73655,1905,4,
2021-01-17,30794,17000,,46530,1262,1,1,77243,74434,2810,,75155,2084,4,
2021-01-18,67255,15555,,78553,4256,1,,79331,74307,5024,,76637,2690,4,
2021-01-19,83599,36012,,115795,3765,51,,85129,74969,10160,,81893,3225,10,
2021-01-20,78936,53557,,129650,2839,4,,88058,70277,17782,,84585,3463,11,
2021-01-21,64533,40799,1,102514,2817,2,,91090,67510,23580,,87950,3128,11,
2021-01-22,68685,33435,,99916,2191,13,,92596,64371,28225,,89898,2687,10,
2021-01-23,40440,46430,,86512,355,3,,96719,62035,34684,,94210,2498,11,
2021-01-24,25676,22075,,47548,199,4,,96713,61303,35409,,94355,2346,11,
2021-01-25,52219,38664,,89429,1451,3,,97866,59155,38710,,95909,1945,11,
