woche,Baden-Württemberg 2016,Baden-Württemberg 2017,Baden-Württemberg 2018,Baden-Württemberg 2019,Baden-Württemberg 2020,Baden-Württemberg 2021,Baden-Württemberg Covid-19 2020,Baden-Württemberg Covid-19 2021,Baden-Württemberg Ø2016-19,Bayern 2016,Bayern 2017,Bayern 2018,Bayern 2019,Bayern 2020,Bayern 2021,Bayern Covid-19 2020,Bayern Covid-19 2021,Bayern Ø2016-19,Berlin 2016,Berlin 2017,Berlin 2018,Berlin 2019,Berlin 2020,Berlin 2021,Berlin Covid-19 2020,Berlin Covid-19 2021,Berlin Ø2016-19,Brandenburg 2016,Brandenburg 2017,Brandenburg 2018,Brandenburg 2019,Brandenburg 2020,Brandenburg 2021,Brandenburg Covid-19 2020,Brandenburg Covid-19 2021,Brandenburg Ø2016-19,Bremen 2016,Bremen 2017,Bremen 2018,Bremen 2019,Bremen 2020,Bremen 2021,Bremen Covid-19 2020,Bremen Covid-19 2021,Bremen Ø2016-19,Deutschland 2016,Deutschland 2017,Deutschland 2018,Deutschland 2019,Deutschland 2020,Deutschland 2021,Deutschland Covid-19 2020,Deutschland Covid-19 2021,Deutschland Ø2016-19,Hamburg 2016,Hamburg 2017,Hamburg 2018,Hamburg 2019,Hamburg 2020,Hamburg 2021,Hamburg Covid-19 2020,Hamburg Covid-19 2021,Hamburg Ø2016-19,Hessen 2016,Hessen 2017,Hessen 2018,Hessen 2019,Hessen 2020,Hessen 2021,Hessen Covid-19 2020,Hessen Covid-19 2021,Hessen Ø2016-19,Mecklenburg-Vorpommern 2016,Mecklenburg-Vorpommern 2017,Mecklenburg-Vorpommern 2018,Mecklenburg-Vorpommern 2019,Mecklenburg-Vorpommern 2020,Mecklenburg-Vorpommern 2021,Mecklenburg-Vorpommern Covid-19 2020,Mecklenburg-Vorpommern Covid-19 2021,Mecklenburg-Vorpommern Ø2016-19,Niedersachsen 2016,Niedersachsen 2017,Niedersachsen 2018,Niedersachsen 2019,Niedersachsen 2020,Niedersachsen 2021,Niedersachsen Covid-19 2020,Niedersachsen Covid-19 2021,Niedersachsen Ø2016-19,Nordrhein-Westfalen 2016,Nordrhein-Westfalen 2017,Nordrhein-Westfalen 2018,Nordrhein-Westfalen 2019,Nordrhein-Westfalen 2020,Nordrhein-Westfalen 2021,Nordrhein-Westfalen Covid-19 2020,Nordrhein-Westfalen Covid-19 2021,Nordrhein-Westfalen Ø2016-19,Rheinland-Pfalz 2016,Rheinland-Pfalz 2017,Rheinland-Pfalz 2018,Rheinland-Pfalz 2019,Rheinland-Pfalz 2020,Rheinland-Pfalz 2021,Rheinland-Pfalz Covid-19 2020,Rheinland-Pfalz Covid-19 2021,Rheinland-Pfalz Ø2016-19,Saarland 2016,Saarland 2017,Saarland 2018,Saarland 2019,Saarland 2020,Saarland 2021,Saarland Covid-19 2020,Saarland Covid-19 2021,Saarland Ø2016-19,Sachsen-Anhalt 2016,Sachsen-Anhalt 2017,Sachsen-Anhalt 2018,Sachsen-Anhalt 2019,Sachsen-Anhalt 2020,Sachsen-Anhalt 2021,Sachsen-Anhalt Covid-19 2020,Sachsen-Anhalt Covid-19 2021,Sachsen-Anhalt Ø2016-19,Sachsen 2016,Sachsen 2017,Sachsen 2018,Sachsen 2019,Sachsen 2020,Sachsen 2021,Sachsen Covid-19 2020,Sachsen Covid-19 2021,Sachsen Ø2016-19,Schleswig-Holstein 2016,Schleswig-Holstein 2017,Schleswig-Holstein 2018,Schleswig-Holstein 2019,Schleswig-Holstein 2020,Schleswig-Holstein 2021,Schleswig-Holstein Covid-19 2020,Schleswig-Holstein Covid-19 2021,Schleswig-Holstein Ø2016-19,Thüringen 2016,Thüringen 2017,Thüringen 2018,Thüringen 2019,Thüringen 2020,Thüringen 2021,Thüringen Covid-19 2020,Thüringen Covid-19 2021,Thüringen Ø2016-19
21,1877,1930,1939,2078,2007,2017,45,88,1956,2293,2278,2450,2555,2450,2434,75,96,2394,566,593,632,629,669,627,5,19,605,583,555,571,610,559,603,5,14,580,143,160,130,122,127,128,5,2,139,16286,16451,16513,17080,17163,17154,274,688,16582,299,322,319,346,331,321,8,9,322,1110,1162,1111,1208,1246,1202,20,67,1148,368,412,364,386,408,391,0,7,382,1684,1678,1646,1672,1688,1720,31,47,1670,3632,3630,3606,3637,3791,3759,42,147,3626,853,872,832,840,867,875,7,26,849,211,248,225,263,243,217,5,6,237,598,585,577,560,596,618,2,26,580,963,933,1004,1016,1011,1029,9,82,979,599,592,597,626,638,687,5,16,604,507,501,510,532,532,526,11,37,512
22,1878,1925,1914,2008,1895,2157,31,52,1931,2236,2504,2339,2400,2431,2490,37,62,2370,609,608,646,642,620,674,8,11,626,597,568,623,555,556,697,0,9,586,170,147,147,135,169,154,2,2,150,16346,16902,17039,16921,16776,18159,151,469,16802,315,320,343,280,313,361,2,8,314,1248,1208,1133,1222,1248,1287,13,38,1203,396,392,400,416,416,419,0,5,401,1656,1622,1736,1656,1706,1934,12,32,1668,3597,3763,3862,3760,3695,3906,21,99,3746,818,894,863,851,889,910,0,23,856,215,234,221,261,217,266,2,5,233,572,592,638,582,575,680,2,23,596,905,943,1029,1006,923,977,4,65,971,579,651,627,600,602,664,5,6,614,555,531,518,547,521,583,11,29,538
23,1916,1806,2030,2008,2018,2071,18,42,1940,2302,2294,2479,2497,2508,2372,27,39,2393,558,597,613,653,637,679,2,10,605,525,575,531,608,612,620,2,10,560,152,144,138,153,143,150,2,2,147,15799,15846,16714,17491,17262,17402,115,287,16462,284,313,310,343,331,361,2,4,312,1163,1124,1148,1213,1215,1239,10,21,1162,347,349,381,417,389,428,0,4,374,1584,1593,1630,1721,1822,1744,6,17,1632,3426,3431,3671,3824,3788,3839,29,73,3588,798,767,827,870,880,797,2,7,816,242,242,249,260,218,272,2,4,248,509,576,570,678,589,609,2,9,583,890,936,1034,1067,1016,1029,5,28,982,621,600,598,665,590,641,2,6,621,482,499,505,514,506,551,5,10,500
24,1804,1836,1788,1927,1884,2232,12,39,1839,2249,2368,2249,2255,2396,2576,15,36,2280,595,605,592,664,668,698,2,4,614,534,560,538,584,612,648,2,4,554,135,139,135,154,139,134,5,2,141,15717,16087,15582,16484,16601,19039,74,232,15968,339,267,317,304,302,384,2,4,307,1124,1153,1097,1167,1196,1367,2,21,1135,333,333,373,370,409,481,0,2,352,1597,1535,1552,1682,1649,1967,7,20,1592,3499,3630,3385,3562,3656,4233,15,44,3519,798,815,827,846,762,1007,2,9,822,239,228,220,216,235,289,2,0,226,520,539,567,599,584,648,2,9,556,898,944,893,1016,965,1055,2,32,938,570,602,582,592,617,738,4,2,586,483,533,467,546,527,582,6,6,507
25,2025,2023,1812,1967,1932,2017,5,19,1957,2385,2413,2266,2386,2289,2504,14,20,2362,620,557,614,641,614,692,2,7,608,583,569,518,598,593,613,2,2,567,129,143,147,145,158,148,0,2,141,16910,16819,15843,16639,16401,17174,52,134,16553,324,306,306,275,339,318,0,2,303,1174,1200,1089,1148,1169,1197,6,8,1153,389,364,369,397,382,437,0,2,380,1688,1699,1585,1705,1629,1685,7,7,1669,3713,3764,3480,3557,3617,3794,9,34,3628,836,895,811,866,797,828,0,2,852,245,248,246,262,225,217,2,0,250,640,549,579,566,557,620,2,2,584,989,975,916,988,944,995,0,15,967,637,589,618,643,636,606,0,2,622,533,525,487,495,520,503,5,9,510
26,1914,1915,1935,2162,2017,1935,6,10,1982,2252,2446,2379,2449,2364,2364,8,14,2382,588,580,553,648,662,632,2,2,592,557,523,574,617,595,625,0,2,568,118,145,132,123,161,153,2,2,130,15699,16076,16569,17918,17293,16977,56,94,16566,287,305,320,333,340,360,2,2,311,1089,1166,1182,1272,1155,1217,2,8,1177,341,336,396,416,404,404,0,4,372,1544,1572,1671,1752,1717,1708,6,6,1635,3490,3451,3633,4149,3905,3771,23,26,3681,759,833,910,892,920,851,2,2,848,222,235,237,273,218,227,2,2,242,542,545,577,599,647,580,2,0,566,944,901,901,1077,990,971,2,11,956,557,600,632,647,676,649,0,2,609,495,523,537,509,522,530,0,2,516
27,1920,1981,1979,2111,1853,1975,4,5,1998,2300,2291,2414,2389,2313,2454,6,12,2348,576,556,606,603,608,656,2,0,585,523,532,527,569,591,648,2,2,538,131,136,136,126,155,164,2,0,132,16229,16424,16622,16552,16457,16945,45,59,16457,297,336,323,300,308,292,0,2,314,1124,1185,1163,1109,1143,1152,2,8,1145,380,354,395,361,413,413,0,0,372,1697,1631,1686,1631,1634,1758,8,2,1661,3666,3637,3638,3530,3688,3728,15,18,3618,851,886,830,856,815,851,0,2,856,242,268,245,259,222,239,2,2,254,566,590,582,531,620,598,0,2,567,948,954,976,1028,956,895,2,4,976,531,594,614,639,650,641,0,2,594,477,493,508,510,488,481,2,2,497
28,1824,1767,1822,1899,1909,1991,2,5,1828,2301,2154,2309,2272,2321,2381,10,8,2259,580,588,562,623,599,667,2,2,588,533,514,540,583,582,675,0,2,542,137,140,139,131,146,140,0,0,137,16172,15603,16070,16319,16142,17612,29,58,16041,306,291,289,285,301,341,0,4,293,1122,1072,1118,1158,1123,1282,2,9,1118,382,350,367,386,356,431,0,0,371,1628,1592,1682,1676,1547,1782,2,4,1644,3740,3444,3567,3598,3490,3866,7,16,3587,846,805,808,841,843,1029,2,2,825,201,237,248,231,242,232,0,0,229,578,596,549,553,567,618,0,2,569,947,976,958,973,1012,991,0,4,964,545,563,601,630,581,664,2,0,585,502,514,511,480,523,522,2,2,502
29,2011,1951,1944,1985,1823,2140,2,9,1973,2492,2376,2350,2423,2390,2516,4,12,2410,599,566,592,594,630,629,2,2,588,514,566,552,563,607,632,0,2,549,158,157,147,139,154,138,0,2,150,16985,16589,16702,16856,16537,17569,25,61,16783,331,337,295,308,317,336,0,2,318,1201,1162,1161,1216,1152,1321,2,2,1185,379,385,361,408,392,420,0,2,383,1645,1634,1620,1682,1701,1755,2,2,1645,3899,3674,3871,3646,3602,3826,10,15,3772,866,909,853,871,839,935,2,2,875,224,217,236,253,225,256,0,0,232,603,609,609,600,596,583,0,0,605,971,913,986,989,1001,966,0,6,965,622,605,648,650,625,603,2,2,631,470,528,477,529,483,513,2,2,501
30,1881,1958,2058,2296,1967,1993,8,2,2048,2276,2259,2329,2748,2392,2475,2,6,2403,607,583,686,646,667,663,2,2,630,563,556,629,625,610,601,0,2,593,153,125,153,178,129,130,0,0,152,16157,16058,18340,19630,16887,17196,32,39,17546,307,312,350,336,329,352,0,2,326,1119,1132,1285,1385,1235,1215,2,4,1230,342,378,408,407,404,394,0,0,384,1623,1567,2016,1897,1648,1756,2,2,1776,3548,3575,4283,4883,3676,3758,13,10,4072,805,800,960,1023,826,867,0,2,897,232,222,267,280,244,234,0,0,250,599,544,632,634,572,633,2,2,602,1040,925,1014,1069,1005,957,0,4,1012,559,620,712,623,642,654,0,2,628,503,502,558,600,541,514,0,2,541
