"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","Datum","totrel"
"Cuxhaven","Landkreis","Niedersachsen",198826,223,0,"de-ni-03352000","29.4.2022",112
"Harburg","Landkreis","Niedersachsen",256016,187,0,"de-ni-03353000","29.4.2022",73
"Lüchow-Dannenberg","Landkreis","Niedersachsen",48503,32,0,"de-ni-03354000","29.4.2022",66
"Lüneburg","Landkreis","Niedersachsen",184235,102,0,"de-ni-03355000","29.4.2022",55
"Osterholz","Landkreis","Niedersachsen",114640,83,0,"de-ni-03356000","29.4.2022",72
"Rotenburg (Wümme)","Landkreis","Niedersachsen",164486,142,0,"de-ni-03357000","29.4.2022",86
"Heidekreis","Landkreis","Niedersachsen",140885,172,0,"de-ni-03358000","29.4.2022",122
"Stade","Landkreis","Niedersachsen",205357,194,0,"de-ni-03359000","29.4.2022",94
"Uelzen","Landkreis","Niedersachsen",92566,161,1,"de-ni-03360000","29.4.2022",174
"Verden","Landkreis","Niedersachsen",137574,145,0,"de-ni-03361000","29.4.2022",105
"Delmenhorst","Kreisfreie Stadt","Niedersachsen",77503,90,0,"de-ni-03401000","29.4.2022",116
"Emden","Kreisfreie Stadt","Niedersachsen",49874,40,0,"de-ni-03402000","29.4.2022",80
"Oldenburg (Oldb)","Kreisfreie Stadt","Niedersachsen",169605,60,0,"de-ni-03403000","29.4.2022",35
"Osnabrück","Kreisfreie Stadt","Niedersachsen",164223,149,0,"de-ni-03404000","29.4.2022",91
"Wilhelmshaven","Kreisfreie Stadt","Niedersachsen",75189,104,1,"de-ni-03405000","29.4.2022",138
"Ammerland","Landkreis","Niedersachsen",125643,88,0,"de-ni-03451000","29.4.2022",70
"Aurich","Landkreis","Niedersachsen",190178,143,1,"de-ni-03452000","29.4.2022",75
"Cloppenburg","Landkreis","Niedersachsen",172632,217,2,"de-ni-03453000","29.4.2022",126
"Emsland","Landkreis","Niedersachsen",328930,284,0,"de-ni-03454000","29.4.2022",86
"Friesland","Landkreis","Niedersachsen",98971,60,0,"de-ni-03455000","29.4.2022",61
"Grafschaft Bentheim","Landkreis","Niedersachsen",137891,168,1,"de-ni-03456000","29.4.2022",122
"Leer","Landkreis","Niedersachsen",171483,108,0,"de-ni-03457000","29.4.2022",63
"Oldenburg","Landkreis","Niedersachsen",131467,145,0,"de-ni-03458000","29.4.2022",110
"Osnabrück","Landkreis","Niedersachsen",359471,417,0,"de-ni-03459000","29.4.2022",116
"Vechta","Landkreis","Niedersachsen",143698,102,0,"de-ni-03460000","29.4.2022",71
"Wesermarsch","Landkreis","Niedersachsen",88524,150,0,"de-ni-03461000","29.4.2022",169
"Wittmund","Landkreis","Niedersachsen",57384,54,0,"de-ni-03462000","29.4.2022",94
"Bremen","Kreisfreie Stadt","Bremen",566573,575,0,"de-ni-04011000","29.4.2022",101
"Bremerhaven","Kreisfreie Stadt","Bremen",113557,174,0,"de-hb-04012000","29.4.2022",153
"Düsseldorf","Kreisfreie Stadt","Nordrhein-Westfalen",620523,845,1,"de-nw-05111000","29.4.2022",136
"Duisburg","Kreisfreie Stadt","Nordrhein-Westfalen",495885,895,0,"de-nw-05112000","29.4.2022",180
"Essen","Kreisfreie Stadt","Nordrhein-Westfalen",582415,759,1,"de-nw-05113000","29.4.2022",130
"Krefeld","Kreisfreie Stadt","Nordrhein-Westfalen",226844,270,2,"de-nw-05114000","29.4.2022",119
"Mönchengladbach","Kreisfreie Stadt","Nordrhein-Westfalen",259665,329,1,"de-nw-05116000","29.4.2022",127
"Mülheim an der Ruhr","Kreisfreie Stadt","Nordrhein-Westfalen",170921,344,0,"de-nw-05117000","29.4.2022",201
"Oberhausen","Kreisfreie Stadt","Nordrhein-Westfalen",209566,462,1,"de-nw-05119000","29.4.2022",220
"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen",111516,268,0,"de-nw-05120000","29.4.2022",240
"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen",159193,297,0,"de-nw-05122000","29.4.2022",187
"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen",355004,642,0,"de-nw-05124000","29.4.2022",181
"Kleve","Kreis","Nordrhein-Westfalen",313586,343,0,"de-nw-05154000","29.4.2022",109
"Mettmann","Kreis","Nordrhein-Westfalen",484322,987,0,"de-nw-05158000","29.4.2022",204
"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen",452001,537,2,"de-nw-05162000","29.4.2022",119
"Viersen","Kreis","Nordrhein-Westfalen",298536,376,0,"de-nw-05166000","29.4.2022",126
"Wesel","Kreis","Nordrhein-Westfalen",460113,404,0,"de-nw-05170000","29.4.2022",88
"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen",330579,388,0,"de-nw-05314000","29.4.2022",117
"Köln","Kreisfreie Stadt","Nordrhein-Westfalen",1083498,1045,0,"de-nw-05315000","29.4.2022",96
"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen",163905,173,1,"de-nw-05316000","29.4.2022",106
"Städteregion Aachen","Kreis","Nordrhein-Westfalen",556631,829,0,"de-nw-05334000","29.4.2022",149
"Düren","Kreis","Nordrhein-Westfalen",265140,419,1,"de-nw-05358000","29.4.2022",158
"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen",469611,551,0,"de-nw-05362000","29.4.2022",117
"Euskirchen","Kreis","Nordrhein-Westfalen",194359,309,0,"de-nw-05366000","29.4.2022",159
"Heinsberg","Kreis","Nordrhein-Westfalen",256458,487,0,"de-nw-05370000","29.4.2022",190
"Oberbergischer Kreis","Kreis","Nordrhein-Westfalen",271699,427,0,"de-nw-05374000","29.4.2022",157
"Rheinisch-Bergischer Kreis","Kreis","Nordrhein-Westfalen",283275,243,0,"de-nw-05378000","29.4.2022",86
"Rhein-Sieg-Kreis","Kreis","Nordrhein-Westfalen",600375,761,0,"de-nw-05382000","29.4.2022",127
"Bottrop","Kreisfreie Stadt","Nordrhein-Westfalen",117388,172,0,"de-nw-05512000","29.4.2022",147
"Gelsenkirchen","Kreisfreie Stadt","Nordrhein-Westfalen",259105,564,0,"de-nw-05513000","29.4.2022",218
"Münster","Kreisfreie Stadt","Nordrhein-Westfalen",316403,200,0,"de-nw-05515000","29.4.2022",63
"Borken","Kreis","Nordrhein-Westfalen",371898,435,0,"de-nw-05554000","29.4.2022",117
"Coesfeld","Kreis","Nordrhein-Westfalen",220712,130,0,"de-nw-05558000","29.4.2022",59
"Recklinghausen","Kreis","Nordrhein-Westfalen",613599,1272,0,"de-nw-05562000","29.4.2022",207
"Steinfurt","Kreis","Nordrhein-Westfalen",448197,465,1,"de-nw-05566000","29.4.2022",104
"Warendorf","Kreis","Nordrhein-Westfalen",277417,340,0,"de-nw-05570000","29.4.2022",123
"Bielefeld","Kreisfreie Stadt","Nordrhein-Westfalen",333509,546,1,"de-nw-05711000","29.4.2022",164
"Gütersloh","Kreis","Nordrhein-Westfalen",364818,457,0,"de-nw-05754000","29.4.2022",125
"Herford","Kreis","Nordrhein-Westfalen",250547,325,0,"de-nw-05758000","29.4.2022",130
"Höxter","Kreis","Nordrhein-Westfalen",139729,199,0,"de-nw-05762000","29.4.2022",142
"Lippe","Kreis","Nordrhein-Westfalen",346970,576,0,"de-nw-05766000","29.4.2022",166
"Minden-Lübbecke","Kreis","Nordrhein-Westfalen",310270,453,0,"de-nw-05770000","29.4.2022",146
"Paderborn","Kreis","Nordrhein-Westfalen",308335,216,0,"de-nw-05774000","29.4.2022",70
"Bochum","Kreisfreie Stadt","Nordrhein-Westfalen",364454,419,0,"de-nw-05911000","29.4.2022",115
"Dortmund","Kreisfreie Stadt","Nordrhein-Westfalen",587696,534,1,"de-nw-05913000","29.4.2022",91
"Hagen","Kreisfreie Stadt","Nordrhein-Westfalen",188687,472,1,"de-nw-05914000","29.4.2022",250
"Hamm","Kreisfreie Stadt","Nordrhein-Westfalen",178967,281,0,"de-nw-05915000","29.4.2022",157
"Herne","Kreisfreie Stadt","Nordrhein-Westfalen",156940,359,0,"de-nw-05916000","29.4.2022",229
"Ennepe-Ruhr-Kreis","Kreis","Nordrhein-Westfalen",323130,539,1,"de-nw-05954000","29.4.2022",167
"Hochsauerlandkreis","Kreis","Nordrhein-Westfalen",259030,267,0,"de-nw-05958000","29.4.2022",103
"Märkischer Kreis","Kreis","Nordrhein-Westfalen",408662,623,1,"de-nw-05962000","29.4.2022",152
"Olpe","Kreis","Nordrhein-Westfalen",133362,202,0,"de-nw-05966000","29.4.2022",151
"Siegen-Wittgenstein","Kreis","Nordrhein-Westfalen",275491,266,0,"de-nw-05970000","29.4.2022",97
"Soest","Kreis","Nordrhein-Westfalen",301016,354,0,"de-nw-05974000","29.4.2022",118
"Unna","Kreis","Nordrhein-Westfalen",393618,653,0,"de-nw-05978000","29.4.2022",166
"Darmstadt","Kreisfreie Stadt","Hessen",159174,205,1,"de-he-06411000","29.4.2022",129
"Frankfurt am Main","Kreisfreie Stadt","Hessen",764104,1207,1,"de-he-06412000","29.4.2022",158
"Offenbach am Main","Kreisfreie Stadt","Hessen",130892,266,1,"de-he-06413000","29.4.2022",203
"Wiesbaden","Kreisfreie Stadt","Hessen",278609,395,1,"de-he-06414000","29.4.2022",142
"Bergstraße","Landkreis","Hessen",271015,450,0,"de-he-06431000","29.4.2022",166
"Darmstadt-Dieburg","Landkreis","Hessen",297701,426,1,"de-he-06432000","29.4.2022",143
"Groß-Gerau","Landkreis","Hessen",275807,374,0,"de-he-06433000","29.4.2022",136
"Hochtaunuskreis","Landkreis","Hessen",237281,265,0,"de-he-06434000","29.4.2022",112
"Main-Kinzig-Kreis","Landkreis","Hessen",421689,845,1,"de-he-06435000","29.4.2022",200
"Main-Taunus-Kreis","Landkreis","Hessen",239264,298,0,"de-he-06436000","29.4.2022",125
"Odenwaldkreis","Landkreis","Hessen",96754,223,1,"de-he-06437000","29.4.2022",230
"Offenbach","Landkreis","Hessen",356542,751,0,"de-he-06438000","29.4.2022",211
"Rheingau-Taunus-Kreis","Landkreis","Hessen",187433,217,0,"de-he-06439000","29.4.2022",116
"Wetteraukreis","Landkreis","Hessen",310353,639,0,"de-he-06440000","29.4.2022",206
"Gießen","Landkreis","Hessen",271667,409,0,"de-he-06531000","29.4.2022",151
"Lahn-Dill-Kreis","Landkreis","Hessen",253373,309,1,"de-he-06532000","29.4.2022",122
"Limburg-Weilburg","Landkreis","Hessen",172291,350,0,"de-he-06533000","29.4.2022",203
"Marburg-Biedenkopf","Landkreis","Hessen",245903,344,0,"de-he-06534000","29.4.2022",140
"Vogelsbergkreis","Landkreis","Hessen",105506,123,0,"de-he-06535000","29.4.2022",117
"Kassel","Kreisfreie Stadt","Hessen",201048,264,1,"de-he-06611000","29.4.2022",131
"Fulda","Landkreis","Hessen",223023,384,0,"de-he-06631000","29.4.2022",172
"Hersfeld-Rotenburg","Landkreis","Hessen",120304,220,1,"de-he-06632000","29.4.2022",183
"Kassel","Landkreis","Hessen",237007,284,3,"de-he-06633000","29.4.2022",120
"Schwalm-Eder-Kreis","Landkreis","Hessen",179840,282,1,"de-he-06634000","29.4.2022",157
"Waldeck-Frankenberg","Landkreis","Hessen",156528,179,0,"de-he-06635000","29.4.2022",114
"Werra-Meißner-Kreis","Landkreis","Hessen",100046,206,0,"de-he-06636000","29.4.2022",206
"Koblenz","Kreisfreie Stadt","Rheinland-Pfalz",113388,184,0,"de-rp-07111000","29.4.2022",162
"Ahrweiler","Landkreis","Rheinland-Pfalz",130479,93,0,"de-rp-07131000","29.4.2022",71
"Altenkirchen (Westerwald)","Landkreis","Rheinland-Pfalz",129087,138,0,"de-rp-07132000","29.4.2022",107
"Bad Kreuznach","Landkreis","Rheinland-Pfalz",158746,175,0,"de-rp-07133000","29.4.2022",110
"Birkenfeld","Landkreis","Rheinland-Pfalz",80830,146,0,"de-rp-07134000","29.4.2022",181
"Cochem-Zell","Landkreis","Rheinland-Pfalz",61578,93,0,"de-rp-07135000","29.4.2022",151
"Mayen-Koblenz","Landkreis","Rheinland-Pfalz",214786,228,1,"de-rp-07137000","29.4.2022",106
"Neuwied","Landkreis","Rheinland-Pfalz",183131,241,0,"de-rp-07138000","29.4.2022",132
"Rhein-Hunsrück-Kreis","Landkreis","Rheinland-Pfalz",103401,126,0,"de-rp-07140000","29.4.2022",122
"Rhein-Lahn-Kreis","Landkreis","Rheinland-Pfalz",122574,119,0,"de-rp-07141000","29.4.2022",97
"Westerwaldkreis","Landkreis","Rheinland-Pfalz",202830,234,0,"de-rp-07143000","29.4.2022",115
"Trier","Kreisfreie Stadt","Rheinland-Pfalz",110674,59,0,"de-rp-07211000","29.4.2022",53
"Bernkastel-Wittlich","Landkreis","Rheinland-Pfalz",112685,109,3,"de-rp-07231000","29.4.2022",97
"Eifelkreis Bitburg-Prüm","Landkreis","Rheinland-Pfalz",100055,52,1,"de-rp-07232000","29.4.2022",52
"Vulkaneifel","Landkreis","Rheinland-Pfalz",60491,84,0,"de-rp-07233000","29.4.2022",139
"Trier-Saarburg","Landkreis","Rheinland-Pfalz",150533,134,0,"de-rp-07235000","29.4.2022",89
"Frankenthal (Pfalz)","Kreisfreie Stadt","Rheinland-Pfalz",48750,88,1,"de-rp-07311000","29.4.2022",181
"Kaiserslautern","Kreisfreie Stadt","Rheinland-Pfalz",99662,204,1,"de-rp-07312000","29.4.2022",205
"Landau in der Pfalz","Kreisfreie Stadt","Rheinland-Pfalz",46685,64,0,"de-rp-07313000","29.4.2022",137
"Ludwigshafen am Rhein","Kreisfreie Stadt","Rheinland-Pfalz",172557,415,0,"de-rp-07314000","29.4.2022",241
"Mainz","Kreisfreie Stadt","Rheinland-Pfalz",217123,256,0,"de-rp-07315000","29.4.2022",118
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz",53306,63,0,"de-rp-07316000","29.4.2022",118
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz",40176,93,0,"de-rp-07317000","29.4.2022",231
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz",50741,115,0,"de-rp-07318000","29.4.2022",227
"Worms","Kreisfreie Stadt","Rheinland-Pfalz",83459,136,1,"de-rp-07319000","29.4.2022",163
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz",34001,26,0,"de-rp-07320000","29.4.2022",76
"Alzey-Worms","Landkreis","Rheinland-Pfalz",130715,189,1,"de-rp-07331000","29.4.2022",145
"Bad Dürkheim","Landkreis","Rheinland-Pfalz",133004,217,0,"de-rp-07332000","29.4.2022",163
"Donnersbergkreis","Landkreis","Rheinland-Pfalz",75539,107,0,"de-rp-07333000","29.4.2022",142
"Germersheim","Landkreis","Rheinland-Pfalz",129006,205,1,"de-rp-07334000","29.4.2022",159
"Kaiserslautern","Landkreis","Rheinland-Pfalz",106320,147,0,"de-rp-07335000","29.4.2022",138
"Kusel","Landkreis","Rheinland-Pfalz",70105,103,0,"de-rp-07336000","29.4.2022",147
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz",110783,165,0,"de-rp-07337000","29.4.2022",149
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz",154754,279,0,"de-rp-07338000","29.4.2022",180
"Mainz-Bingen","Landkreis","Rheinland-Pfalz",211525,290,0,"de-rp-07339000","29.4.2022",137
"Südwestpfalz","Landkreis","Rheinland-Pfalz",94912,131,0,"de-rp-07340000","29.4.2022",138
"Stuttgart","Stadtkreis","Baden-Württemberg",630305,669,1,"de-bw-08111000","29.4.2022",106
"Böblingen","Landkreis","Baden-Württemberg",392898,460,0,"de-bw-08115000","29.4.2022",117
"Esslingen","Landkreis","Baden-Württemberg",533617,802,2,"de-bw-08116000","29.4.2022",150
"Göppingen","Landkreis","Baden-Württemberg",258781,386,0,"de-bw-08117000","29.4.2022",149
