nachname,vorname,status,beruf,partei,parlament,bundesland
Bätzing-Lichtenthäler,Sabine,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Dittmar,Sabine,aktiv,MdB,SPD,Bundestag,Bayern
Graf,Sabine,extern,stellvertretende Vorsitzende des DGB Nordrhein-Westfalen,CDU,Landtag,Nordrhein-Westfalen
Grützmacher,Sabine,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Hartmann-Müller,Sabine,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Poschmann,Sabine,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Sütterlin-Waack,Sabine,extern,Landesministerin,CDU,Landtag,Schleswig-Holstein
Tippelt,Sabine,aktiv,MdL,SPD,Landtag,Niedersachsen
Verheyen,Sabine,extern,Europaabgeordnete,CDU,Landtag,Nordrhein-Westfalen
Weiss,Sabine,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Wagenknecht,Sahra,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen
Abdi,Sanae,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Bubendorfer-Licht,Sandra,aktiv,MdB,FDP,Bundestag,Bayern
Ciesek,Sandra,extern,Virologin,Grüne,Landtag,Hessen
Detzer,Sandra,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Hietel,Sandra,aktiv,MdL,CDU,Landtag,Sachsen-Anhalt
Weeser,Sandra,aktiv,MdB,FDP,Bundestag,Rheinland-Pfalz
Kirchner,Sandro,aktiv,MdL,CSU,Landtag,Bayern
Nanni,Sara,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Buddeberg,Sarah,aktiv,MdL,Linke,Landtag,Sachsen
Lahrkamp,Sarah,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Philipp,Sarah,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Ryglewski,Sarah,aktiv,MdB,SPD,Bundestag,Bremen
Schweizer,Sarah,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Röser,Sarna,extern,Unternehmerin,CDU,Landtag,Baden-Württemberg
Stanišic,Saša,extern,Schriftsteller,Grüne,Landtag,Baden-Württemberg
Binder,Sascha,aktiv,MdL,SPD,Landtag,Baden-Württemberg
Müller,Sascha,aktiv,MdB,Grüne,Bundestag,Bayern
Esken,Saskia,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Weishaupt,Saskia,aktiv,MdB,Grüne,Bundestag,Bayern
Gambir,Schahina,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Brehm,Sebastian,aktiv,MdB,CSU,Bundestag,Bayern
Czaja,Sebastian,aktiv,MdL,FDP,Landtag,Berlin
Fiedler,Sebastian,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Hartmann,Sebastian,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Lechner,Sebastian,aktiv,MdL,CDU,Landtag,Niedersachsen
Münzenmaier,Sebastian,aktiv,MdB,AfD,Bundestag,Rheinland-Pfalz
Roloff,Sebastian,aktiv,MdB,SPD,Bundestag,Bayern
Schäfer,Sebastian,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Schaub,Sebastian,extern,Landesvorsitzender von Bündnis 90/Die Grünen Hessen,Grüne,Landtag,Hessen
Walter,Sebastian,aktiv,MdL,Linke,Landtag,Brandenburg
Wippel,Sebastian,aktiv,MdL,AfD,Landtag,Sachsen
Basay-Yildiz,Seda,extern,Anwältin von Nebenklägerin im NSU-Prozess,Linke,Landtag,Hessen
Simsek-Demirtas,Semiya,extern,Angehörige eines NSU-Opfers,Linke,Landtag,Thüringen
Müller,Sepp,aktiv,MdB,CDU,Bundestag,Sachsen-Anhalt
Güler,Serap,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Midyatli,Serpil,aktiv,MdL,SPD,Landtag,Schleswig-Holstein
Temiz-Unvar,Serpil,extern,Angehörige eines Opfers des Anschlags in Hanau 2020,Grüne,Landtag,Hessen
Dagdelen,Sevim,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen
Reeves,Shary,extern,Journalistin,SPD,Landtag,Nordrhein-Westfalen
Kekilli,Sibel,extern,Schauspielerin,Grüne,Landtag,Baden-Württemberg
Borgwardt,Siegfried,aktiv,MdL,CDU,Landtag,Sachsen-Anhalt
Möller,Siemtje,aktiv,MdB,SPD,Bundestag,Niedersachsen
Erfurth,Sigrid,extern,Landesvorsitzende von Bündnis 90/Die Grünen Hessen,Grüne,Landtag,Hessen
Gebel,Silke,aktiv,MdL,Grüne,Landtag,Berlin
Gericke,Silke,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Launert,Silke,aktiv,MdB,CSU,Bundestag,Bayern
Breher,Silvia,aktiv,MdB,CDU,Bundestag,Niedersachsen
Koß,Simona,aktiv,MdB,SPD,Bundestag,Brandenburg
Borchardt,Simone,aktiv,MdB,CDU,Bundestag,Mecklenburg-Vorpommern
Oldenburg,Simone,aktiv,MdL,Linke,Landtag,Mecklenburg-Vorpommern
Strohmayr,Simone,aktiv,MdL,SPD,Landtag,Bayern
Eichwede,Sonja,aktiv,MdB,SPD,Bundestag,Brandenburg
Rix,Sönke,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Passmann,Sophie,extern,Autorin,SPD,Landtag,Nordrhein-Westfalen
Bartol,Sören,aktiv,MdB,SPD,Bundestag,Hessen
Pellmann,Sören,aktiv,MdB,Linke,Bundestag,Sachsen
Tillich,Stanislaw,extern,Ministerpräsident a. D.,CDU,Landtag,Sachsen
Birkner,Stefan,aktiv,MdL,FDP,Landtag,Niedersachsen
Gebhardt,Stefan,aktiv,MdL,Linke,Landtag,Sachsen-Anhalt
Gelbhaar,Stefan,aktiv,MdB,Grüne,Bundestag,Berlin
Hartung,Stefan,extern,Manager,Grüne,Landtag,Baden-Württemberg
Heck,Stefan,aktiv,MdB,CDU,Bundestag,Hessen
Keuter,Stefan,aktiv,MdB,AfD,Bundestag,Nordrhein-Westfalen
Lenzen,Stefan,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Müller,Stefan,aktiv,MdB,CSU,Bundestag,Bayern
Naas,Stefan,aktiv,MdL,FDP,Landtag,Hessen
Nacke,Stefan,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Rouenhoff,Stefan,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Ruppert,Stefan,extern,ehemaliger Bundes- und Landtagsabgeordneter,FDP,Landtag,Hessen
Schmidt,Stefan,aktiv,MdB,Grüne,Bundestag,Bayern
Schwartze,Stefan,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Seidler,Stefan,aktiv,MdB,SSW,Bundestag,Schleswig-Holstein
Weber,Stefan,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Wenzel,Stefan,aktiv,MdB,Grüne,Bundestag,Niedersachsen
Wirtz,Stefan,aktiv,MdL,fraktionslos,Landtag,Niedersachsen
Zierke,Stefan,aktiv,MdB,SPD,Bundestag,Brandenburg
Seemann,Stefanie,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Bilger,Steffen,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Dittes,Steffen,aktiv,MdL,Linke,Landtag,Thüringen
Jäger,Steffen,extern,Hauptgeschäftsführer des Gemeindetags Baden-Württemberg,CDU,Landtag,Baden-Württemberg
Janich,Steffen,aktiv,MdB,AfD,Bundestag,Sachsen
Kotré,Steffen,aktiv,MdB,AfD,Bundestag,Brandenburg
Lemke,Steffi,aktiv,MdB,Grüne,Bundestag,Sachsen-Anhalt
Albani,Stephan,aktiv,MdB,CDU,Bundestag,Niedersachsen
Brandner,Stephan,aktiv,MdB,AfD,Bundestag,Thüringen
Holthoff-Pförtner,Stephan,extern,Landesminister,CDU,Landtag,Nordrhein-Westfalen
Mayer,Stephan,aktiv,MdB,CSU,Bundestag,Bayern
Pilsinger,Stephan,aktiv,MdB,CSU,Bundestag,Bayern
Protschka,Stephan,aktiv,MdB,AfD,Bundestag,Bayern
Seiter,Stephan,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Stracke,Stephan,aktiv,MdB,CSU,Bundestag,Bayern
Thomae,Stephan,aktiv,MdB,FDP,Bundestag,Bayern
Wefelscheid,Stephan,aktiv,MdL,Freie Wähler,Landtag,Rheinland-Pfalz
Weil,Stephan,aktiv,MdL,SPD,Landtag,Niedersachsen
Aeffner,Stephanie,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Brauer,Stephen,aktiv,MdL,FDP/DVP,Landtag,Baden-Württemberg
Leithoff,Susan,aktiv,MdL,CDU,Landtag,Sachsen
Enders,Susann,aktiv,MdL,Freie Wähler,Landtag,Bayern
Bay,Susanne,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Ferschl,Susanne,aktiv,MdB,Linke,Bundestag,Bayern
Hennig-Wellsow,Susanne,aktiv,MdB,Linke,Bundestag,Thüringen
Hierl,Susanne,aktiv,MdB,CSU,Bundestag,Bayern
Menge,Susanne,aktiv,MdB,Grüne,Bundestag,Niedersachsen
Mittag,Susanne,aktiv,MdB,SPD,Bundestag,Niedersachsen
Rode-Breymann,Susanne,extern,Präsidentin der Hochschule für Musik,FDP,Landtag,Niedersachsen
Schaper,Susanne,aktiv,MdL,Linke,Landtag,Sachsen
Schneider,Susanne,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Wingertszahn,Susanne,extern,DGB-Landesvorsitzende,SPD,Landtag,Rheinland-Pfalz
Kindler,Sven-Christian,aktiv,MdB,Grüne,Bundestag,Niedersachsen
Lehmann,Sven,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Wolf,Sven,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Kirmes,Svend-Gunnar,aktiv,MdL,CDU,Landtag,Sachsen
Schulze,Svenja,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Stadler,Svenja,aktiv,MdB,SPD,Bundestag,Niedersachsen
Michaelsen,Swantje Henrike,aktiv,MdB,Grüne,Bundestag,Niedersachsen
Sperling,Swantje,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Lehmann,Sylvia,aktiv,MdB,SPD,Bundestag,Brandenburg
Rößner,Tabea,aktiv,MdB,Grüne,Bundestag,Rheinland-Pfalz
Ali,Takis Mehmet,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Machalet,Tanja,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Schorer-Dremel,Tanja,aktiv,MdL,CSU,Landtag,Bayern
Al-Wazir,Tarek,aktiv,MdL,Grüne,Landtag,Hessen
Maier-Keil,Tatjana,aktiv,MdL,CDU,Landtag,Niedersachsen
Keltek,Tayfun,extern,ehemaliger Landtagsabgeordneter,SPD,Landtag,Nordrhein-Westfalen
Ganserer,Tessa,aktiv,MdB,Grüne,Bundestag,Bayern
Uhlmann,Thees,extern,Musiker,SPD,Landtag,Niedersachsen
Waigel,Theodor,extern,Bundesminister a. D.,CSU,Landtag,Bayern
Bareiß,Thomas,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Dietz,Thomas,aktiv,MdB,AfD,Bundestag,Sachsen
Ehbrecht,Thomas,aktiv,MdL,CDU,Landtag,Niedersachsen
Ehrhorn,Thomas,aktiv,MdB,AfD,Bundestag,Niedersachsen
Erndl,Thomas,aktiv,MdB,CSU,Bundestag,Bayern
Gebhart,Thomas,aktiv,MdB,CDU,Bundestag,Rheinland-Pfalz
Gehring,Thomas,aktiv,MdL,Grüne,Landtag,Bayern
Hacker,Thomas,aktiv,MdB,FDP,Bundestag,Bayern
Heilmann,Thomas,aktiv,MdB,CDU,Bundestag,Berlin
Hentschel,Thomas,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Hitschler,Thomas,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Huber,Thomas,aktiv,MdL,CSU,Landtag,Bayern
Hunsteger-Petermann,Thomas,extern,Oberbürgermeister von Hamm a. D.,CDU,Landtag,Nordrhein-Westfalen
Jarzombek,Thomas,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Jung,Thomas,extern,ehemaliger Landtagsabgeordneter,AfD,Landtag,Brandenburg
Kreuzer,Thomas,aktiv,MdL,CSU,Landtag,Bayern
Kutschaty,Thomas,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Kemmerich,Thomas L.,aktiv,MdL,FDP,Landtag,Thüringen
Losse-Müller,Thomas,extern,designierter Spitzenkandidat für die Landtagswahl 2022,SPD,Landtag,Schleswig-Holstein
Lutze,Thomas,aktiv,MdB,Linke,Bundestag,Saarland
Nückel,Thomas,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Pilz,Thomas,extern,Kommunalpolitiker in Görlitz,Grüne,Landtag,Sachsen
Postel,Thomas,extern,kein Landtagsabgeordneter,AfD,Landtag,Brandenburg
Rachel,Thomas,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Röckemann,Thomas,aktiv,MdL,AfD,Landtag,Nordrhein-Westfalen
Röwekamp,Thomas,aktiv,MdB,CDU,Bundestag,Bremen
Sattelberger,Thomas,aktiv,MdB,FDP,Bundestag,Bayern
Schmidt,Thomas,aktiv,MdL,CDU,Landtag,Sachsen
Schnelle,Thomas,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Seitz,Thomas,aktiv,MdB,AfD,Bundestag,Baden-Württemberg
Silberhorn,Thomas,aktiv,MdB,CSU,Bundestag,Bayern
Strobl,Thomas,extern,Landesvorsitzender der CDU Baden-Württemberg,CDU,Landtag,Baden-Württemberg
Thumm,Thomas,aktiv,MdL,AfD,Landtag,Sachsen
Sarnowski,Thomas von,extern,Landesvorsitzender von Bündnis 90/Die Grünen Bayern,Grüne,Landtag,Bayern
Frei,Thorsten,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Lieb,Thorsten,aktiv,MdB,FDP,Bundestag,Hessen
Rudolph,Thorsten,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Schick,Thorsten,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Wölken,Tiemo,extern,Europaabgeordneter,SPD,Landtag,Niedersachsen
Mansmann,Till,aktiv,MdB,FDP,Bundestag,Hessen
Steffen,Till,aktiv,MdB,Grüne,Bundestag,Hamburg
Kuban,Tilman,aktiv,MdB,CDU,Bundestag,Niedersachsen
Brockmann,Tim,aktiv,MdL,CDU,Landtag,Schleswig-Holstein
Bückner,Tim,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Klüssendorf,Tim,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Schisanowski,Timo,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Gremmels,Timon,aktiv,MdB,SPD,Bundestag,Hessen
Rudolph,Tina,aktiv,MdB,SPD,Bundestag,Thüringen
Winklmann,Tina,aktiv,MdB,Grüne,Bundestag,Bayern
Chrupalla,Tino,aktiv,MdB,AfD,Bundestag,Sachsen
Sorge,Tino,aktiv,MdB,CDU,Bundestag,Sachsen-Anhalt
Bacherle,Tobias,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Eckert,Tobias,aktiv,MdL,SPD,Landtag,Hessen
Gotthardt,Tobias,aktiv,MdL,Freie Wähler,Landtag,Bayern
Hans,Tobias,aktiv,MdL,CDU,Landtag,Saarland
Koch,Tobias,aktiv,MdL,CDU,Landtag,Schleswig-Holstein
Lindner,Tobias,aktiv,MdB,Grüne,Bundestag,Rheinland-Pfalz
Peterka,Tobias Matthias,aktiv,MdB,AfD,Bundestag,Bayern
Rausch,Tobias,aktiv,MdL,AfD,Landtag,Sachsen-Anhalt
Reiß,Tobias,aktiv,MdL,CSU,Landtag,Bayern
Schlegl,Tobias,extern,Radio- und Fernsehmoderator,SPD,Landtag,Nordrhein-Westfalen
Utter,Tobias,aktiv,MdL,CDU,Landtag,Hessen
Welte,Tobias,extern,Pneumologe,SPD,Landtag,Niedersachsen
Winkler,Tobias,aktiv,MdB,CSU,Bundestag,Bayern
Albig,Torsten,extern,Ministerpräsident a. D.,SPD,Landtag,Schleswig-Holstein
Herbst,Torsten,aktiv,MdB,FDP,Bundestag,Sachsen
Krawczyk,Torsten,extern,Präsident des Landesbauernverbandes,CDU,Landtag,Sachsen
Renz,Torsten,aktiv,MdL,CDU,Landtag,Mecklenburg-Vorpommern
Yüksel,Turgut,aktiv,MdL,SPD,Landtag,Hessen
Schiefner,Udo,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Thiele,Ulf,aktiv,MdL,CDU,Landtag,Niedersachsen
Grötsch,Uli,aktiv,MdB,SPD,Bundestag,Bayern
Henkel,Uli,aktiv,MdL,AfD,Landtag,Bayern
Schauws,Ulle,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Commerçon,Ulrich,aktiv,MdL,SPD,Landtag,Saarland
Lange,Ulrich,aktiv,MdB,CSU,Bundestag,Bayern
Lechte,Ulrich,aktiv,MdB,FDP,Bundestag,Bayern
Lupart,Ulrich,aktiv,MdL,AfD,Landtag,Sachsen
Mädge,Ulrich,extern,Oberbürgermeister von Lüneburg a. D.,SPD,Landtag,Niedersachsen
Siegmund,Ulrich,aktiv,MdL,AfD,Landtag,Sachsen-Anhalt
Singer,Ulrich,aktiv,MdL,AfD,Landtag,Bayern
Bahr,Ulrike,aktiv,MdB,SPD,Bundestag,Bayern
Grosse-Röthig,Ulrike,extern,Landesvorsitzende der Linken,Linke,Landtag,Thüringen
Harzer,Ulrike,aktiv,MdB,FDP,Bundestag,Sachsen
Liedtke,Ulrike,aktiv,MdL,SPD,Landtag,Brandenburg
Scharf,Ulrike,aktiv,MdL,CSU,Landtag,Bayern
Schielke-Ziesing,Ulrike,aktiv,MdB,AfD,Bundestag,Mecklenburg-Vorpommern
Heinen-Esser,Ursula,extern,Landesministerin,CDU,Landtag,Nordrhein-Westfalen
Sowa,Ursula,aktiv,MdL,Grüne,Landtag,Bayern
Opelt,Uta,aktiv,MdL,AfD,Landtag,Nordrhein-Westfalen
Eiling-Hütig,Ute,aktiv,MdL,CSU,Landtag,Bayern
Leidig,Ute,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Volquardsen,Ute,extern,Präsidentin der Landwirtschaftskammer,CDU,Landtag,Schleswig-Holstein
Dorendorf,Uwe,aktiv,MdL,CDU,Landtag,Niedersachsen
Feiler,Uwe,aktiv,MdB,CDU,Bundestag,Brandenburg
Hellstern,Uwe,aktiv,MdL,AfD,Landtag,Baden-Württemberg
Schmidt,Uwe,aktiv,MdB,SPD,Bundestag,Bremen
Schulz,Uwe,aktiv,MdB,AfD,Bundestag,Hessen
Schünemann,Uwe,aktiv,MdL,CDU,Landtag,Niedersachsen
Witt,Uwe,aktiv,MdB,fraktionslos,Bundestag,Schleswig-Holstein
Abel,Valentin,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Lemmen,Veith,extern,Bürgermeister von Werther,SPD,Landtag,Nordrhein-Westfalen
Hubertz,Verena,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Osgyan,Verena,aktiv,MdL,Grüne,Landtag,Bayern
Schäffer,Verena,aktiv,MdL,Grüne,Landtag,Nordrhein-Westfalen
Koch,Veronika,aktiv,MdL,CDU,Landtag,Niedersachsen
Perli,Victor,aktiv,MdB,Linke,Bundestag,Niedersachsen
Bouffier,Volker,aktiv,MdL,CDU,Landtag,Hessen
Dringenberg,Volker,aktiv,MdL,AfD,Landtag,Sachsen
Mayer-Lay,Volker,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Redder,Volker,aktiv,MdB,FDP,Bundestag,Bremen
Ullrich,Volker,aktiv,MdB,CSU,Bundestag,Bayern
Wissing,Volker,aktiv,MdB,FDP,Bundestag,Rheinland-Pfalz
Klein,Volkmar,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Hirche,Walter,extern,Landesminister a. D.,FDP,Landtag,Niedersachsen
Wissenbach,Walter,aktiv,MdL,AfD,Landtag,Hessen
Molik,Werner,extern,DDR-Bürgerrechtler,AfD,Landtag,Mecklenburg-Vorpommern
Siebels,Wiard,aktiv,MdL,SPD,Landtag,Niedersachsen
Brems,Wibke,aktiv,MdL,Grüne,Landtag,Nordrhein-Westfalen
Esdar,Wiebke,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Exner,Wiebke,extern,Friseurin,SPD,Landtag,Schleswig-Holstein
Knell,Wiebke,aktiv,MdL,FDP,Landtag,Hessen
Papenbrock,Wiebke,aktiv,MdB,SPD,Bundestag,Brandenburg
Oellers,Wilfried,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Bausback,Winfried,aktiv,MdL,CSU,Landtag,Bayern
Hermann,Winfried,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Kretschmann,Winfried,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Fackler,Wolfgang,aktiv,MdL,CSU,Landtag,Bayern
Hellmich,Wolfgang,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Kubicki,Wolfgang,aktiv,MdB,FDP,Bundestag,Schleswig-Holstein
Schäuble,Wolfgang,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Stefinger,Wolfgang,aktiv,MdB,CSU,Bundestag,Bayern
Strengmann-Kuhn,Wolfgang,aktiv,MdB,Grüne,Bundestag,Hessen
Wiehle,Wolfgang,aktiv,MdB,AfD,Bundestag,Bayern
Bury,Yannick,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Fahimi,Yasmin,aktiv,MdB,SPD,Bundestag,Niedersachsen
Rhie,Ye-One,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Gebauer,Yvonne,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Magwas,Yvonne,aktiv,MdB,CDU,Bundestag,Sachsen
Riegel,Yvonne,extern,Managerin,SPD,Landtag,Bremen
Martens,Zanda,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Mayer,Zoe,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Nastic,Zaklin,extern,MdB,Linke,Bundestag,hamburg
Schulze,Sven,extern,Oberbürgermeister von Chemnitz,SPD,Landtag,Sachsen
Schulze,Sven,extern,Landesminister,CDU,Landtag,Sachsen-Anhalt
Schwarz,Andreas,extern,MdL,Grüne,Landtag,Baden-Württemberg
Schwarz,Andreas,extern,MdB,SPD,Bundestag,Bayern
