nachname,vorname,status,beruf,partei,parlament,bundesland
Bröhr,Marlon,aktiv,MdB,CDU,Bundestag,Rheinland-Pfalz
Buchholz,Marlon,extern,Kommunalpolitiker in Hilden,AfD,Landtag,Nordrhein-Westfalen
Böhm,Martin,aktiv,MdL,AfD,Landtag,Bayern
Brandl,Martin,aktiv,MdL,CDU,Landtag,Rheinland-Pfalz
Brudermüller,Martin,extern,BASF-Vorstandsvorsitzender,CDU,Landtag,Rheinland-Pfalz
Diedenhofen,Martin,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Renner,Martin Erwin,aktiv,MdB,AfD,Bundestag,Nordrhein-Westfalen
Gassner-Herz,Martin,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Gerster,Martin,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Hagen,Martin,aktiv,MdL,FDP,Landtag,Bayern
Hess,Martin,aktiv,MdB,AfD,Bundestag,Baden-Württemberg
Huber,Martin,aktiv,MdL,CSU,Landtag,Bayern
Kröber,Martin,aktiv,MdB,SPD,Bundestag,Sachsen-Anhalt
Plum,Martin,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Reichardt,Martin,aktiv,MdB,AfD,Bundestag,Sachsen-Anhalt
Rosemann,Martin,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Schöffel,Martin,aktiv,MdL,CSU,Landtag,Bayern
Schulz,Martin,extern,ehemaliger Europa- und Bundestagsabgeordneter,SPD,Landtag,Nordrhein-Westfalen
Sichert,Martin,aktiv,MdB,AfD,Bundestag,Bayern
Sträßer,Martin,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Englhardt-Kopf,Martina,aktiv,MdB,CSU,Bundestag,Bayern
Hannen,Martina,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Häusler,Martina,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Renner,Martina,aktiv,MdB,Linke,Bundestag,Thüringen
Stamm-Fibich,Martina,aktiv,MdB,SPD,Bundestag,Bayern
Blumenthal,Maryam,aktiv,MdL,Grüne,Landtag,Hamburg
Addo,Marylyn,extern,Infektologin,SPD,Landtag,Hamburg
Middelberg,Mathias,aktiv,MdB,CDU,Bundestag,Niedersachsen
Papendieck,Mathias,aktiv,MdB,SPD,Bundestag,Brandenburg
Stein,Mathias,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Wagner,Mathias,aktiv,MdL,Grüne,Landtag,Hessen
Bolte-Richter,Matthi,aktiv,MdL,Grüne,Landtag,Nordrhein-Westfalen
Mieves,Matthias David,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Fischbach,Matthias,aktiv,MdL,FDP,Landtag,Bayern
Gastel,Matthias,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Hauer,Matthias,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Helferich,Matthias,aktiv,MdB,fraktionslos,Bundestag,Nordrhein-Westfalen
Kerkhoff,Matthias,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Lammert,Matthias,aktiv,MdL,CDU,Landtag,Rheinland-Pfalz
Miersch,Matthias,aktiv,MdB,SPD,Bundestag,Niedersachsen
Miller,Matthias,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Möhle,Matthias,aktiv,MdL,SPD,Landtag,Niedersachsen
Moosdorf,Matthias,aktiv,MdB,AfD,Bundestag,Sachsen
