ort,index,land,lon,lat
Bad Elster-Sohl,1,Sachsen,12.2840615,50.2761056
Seehausen,1,Sachsen-Anhalt,11.75,52.866667
Gardelegen,1,Sachsen-Anhalt,11.401844,52.5268133
Demker,1,Sachsen-Anhalt,11.8559017,52.5057879
Genthin,1,Sachsen-Anhalt,12.1601527,52.4006218
Drewitz bei Burg,1,Sachsen-Anhalt,12.1647805,52.2152048
Ummendorf,1,Sachsen-Anhalt,11.1812374,52.1577121
Magdeburg,1,Sachsen-Anhalt,11.6276237,52.1205333
Huy-Pabstorf,1,Sachsen-Anhalt,10.9615002,52.0279908
Wittenberg,1,Sachsen-Anhalt,12.6279659,51.8739831
Wernigerode,1,Sachsen-Anhalt,10.7844266,51.8368113
Bernburg/Saale,1,Sachsen-Anhalt,11.7537327,51.7833579
Quedlinburg,1,Sachsen-Anhalt,11.141448,51.7920562
Wernigerode-Schierke,1,Sachsen-Anhalt,10.6565134,51.7653041
Holzdorf,1,Sachsen-Anhalt,13.1137053,51.7809842
Köthen (Anhalt),1,Sachsen-Anhalt,11.9802357,51.7505762
Aschersleben-Mehringen,1,Sachsen-Anhalt,11.5157204,51.7283132
Jeßnitz,1,Sachsen-Anhalt,12.3022837,51.6838588
Oberharz am Brocken-Stiege,1,Sachsen-Anhalt,10.8844837,51.6656609
Harzgerode,1,Sachsen-Anhalt,11.1433484,51.6408843
Bad Lauchstädt,1,Sachsen-Anhalt,11.8204814,51.3924215
Querfurt-Lodersleben,1,Sachsen-Anhalt,11.5396491,51.3768604
Naumburg-Kreipitzsch/Saale,1,Sachsen-Anhalt,11.7126597,51.1063183
Osterfeld,1,Sachsen-Anhalt,11.929795,51.0801472
Zeitz,1,Sachsen-Anhalt,12.1402795,51.0443266
Leinefelde,1,Thüringen,10.3305838,51.4071434
Artern,1,Thüringen,11.2954854,51.3673649
Mühlhausen-Görmar/Thüringen,1,Thüringen,10.4890889,51.2115255
Olbersleben,1,Thüringen,11.3379001,51.1474452
Dachwig,1,Thüringen,10.8572234,51.0775273
Weimar-Schöndorf,1,Thüringen,11.3349258,51.0128993
Eisenach,1,Thüringen,10.3146872,50.9795715
Erfurt-Weimar (Flughafen),1,Thüringen,10.9572313,50.979247
Starkenberg-Tegkwitz,1,Thüringen,12.3428722,50.9795394
Jena,1,Thüringen,11.5892372,50.927054
Bad Berka (Flugplatz),1,Thüringen,11.2672204,50.9065628
Waltershausen,1,Thüringen,10.5607552,50.9003774
Gera-Leumnitz,1,Thüringen,12.1100473,50.8797734
Kleiner Inselsberg,1,Thüringen,10.4812917,50.8445205
Moorgrund Gräfen-Nitzendorf,1,Thüringen,10.2458217,50.8440698
Martinroda,1,Thüringen,10.8890443,50.7232874
Schmieritz-Weltwitz,1,Thüringen,11.7840242,50.7273168
Krölpa-Rockendorf,1,Thüringen,11.5191045,50.6725527
Langenwetzendorf-Göttendorf,1,Thüringen,12.0735629,50.6621348
Schmücke,1,Thüringen,10.7735615,50.6543096
Schwarzburg,1,Thüringen,11.1951188,50.6421957
Schleiz,1,Thüringen,11.8090005,50.5761665
Meiningen,1,Thüringen,10.4190129,50.5739121
Birx/Rhön,1,Thüringen,10.0480518,50.5306988
Neuhaus am Rennweg,1,Thüringen,11.1422983,50.505899
Bad Lobenstein,1,Thüringen,11.6392997,50.4522283
Veilsdorf,1,Thüringen,10.8095288,50.4086913
