datum,covid,beatmet,belegt,frei,notfall,gesamt,andere,nichtbeatmet,neuaufnahmen,gestorben,neuave,gestave
2020-04-11,2652,1986,12462,9023,0,21485,9810,666,,30,,
2020-04-12,2652,1859,12541,9168,0,21709,9889,793,,35,,
2020-04-13,2719,1841,12831,9216,0,22047,10112,878,,88,,
2020-04-14,2722,1848,13123,9443,0,22566,10401,874,,66,,
2020-04-15,2735,1996,14119,9919,0,24038,11384,739,,228,,
2020-04-16,2810,2083,15673,11208,0,26881,12863,727,,255,,
2020-04-17,2879,2145,16861,11455,0,28316,13982,734,,305,,144
2020-04-18,2928,2180,17337,11605,0,28942,14409,748,,123,,157
2020-04-19,2870,2113,16956,12031,0,28987,14086,757,,50,,159
2020-04-20,2900,2009,17270,11992,0,29262,14370,891,,59,,155
2020-04-21,2855,2112,18189,11870,0,30059,15334,743,,108,,161
2020-04-22,2739,2046,18566,11900,0,30466,15827,693,,91,,142
2020-04-23,2720,2045,18726,11942,0,30668,16006,675,,115,,122
2020-04-24,2644,1971,18904,12010,0,30914,16260,673,,44,,84
2020-04-25,2538,1883,18763,12018,0,30781,16225,655,,22,,70
2020-04-26,2524,1857,18279,12421,0,30700,15755,667,,29,,67
2020-04-27,2466,1729,18461,12260,0,30721,15995,737,,24,,62
2020-04-28,2391,1748,18973,11932,0,30905,16582,643,,68,,56
2020-04-29,2310,1719,19204,11887,0,31091,16894,591,,69,,53
2020-04-30,2235,1605,19155,11925,0,31080,16920,630,,52,,44
2020-05-01,2118,1549,19218,12000,0,31218,17100,569,,40,,43
2020-05-02,2046,1508,18579,12596,0,31175,16533,538,,46,,47
2020-05-03,2011,1441,18706,12459,0,31165,16695,570,,6,,44
2020-05-04,1976,1396,18619,12397,0,31016,16643,580,,91,,53
2020-05-05,1903,1346,19195,11813,0,31008,17292,557,,73,,54
2020-05-06,1820,1311,19560,11543,0,31103,17740,509,,24,,47
2020-05-07,1763,1230,19536,11507,0,31043,17773,533,,28,,44
2020-05-08,1659,1185,19484,11369,0,30853,17825,474,,39,,44
2020-05-09,1594,1121,19287,11579,0,30866,17693,473,,26,,41
2020-05-10,1603,1073,18734,11995,0,30729,17131,530,,28,,44
2020-05-11,1587,1063,18891,11840,0,30731,17304,524,,44,,37
2020-05-12,1496,1020,19791,11610,0,31401,18295,476,,51,,34
2020-05-13,1384,974,19730,11281,0,31011,18346,410,,51,,38
2020-05-14,1316,892,19663,11439,0,31102,18347,424,,35,,39
2020-05-15,1232,838,19991,11119,0,31110,18759,394,,306,,77
2020-05-16,1173,821,19629,11315,0,30944,18456,352,,19,,76
2020-05-17,1125,797,19112,11886,0,30998,17987,328,,11,,74
2020-05-18,1122,747,19070,11842,0,30912,17948,375,,4,,68
2020-05-19,1087,716,19647,11101,0,30748,18560,371,,212,,91
2020-05-20,1019,672,19878,11044,0,30922,18859,347,,46,,90
2020-05-21,999,651,19851,11065,0,30916,18852,348,,51,,93
2020-05-22,971,597,19292,11608,0,30900,18321,374,,35,,54
2020-05-23,928,578,19479,11597,0,31076,18551,350,,26,,55
2020-05-24,896,562,18995,11946,0,30941,18099,334,,3,,54
2020-05-25,883,547,19050,11981,0,31031,18167,336,,14,,55
2020-05-26,810,525,19585,11326,0,30911,18775,285,,47,,32
2020-05-27,749,482,19848,10985,0,30833,19099,267,,41,,31
2020-05-28,723,451,19945,10847,0,30792,19222,272,,15,,26
2020-05-29,722,426,19873,10848,0,30721,19151,296,,3,,21
2020-05-30,711,421,19778,10962,0,30740,19067,290,,13,,19
2020-05-31,697,410,19113,11558,0,30671,18416,287,,15,,21
2020-06-01,696,385,19048,11629,0,30677,18352,311,,50,,26
2020-06-02,691,378,19117,11529,0,30646,18426,313,,46,,26
2020-06-03,631,360,19815,10896,0,30711,19184,271,,45,,27
2020-06-04,595,341,20134,10552,0,30686,19539,254,,30,,29
2020-06-05,584,339,20213,10457,0,30670,19629,245,,16,,31
2020-06-06,561,337,19938,10703,0,30641,19377,224,,7,,30
2020-06-07,566,330,19350,11256,0,30606,18784,236,,74,,38
2020-06-08,543,316,19204,11399,0,30603,18661,227,,20,,34
2020-06-09,516,320,20044,10646,0,30690,19528,196,,78,,39
2020-06-10,483,293,20192,10531,0,30723,19709,190,,32,,37
2020-06-11,452,281,20118,10574,0,30692,19666,171,,19,,35
2020-06-12,450,274,19649,10998,0,30647,19199,176,,4,,33
2020-06-13,441,262,19592,10973,0,30565,19151,179,,19,,35
2020-06-14,438,256,19207,11330,0,30537,18769,182,,46,,31
2020-06-15,434,262,19293,11350,0,30643,18859,172,,24,,32
2020-06-16,421,258,20012,10671,0,30683,19591,163,,43,,27
2020-06-17,407,252,20294,10406,0,30700,19887,155,,2,,22
2020-06-18,394,240,20422,10379,0,30801,20028,154,,0,,20
2020-06-19,374,227,20515,10276,0,30791,20141,147,,6,,20
2020-06-20,359,219,20200,10525,0,30725,19841,140,,13,,19
2020-06-21,350,198,19632,11082,0,30714,19282,152,,36,,18
2020-06-22,363,201,19650,11248,0,30898,19287,162,,0,,14
2020-06-23,358,194,20272,10616,0,30888,19914,164,,1,,8
2020-06-24,353,182,20354,10596,0,30950,20001,171,,4,,9
2020-06-25,358,196,20350,10552,0,30902,19992,162,,25,,12
2020-06-26,359,198,20496,10341,0,30837,20137,161,,1,,11
2020-06-27,343,188,20288,10543,0,30831,19945,155,,7,,11
2020-06-28,335,189,19785,11021,0,30806,19450,146,,9,,7
2020-06-29,329,183,19726,11158,0,30884,19397,146,,11,,8
2020-06-30,333,174,20299,10635,0,30934,19966,159,,28,,12
2020-07-01,324,170,20683,10332,0,31015,20359,154,,4,,12
2020-07-02,325,160,20780,10224,0,31004,20455,165,,4,,9
