land,country,continent,date,erste,ersterate,zweite,zweiterate,population
Mexiko,Mexico,Nordamerika,2021-01-17,    468708,0.36,3434,0,130262220
Niederlande,Netherlands,Europa,2021-01-17,     76959,0.45,1098,0.01,17173094
Nordamerika,North America,Kontinent,2021-01-17,  17237460,2.89,2485954,0.42,596581283
Norwegen,Norway,Europa,2021-01-17,     52748,0.97,81,0,5465629
Oman,Oman,Asien,2021-01-17,     24773,0.47,673,0.01,5223376
Polen,Poland,Europa,2021-01-17,    468795,1.24,671,0,37797000
Portugal,Portugal,Europa,2021-01-17,    129948,1.28,1299,0.01,10167923
Rumänien,Romania,Europa,2021-01-17,    203310,1.06,875,0,19127772
Slowenien,Slovenia,Europa,2021-01-17,     49544,2.38,155,0.01,2078723
Südamerika,South America,Kontinent,2021-01-17,     13925,0,8371,0,434260137
Schweden,Sweden,Europa,2021-01-17,    132292,1.3,559,0.01,10160159
Schweiz,Switzerland,Europa,2021-01-17,     94238,1.08,316,0,8715494
Großbritannien,United Kingdom,Europa,2021-01-17,   4062501,5.96,452301,0.66,68207114
USA,United States,Nordamerika,2021-01-17,  16187441,4.88,2460676,0.74,332915074
Welt,World,Welt,2021-01-17,  31598937,0.4,3563283,0.05,7874965730
Costa Rica,Costa Rica,Nordamerika,2021-01-17,     24804,0.48,55,0,5139053
Griechenland,Greece,Europa,2021-01-17,     80389,0.78,2,0,10370747
VAE,United Arab Emirates,Asien,2021-01-17,    836568,8.37,250000,2.5,9991083
Asien,Asia,Kontinent,2021-01-18,   3745469,0.08,705414,0.02,4678444992
Österreich,Austria,Europa,2021-01-18,    126887,1.4,1314,0.01,9043072
Belgien,Belgium,Europa,2021-01-18,    138847,1.19,613,0.01,11632334
Bulgarien,Bulgaria,Europa,2021-01-18,     18524,0.27,1114,0.02,6896655
Kanada,Canada,Nordamerika,2021-01-18,    598400,1.57,22530,0.06,38067913
Chile,Chile,Südamerika,2021-01-18,     24864,0.13,8371,0.04,19212362
Costa Rica,Costa Rica,Nordamerika,2021-01-18,     29257,0.57,132,0,5139053
Tschechien,Czechia,Europa,2021-01-18,    134740,1.26,2478,0.02,10724553
Dänemark,Denmark,Europa,2021-01-18,    162454,2.79,2626,0.05,5813302
Estland,Estonia,Europa,2021-01-18,     18711,1.41,480,0.04,1325188
Europa,Europe,Kontinent,2021-01-18,  11685770,1.56,529893,0.07,748962983
Europa,European Union,Kontinent,2021-01-18,   6229480,1.39,71567,0.02,447189915
Frankreich,France,Europa,2021-01-18,    539422,0.8,282,0,67564251
Deutschland,Germany,Europa,2021-01-18,   1267664,1.51,36906,0.04,83900471
Griechenland,Greece,Europa,2021-01-18,     85475,0.82,423,0,10370747
Ungarn,Hungary,Europa,2021-01-18,    129689,1.35,1643,0.02,9634162
Irland,Ireland,Europa,2021-01-18,    110280,2.21,50,0,4982904
Israel,Israel,Asien,2021-01-18,   2281048,24.55,453429,4.88,9291000
Italien,Italy,Europa,2021-01-18,   1266000,2.1,8094,0.01,60367471
Lettland,Latvia,Europa,2021-01-18,     16433,0.88,612,0.03,1866934
Litauen,Lithuania,Europa,2021-01-18,     54100,2.01,2778,0.1,2689862
Luxemburg,Luxembourg,Europa,2021-01-18,      4126,0.65,447,0.07,634814
Mexiko,Mexico,Nordamerika,2021-01-18,    485983,0.37,6546,0.01,130262220
Nordamerika,North America,Kontinent,2021-01-18,  17940487,3.01,2715397,0.46,596581283
Norwegen,Norway,Europa,2021-01-18,     54068,0.99,389,0.01,5465629
Oman,Oman,Asien,2021-01-18,     24773,0.47,1985,0.04,5223376
Polen,Poland,Europa,2021-01-18,    491696,1.3,3468,0.01,37797000
Portugal,Portugal,Europa,2021-01-18,    135322,1.33,1414,0.01,10167923
Rumänien,Romania,Europa,2021-01-18,    233289,1.22,1950,0.01,19127772
Slowakei,Slovakia,Europa,2021-01-18,     72222,1.32,582,0.01,5460726
Slowenien,Slovenia,Europa,2021-01-18,     49587,2.39,321,0.02,2078723
