land,country,continent,date,erste,ersterate,zweite,zweiterate,population
Afrika,South Africa,Kontinent,2021-06-20,    519139,0.86,479768,0.8,60041996
Taiwan,Taiwan,Asien,2021-06-20,    985084,4.13,24076,0.1,23855008
Osttimor,Timor,Asien,2021-06-20,    103813,7.72,6718,0.5,1343875
Togo,Togo,Afrika,2021-06-20,    270784,3.19,76462,0.9,8478242
Turkmenistan,Turkmenistan,Asien,2021-06-20,     32240,0.53,19506,0.32,6117933
Turks-und Caicosinseln,Turks and Caicos Islands,Nordamerika,2021-06-20,     22700,57.87,15410,39.29,39226
Uganda,Uganda,Afrika,2021-06-20,    537440,1.14,4129,0.01,47123533
VAE,United Arab Emirates,Asien,2021-06-20,   5081853,50.86,3836521,38.4,9991083
Usbekistan,Uzbekistan,Asien,2021-06-20,   1623764,4.78,1002919,2.96,33935765
Venezuela,Venezuela,Südamerika,2021-06-20,   1079134,3.76,223858,0.78,28704947
Wallis and Futuna,Wallis and Futuna,Asien,2021-06-20,      4470,40.29,4187,37.74,11094
Sambia,Zambia,Afrika,2021-06-20,    142089,0.75,6215,0.03,18920657
Afrika,Africa,Kontinent,2021-06-21,  30444446,2.22,13773349,1,1373486472
Albanien,Albania,Europa,2021-06-21,    519674,18.09,370378,12.89,2872934
Andorra,Andorra,Europa,2021-06-21,     38667,49.99,24598,31.8,77354
Argentinien,Argentina,Südamerika,2021-06-21,  14504810,31.8,3694089,8.1,45605823
Aruba,Aruba,Nordamerika,2021-06-21,     66991,62.49,57322,53.47,107195
Asien,Asia,Kontinent,2021-06-21,1035116576,22.13,137250254,2.93,4678444992
Australien,Australia,Asien,2021-06-21,   5630732,21.83,1088652,4.22,25788217
Österreich,Austria,Europa,2021-06-21,   4544952,50.26,2593664,28.68,9043072
Aserbaidschan,Azerbaijan,Europa,2021-06-21,   1949646,19.07,1040027,10.17,10223344
Bahrain,Bahrain,Asien,2021-06-21,   1045317,59.79,910436,52.08,1748295
Bangladesch,Bangladesh,Asien,2021-06-21,   5823245,3.5,4266737,2.57,166303494
Barbados,Barbados,Nordamerika,2021-06-21,     92305,32.08,66675,23.17,287708
Belgien,Belgium,Europa,2021-06-21,   6504333,55.92,3623072,31.15,11632334
Bolivien,Bolivia,Südamerika,2021-06-21,   1645289,13.9,586552,4.96,11832936
Botswana,Botswana,Afrika,2021-06-21,    153403,6.4,66085,2.76,2397240
Brasilien,Brazil,Südamerika,2021-06-21,  65421825,30.57,24591511,11.49,213993441
Brunei,Brunei,Asien,2021-06-21,     57353,12.99,12524,2.84,441532
Bulgarien,Bulgaria,Europa,2021-06-21,    915302,13.27,753375,10.92,6896655
Kambodscha,Cambodia,Asien,2021-06-21,   3416075,20.16,2755194,16.26,16946446
Kanada,Canada,Nordamerika,2021-06-21,  25299801,66.46,7482646,19.66,38067913
Cayman Islands,Cayman Islands,Nordamerika,2021-06-21,     47061,70.77,41949,63.08,66498
Chile,Chile,Südamerika,2021-06-21,  12158850,63.29,9604197,49.99,19212362
Kolumbien,Colombia,Südamerika,2021-06-21,  10321140,20.13,4977790,9.71,51265841
Cookinseln,Cook Islands,Asien,2021-06-21,      9613,54.71,7943,45.2,17572
Kroatien,Croatia,Europa,2021-06-21,   1455647,35.66,924011,22.64,4081657
Kuba,Cuba,Nordamerika,2021-06-21,   2277657,20.13,924789,8.17,11317498
Curaçao,Curacao,Nordamerika,2021-06-21,     88115,53.47,76466,46.4,164796
Tschechien,Czechia,Europa,2021-06-21,   4854336,45.26,2635415,24.57,10724553
Dänemark,Denmark,Europa,2021-06-21,   3048492,52.44,1658163,28.52,5813302
Dom. Rep.,Dominican Republic,Nordamerika,2021-06-21,   4625991,42.23,2546487,23.25,10953714
Ecuador,Ecuador,Südamerika,2021-06-21,   2944399,16.46,1288031,7.2,17888474
El Salvador,El Salvador,Nordamerika,2021-06-21,   1445369,22.17,1060888,16.28,6518500
Estland,Estonia,Europa,2021-06-21,    546499,41.24,404005,30.49,1325188
Europa,Europe,Kontinent,2021-06-21, 290681983,38.81,184527841,24.64,748962983
Europa,European Union,Kontinent,2021-06-21, 213905324,47.83,128772971,28.8,447189915
Färöer Inseln,Faeroe Islands,Europa,2021-06-21,     26105,53.22,17392,35.46,49053
Fiji,Fiji,Asien,2021-06-21,    256018,28.36,17990,1.99,902899
Finnland,Finland,Europa,2021-06-21,   3091297,55.72,859240,15.49,5548361
Frankreich,France,Europa,2021-06-21,  32697872,48.4,17214835,25.48,67564251
Französisch-Polynesien,French Polynesia,Asien,2021-06-21,     67913,24.04,57571,20.38,282534
Georgien,Georgia,Europa,2021-06-21,    152221,3.82,82189,2.07,3979773
Deutschland,Germany,Europa,2021-06-21,  43113048,51.39,26550470,31.65,83900471
Gibraltar,Gibraltar,Europa,2021-06-21,     39174,100,38795,100,33691
Griechenland,Greece,Europa,2021-06-21,   4528564,43.67,3175501,30.62,10370747
Guatemala,Guatemala,Nordamerika,2021-06-21,    686920,3.76,149719,0.82,18249868
Guinea,Guinea,Afrika,2021-06-21,    348418,2.58,126325,0.94,13497237
Guyana,Guyana,Südamerika,2021-06-21,    227690,28.81,98635,12.48,790329
Hongkong,Hong Kong,Asien,2021-06-21,   1970974,26.1,1295697,17.16,7552800
Ungarn,Hungary,Europa,2021-06-21,   5421230,56.27,4555029,47.28,9634162
Indien,India,Asien,2021-06-21, 232744813,16.7,50569129,3.63,1393409033
Indonesien,Indonesia,Asien,2021-06-21,  23530219,8.51,12398428,4.49,276361788
Iran,Iran,Asien,2021-06-21,   4013642,4.72,955000,1.12,85028760
Irland,Ireland,Europa,2021-06-21,   2480723,49.78,1532339,30.75,4982904
Israel,Israel,Asien,2021-06-21,   5516222,59.37,5167640,55.62,9291000
Italien,Italy,Europa,2021-06-21,  32021706,53.04,16242195,26.91,60367471
Japan,Japan,Asien,2021-06-21,  27004653,21.42,11766179,9.33,126050796
Jordanien,Jordan,Asien,2021-06-21,   2125824,20.7,1071454,10.43,10269022
Kasachstan,Kazakhstan,Europa,2021-06-21,   2760223,14.53,1668032,8.78,18994958
Kenia,Kenya,Afrika,2021-06-21,    995570,1.81,192093,0.35,54985702
Laos,Laos,Asien,2021-06-21,    780552,10.58,461632,6.26,7379358
Lettland,Latvia,Europa,2021-06-21,    605170,32.42,498645,26.71,1866934
Liechtenstein,Liechtenstein,Europa,2021-06-21,     18698,48.88,11509,30.09,38254
Litauen,Lithuania,Europa,2021-06-21,   1213926,45.13,900820,33.49,2689862
Macau,Macao,Asien,2021-06-21,    209350,31.8,88756,13.48,658391
Malawi,Malawi,Afrika,2021-06-21,    383726,1.95,38782,0.2,19647681
Malaysia,Malaysia,Asien,2021-06-21,   4479624,13.67,1687203,5.15,32776195
Malediven,Maldives,Asien,2021-06-21,    315397,58.02,184212,33.89,543620
Malta,Malta,Europa,2021-06-21,    353164,68.43,290280,56.24,516100
Mexiko,Mexico,Nordamerika,2021-06-21,  28198409,21.65,17047687,13.09,130262220
Moldawien,Moldova,Europa,2021-06-21,    404766,10.06,237716,5.91,4024025
Montenegro,Montenegro,Europa,2021-06-21,    148079,23.58,128295,20.43,628051
Marokko,Morocco,Afrika,2021-06-21,   9594360,25.69,8451201,22.63,37344787
Namibia,Namibia,Afrika,2021-06-21,    104530,4.04,19930,0.77,2587344
Neu-Kaledonien,New Caledonia,Asien,2021-06-21,     56691,19.67,47992,16.65,288217
Neuseeland,New Zealand,Asien,2021-06-21,    627632,12.25,372094,7.26,5122600
Nordamerika,North America,Kontinent,2021-06-21, 248279580,41.62,187773014,31.47,596581283
Nordmazedonien,North Macedonia,Europa,2021-06-21,    278202,13.36,203856,9.79,2082661
Norwegen,Norway,Europa,2021-06-21,   2222293,40.66,1481424,27.1,5465629
Ozeanien,Oceania,Kontinent,2021-06-21,   6807917,15.75,1601166,3.7,43219954
Panama,Panama,Nordamerika,2021-06-21,    953974,21.77,487465,11.13,4381583
Paraguay,Paraguay,Südamerika,2021-06-21,    646521,8.96,136887,1.9,7219641
Peru,Peru,Südamerika,2021-06-21,   4029915,12.08,2772847,8.31,33359415
Philippinen,Philippines,Asien,2021-06-21,   7045380,6.34,2183489,1.97,111046910
Polen,Poland,Europa,2021-06-21,  16184242,42.82,11337728,30,37797000
Portugal,Portugal,Europa,2021-06-21,   4971146,48.89,3091855,30.41,10167923
Katar,Qatar,Asien,2021-06-21,   1625178,55.46,1273636,43.46,2930524
Rumänien,Romania,Europa,2021-06-21,   4640330,24.26,4370693,22.85,19127772
Russland,Russia,Europa,2021-06-21,  19861002,13.61,15376842,10.54,145912022
St. Kitts und Nevis,Saint Kitts and Nevis,Nordamerika,2021-06-21,     22403,41.84,11579,21.62,53546
Samoa,Samoa,Asien,2021-06-21,     43983,21.98,1195,0.6,200144
Singapur,Singapore,Asien,2021-06-21,   2971570,54.49,2057436,37.73,5453600
Slowakei,Slovakia,Europa,2021-06-21,   1965404,35.99,1384195,25.35,5460726
Slowenien,Slovenia,Europa,2021-06-21,    817936,39.35,613316,29.5,2078723
Salomon-Inseln,Solomon Islands,Asien,2021-06-21,     18042,2.56,3427,0.49,703995
Südamerika,South America,Kontinent,2021-06-21, 115304547,26.55,49434836,11.38,434260137
Südkorea,South Korea,Asien,2021-06-21,  15174714,29.58,4242237,8.27,51305184
Spanien,Spain,Europa,2021-06-21,  23443444,50.15,14745736,31.54,46745211
Sri Lanka,Sri Lanka,Asien,2021-06-21,   2472807,11.5,829116,3.86,21497306
Surinam,Suriname,Südamerika,2021-06-21,    145832,24.64,31396,5.31,591798
Schweiz,Switzerland,Europa,2021-06-21,   4126395,47.35,2814618,32.29,8715494
Syrien,Syria,Asien,2021-06-21,    102319,0.56,5957,0.03,18275704
Taiwan,Taiwan,Asien,2021-06-21,   1587581,6.66,28803,0.12,23855008
Thailand,Thailand,Asien,2021-06-21,   5678848,8.12,2227848,3.18,69950844
Trinidad Tobago,Trinidad and Tobago,Nordamerika,2021-06-21,    178472,12.72,44001,3.14,1403374
Tunesien,Tunisia,Afrika,2021-06-21,   1181640,9.9,428011,3.59,11935764
Türkei,Turkey,Europa,2021-06-21,  29052236,34.16,14576943,17.14,85042736
Ukraine,Ukraine,Europa,2021-06-21,   1732611,3.99,363237,0.84,43466822
Großbritannien,United Kingdom,Europa,2021-06-21,  43148843,63.26,31489240,46.17,68207114
USA,United States,Nordamerika,2021-06-21, 181686869,54.72,156728898,47.21,332915074
Uruguay,Uruguay,Südamerika,2021-06-21,   2176510,62.45,1427268,40.95,3485152
Wallis and Futuna,Wallis and Futuna,Asien,2021-06-21,      4532,40.85,4302,38.78,11094
Welt,World,Welt,2021-06-21,1726635049,21.93,574360460,7.29,7874965730
Simbabwe,Zimbabwe,Afrika,2021-06-21,    703999,4.66,436831,2.89,15092171
Afghanistan,Afghanistan,Asien,2021-06-21,    484737,1.22,177266,0.44,39835428
Angola,Angola,Afrika,2021-06-21,    866381,2.55,513793,1.51,33933611
Anguilla,Anguilla,Nordamerika,2021-06-21,      9183,60.71,6015,39.77,15125
Antigua und Barbuda,Antigua and Barbuda,Nordamerika,2021-06-21,     35768,36.23,27041,27.39,98728
Armenien,Armenia,Europa,2021-06-21,     52509,1.77,11784,0.4,2968128
Bahamas,Bahamas,Nordamerika,2021-06-21,     54199,13.66,25047,6.31,396914
Belarus,Belarus,Europa,2021-06-21,    701183,7.43,372099,3.94,9442867
Belize,Belize,Nordamerika,2021-06-21,     76148,18.81,21256,5.25,404915
Benin,Benin,Afrika,2021-06-21,     21834,0.18,4790,0.04,12451031
Bermuda,Bermuda,Nordamerika,2021-06-21,     41198,66.35,35662,57.43,62092
Bosnien und Herzeg.,Bosnia and Herzegovina,Europa,2021-06-21,    257898,7.9,65354,2,3263459
Britische Jungferninseln,British Virgin Islands,Nordamerika,2021-06-21,     12405,40.78,7873,25.88,30423
Kamerun,Cameroon,Afrika,2021-06-21,     78476,0.29,18769,0.07,27224262
Kap Verde,Cape Verde,Afrika,2021-06-21,     60771,10.82,2835,0.5,561901
Komoren,Comoros,Afrika,2021-06-21,     43140,4.86,41220,4.64,888456
Costa Rica,Costa Rica,Nordamerika,2021-06-21,   1409778,27.43,740742,14.41,5139053
Zypern,Cyprus,Europa,2021-06-21,    447383,49.93,305723,34.12,896005
Dschibuti,Djibouti,Afrika,2021-06-21,     12547,1.25,8810,0.88,1002197
Dominica,Dominica,Nordamerika,2021-06-21,     20183,27.97,18009,24.95,72172
Ägypten,Egypt,Afrika,2021-06-21,   3315854,3.18,694613,0.67,104258327
Äquatorialguinea,Equatorial Guinea,Afrika,2021-06-21,    148579,10.25,108567,7.49,1449891
Falkland Inseln,Falkland Islands,Südamerika,2021-06-21,      2632,74.6,1775,50.31,3528
Gabun,Gabon,Afrika,2021-06-21,     23260,1.02,10331,0.45,2278829
Gambia,Gambia,Afrika,2021-06-21,     30421,1.22,10389,0.42,2486937
Ghana,Ghana,Afrika,2021-06-21,    852047,2.69,380829,1.2,31732128
Grönland,Greenland,Nordamerika,2021-06-21,     21863,38.45,10312,18.13,56868
Grenada,Grenada,Nordamerika,2021-06-21,     19024,16.83,10133,8.97,113015
Guernsey,Guernsey,Europa,2021-06-21,     32969,52.01,13618,21.48,63385
Honduras,Honduras,Nordamerika,2021-06-21,    439563,4.37,58000,0.58,10062994
Island,Iceland,Europa,2021-06-21,    238814,69.55,153725,44.77,343360
Irak,Iraq,Asien,2021-06-21,    548696,1.33,256667,0.62,41179351
Isle of Man,Isle of Man,Europa,2021-06-21,     62417,73.08,33346,39.04,85410
Jamaika,Jamaica,Nordamerika,2021-06-21,    163209,5.49,31106,1.05,2973462
Jersey,Jersey,Europa,2021-06-21,     68210,67.49,51765,51.22,101073
Kosovo,Kosovo,Europa,2021-06-21,    116057,6.51,17811,1,1782115
Kuwait,Kuwait,Asien,2021-06-21,    822000,18.99,38000,0.88,4328553
Kirgisistan,Kyrgyzstan,Asien,2021-06-21,     88178,1.33,47400,0.72,6628347
Libanon,Lebanon,Asien,2021-06-21,    761818,11.25,368851,5.45,6769151
Lesotho,Lesotho,Afrika,2021-06-21,     36637,1.7,122,0.01,2159067
Liberia,Liberia,Afrika,2021-06-21,     68134,1.32,687,0.01,5180208
Luxemburg,Luxembourg,Europa,2021-06-21,    103558,16.31,37865,5.96,634814
Mali,Mali,Afrika,2021-06-21,    130574,0.63,45464,0.22,20855724
Mauretanien,Mauritania,Afrika,2021-06-21,     42333,0.89,6902,0.14,4775110
Mauritius,Mauritius,Afrika,2021-06-21,    380362,29.87,218501,17.16,1273428
Monaco,Monaco,Europa,2021-06-21,     18836,47.66,15129,38.28,39520
Mongolei,Mongolia,Asien,2021-06-21,   1912235,57.44,1696245,50.95,3329282
Montserrat,Montserrat,Nordamerika,2021-06-21,      1394,27.99,1206,24.21,4981
Mosambik,Mozambique,Afrika,2021-06-21,    320129,1,74801,0.23,32163045
Myanmar,Myanmar,Asien,2021-06-21,   1840758,3.36,1527284,2.79,54806014
Nepal,Nepal,Asien,2021-06-21,   2500196,8.43,731653,2.47,29674920
Niederlande,Netherlands,Europa,2021-06-21,   9102575,53,5658442,32.95,17173094
Niger,Niger,Afrika,2021-06-21,    172812,0.69,13395,0.05,25130810
Nigeria,Nigeria,Afrika,2021-06-21,   1978808,0.94,680345,0.32,211400704
Oman,Oman,Asien,2021-06-21,    666000,12.75,193000,3.69,5223376
Pakistan,Pakistan,Asien,2021-06-21,   9308890,4.13,3107671,1.38,225199929
Palästina,Palestine,Asien,2021-06-21,    359349,6.88,231138,4.43,5222756
Ruanda,Rwanda,Afrika,2021-06-21,    350400,2.64,228169,1.72,13276517
Saint Helena,Saint Helena,Afrika,2021-06-21,      4361,71.55,3531,57.93,6095
Saint Lucia,Saint Lucia,Nordamerika,2021-06-21,     30063,16.3,21115,11.45,184401
San Marino,San Marino,Europa,2021-06-21,     21768,64,21703,63.81,34010
São Tomé und Príncipe,Sao Tome and Principe,Afrika,2021-06-21,     12374,5.54,11270,5.05,223364
Senegal,Senegal,Afrika,2021-06-21,    477957,2.78,147491,0.86,17196308
Serbien,Serbia,Europa,2021-06-21,   2693998,39.21,2452243,35.69,6871547
Seychellen,Seychelles,Afrika,2021-06-21,     70660,71.44,67016,67.75,98910
Sierra Leone,Sierra Leone,Afrika,2021-06-21,     82145,1.01,15170,0.19,8141343
St. Martin,Sint Maarten (Dutch part),Nordamerika,2021-06-21,     20358,46.89,15851,36.51,43421
Somalia,Somalia,Afrika,2021-06-21,    135107,0.83,28871,0.18,16359500
Afrika,South Africa,Kontinent,2021-06-21,    519139,0.86,479768,0.8,60041996
Südsudan,South Sudan,Afrika,2021-06-21,     27338,0.24,2072,0.02,11381377
Sudan,Sudan,Afrika,2021-06-21,    520928,1.16,108764,0.24,44909351
Schweden,Sweden,Europa,2021-06-21,   4637285,45.64,2816359,27.72,10160159
Tadschikistan,Tajikistan,Asien,2021-06-21,    116341,1.19,15734,0.16,9749625
Osttimor,Timor,Asien,2021-06-21,    103813,7.72,6718,0.5,1343875
Togo,Togo,Afrika,2021-06-21,    270784,3.19,76462,0.9,8478242
Turkmenistan,Turkmenistan,Asien,2021-06-21,     32240,0.53,19506,0.32,6117933
Turks-und Caicosinseln,Turks and Caicos Islands,Nordamerika,2021-06-21,     22700,57.87,15410,39.29,39226
Uganda,Uganda,Afrika,2021-06-21,    537440,1.14,4129,0.01,47123533
VAE,United Arab Emirates,Asien,2021-06-21,   5081853,50.86,3836521,38.4,9991083
Usbekistan,Uzbekistan,Asien,2021-06-21,   1623764,4.78,1002919,2.96,33935765
Venezuela,Venezuela,Südamerika,2021-06-21,   1079134,3.76,223858,0.78,28704947
Vietnam,Vietnam,Asien,2021-06-21,   2300960,2.34,121683,0.12,98168829
Sambia,Zambia,Afrika,2021-06-21,    142089,0.75,6215,0.03,18920657
Afghanistan,Afghanistan,Asien,2021-06-22,    582128,1.46,183762,0.46,39835428
Afrika,Africa,Kontinent,2021-06-22,  30509159,2.22,13823958,1.01,1373486472
Albanien,Albania,Europa,2021-06-22,    525800,18.3,375629,13.07,2872934
Argentinien,Argentina,Südamerika,2021-06-22,  14660693,32.15,3719982,8.16,45605823
Aruba,Aruba,Nordamerika,2021-06-22,     67004,62.51,57328,53.48,107195
Asien,Asia,Kontinent,2021-06-22,1043577197,22.31,139260057,2.98,4678444992
Australien,Australia,Asien,2021-06-22,   5645745,21.89,1214531,4.71,25788217
Österreich,Austria,Europa,2021-06-22,   4581009,50.66,2652138,29.33,9043072
Aserbaidschan,Azerbaijan,Europa,2021-06-22,   1971930,19.29,1060586,10.37,10223344
Bahrain,Bahrain,Asien,2021-06-22,   1046710,59.87,921473,52.71,1748295
Bangladesch,Bangladesh,Asien,2021-06-22,   5823245,3.5,4266961,2.57,166303494
Barbados,Barbados,Nordamerika,2021-06-22,     92874,32.28,67392,23.42,287708
Belgien,Belgium,Europa,2021-06-22,   6566089,56.45,3679336,31.63,11632334
Bolivien,Bolivia,Südamerika,2021-06-22,   1658589,14.02,609192,5.15,11832936
Brasilien,Brazil,Südamerika,2021-06-22,  66688623,31.16,24731667,11.56,213993441
Bulgarien,Bulgaria,Europa,2021-06-22,    921437,13.36,759962,11.02,6896655
Kambodscha,Cambodia,Asien,2021-06-22,   3517943,20.76,2757796,16.27,16946446
Kanada,Canada,Nordamerika,2021-06-22,  25364478,66.63,7891018,20.73,38067913
Cayman Islands,Cayman Islands,Nordamerika,2021-06-22,     47419,71.31,41949,63.08,66498
Chile,Chile,Südamerika,2021-06-22,  12262266,63.82,9813557,51.08,19212362
Kolumbien,Colombia,Südamerika,2021-06-22,  10493152,20.47,5189283,10.12,51265841
Costa Rica,Costa Rica,Nordamerika,2021-06-22,   1535967,29.89,795063,15.47,5139053
Kroatien,Croatia,Europa,2021-06-22,   1456750,35.69,932833,22.85,4081657
Kuba,Cuba,Nordamerika,2021-06-22,   2372246,20.96,940185,8.31,11317498
Curaçao,Curacao,Nordamerika,2021-06-22,     88174,53.5,76707,46.55,164796
Tschechien,Czechia,Europa,2021-06-22,   4887285,45.57,2717615,25.34,10724553
Dänemark,Denmark,Europa,2021-06-22,   3094860,53.24,1685248,28.99,5813302
Dom. Rep.,Dominican Republic,Nordamerika,2021-06-22,   4691111,42.83,2610476,23.83,10953714
Ecuador,Ecuador,Südamerika,2021-06-22,   3000143,16.77,1301245,7.27,17888474
El Salvador,El Salvador,Nordamerika,2021-06-22,   1475388,22.63,1070928,16.43,6518500
Estland,Estonia,Europa,2021-06-22,    548321,41.38,408396,30.82,1325188
Europa,Europe,Kontinent,2021-06-22, 293255695,39.15,187837842,25.08,748962983
Europa,European Union,Kontinent,2021-06-22, 215581153,48.21,131459673,29.4,447189915
Färöer Inseln,Faeroe Islands,Europa,2021-06-22,     26326,53.67,18088,36.87,49053
Frankreich,France,Europa,2021-06-22,  32918709,48.72,17689837,26.18,67564251
Georgien,Georgia,Europa,2021-06-22,    153464,3.86,84756,2.13,3979773
Deutschland,Germany,Europa,2021-06-22,  43526710,51.88,27252145,32.48,83900471
Griechenland,Greece,Europa,2021-06-22,   4565918,44.03,3248653,31.33,10370747
Grönland,Greenland,Nordamerika,2021-06-22,     22018,38.72,10385,18.26,56868
Guatemala,Guatemala,Nordamerika,2021-06-22,    707948,3.88,151791,0.83,18249868
Guinea,Guinea,Afrika,2021-06-22,    380946,2.82,143819,1.07,13497237
Honduras,Honduras,Nordamerika,2021-06-22,    533888,5.31,58000,0.58,10062994
Hongkong,Hong Kong,Asien,2021-06-22,   1998777,26.46,1308891,17.33,7552800
Ungarn,Hungary,Europa,2021-06-22,   5431713,56.38,4619877,47.95,9634162
Island,Iceland,Europa,2021-06-22,    240273,69.98,155323,45.24,343360
Indien,India,Asien,2021-06-22, 238586187,17.12,51269269,3.68,1393409033
Indonesien,Indonesia,Asien,2021-06-22,  23998166,8.68,12583389,4.55,276361788
Irland,Ireland,Europa,2021-06-22,   2501367,50.2,1572294,31.55,4982904
Isle of Man,Isle of Man,Europa,2021-06-22,     62418,73.08,34961,40.93,85410
Israel,Israel,Asien,2021-06-22,   5523018,59.44,5168624,55.63,9291000
Italien,Italy,Europa,2021-06-22,  32311828,53.53,16529401,27.38,60367471
Japan,Japan,Asien,2021-06-22,  27707562,21.98,12409002,9.84,126050796
Kasachstan,Kazakhstan,Europa,2021-06-22,   2809447,14.79,1715750,9.03,18994958
Kenia,Kenya,Afrika,2021-06-22,    996414,1.81,194475,0.35,54985702
Laos,Laos,Asien,2021-06-22,    798257,10.82,470370,6.37,7379358
Lettland,Latvia,Europa,2021-06-22,    608156,32.58,507244,27.17,1866934
Liechtenstein,Liechtenstein,Europa,2021-06-22,     18701,48.89,12034,31.46,38254
Litauen,Lithuania,Europa,2021-06-22,   1217970,45.28,922645,34.3,2689862
Macau,Macao,Asien,2021-06-22,    213450,32.42,90235,13.71,658391
Malawi,Malawi,Afrika,2021-06-22,    384406,1.96,40645,0.21,19647681
Malaysia,Malaysia,Asien,2021-06-22,   4678627,14.27,1748222,5.33,32776195
Malediven,Maldives,Asien,2021-06-22,    315620,58.06,184865,34.01,543620
Malta,Malta,Europa,2021-06-22,    353584,68.51,294650,57.09,516100
Mexiko,Mexico,Nordamerika,2021-06-22,  28590500,21.95,17463895,13.41,130262220
Mongolei,Mongolia,Asien,2021-06-22,   1924675,57.81,1708547,51.32,3329282
Montenegro,Montenegro,Europa,2021-06-22,    148346,23.62,129800,20.67,628051
Namibia,Namibia,Afrika,2021-06-22,    107611,4.16,20999,0.81,2587344
Neuseeland,New Zealand,Asien,2021-06-22,    639081,12.48,383375,7.48,5122600
Nordamerika,North America,Kontinent,2021-06-22, 249451216,41.81,189209028,31.72,596581283
Nordmazedonien,North Macedonia,Europa,2021-06-22,    281847,13.53,206163,9.9,2082661
Norwegen,Norway,Europa,2021-06-22,   2259693,41.34,1494752,27.35,5465629
Ozeanien,Oceania,Kontinent,2021-06-22,   6834379,15.81,1738326,4.02,43219954
Paraguay,Paraguay,Südamerika,2021-06-22,    671003,9.29,138521,1.92,7219641
Peru,Peru,Südamerika,2021-06-22,   4076869,12.22,2867418,8.6,33359415
Polen,Poland,Europa,2021-06-22,  16302839,43.13,11643337,30.8,37797000
Portugal,Portugal,Europa,2021-06-22,   4986660,49.04,3107452,30.56,10167923
Katar,Qatar,Asien,2021-06-22,   1629077,55.59,1279866,43.67,2930524
Rumänien,Romania,Europa,2021-06-22,   4650160,24.31,4389865,22.95,19127772
Russland,Russia,Europa,2021-06-22,  20345332,13.94,15637833,10.72,145912022
St. Kitts und Nevis,Saint Kitts and Nevis,Nordamerika,2021-06-22,     22656,42.31,15350,28.67,53546
Saint Lucia,Saint Lucia,Nordamerika,2021-06-22,     30123,16.34,21214,11.5,184401
Slowakei,Slovakia,Europa,2021-06-22,   1972641,36.12,1409505,25.81,5460726
Slowenien,Slovenia,Europa,2021-06-22,    821019,39.5,621172,29.88,2078723
Somalia,Somalia,Afrika,2021-06-22,    135107,0.83,43157,0.26,16359500
Südamerika,South America,Kontinent,2021-06-22, 117152906,26.98,50190492,11.56,434260137
Südkorea,South Korea,Asien,2021-06-22,  15224277,29.67,4368805,8.52,51305184
Spanien,Spain,Europa,2021-06-22,  23772029,50.85,15138439,32.39,46745211
Sri Lanka,Sri Lanka,Asien,2021-06-22,   2482166,11.55,842183,3.92,21497306
Schweiz,Switzerland,Europa,2021-06-22,   4168463,47.83,2867966,32.91,8715494
Taiwan,Taiwan,Asien,2021-06-22,   1652232,6.93,29704,0.12,23855008
Thailand,Thailand,Asien,2021-06-22,   5844521,8.36,2303814,3.29,69950844
Osttimor,Timor,Asien,2021-06-22,    166148,12.36,23118,1.72,1343875
Trinidad Tobago,Trinidad and Tobago,Nordamerika,2021-06-22,    179631,12.8,45567,3.25,1403374
Tunesien,Tunisia,Afrika,2021-06-22,   1198398,10.04,438157,3.67,11935764
Türkei,Turkey,Europa,2021-06-22,  29462165,34.64,14617958,17.19,85042736
Ukraine,Ukraine,Europa,2021-06-22,   1755137,4.04,394497,0.91,43466822
Großbritannien,United Kingdom,Europa,2021-06-22,  43448680,63.7,31740115,46.53,68207114
USA,United States,Nordamerika,2021-06-22, 182012296,54.82,157185295,47.34,332915074
Uruguay,Uruguay,Südamerika,2021-06-22,   2186280,62.73,1463963,42.01,3485152
Vietnam,Vietnam,Asien,2021-06-22,   2435313,2.48,133843,0.14,98168829
Welt,World,Welt,2021-06-22,1740780552,22.11,582059703,7.39,7874965730
Simbabwe,Zimbabwe,Afrika,2021-06-22,    706156,4.68,440200,2.92,15092171
Andorra,Andorra,Europa,2021-06-22,     38667,49.99,24598,31.8,77354
Angola,Angola,Afrika,2021-06-22,    866381,2.55,513793,1.51,33933611
Anguilla,Anguilla,Nordamerika,2021-06-22,      9183,60.71,6015,39.77,15125
Antigua und Barbuda,Antigua and Barbuda,Nordamerika,2021-06-22,     35768,36.23,27041,27.39,98728
Armenien,Armenia,Europa,2021-06-22,     52509,1.77,11784,0.4,2968128
Bahamas,Bahamas,Nordamerika,2021-06-22,     54199,13.66,25047,6.31,396914
Belarus,Belarus,Europa,2021-06-22,    701183,7.43,372099,3.94,9442867
Belize,Belize,Nordamerika,2021-06-22,     76148,18.81,21256,5.25,404915
Benin,Benin,Afrika,2021-06-22,     21834,0.18,4790,0.04,12451031
Bermuda,Bermuda,Nordamerika,2021-06-22,     41198,66.35,35662,57.43,62092
Bosnien und Herzeg.,Bosnia and Herzegovina,Europa,2021-06-22,    257898,7.9,65354,2,3263459
Botswana,Botswana,Afrika,2021-06-22,    153403,6.4,66085,2.76,2397240
Britische Jungferninseln,British Virgin Islands,Nordamerika,2021-06-22,     12405,40.78,7873,25.88,30423
Brunei,Brunei,Asien,2021-06-22,     57353,12.99,12524,2.84,441532
Kamerun,Cameroon,Afrika,2021-06-22,     78476,0.29,18769,0.07,27224262
