"date","test","positiv","quote"
2020-03-15,126890,7419,5.84679643785956
2020-03-22,368346,25205,6.84275110901164
2020-03-29,369781,32158,8.69649873844248
2020-04-05,409201,36885,9.01390759064616
2020-04-12,372846,29552,7.92606062556659
2020-04-19,337590,22616,6.69925057021831
2020-04-26,362741,18101,4.99006177961686
2020-05-03,326270,12577,3.85478284856101
2020-05-10,383807,10172,2.65029038032136
2020-05-17,431145,7069,1.63958760973686
2020-05-24,354260,5228,1.47575227234235
2020-05-31,401589,4267,1.06252910313779
2020-06-07,337217,3085,0.914841185349493
2020-06-14,327196,2816,0.860646218168926
2020-06-21,381933,5252,1.37511029421391
2020-06-28,464626,3682,0.792465337712483
2020-07-05,506459,3092,0.61051338805313
2020-07-12,510551,2992,0.586033520647301
2020-07-19,538701,3497,0.649154169010267
2020-07-26,553742,4458,0.805068064188738
2020-08-02,586967,5738,0.977567733790826
2020-08-09,717123,7263,1.01279696788417
2020-08-16,835384,8121,0.972127787939439
2020-08-23,1029715,8766,0.851303516021424
2020-08-30,1091207,8061,0.73872326698784
2020-09-06,1043713,8072,0.773392685537116
2020-09-13,1133737,9855,0.869249217411093
2020-09-20,1090740,12937,1.18607550837046
2020-09-27,1154700,14140,1.22456049190266
2020-10-04,1112967,19407,1.74371746871201
2020-10-11,1188338,29567,2.48809682093815
2020-10-18,1220909,44046,3.6076398814326
2020-10-25,1373753,77006,5.60552006073872
2020-11-01,1593278,115235,7.23257334878157
2020-11-08,1598527,124869,7.81150396583855
2020-11-15,1396088,125200,8.96791606259777
2020-11-22,1367570,127742,9.34080156774425
2020-11-29,1353980,125451,9.26535103915863
2020-12-06,1329716,135062,10.1572065012379
2020-12-13,1445671,165953,11.4793061491861
2020-12-20,1613358,185724,11.5116421773717
2020-12-27,1077066,138761,12.8832402099778
2021-01-04,806908,128349,15.9062743212361
2021-01-10,1214379,154988,12.7627371685446
2021-01-17,1162475,121341,10.4381599604293
2021-01-24,1068323,106488,9.96777191916677
