land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24
Bulgarien,Bulgaria,Plowdiw,BG,BG421,keine Daten,4,1,4,6,3,2,1,0,1,3,6,12,keine Daten,53,68,51,43,45,46,28,22,22,21,20,27,41,79,144,234,314,462,620,675,649,581,543,409,220,151,137,97,80
Bulgarien,Bulgaria,Chaskowo,BG,BG422,1,4,5,10,13,5,0,0,1,1,4,4,1,keine Daten,5,4,7,19,13,18,28,22,24,22,13,11,14,35,57,92,149,210,304,371,411,419,399,365,238,145,158,142,104
Bulgarien,Bulgaria,Pasardschik,BG,BG423,keine Daten,3,0,4,18,14,9,22,21,12,16,19,33,keine Daten,73,42,34,54,35,39,32,36,37,29,22,36,41,43,69,122,173,252,387,466,444,433,410,306,195,138,120,101,106
Bulgarien,Bulgaria,Smoljan,BG,BG424,-154,20,18,7,5,5,4,5,1,2,43,60,181,keine Daten,269,36,53,147,65,79,66,58,57,42,28,48,54,67,110,142,177,254,280,225,238,284,278,216,151,120,99,65,53
Bulgarien,Bulgaria,Kardschali,BG,BG425,keine Daten,keine Daten,3,0,0,1,1,0,0,2,16,18,13,keine Daten,29,27,20,25,17,14,16,15,31,51,31,17,56,93,118,226,276,226,175,131,109,126,162,148,106,87,113,107,78
Kroatien,Croatia,Primorsko-goranska županija,HR,HR031,keine Daten,keine Daten,keine Daten,1,0,0,0,0,0,0,0,1,7,11,7,9,13,6,5,15,30,49,59,52,42,63,78,73,118,313,482,615,735,914,1132,1227,1430,1396,1041,674,488,379,215
Kroatien,Croatia,Licko-senjska županija,HR,HR032,keine Daten,keine Daten,keine Daten,13,0,0,0,0,0,0,0,0,0,9,16,7,0,0,11,29,56,74,103,98,129,141,170,201,328,517,459,408,562,1075,1461,1423,1452,1200,696,381,270,207,116
Kroatien,Croatia,Zadarska županija,HR,HR033,keine Daten,keine Daten,keine Daten,7,2,1,1,0,0,0,0,2,8,14,32,33,12,9,12,39,104,130,128,118,80,48,40,53,89,165,243,324,417,717,1038,1045,1053,981,627,356,293,266,213
Kroatien,Croatia,Šibensko-kninska županija,HR,HR034,keine Daten,keine Daten,keine Daten,9,7,2,2,1,0,0,0,2,4,13,27,25,25,21,10,79,192,191,134,97,64,40,33,45,110,256,371,422,493,702,983,1100,1377,1361,892,544,372,321,279
Kroatien,Croatia,Splitsko-dalmatinska županija,HR,HR035,keine Daten,keine Daten,keine Daten,23,16,17,11,1,0,0,0,4,8,10,21,26,36,43,42,89,216,283,253,196,141,117,100,139,237,457,595,670,795,968,1208,1186,1159,1094,727,462,412,346,247
Kroatien,Croatia,Istarska županija,HR,HR036,keine Daten,keine Daten,keine Daten,2,0,0,1,0,0,0,0,2,4,3,22,33,52,44,7,12,44,52,35,27,13,10,12,13,48,203,276,364,480,523,610,568,549,517,395,257,212,177,72
Kroatien,Croatia,Dubrovacko-neretvanska županija,HR,HR037,keine Daten,keine Daten,keine Daten,10,5,5,2,0,0,0,0,3,7,17,30,27,17,12,12,26,73,116,180,177,98,70,112,156,216,396,562,612,587,635,680,503,431,399,255,175,163,198,159
Kroatien,Croatia,Grad Zagreb,HR,HR050,keine Daten,keine Daten,keine Daten,5,2,1,1,1,0,0,1,8,28,34,34,31,23,20,22,52,88,101,92,73,59,56,78,175,375,711,897,896,855,944,990,855,876,804,537,320,263,221,161
Kroatien,Croatia,Zagrebacka Zupanija,HR,HR065,keine Daten,keine Daten,keine Daten,4,2,0,0,0,0,0,0,3,12,14,13,14,13,8,6,22,43,53,56,48,47,55,64,120,243,470,644,754,769,940,1179,843,1068,1456,982,518,450,412,241
Kroatien,Croatia,Krapinsko-Zagorska Zupanija,HR,HR064,keine Daten,keine Daten,keine Daten,18,6,0,0,0,0,0,0,1,2,2,7,6,6,6,2,10,19,33,45,49,71,91,135,237,470,857,1019,1016,978,1170,1550,1646,1624,1228,672,371,272,226,115
Kroatien,Croatia,Varazdinska Zupanija,HR,HR062,keine Daten,keine Daten,keine Daten,9,7,1,0,0,0,0,0,0,2,4,5,4,5,7,5,11,40,43,26,24,13,11,26,90,236,509,856,1386,1690,1933,2248,2086,1820,1459,875,522,480,387,248
Kroatien,Croatia,Koprivnicko-Krizevacka Zupanija,HR,HR063,keine Daten,keine Daten,keine Daten,38,21,17,16,5,3,2,2,1,4,3,1,3,5,3,2,3,24,40,49,43,18,26,43,49,108,260,368,464,643,1014,1287,1415,1502,1235,764,397,309,279,203
Kroatien,Croatia,Medimurska Zupanija,HR,HR061,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,0,1,3,3,1,0,1,1,1,10,26,30,26,24,52,72,95,191,382,738,1064,1315,1419,1621,2015,2099,2037,1707,1148,748,628,526,322
Kroatien,Croatia,Bjelovarsko-Bilogorska Zupanija,HR,HR021,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,0,1,2,3,3,1,13,20,7,6,15,19,65,103,85,71,70,105,188,402,531,450,446,617,790,952,1208,1267,941,566,431,373,236
Kroatien,Croatia,Viroviticko-Podravska Zupanija,HR,HR022,keine Daten,keine Daten,keine Daten,7,3,3,0,0,0,0,0,0,3,4,13,17,12,11,5,8,24,48,71,115,111,86,95,160,309,447,503,527,523,648,963,972,910,931,655,421,403,335,215
Kroatien,Croatia,Pozesko-Slavonska Zupanija,HR,HR023,keine Daten,keine Daten,keine Daten,0,0,3,7,4,0,0,0,0,15,95,103,25,10,7,6,24,52,121,160,163,179,188,145,122,167,255,277,324,410,552,728,779,847,806,542,307,251,209,134
Kroatien,Croatia,Brodsko-Posavska Zupanija,HR,HR024,keine Daten,keine Daten,keine Daten,3,0,7,12,8,4,1,0,1,6,27,55,46,19,14,22,46,105,125,100,102,101,63,30,45,111,308,612,858,889,961,1099,1081,1119,981,626,463,434,354,251
Kroatien,Croatia,Osjecko-Baranjska Zupanija,HR,HR025,keine Daten,keine Daten,keine Daten,7,6,5,2,1,1,0,0,10,58,78,68,53,31,29,25,34,48,42,33,40,42,38,54,110,257,507,671,726,754,967,1127,1060,1125,1086,764,430,318,256,146
Kroatien,Croatia,Vukovarsko-Srijemska Zupanija,HR,HR026,keine Daten,keine Daten,keine Daten,3,1,0,0,1,1,0,0,1,9,29,57,102,158,142,89,69,52,47,50,59,52,71,139,196,258,399,540,700,760,752,870,889,874,761,451,255,212,182,132
Kroatien,Croatia,Karlovacka Zupanija,HR,HR027,keine Daten,keine Daten,keine Daten,2,1,0,1,1,0,0,0,0,9,17,34,28,12,14,12,30,51,35,32,46,81,105,92,137,258,454,532,534,580,702,1114,1274,1178,1110,834,516,404,316,158
Kroatien,Croatia,Sisacko-Moslavacka Zupanija,HR,HR028,keine Daten,keine Daten,keine Daten,3,0,1,1,0,0,0,0,1,6,14,23,16,14,14,4,16,34,48,55,42,20,16,107,174,194,383,526,547,537,721,1043,1215,1467,1360,961,578,447,507,354
Zypern,Cyprus,Kýpros,CY,CY0,34,55,39,14,11,7,4,4,4,4,4,2,1,2,3,4,4,16,25,20,22,15,4,6,12,20,29,31,110,209,219,260,288,325,374,400,558,634,480,758,911,513,286
Tschechien,Czechia,Ústecký kraj,CZ,CZ042,keine Daten,35,19,10,4,3,4,4,4,4,1,1,1,1,1,2,9,12,12,13,13,20,33,67,140,199,247,415,735,1245,1469,1342,1072,726,545,502,568,712,795,976,1233,1026,722
Tschechien,Czechia,Liberecký kraj,CZ,CZ051,keine Daten,24,9,2,1,0,1,1,0,0,1,10,13,13,12,12,19,19,18,14,14,27,45,92,200,252,342,615,1024,1518,1551,1456,1304,860,617,580,701,943,1058,1247,1665,1620,1239
Tschechien,Czechia,Královéhradecký kraj,CZ,CZ052,keine Daten,15,7,1,1,2,2,1,1,1,1,2,3,3,4,5,8,15,19,20,25,29,47,107,164,184,251,477,977,1724,1871,1545,1195,775,604,537,635,886,1152,1634,2242,2125,1791
Tschechien,Czechia,Kraj Vysocina,CZ,CZ063,keine Daten,12,6,2,2,1,1,1,1,0,0,1,1,4,7,8,30,36,18,22,42,48,68,119,188,266,345,618,1025,1412,1553,1686,1653,1155,847,703,640,785,889,1083,1403,1227,800
Tschechien,Czechia,Jihomoravský kraj,CZ,CZ064,keine Daten,16,10,7,5,4,5,3,5,5,4,4,4,4,4,11,17,20,22,21,29,43,68,117,181,226,314,538,856,1245,1209,1098,1000,641,488,457,520,657,731,909,1241,1151,823
Tschechien,Czechia,Olomoucký kraj,CZ,CZ071,keine Daten,53,37,14,7,5,5,3,3,14,15,8,10,6,6,8,8,17,17,11,21,27,35,74,139,236,356,571,1103,1721,1641,1398,1159,696,517,510,621,796,839,1035,1362,1213,891
Tschechien,Czechia,Pardubický kraj,CZ,CZ053,keine Daten,31,15,6,4,2,2,2,1,1,1,3,5,3,3,4,14,22,19,25,38,41,62,136,203,229,267,484,850,1352,1575,1521,1349,974,721,580,655,871,970,1305,1764,1553,1125
Tschechien,Czechia,Hlavní mesto Praha,CZ,CZ010,keine Daten,55,38,16,10,11,16,16,13,13,14,16,13,12,14,21,43,57,57,66,77,98,159,270,428,483,530,749,1069,1368,1171,734,541,416,346,361,440,656,869,1122,1320,1041,747
Tschechien,Czechia,Stredoceský kraj,CZ,CZ020,keine Daten,30,20,8,6,5,8,7,3,3,6,6,5,9,9,12,25,30,32,35,37,50,90,171,283,347,405,644,1027,1473,1493,1211,939,642,528,514,624,818,948,1243,1558,1316,980
Tschechien,Czechia,Jihoceský kraj,CZ,CZ031,keine Daten,11,7,3,2,1,1,0,1,2,1,0,2,2,2,5,12,20,21,19,29,36,59,102,171,210,286,555,1012,1532,1665,1637,1379,800,515,463,487,572,687,887,1182,1132,834
Tschechien,Czechia,Plzenský kraj,CZ,CZ032,keine Daten,66,54,16,9,6,6,5,2,1,1,1,2,2,1,2,6,10,19,33,35,34,59,127,223,269,346,600,1154,1737,1567,1111,879,639,503,477,524,707,850,938,1139,1074,920
Tschechien,Czechia,Karlovarský kraj,CZ,CZ041,keine Daten,41,39,47,47,25,9,8,6,8,11,5,4,-4,-6,1,1,8,11,6,12,23,57,126,197,210,222,327,645,987,1015,1034,930,604,392,394,454,597,688,868,1355,1448,1503
Tschechien,Czechia,Moravskoslezský kraj,CZ,CZ080,keine Daten,37,35,22,19,12,13,32,29,20,20,28,93,113,68,56,53,45,43,39,34,33,36,63,124,168,267,515,816,1225,1361,1337,1159,736,572,589,727,1062,1283,1550,1915,1585,988
Tschechien,Czechia,Zlínský kraj,CZ,CZ072,keine Daten,23,17,11,6,2,3,5,4,1,1,1,1,1,6,13,14,14,16,25,27,26,38,101,209,294,427,754,1344,2028,1992,1724,1387,847,686,628,729,997,1117,1354,1728,1415,892
Dänemark,Denmark,Nordjylland,DK,DK05,25,33,18,9,10,7,2,2,2,0,7,13,14,11,6,4,3,7,10,15,17,16,20,49,95,107,95,97,107,170,253,239,181,142,107,116,234,400,466,440,371,266,190
Dänemark,Denmark,Hovedstaden,DK,DK01,75,130,109,73,68,55,38,30,27,20,18,21,17,7,7,15,17,17,18,25,26,24,51,103,163,196,163,122,131,212,321,370,370,397,465,633,999,1259,1124,811,572,413,293
Dänemark,Denmark,Midtjylland,DK,DK04,28,51,42,26,20,11,5,3,2,1,2,2,3,2,1,2,3,12,48,70,49,28,22,28,46,77,100,111,110,139,188,199,222,252,246,285,455,605,534,431,370,229,126
Dänemark,Denmark,Sjælland,DK,DK02,35,68,72,56,45,38,28,17,13,13,10,10,8,2,3,8,11,20,27,20,14,12,19,43,64,91,97,68,62,99,161,215,229,219,238,335,558,796,766,593,488,349,240
Dänemark,Denmark,Syddanmark,DK,DK03,26,35,22,9,6,4,6,6,3,2,2,1,1,1,1,2,3,6,9,11,13,15,27,46,58,69,69,61,73,111,151,165,167,209,229,223,291,413,428,346,289,212,153
Estland,Estonia,Järva Maakond,EE,EEG11215,keine Daten,keine Daten,13,7,7,3,0,0,0,0,0,0,0,3,3,-7,-7,3,7,3,0,0,0,0,3,13,10,0,0,0,13,53,80,99,96,89,89,209,408,481,414,355,268
Estland,Estonia,Harju Maakond,EE,EEG11212,keine Daten,keine Daten,31,22,11,6,6,9,10,13,11,3,2,2,2,1,0,2,3,4,8,13,23,30,31,50,58,43,36,51,90,171,274,354,384,413,518,707,724,722,803,704,553
Estland,Estonia,Lääne Maakond,EE,EEG11218,keine Daten,keine Daten,0,0,10,10,20,34,15,5,0,-5,0,0,5,5,0,0,0,0,0,0,0,5,10,29,29,20,15,5,24,54,73,132,176,166,181,220,166,161,215,279,274
Estland,Estonia,Jõgeva Maakond,EE,EEG11216,keine Daten,keine Daten,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,4,7,7,7,11,18,14,4,14,18,42,109,105,46,25,42,98,141,148,155,158,151,137,190,260,316
Estland,Estonia,Hiiu Maakond,EE,EEG11213,keine Daten,keine Daten,21,43,32,11,0,0,0,0,0,0,-11,-11,0,0,0,0,0,0,11,11,0,0,0,32,32,21,32,21,86,354,440,247,150,172,247,301,397,633,666,623,408
Estland,Estonia,Ida-Viru Maakond,EE,EEG11214,keine Daten,keine Daten,22,28,21,4,5,1,6,14,11,4,3,5,6,4,5,9,6,5,49,77,45,49,97,127,133,139,114,95,110,241,456,606,765,954,1050,1114,975,807,918,961,832
Estland,Estonia,Saare Maakond,EE,EEG11222,keine Daten,keine Daten,263,121,70,15,15,12,3,0,0,0,0,0,0,6,6,0,3,6,3,6,6,6,9,24,36,21,9,12,21,18,33,66,76,85,94,109,154,178,199,206,151
Estland,Estonia,Tartu Maakond,EE,EEG11223,keine Daten,keine Daten,22,10,5,3,3,3,-1,1,2,1,-6,-6,1,1,4,24,42,27,8,2,4,10,10,7,7,10,15,15,13,32,85,168,274,327,290,288,255,271,320,322,367
Estland,Estonia,Valga Maakond,EE,EEG11224,keine Daten,keine Daten,4,7,7,0,0,0,0,4,4,0,4,4,0,0,0,0,4,4,0,0,0,0,0,11,14,4,4,18,25,28,64,121,149,131,113,121,191,319,425,620,681
Estland,Estonia,Viljandi Maakond,EE,EEG11225,keine Daten,keine Daten,11,6,2,0,0,0,2,4,2,0,0,0,0,0,0,0,2,2,0,2,6,4,2,11,17,17,9,2,6,24,67,119,156,208,169,119,132,175,256,277,217
Estland,Estonia,Võru Maakond,EE,EEG11226,keine Daten,keine Daten,31,20,6,8,6,3,6,3,0,0,0,0,0,0,0,0,3,6,8,6,48,59,25,93,110,42,17,11,17,28,34,54,158,254,322,325,268,356,418,500,531
Estland,Estonia,Pärnu Maakond,EE,EEG11219,keine Daten,keine Daten,35,16,28,30,19,17,12,5,1,0,0,0,1,0,-1,0,0,1,2,1,7,8,2,7,9,6,10,23,27,52,95,121,122,102,146,306,338,318,480,629,635
Estland,Estonia,Põlva Maakond,EE,EEG11220,keine Daten,keine Daten,8,0,-4,-4,0,0,0,0,8,0,-8,0,0,0,0,0,4,12,8,0,0,0,4,8,24,20,4,8,12,32,57,105,195,276,239,203,195,162,191,211,231
Estland,Estonia,Lääne-Viru Maakond,EE,EEG11217,keine Daten,keine Daten,0,2,2,0,0,0,0,7,7,0,0,0,0,0,0,2,3,2,3,8,7,8,12,12,12,8,5,5,20,49,78,107,117,161,209,243,348,437,450,389,257
Estland,Estonia,Rapla Maakond,EE,EEG11221,keine Daten,keine Daten,15,6,0,0,0,3,3,0,3,3,-3,-3,0,0,0,6,6,0,0,0,6,6,12,27,21,6,0,99,141,174,201,123,129,174,294,526,454,264,270,315,340
Finnland,Finland,Päijät-Häme,FI,FI1C3,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,12,9,3,2,0,0,0,0,1,4,4,0,1,3,2,0,10,30,34,20,10,7,13,15,13,17,23,71,141,135,110,85,51,48,43,43,40
Finnland,Finland,Pohjois-Karjala,FI,FI1D3,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,2,0,1,3,1,17,30,25,17,7,5,10,14,39,66,47,42,47,31,34,33,23,33
Finnland,Finland,Kymenlaakso,FI,FI1C4,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,2,2,0,1,1,1,2,2,1,0,2,2,0,2,2,0,2,9,12,11,10,5,13,38,50,39,30,42,62,70,61,40,28,47,70,63,64
Finnland,Finland,Etelä-Karjala,FI,FI1C5,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,2,1,5,4,1,0,-1,0,0,0,0,0,0,2,2,2,1,0,1,10,15,12,12,14,19,21,16,19,30,39,34,37,35,29,30,20,17
Finnland,Finland,Åland,FI,FI2,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,3,7,13,17,7,3,3,3,3,0,0,0,0,0,3,3,0,0,3,3,13,20,30,34,20,13,7,17,13,30,70,131,121,30,34,40
Finnland,Finland,Satakunta,FI,FI196,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,0,0,0,0,1,3,2,0,1,3,5,6,5,2,1,0,1,1,1,3,4,6,9,11,9,9,12,16,38,54,42,23,14,13,11,12,22
Finnland,Finland,Pirkanmaa,FI,FI197,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,4,2,2,1,0,0,0,0,0,0,0,0,1,1,2,2,6,11,14,20,19,22,33,32,28,24,17,44,82,69,79,74,37,34,30,42,52
Finnland,Finland,Helsinki-Uusimaa,FI,FI1B1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,54,41,35,25,17,11,6,5,4,2,3,4,4,8,13,14,12,14,17,20,42,60,73,94,94,83,93,114,159,201,197,188,166,128,113,114,105,127
Finnland,Finland,Varsinais-Suomi,FI,FI1C1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,9,6,7,6,2,1,1,3,5,1,1,3,3,6,11,12,10,2,1,9,10,19,31,34,41,54,61,60,53,66,105,162,186,147,109,90,88,101
Finnland,Finland,Kanta-Häme,FI,FI1C2,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,13,9,4,2,1,1,1,2,1,1,1,0,1,1,2,4,2,2,7,17,15,18,32,36,34,32,25,12,27,46,41,74,80,42,34,44,46,40
Finnland,Finland,Keski-Pohjanmaa,FI,FI1D5,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,7,1,10,13,3,0,0,0,1,1,0,0,0,0,0,0,0,9,12,9,20,34,26,13,15,16,25,31,34,32,16,6,7,10,9,12,16
Finnland,Finland,Lappi,FI,FI1D7,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,17,12,4,1,1,0,1,2,2,3,2,1,1,2,2,4,4,1,2,3,4,17,26,21,20,45,82,77,53,38,30,31,29,25,30,38,31,32
Finnland,Finland,Etelä-Savo,FI,FI1D1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,2,6,4,-1,1,1,0,0,-1,0,1,1,1,0,1,1,15,24,25,24,19,20,14,10,12,10,53,68,37,89,113,77,46,19,15,20,24
Finnland,Finland,Pohjois-Savo,FI,FI1D2,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,2,3,2,2,5,14,16,8,11,25,23,22,20,24,33,26,24,20,15,17,18,38,79
Finnland,Finland,Pohjanmaa,FI,FI195,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,1,1,1,1,1,1,0,0,1,2,1,0,1,4,4,2,2,2,3,9,72,305,360,159,72,55,34,37,25,7,45,80,52,33,61,75,68
Finnland,Finland,Kainuu,FI,FI1D8,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,4,3,3,-1,-3,0,0,0,0,1,1,0,0,1,1,0,18,29,14,3,1,14,12,7,8,3,11,18,19,33,26,10,26,23,7,30,37,16
Finnland,Finland,Pohjois-Pohjanmaa,FI,FI1D9,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,1,1,0,0,0,0,1,0,1,2,0,1,2,2,2,3,5,5,2,4,8,11,15,29,37,34,31,43,105,129,87,52,29,43,68,66,65
Finnland,Finland,Keski-Suomi,FI,FI193,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,1,1,1,1,1,1,0,0,0,0,1,1,1,3,6,9,15,26,38,45,32,34,68,61,29,18,11,30,61,54,68,81,51,48,43,25,36
Finnland,Finland,Etelä-Pohjanmaa,FI,FI194,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,4,2,1,1,0,0,0,0,0,1,1,1,0,2,3,3,3,3,2,4,18,28,22,12,9,10,13,30,61,61,43,26,9,9,11,24,24
Frankreich,France,Pays de la Loire,FR,FRG,keine Daten,keine Daten,keine Daten,keine Daten,10,7,5,9,12,10,8,6,5,8,13,18,29,31,27,36,48,55,71,96,108,117,130,172,258,415,562,626,536,330,189,142,158,173,168,169,215,252,290
Frankreich,France,Alsace-Champagne-Ardenne-Lorraine,FR,FRF,keine Daten,keine Daten,keine Daten,keine Daten,45,32,21,19,18,16,15,13,10,6,5,9,12,14,18,22,31,47,58,71,86,85,85,138,250,474,722,837,695,445,306,260,314,401,427,412,460,455,424
Frankreich,France,Centre – Val de Loire,FR,FRB,keine Daten,keine Daten,keine Daten,keine Daten,29,20,14,14,13,8,5,5,5,5,5,4,7,14,18,29,46,58,70,87,107,115,121,170,260,454,628,670,565,371,241,196,217,248,241,229,298,352,370
Frankreich,France,Ile-de-France,FR,FR1,keine Daten,keine Daten,keine Daten,keine Daten,61,35,22,17,18,15,12,12,12,13,14,18,25,39,59,81,112,161,192,202,239,295,361,505,655,789,900,830,580,345,220,189,218,249,253,250,316,377,402
Frankreich,France,La Réunion,FR,FRY4,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,46,38,55,59,65
Frankreich,France,Bourgogne-Franche-Comté,FR,FRC,keine Daten,keine Daten,keine Daten,keine Daten,32,23,14,9,8,6,5,4,4,4,5,6,6,8,10,16,30,51,69,89,110,123,132,177,310,578,826,1001,927,616,399,330,373,448,457,445,529,539,492
Frankreich,France,Normandie,FR,FRD,keine Daten,keine Daten,keine Daten,keine Daten,15,9,7,6,4,3,3,6,8,8,7,6,6,7,10,15,23,43,70,94,127,153,163,223,320,457,589,634,515,336,222,148,155,189,195,206,279,340,363
Frankreich,France,Nord-Pas de Calais-Picardie,FR,FRE,keine Daten,keine Daten,keine Daten,keine Daten,36,23,14,14,17,15,12,10,9,10,10,11,16,23,28,32,37,47,96,170,236,273,287,378,571,854,1072,1084,826,491,302,226,236,262,262,249,310,379,403
Frankreich,France,Corse,FR,FRM,keine Daten,keine Daten,keine Daten,keine Daten,9,5,4,6,5,4,4,3,2,2,3,7,6,3,8,10,16,72,149,181,157,119,97,134,300,483,602,610,408,179,80,62,58,44,56,101,151,173,181
Frankreich,France,Mayotte,FR,FRY5,keine Daten,keine Daten,keine Daten,keine Daten,28,36,33,18,121,181,119,99,97,86,53,53,55,32,45,65,66,65,72,85,84,79,63,72,105,120,112,138,168,134,99,111,122,105,101,101,133,245,417
Frankreich,France,Bretagne,FR,FRH,keine Daten,keine Daten,keine Daten,keine Daten,6,4,5,9,8,4,2,1,2,2,4,10,14,15,20,22,28,39,59,84,107,121,120,137,193,289,365,405,347,206,112,81,86,98,94,96,139,181,197
Frankreich,France,Aquitaine-Limousin-Poitou-Charentes,FR,FRI,keine Daten,keine Daten,keine Daten,keine Daten,8,5,4,6,7,4,2,2,2,2,3,4,6,6,7,15,42,81,117,141,153,149,135,152,209,342,482,537,460,299,191,161,169,171,155,156,226,285,312
Frankreich,France,La Réunion,FR,FRY4,keine Daten,keine Daten,keine Daten,keine Daten,1,2,2,2,3,3,3,2,3,5,8,9,7,6,8,32,71,98,130,145,133,125,108,85,76,96,125,146,149,138,108,71,58,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten
Frankreich,France,Guadeloupe,FR,FRY1,keine Daten,keine Daten,keine Daten,keine Daten,2,1,0,2,3,2,3,3,3,2,3,4,6,17,25,46,117,219,365,470,527,558,469,344,244,167,140,121,81,57,45,31,24,30,36,40,56,60,56
Frankreich,France,Martinique,FR,FRY2,keine Daten,keine Daten,keine Daten,keine Daten,2,1,1,2,2,3,6,7,5,4,3,3,4,6,22,50,77,79,89,103,94,118,156,207,267,349,384,318,236,155,84,43,32,42,37,34,46,44,41
Frankreich,France,Guyane,FR,FRY3,keine Daten,keine Daten,keine Daten,keine Daten,3,3,2,10,30,50,128,429,803,945,793,562,488,414,300,245,208,183,170,153,128,124,128,106,80,86,87,89,107,118,122,148,219,317,325,305,458,576,509
Frankreich,France,Provence-Alpes-Côte d'Azur,FR,FRL,keine Daten,keine Daten,keine Daten,keine Daten,33,21,14,11,9,8,8,6,4,4,8,9,13,25,49,90,156,218,253,280,281,254,242,288,414,669,875,929,755,451,279,231,255,309,368,410,539,639,690
Frankreich,France,Languedoc-Roussillon-Midi-Pyrénées,FR,FRJ,keine Daten,keine Daten,keine Daten,keine Daten,13,10,8,7,6,3,5,5,4,4,4,4,9,15,23,40,71,94,113,154,201,231,242,313,441,634,780,771,595,340,191,152,158,171,181,196,278,346,384
Frankreich,France,Auvergne-Rhône-Alpes,FR,FRK,keine Daten,keine Daten,keine Daten,keine Daten,23,15,9,7,7,5,5,5,5,5,6,7,11,16,19,26,50,80,115,158,198,232,265,394,670,1128,1467,1602,1322,752,434,321,328,368,389,353,392,429,429
Deutschland,Germany,Saarland,DE,DEC,99,151,89,32,26,15,7,7,4,3,4,4,3,1,2,3,3,6,10,13,13,14,12,8,4,6,24,58,99,173,279,309,310,295,254,264,332,384,327,232,283,296,228
Deutschland,Germany,Thüringen,DE,DEG,30,41,32,27,26,20,15,14,13,10,8,6,3,2,2,2,3,3,5,6,6,6,6,9,12,11,13,22,40,77,108,139,178,233,288,339,446,568,593,536,591,603,469
Deutschland,Germany,Baden-Württemberg,DE,DE1,101,135,86,49,33,18,13,10,7,4,3,4,5,4,4,6,8,9,8,13,24,31,31,31,31,33,36,56,91,156,215,266,300,284,290,312,359,417,373,289,278,262,209
Deutschland,Germany,Sachsen,DE,DED,39,53,34,14,13,11,9,7,4,2,1,2,2,1,1,1,1,1,4,5,4,7,9,11,15,18,21,38,79,139,210,317,407,431,514,655,730,921,971,780,742,654,454
Deutschland,Germany,Sachsen-Anhalt,DE,DEE,23,30,20,13,9,6,4,2,1,1,3,6,4,2,2,3,3,3,4,4,6,5,4,5,8,11,14,16,28,62,92,117,134,154,188,229,292,370,397,404,478,504,474
Deutschland,Germany,Schleswig-Holstein,DE,DEF,30,43,28,13,11,10,6,4,4,2,1,1,1,2,2,3,5,8,10,11,10,8,7,8,11,17,18,21,33,63,90,103,104,98,94,100,138,176,188,170,175,187,177
Deutschland,Germany,Hessen,DE,DE7,38,54,43,27,20,14,12,13,11,6,5,6,7,6,6,7,9,13,17,25,34,30,22,22,24,30,40,62,111,205,276,320,350,354,344,319,346,395,359,293,305,294,242
