land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24
Somalia,Somalia,Somalia,SO,SO,0,0,1,3,4,4,4,3,3,5,4,3,2,1,1,1,1,1,0,0,0,0,1,0,1,1,2,2,1,0,0,2,2,1,1,1,1,1,1,0,0,0,0
Südafrika,South Africa,Südafrika,ZA,ZA,2,2,3,4,6,9,15,21,29,43,63,83,115,168,233,283,285,248,193,128,84,64,48,42,38,35,34,37,38,39,39,36,41,51,62,79,124,181,254,302,370,400,306
Südkorea,South Korea,Südkorea,KR,KR,3,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,9,7,5,3,3,2,2,2,2,3,3,4,7,11,14,18,24,28,27,22,17,12
Südsudan,South Sudan,Südsudan,SS,SS,keine Daten,0,0,0,0,1,2,4,6,7,6,5,3,1,1,1,1,2,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,2,1,1
Spanien,Spain,Spanien,ES,ES,215,168,113,78,51,35,26,16,17,13,10,10,10,11,15,28,49,69,94,132,176,221,256,279,311,329,302,300,343,446,567,603,546,429,322,255,221,249,272,297,495,804,1026
Sri Lanka,Sri Lanka,Sri Lanka,LK,LK,0,0,1,1,2,2,1,1,3,3,1,1,1,1,3,3,1,0,0,0,1,1,1,1,1,1,1,7,10,15,26,28,29,29,29,36,43,44,39,35,34,39,47
Sudan,Sudan,Sudan,SD,SD,0,0,0,0,1,3,4,5,6,6,5,6,5,3,2,2,3,2,1,2,2,2,1,1,0,0,0,0,0,0,0,1,2,4,7,8,9,8,4,1,0,0,12
Surinam,Suriname,Surinam,SR,SR,1,0,0,0,0,0,0,0,2,19,32,33,48,48,43,74,119,140,162,199,207,169,126,98,64,43,37,37,32,20,14,12,11,10,6,5,7,44,113,138,179,210,179
Schweden,Sweden,Schweden,SE,SE,53,68,74,79,79,77,78,74,80,103,129,140,142,109,58,36,28,28,36,40,36,28,25,29,37,50,65,80,101,149,278,455,564,620,669,707,787,891,849,785,766,621,484
Schweiz,Switzerland,Schweiz,CH,CH,164,128,78,44,25,15,8,5,3,3,3,4,6,11,15,15,18,23,26,30,38,45,53,60,57,56,60,98,236,504,928,1262,1199,917,712,628,647,808,748,556,537,443,339
Syrien,Syria,Syrien,SY,SY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,5,6,6,5,4,3,3,3,4,4,4,5,5,6,6,7,8,10,11,9,8,8,7
Taiwan,Taiwan,Taiwan,TW,TW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadschikistan,Tajikistan,Tadschikistan,TJ,TJ,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,15,22,24,19,13,10,9,8,7,7,7,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,0,0
Tansania,Tanzania,Tansania,TZ,TZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Thailand,Thailand,TH,TH,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,4
Gambia,The Gambia,Gambia,GM,GM,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,17,40,57,50,45,31,18,14,7,3,3,2,1,1,1,1,2,1,2,2,1,1,1,3,4,5
Vatikan,the Holy See/ Vatican City State,Vatikan,VA,VA,742,247,124,124,371,371,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,1731,0,0,0,0,0,0,0,0,0,0,0,0,0
Osttimor,Timor-Leste,Osttimor,TL,TL,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Togo,Togo,Togo,TG,TG,0,1,0,0,0,1,2,3,2,1,1,1,1,1,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,3,4,4,4,4,3,3,3,4,4,3,5,7,9
Trinidad Tobago,Trinidad and Tobago,Trinidad Tobago,TT,TT,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,9,26,52,81,89,97,118,94,62,53,38,29,27,24,29,43,41,23,16,18,17,11,11,16,16
Tunesien,Tunisia,Tunesien,TN,TN,4,4,3,2,1,1,0,0,0,0,0,1,1,0,1,2,2,2,2,5,9,13,17,25,50,80,108,128,145,148,181,189,157,149,134,129,128,150,171,185,260,324,307
Türkei,Turkey,Türkei,TR,TR,32,58,72,65,48,35,29,22,18,16,17,21,23,22,19,17,16,65,125,135,136,138,141,142,143,143,141,141,143,147,151,154,160,179,292,464,532,492,379,265,218,177,126
Turks-und Caicosinseln,Turks and Caicos Islands,Turks-und Caicosinseln,TC,TC,13,10,15,5,3,3,0,0,0,0,0,5,41,85,114,88,70,90,302,470,431,540,555,359,181,93,70,34,8,15,15,15,41,101,72,26,54,108,207,289,375,504,757
Uganda,Uganda,Uganda,UG,UG,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,6,6,6,5,4,4,5,6,7,8,9,10,16,19,14,11,8,4,3
Ukraine,Ukraine,Ukraine,UA,UA,3,5,9,13,15,15,15,13,12,14,17,22,27,27,24,24,26,30,39,47,53,60,71,81,91,101,116,143,176,189,210,267,321,348,427,459,407,361,297,236,203,205,172
Vereinigte Arabische Emirate,United Arab Emirates,Vereinigte Arabische Emirate,AE,AE,16,34,52,64,73,79,93,114,113,94,78,62,56,67,71,54,41,41,37,33,45,54,71,99,111,121,140,149,170,191,185,172,166,170,176,176,174,173,171,214,315,390,455
Großbritannien,United Kingdom,Großbritannien,UK,UK,72,94,96,97,96,81,64,54,41,29,23,21,18,14,12,13,13,13,16,21,22,24,32,51,71,100,163,253,329,405,469,477,502,480,372,317,348,475,721,922,1114,1112,863
USA,United States,USA,US,US,91,125,128,123,120,110,99,95,92,90,92,102,137,184,228,267,281,270,245,222,199,179,173,158,160,180,185,196,223,264,318,403,553,687,709,758,868,933,875,845,988,996,868
Uruguay,Uruguay,Uruguay,UY,UY,7,5,3,4,4,3,2,2,3,2,1,1,2,2,2,3,6,7,5,4,5,4,4,6,7,6,7,8,11,16,18,19,25,34,49,75,115,178,219,211,276,347,321
US Jungferninseln,US Virgin Islands,US Jungferninseln,VI,VI,40,20,11,4,12,13,3,0,0,2,4,5,8,34,96,177,172,119,178,306,418,376,189,82,84,93,50,8,13,22,39,55,56,95,105,139,272,260,169,128,155,196,176
Usbekistan,Uzbekistan,Usbekistan,UZ,UZ,1,2,4,3,2,2,2,2,3,4,4,6,9,11,15,20,23,26,30,27,24,20,14,18,24,24,21,16,14,13,11,10,9,8,8,7,7,6,5,4,2,2,2
Vanuatu,Vanuatu,Vanuatu,VU,VU,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,0,0,0
Venezuela,Venezuela,Venezuela,VE,VE,0,0,0,1,0,0,1,2,3,4,5,5,8,11,15,17,21,29,36,48,48,43,48,52,47,43,41,37,29,23,20,19,18,17,16,16,18,20,18,15,16,21,24
Vietnam,Vietnam,Vietnam,VN,VN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,WF,WF,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,9,0,0,0,9,18,9,0,9,9,0,0,0,0
Westsahara,Western Sahara,Westsahara,EH,EH,keine Daten,keine Daten,keine Daten,keine Daten,1,0,0,0,3,3,0,0,31,83,52,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jemen,Yemen,Jemen,YE,YE,keine Daten,keine Daten,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sambia,Zambia,Sambia,ZM,ZM,0,0,0,0,0,1,3,4,2,1,2,2,1,1,2,7,14,18,20,16,16,15,9,8,7,6,5,4,4,4,3,5,3,3,3,3,4,4,9,18,47,88,95
Simbabwe,Zimbabwe,Simbabwe,ZW,ZW,0,0,0,0,0,0,0,0,1,2,1,1,1,2,3,6,10,16,14,9,9,8,7,7,5,2,1,1,2,2,2,2,3,5,8,10,9,11,13,20,56,80,66
