koalition,unionave,spdave,gruave,fdpave,linave,afdave
0,23.7362637362637,27.6923076923077,17.2527472527473,0,0,0
1,23.7362637362637,27.6923076923077,0,12.3076923076923,0,0
2,0,27.6923076923077,17.2527472527473,12.3076923076923,0,0
3,23.7362637362637,0,17.2527472527473,12.3076923076923,0,0
4,0,27.6923076923077,17.2527472527473,0,7.03296703296703,0
5,23.7362637362637,27.6923076923077,0,0,0,0
6,0,27.6923076923077,17.2527472527473,0,0,0
7,23.7362637362637,0,17.2527472527473,0,0,0
8,23.7362637362637,0,0,12.3076923076923,0,0
